EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
EVTDESC_SOA_1731;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Anthony in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à joindre l'Ordre de Saint Antoine dans sa lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName], will dem Orden des Heiligen Antonius in seinem Kampf gegen die Ungläubigen beitreten, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a la Orden de San Antonio en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1754;The Order of Saint Anthony has constructed a castle in [Root.GetName]!;L'Ordre de Saint Antoine a bâti un château en [Root.GetName] !;Der Orden des Heiligen Antonius hat in [Root.GetName] eine Burg errichtet!;;¡La Orden de San Antonio ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1809;Some of Persia's finest warriors have taken it upon themselves to found a new holy order dedicated to safeguarding the [Root.Religion.GetName] faith. They call themselves the Immortals, just like the ancient Persian warrior elite described by Herodotus, and they seem intent on carrying on the martial traditions of their legendary predecessors.\n\nThis militant holy order has sworn to fight against all who would threaten the legacy of Zoroaster, and to never again allow Zoroastrianism to suffer the reverses it did in the wake of the Arab conquests of the 7th century.;Certains parmi les meilleurs guerriers de Perse ont pris la décision de fonder un nouvel ordre dédié à protéger la foi [Root.Religion.GetName].\nIls se font appeler « Immortels », en hommage au surnom des Mélophores, ces guerriers d'élite de l'Empire achéménide de l'ancien temps décrits par Hérodote. Les Immortels semblent avoir l'intention de porter la tradition martiale de leurs légendaires prédécesseurs.\n\nCet ordre a juré de combattre tous ceux qui menacent l'héritage de Zoroastre et de faire le nécessaire pour que la foi [Root.Religion.GetName] ne souffre plus jamais des maux qu'elle a connus lors de la conquête arabe du VIIème siècle.;Einige von Persiens besten Kriegern haben es auf sich genommen, einen neuen Heiligen Orden zum Schutz des [Root.Religion.GetName]en Glaubens zu gründen. Sie nennen sich selbst Die Unsterblichen, wie die alte, von Herodot beschriebene persische Kriegerelite, und sie wollen die martialischen Traditionen ihrer legendären Vorläufer wieder aufleben lassen.\n\nDieser militante Heilige Orden hat sich dem Kampf gegen alle verschrieben, die das Erbe Zoroasters bedrohen könnten, damit der Zoroastrismus nie mehr Rückschläge wie nach den arabischen Eroberungen im 7. Jahrhundert erleiden muss.;;Unos de los mejores guerreros de Persia han asumido la tarea de fundar una nueva orden santa dedicada a salvaguardar la fé [Root.Religion.GetName]. Se hacen llamar los Inmortales, al igual que la antigua élite guerrera persa descrita por Herodoto, y parecen decididos a continuar con la tradición marcial de sus legendarios predecesores.\n\nEsta orden santa militante ha jurado luchar contra todos los que amenacen el legado de Zoroastro y no permitir que la fé [Root.Religion.GetName] vuelva a sufrir los reveses causados por las conquistas árabes del siglo VII.;;;;;;;;;x
EVTDESC_SOA_1831;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Immortals in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les Immortels dans leur lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will den Unsterblichen in ihrem Kampf gegen die Ungläubigen beitreten, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Inmortales en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1841;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of the [Root.Religion.GetName] faithful! You have my friendship, as well as that of the priesthood.\n\nBy Zoroaster's will,\nGrand Master [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de la foi [Root.Religion.GetName]. Recevez ma reconnaissance ainsi que celle de la Grande Prêtrise.\n\nQue la volonté de Zoroastre soit faite,\nGrand Maître [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle],\nEure äußerst großzügige Spende wird uns sehr helfen in unserer andauernden Verteidigung der [Root.Religion.GetName]en Gläubigen! Ihr habt meine Freundschaft wie auch die der Priesterschaft.\n\nIm Wille Zoroasters\nGroßmeister [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua del culto a Zoroastro! Tiene mi amistad, así como la del sacerdocio.\n\nPor deseo de Zoroastro,\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1853;Most righteous [Root.GetTitledFirstName], the Immortals need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nBy Zoroaster's will,\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Immortels ont besoin de nouvelles terres afin d'entraîner leurs troupes et assurer leur autonomie financière. Il nous a été signalé que vous possédiez un emplacement approprié sur votre domaine de [target_province.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nQue la volonté de Zoroastre soit faite,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Unsterblichen benötigen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nIm Willen Zoroasters\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Inmortales necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nPor deseo de Zoroastro,\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1854;The Immortals have constructed a castle in [Root.GetName]!;Les Immortels ont bâti un château en [Root.GetName] !;Die Unsterblichen haben in [Root.GetName] eine Burg errichtet!;;¡Los Inmortales han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1861;Your majesty, this antagonism is completely unwarranted! The Immortals carry on the work of the prophet Zoroaster, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Immortels accomplissent l'oeuvre du prophète Zoroastre, mais certains se posent la question : vous, le servez-vous ?\n\nVeuillez agréer l'expression de notre colère,\nGrand maître [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig ungerechtfertigt! Die Unsterblichen führen das Werk des Propheten Zoroaster fort, doch man muss sich fragen, tut auch Ihr das?\n\nIn Zorn und Trauer,\n\nGroßmeister [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Inmortales continúan la labor del profeta Zoroastro, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1909;The Third Temple now stands tall on Temple Mount in Jerusalem, and several pious Jews have formed a new holy order modelled after the ancient Zealots to protect Judaism against its enemies. Just like the Jewish sect that is their namesake, these new Zealots will not shy away from violence against those they feel are deserving.\n\nSome within the Jewish religious community have accused the Zealots of taking their faith to extreme levels, but the ranks of this new order continue to swell as Jewish exiles returning to the Promised Land flock to their banner. Their numbers now include everyone from uneducated peasants to veteran soldiers from distant European wars.;Maintenant que le Troisième Temple se dresse sur le Mont du Temple à Jérusalem, plusieurs juifs particulièrement pieux ont formé un nouvel ordre sur le modèle des Zélotes de l'ancien temps pour protéger le judaïsme contre ses adversaires. Comme la secte juive qui portait le même nom, ces nouveaux Zélotes n'hésiteront pas à employer la violence contre ceux qu'ils estiment la mériter.\n\nCertains membres de la communauté religieuse juive ont accusé les Zélotes de manifester leur foi de manière excessive, mais les effectifs de ce nouvel ordre continuent de croître et les exilés juifs qui reviennent en Terre promise se regroupent sous leur bannière. Ils comptent désormais dans leurs rangs autant des paysans sans éducation que des soldats ayant acquis leur expérience lors des lointaines guerres européennes.;Nun steht der hohe Dritte Tempel auf dem Tempelberg in Jerusalem und fromme Juden haben einen neuen Heiligen Orden nach dem Vorbild der alten Zeloten zum Schutz des Judentums vor seinen Feinden gegründet. Wie die jüdische Sekte der Antike verzichten die neuen Zeloten nicht auf Gewalt gegen die, die sie ihrer Meinung nach verdient haben.\nAndere Mitglieder der jüdischen Religionsgemeinschaft werfen den Zeloten Extremismus vor, doch die Anhängerschaft des neuen Ordens wächst ständig durch den Zustrom der aus dem Exil ins Heilige Land zurückkehrenden Juden. In seinen Reihen finden sich ungebildete Bauern ebenso wie Soldaten, die in Kriegen im fernen Europa gekämpft haben.;;El Tercer Templo se alza majestuoso sobre el Monte del Templo en Jerusalén y varios judíos devotos han formado una nueva orden santa inspirada en los antiguos zelotes para proteger el judaísmo frente a sus enemigos. Al igual que la secta judía cuyo nombre utilizan, estos nuevos zelotes no escatimarán en violencia contra quienes consideren que la merezcan.\n\nAlgunos miembros de la comunidad religiosa judía han acusado a los zelotes de llevar su fe a los extremos, pero las filas de esta nueva orden continuarán creciendo, puesto que los judíos exiliados que regresan a la Tierra Prometida se apresuran a enarbolar su estandarte. Entre sus filas se cuentan ya desde campesinos analfabetos hasta soldados veteranos de lejanas guerras europeas.;;;;;;;;;x
EVTDESC_SOA_1931;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Zealots in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les Zélotes dans leur lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will den Zeloten in ihrem Kampf gegen die Ungläubigen beitreten, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Zelotes en la lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_1941;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly in our continued defense of Jerusalem, the Third Temple and the [Root.Religion.GetName] faith! You have my friendship, as well as that of the priesthood.\n\nRemember Masada!\nGrand Master [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre défense perpétuelle de Jérusalem, du Troisième temple et des fidèles [Root.GetReligionMascPl]. Recevez ma reconnaissance ainsi que celle de la Grande Prêtrise.\n\nSouvenez-vous de Massada !\nGrand Maître [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle],\nEure äußerst großzügige Spende wird uns sehr helfen bei der Verteidigung Jerusalems, des Dritten Tempels und des [Root.Religion.GetName]en Glaubens! Ihr habt meine Freundschaft, wie auch die der Priesterschaft.\n\nIm Im Gedenken an Masada.\nGroßmeister [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra defensa continua de Jerusalén, del Tercer Templo y de la fe [Root.Religion.GetName]! Tiene mi amistad, así como la del sacerdocio.\n\nEn recuerdo de Masadá,\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1953;Most righteous [Root.GetTitledFirstName], the Zealots need more castles in order to train troops and generate a supporting income. It has come to my attention that there is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nRemember Masada!\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Zélotes ont besoin de nouvelles forteresses afin de lever des troupes et par là même de générer les revenus pour assurer en tout autonomie à leur fonctionnement. Or, il nous est apparu que vous possédiez un emplacement approprié sur votre domaine de [target_province.GetName]. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire un château.\n\nSouvenez-vous de Masada !\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Zeloten brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nIm Gedenken an Masada,\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Zelotes necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nEn recuerdo de Masadá,\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_1954;The Zealots have constructed a castle in [Root.GetName]!;Les Zélotes ont bâti un château en [Root.GetName] !;Die Zeloten haben in [Root.GetName] eine Burg errichtet!;;¡Los zelotes han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_1961;Your majesty, this antagonism is completely unwarranted! The Zealots seek only to defend Judaism from its many enemies, but, one has to wonder, do you?\n\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Zélotes ne cherchent qu'à défendre le judaïsme, seriez-vous un[Root.Get_E] impie pour nous agresser de la sorte ?\n\nAvec colère et tristesse,\nGrand Maître [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Zeloten wollen nur das Judentum gegen seine vielen Feinde verteidigen, doch muss man sich fragen, tut Ihr das auch? \n\nIn Zorn und Trauer,\n\nGroßmeister [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Zelotes se esfuerzan únicamente por defender el judaísmo de sus muchos enemigos, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2009;The mighty Sky-Father of the Tengri faith is all-seeing, but still has need of human instruments on the ground. The Lords of the Sky, a new holy order that has been founded in the wake of the Tengri Reformation, ride to do battle against infidels and to spread the will of the Sky-Father to all corners of the world. The deafening sound of these knights approaching on their mounts is like thunder in the sky, and the noise alone is rumored to have made some convert to the Tengri religion on the spot.;Le puissant Père-Ciel de la foi tengriste voit tout mais a besoin d'aide sur terre pour que sa volonté s'accomplisse.\nLes Seigneurs du Ciel, un nouvel ordre saint fondé dans le cadre de la réforme tengriste, chevauchent les steppes et combattent les infidèles tout en répandant la volonté du Père-Ciel aux quatre coins du monde. Le bruit assourdissant de ces guerriers lorsqu'ils approchent sur leurs montures est comme le tonnerre dans le ciel, et la rumeur court que ce bruit seul convertit certains à leur religion dès qu'ils l'entendent.;Der mächtige Himmelsvater des Tengri-Glaubens sieht alles, doch er braucht auf Erden Menschen als Werkzeuge. Die Herren des Himmels, ein neuer, nach der Tengri-Reformation gegründeter heiliger Orden, zieht gegen die Ungläubigen in den Kampf, um den Willen des Himmelsvaters auf der ganzen Erde zu verbreiten. Das Grollen der Hufe der heranpreschenden Ritter klingt wie Donner aus dem Himmel und hat schon manchen bewogen, sich auf der Stelle zum Tengri-Glauben zu bekennen. ;;El poderoso Padre-Cielo de la fe Tengri todo lo ve, pero aun así necesita valerse de instrumentos humanos en la Tierra. Los Señores del Cielo, una nueva orden santa fundada a la luz de la reforma Tengri, preparada para luchar contra los infieles y hacer llegar la voluntad del Padre-Cielo a todos los rincones del mundo. El sonido ensordecedor de estos caballeros acercándose sobre sus monturas a galope es como oír tronar el cielo. Dicen que el mero ruido ha sido suficiente para que algunos se hayan convertido a la religión Tengri en el acto.;;;;;;;;;x
EVTDESC_SOA_2031;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Lords of the Sky in their tireless pursuit of heathenry, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre les seigneurs du Ciel dans leur lutte infatigable contre les faibles hérétiques, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will den Herren des Himmels in ihrem unermüdlichen Kampf gegen das Heidentum beitreten, obwohl ihn dies auf ewig von der Erbfolge ausschließt. ;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Señores del Cielo en su búsqueda incansable del paganismo, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2041;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation will aid us greatly as we ride into battle against the enemies of the Sky-Father! Upon my honor, I shall name one of my finest steeds after you!\n\nFor the Sky-Father!\nWarchief [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement lorsque nous chevaucherons contre les ennemis du Père-Ciel !\nNous vous promettons sur notre honneur que nous donnerons votre nom à l'un de nos meilleurs chevaux !\n\nPour le Père-Ciel !\nChef de guerre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle], Eure äußerst großzügige Spende wird uns sehr helfen, wenn wir in den Kampf gegen die Feinde des Himmelsvaters reiten! Bei meiner Ehre, ich will eines meiner besten Pferde nach Euch benennen!!\n\nFür den Himmelsvater!\nKriegshäuptling [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestra batalla contra los enemigos del Padre-Cielo! ¡Uno de mis mejores corceles llevará su nombre!.\n\nPor el Padre-Cielo,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2053;Most righteous [Root.GetTitledFirstName], the Lords of the Sky are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nFor the Sky-Father!\nWarchief [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Seigneurs du Ciel ont besoin de nouveaux fort afin de lever des troupes et de générer les revenus nécessaires à leur fonctionnement. Il se trouve que vous posséderiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être précis. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPour le Père du Ciel !\nChef de guerre [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Herren des Himmels benötigen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nFür den Himmelsvater!\nKriegshäuptling [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Señores del Cielo necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Ha llegado a mi conocimiento que hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nPor el Padre-Cielo,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2054;The Lords of the Sky have constructed a castle in [Root.GetName]!;Les Seigneurs du Ciel ont construit un château en [Root.GetName] !;Die Herren des Himmels haben in [Root.GetName] eine Burg errichtet!;;¡Los Señores del Cielo han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2061;Your majesty, this antagonism is completely unwarranted! The Lords of the Sky seek only to ride into battle against the enemies of the Sky-Father. Can you make that same claim?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Seigneurs du Ciel ne désirent que combattre les ennemis du Père du Ciel. Pouvez-vous en dire autant ?\n\nRecevez l'expression de notre infinie colère,\nChef de guerre [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Herren des Himmels wollen nur gegen die Feinde des Himmelsvaters in die Schlacht reiten, doch könnt Ihr das auch von Euch behaupten? \n\nIn Zorn und Trauer,\n\nKriegshäuptling [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Señores del Cielo se esfuerzan únicamente por combatir a los enemigos del Padre-Cielo. ¿Puede usted decir lo mismo?\n\nCon ira y tristeza,\n\nJefe Guerrero [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2109;With the reformation of the many African pagan belief systems into a single coherent whole, several tribes have agreed to pool together their best warriors into a single holy order. They claim to be the Guardians of the Spirits and they have vowed to defend the spirits and those who believe in them from all who would do them harm.;Avec la refonte de nombreuses croyances païennes de l'Ouest africain en un tout cohérent, de nombreuses tribus ont accepté de rassembler leurs meilleurs guerriers en un ordre saint.\nCes guerriers se sont nommés « Gardiens des Esprits » et ont fait voeux de protéger de tout préjudice les esprits de la nature et des anciens, ainsi que tout ceux qui croient en eux.;Nach dem Zusammenschluss der vielen westafrikanischen Naturreligionen zu einem einheitlichen Ganzen haben mehrere Stämme beschlossen, ihre besten Krieger in einem einzigen heiligen Orden zu vereinen. Sie nennen sich die Wächter der Geister und haben geschworen, die Geister und die, die an sie glauben, gegen alle zu verteidigen, die ihnen schaden könnten.;;Tras la unificación de los numerosos sistemas de fe paganos del África Occidental en un todo coherente, varias tribus se han puesto de acuerdo para agrupar a sus mejores guerreros en una única orden santa. Dicen ser los Guardianes de los Espíritus y se han comprometido a defender a los espíritus y a quienes creen en ellos de todo aquel que pretenda causarles algún mal.;;;;;;;;;x
EVTDESC_SOA_2131;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Spirit Guardians in their brave defense of our faith, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à joindre les Gardiens des Esprits dans leur lutte pour défendre notre foi avec bravoure, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich den Wächtern der Geister in ihrer tapferen Verteidigung unseres Glaubens anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Guardianes de los Espíritus en su valiente defensa de nuestra fe, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2141;Great [Root.PrimaryTitle.GetRulerTitle], your extremely generous donation shall aid us greatly in our unceasing efforts to defend the Spirits and their faithful believers! You have my friendship, as well as that of the priesthood.\n\nMay the Spirits walk with you,\nWarchief [target_grandmaster.GetFirstName];Noble [Root.PrimaryTitle.GetRulerTitle], votre très généreuse contribution nous aidera grandement dans notre protection perpétuelle des esprits et des fidèles. Recevez notre reconnaissance ainsi que celle des chamans.\n\nQue les Esprits vous gardent,\nChef de guerre [target_grandmaster.GetFirstName];Großer [Root.PrimaryTitle.GetRulerTitle],Eure äußerst großzügige Spende wird uns sehr helfen bei der Verteidigung der Geister und all derer, die an sie glauben. Ihr habt meine Freundschaft und die der Priesterschaft!\n\nMögen die Geister stets bei Euch sein!\nKriegshäuptling [target_grandmaster.GetFirstName];;Gran [Root.PrimaryTitle.GetRulerTitle], ¡esta donación tan generosa nos será de gran ayuda en nuestro incesante esfuerzo por defender a los Espíritus y a sus auténticos devotos! Tiene mi amistad, así como la del sacerdocio.\n\nQue los espíritus le acompañen,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2153;Most righteous [Root.GetTitledFirstName], the Spirit Guardians are in need of more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nMay the Spirits walk with you,\nWarchief [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], les Gardiens des Esprits ont besoin de nouvelles terres afin de lever troupes et revenus nécessaires à leur fonctionnement. Il nous est apparu que vous possédiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être précis. nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nQue les Esprits vous gardent,\nChef de guerre [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Wächter der Geister brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nMögen die Geister stets bei Euch sein!\nKriegshäuptling [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Guardianes de los Espíritus necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nQue los espíritus le acompañen,\nJefe Guerrero [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2154;The Spirit Guardians have constructed a castle in [Root.GetName]!;Les Gardiens des Esprits ont construit un château en [Root.GetName] !;Die Wächter der Geister haben in [Root.GetName] eine Burg errichtet!;;¡Los Guardianes de los Espíritus han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2161;Your majesty, this antagonism is completely unwarranted! The Spirit Guardians walk with the Spirits and are prepared to give their lives to defend them, but, one has to wonder, are you?\n\nWith anger and sadness,\n\nWarchief [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! Les Gardiens des Esprits marchent avec les Esprits et sont prêts à sacrifier leur vie pour les défendre. Pouvez-vous en dire autant ?\n\nVeuillez agréer l'expression de notre colère ainsi que de notre tristesse,\nChef de guerre [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Wächter der Geister gehen mit den Geistern und sind bereit, ihr Leben für sie zu geben, doch seid Ihr das auch? \n\nIn Zorn und Trauer,\n\nKriegshäuptling [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Guardianes de los Espíritus caminan junto a los espíritus y están preparados para dar la vida por defenderlos, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nJefe Guerrero [From.GetFirstName];;;;;;;;;x
