#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC69000;The lifestyle of a childless courtier has made me suspect that he fancies other men!;Compte tenu de la vie qu'il mène, je soupçonne un courtisan sans enfant de préférer les autres hommes !;Die Lebensweise eines kinderlosen Höflings lässt mich vermuten, dass er Männern zugeneigt ist!;;¡Sospecho que un cortesano que no tiene hijos se siente atraído por otros hombres!;;;;;;;;;x
EVTOPTA69003;I will accuse him of sodomy!;Je vais l'accuser de sodomie !;Ich werde ihn der Sodomie beschuldigen!;;¡Le acusaré de sodomía!;;;;;;;;;x
EVTOPTA69004;What!? No! No, I am not a sodomite!;Quoi !? Non ! Non, je ne suis pas sodomite !;Was!? Nein! Nein, ich bin kein Sodomit!;;¿Qué? ¡No! ¡No, no soy un sodomita!;;;;;;;;;x
EVTOPTA69005;The brothels it is!;Les maisons closes !;Auf ins Hurenhaus!;;¡El burdel!;;;;;;;;;x
EVTOPTA69006;[Root.Religion.GetPriestTitleCap] or not, nobody denounces me!;[Root.Religion.GetPriestTitleCap] ou non, personne n'a le droit de me condamner !;[Root.Religion.GetPriestTitleCap] hin oder her, niemand denunziert!;;¡Sea un [Root.Religion.GetPriestTitle] o no, a mí nadie me denuncia!;;;;;;;;;x
EVTOPTA69007;I don't know what to know anymore!;Je ne sais plus quoi penser !;Ich weiß nicht mehr, was ich noch glauben soll!;;¡Ya no sé qué pensar!;;;;;;;;;x
EVTOPTA69010;I should warn him about his incestuous affair;Je devrais le mettre en garde contre cette relation incestueuse.;Ich sollte ihn vor dieser blutschänderischen Beziehung warnen;;Debería llamarle la atención sobre su relación incestuosa;;;;;;;;;x
EVTOPTA69011;I love my sister, but not in that way!;J'aime ma soeur, mais pas de cette façon !;Ich liebe meine Schwester, aber nicht auf diese Art!;;¡Amo a mi hermana, pero no así!;;;;;;;;;x
EVTOPTA69012;Your silence is very valuable to me;Votre silence a beaucoup de valeur pour moi.;Euer Schweigen ist mir viel wert;;Tu silencio es muy valioso para mí;;;;;;;;;x
EVTOPTA69013;Well, I wouldn't kick [From.GetHerHim] out of my bed...;Eh bien, je l'accueillerais volontiers dans mon lit...;Nun, ich würde [From.GetHerHim] nicht von der Bettkante stoßen ...;;Bueno, no le echaría de mi cama...;;;;;;;;;x
EVTOPTA69015;I have sinned, if not in flesh then in mind...;J'ai péché, non par la chair mais par l'esprit...;Ich habe gesündigt, wenn schon nicht fleischlich, dann im Geiste ...;;He pecado, si no de obra, de pensamiento...;;;;;;;;;x
EVTOPTA69016;The things I do for love...;Jusqu'où peut-on aller par amour ?...;Was man nicht alles für die Liebe tut...;;Las cosas que hago por amor...;;;;;;;;;x
EVTOPTA69017;I fear the Holy Father will not look kindly upon us...;Le Saint-Père risque de nous regarder d'un mauvais oeil...;Ich fürchte, der Heilige Vater wird uns nicht dazu gratulieren ...;;Me temo que el Santo Padre no nos mirará con indulgencia...;;;;;;;;;x
EVTOPTA69020;Might he be impotent? I have to know!;Serait-il impuissant ? Je dois en avoir le coeur net !;Ob er wohl impotent ist? Ich muss es wissen!;;Quizá él sea impotente. ¡Tengo que enterarme!;;;;;;;;;x
EVTOPTA69021;We have a little trouble conceiving, that is all!;Nous avons un peu de mal à concevoir, c'est tout !;Wir haben ein bisschen Probleme mit der Empfängnis, das ist alles!;;¡Nos cuesta concebir, eso es todo!;;;;;;;;;x
EVTOPTA69022;[Root.Spouse.GetFirstName] would be devastated, I have to pay...;[Root.Spouse.GetFirstName] serait dévasté[Root.Spouse.Get_E], je dois payer...;[Root.Spouse.GetFirstName] wäre am Boden zerstört. Ich muss bezahlen ...;;Eso destrozaría a [Root.Spouse.GetFirstName], debo pagar...;;;;;;;;;x
EVTOPTA69024;Let them laugh!;Qu'ils continuent à rire !;Sollen sie doch lachen!;;¡Que se rían!;;;;;;;;;x
EVTOPTA69030;It is my duty to confront him!;Il est de mon devoir de l'interroger !;Meine Pflicht verlangt, ihn zu konfrontieren;;¡Mi deber es interrogarle!;;;;;;;;;x
EVTOPTA69031;I did not commit adultery with that woman;Je n'ai pas commis d'adultère avec cette femme.;Ich habe mit dieser Frau keinen Ehebruch begangen;;No cometí adulterio con esa mujer;;;;;;;;;x
EVTOPTA69032;I know what I saw!;Je sais ce que j'ai vu !;Ich weiß, was ich gesehen habe!;;¡Sé lo que vi!;;;;;;;;;x
EVTOPTA69033;You BASTARD!;BÂTARD !;BASTARD!;;¡BASTARDO!;;;;;;;;;x
EVTOPTA69034;I will never cheat on you again, I promise!;Plus jamais je ne vous tromperai, promis !;Ich werde Euch nie wieder betrügen, versprochen!;;¡Prometo no volver a engañarte!;;;;;;;;;x
EVTOPTA69035;Trust me on this!;Faites-moi confiance !;Ihr könnt mir vertrauen!;;¡Confía en mí!;;;;;;;;;x
EVTOPTA69036;Take this, I don't want to see you ever again!;Tenez et je ne veux plus jamais vous revoir !;Nehmt dies. Kommt mir nie mehr unter die Augen!;;¡Toma, no quiero volver a verte!;;;;;;;;;x
EVTOPTA69038;Why did you have to involve them?!;Pourquoi leur avez-vous dit ?!;Warum musstet Ihr sie mit hineinziehen?;;¿Por qué los has metido en esto?;;;;;;;;;x
EVTOPTA69039;I reassure my mistress of my deep love for her;Je rassure ma maîtresse et lui fais part de tout mon amour pour elle.;Ich versichere meine Geliebte meiner innigen Liebe;;Tranquilizo a mi amante diciéndole que la amo;;;;;;;;;x
EVTOPTA69040;Have you tampered with the occult?;Vous vous livrez à des sciences occultes ?;Habt Ihr etwa mit dem Okkulten herumgepfuscht?;;¿Has jugado con lo oculto?;;;;;;;;;x
EVTOPTA69041;Are you mad? I would never!;Vous avez perdu la tête ? Jamais de la vie !;Seid Ihr des Wahnsinns? Das würde ich niemals!;;¿Estás loco? ¡Nunca lo haría!;;;;;;;;;x
EVTOPTA69042;This is all I have got...;C'est tout ce que j'ai...;Dies ist alles, was ich habe ...;;Eso es todo lo que he conseguido...;;;;;;;;;x
EVTOPTA69044;I ignore the talks;Je n'ai que faire de ces ragots !;Ich ignoriere das Gerede;;Ignoro los rumores;;;;;;;;;x
EVTOPTA69045;I hope I can remember all of this!;J'espère pouvoir me souvenir de tout ça !;Hoffentlich kann ich mir das alles merken!;;¡Espero poder recordarlo todo!;;;;;;;;;x
EVTOPTA69046;I repent, I will never fiddle with the occult again!;Je me repens. Plus jamais je ne m'adonnerai aux sciences occultes !;Ich bereue es. Ich werde mich nie wieder mit dem Okkulten einlassen!;;¡Me arrepiento, no volveré a tratar con lo oculto!;;;;;;;;;x
EVTOPTA69047;This spell will benefit me;Ce sort me sera utile.;Dieser Zauber wird mir zum Vorteil gereichen;;Este hechizo me beneficiará;;;;;;;;;x
EVTOPTA69050;You are not good enough, you have to shape up!;Vos compétences laissent à désirer. Ressaisissez-vous !;Ihr seid nicht gut genug und müsst Euch verbessern!;;¡No eres lo bastante bueno, debes mejorar!;;;;;;;;;x
EVTOPTA69051;[From.GetTitledFirstName] does not appreciate me...;[From.Get_Le_TitledFirstName] ne m'apprécie guère...;[From.GetTitledFirstName] schätzt mich nicht ...;;[From.GetTitledFirstName] no me valora...;;;;;;;;;x
EVTOPTA69052;Shape up or you're out of a job!;Ressaisissez-vous ou je vous relève de vos fonctions !;Bessert Euch, sonst müsst Ihr gehen!;;¡Mejora o te despido!;;;;;;;;;x
EVTOPTA69053;I will make you appreciate me, [From.GetTitledFirstName]!;Vous allez m'apprécier, [From.GetTitledFirstName] !;[From.GetTitledFirstName], Ihr werdet mich zu schätzen lernen!;;¡Conseguiré que me valores, [From.GetTitledFirstName]!;;;;;;;;;x
EVTOPTA69054;Not good enough!;C'est insuffisant !;Nicht gut genug!;;¡No es lo bastante bueno!;;;;;;;;;x
EVTOPTA69055;I will shape up!;Je me ressaisirai !;Ich werde mich bessern!;;¡Mejoraré!;;;;;;;;;x
EVTOPTA69056;You can and must do better!;Vous devez vous ressaisir !;Ihr könnt es besser, und das müsst Ihr auch!;;¡Puedes y debes mejorar!;;;;;;;;;x
EVTOPTA69057;I'm sorry, I'll work harder!;Pardon, je redoublerai d'efforts !;Verzeiht, ich werde härter arbeiten!;;¡Lo siento, me esforzaré más!;;;;;;;;;x
EVTOPTA69058;Why does [Root.job_spiritual.GetSheHe] disappoint every time I try to trust [Root.job_spiritual.GetHerHim]?;Pourquoi me déçoit-[Root.job_spiritual.GetIlElle] à chaque fois que j'essaye de lui faire confiance ?;Warum enttäuscht [Root.job_spiritual.GetSheHe] jedes Mal mein Vertrauen?;;¿Por qué [Root.job_spiritual.GetSheHe] me decepciona cada vez que intento confiar en [Root.job_spiritual.GetSheHe]?;;;;;;;;;x
EVTOPTA69059;Why can't I be appreciated for the things I do right?;Pourquoi ne voit-on jamais ce que je fais de bien ?;Warum kann man mich nicht für das schätzen, was ich richtig mache?;;¿Por qué no valora lo que hago bien?;;;;;;;;;x
EVTOPTA69060;Confront the courtier about the lack of piety;Vous lui demandez de s'expliquer sur son manque de piété.;Ihn wegen seiner mangelnden Pietät konfrontieren;;Interrógale acerca de su falta de devoción;;;;;;;;;x
EVTOPTA69061;I will prove my piety by good deeds;Moyennant de bonnes actions, je prouverai ma piété.;Ich werde meine Pietät durch gute Taten beweisen;;Demostraré mi devoción con buenas acciones;;;;;;;;;x
EVTOPTA69062;Here, now leave me alone!;Tenez, et maintenant, laissez-moi tranquille !;Hier, und jetzt geht mir aus den Augen!;;¡Ten, ahora déjame en paz!;;;;;;;;;x
EVTOPTA69064;I won't burn in hell! Where have you heard that?;Je ne brûlerai pas en enfer ! Où as-tu entendu une chose pareille ?;Ich werde nicht im Höllenfeuer brennen! Wo hast du das gehört?;;¡Yo no arderé en el infierno! ¿Dónde has oído eso?;;;;;;;;;x
EVTOPTA69065;I will donate to the church just to keep him quiet;Je ferai un don à l'Église pour acheter son silence.;Ich werde der Kirche spenden, wenn er schweigt;;Daré dinero a la iglesia para apaciguarle;;;;;;;;;x
EVTOPTA69066;I will prove my piety by doubling, nay, tripling the zakat!;Je vais prouver ma piété en doublant, non, triplant la zakat !;Ich werde meine Frömmigkeit beweisen!;;¡Probaré mi piedad duplicando, no, triplicando al azaque!;;;;;;;;;x
EVTOPTA69070;You are a disgrace and I despise you!;Vous incarnez le déshonneur et je vous méprise !;Ihr seid eine Schande und ich verachte Euch!;;¡Eres una vergüenza y te desprecio!;;;;;;;;;x
EVTOPTA69071;I will try to prove myself;J'essaierai de faire mes preuves.;Ich werde versuchen, mich zu beweisen;;Demostraré mi valía;;;;;;;;;x
EVTOPTA69072;Please don't tell anyone!;Je vous en prie, ne le dites à personne !;Bitte sagt es niemand!;;¡Por favor, no se lo digas a nadie!;;;;;;;;;x
EVTOPTA69074;I need to;Il le faut.;Ich muss;;Debo hacerlo;;;;;;;;;x
EVTOPTA69075;I admit, I am a coward...;Je l'admets, je suis lâche...;Ich gebe zu: Ich bin ein Feigling ...;;Lo admito, soy un cobarde...;;;;;;;;;x
EVTOPTA69076;This is a glorious day!;C'est un jour de gloire !;Ein glorreicher Tag!;;¡Este es un glorioso día!;;;;;;;;;x
EVTOPTA69080;Why?;Pourquoi ?;Warum?;;¿Por qué?;;;;;;;;;x
EVTOPTA69081;That is preposterous!;C'est grotesque !;Das ist lächerlich!;;¡Eso es ridículo!;;;;;;;;;x
EVTOPTA69082;We only need to try more!;Il nous faut juste essayer encore !;Wir müssen nur mehr üben!;;¡Solo tenemos que intentarlo más!;;;;;;;;;x
EVTOPTA69083;...and now my wife believes those rumors!;Et voilà que mon épouse croit en ces rumeurs !;... und jetzt schenkt meine Frau diesen Gerüchten Glauben!;;...¡y ahora mi esposa cree esos rumores!;;;;;;;;;x
EVTOPTA69084;So what if I am?;Et alors ?;Und was ist, wenn es stimmt?;;¿Y qué si lo soy?;;;;;;;;;x
EVTOPTA69085;What have I done?;Qu'ai-je fait ?;Was habe ich getan?;;¿Qué he hecho?;;;;;;;;;x
EVTOPTA69086;Totally unjustified, I am sure!;C'est totalement injustifié !;Sicherlich total ungerechtfertigt!;;¡Sin duda, totalmente injustificado!;;;;;;;;;x
EVTOPTA69087;Well then [From.GetSheHe] should get a new Steward!;Eh bien, [From.GetIlElle] n'a qu'à se trouver un nouvel intendant !;Nun, dann sollte [From.GetSheHe] sich einen neuen Kämmerer suchen!;;¡Entonces [From.GetSheHe] debería buscarse otro Mayordomo!;;;;;;;;;x
EVTOPTA69088;Why I never!;C'est absurde !;Ja, ist es denn!;;¿Por qué a mí?;;;;;;;;;x
EVTOPTA69089;This is troubling;C'est troublant !;Das ist beunruhigend;;Esto es inquietante;;;;;;;;;x
EVTOPTA69090;How could that happen?;Comment cela a-t-il pu arriver ?;Wie konnte das passieren?;;¿Cómo ha podido pasar?;;;;;;;;;x
EVTOPTA69091;I strongly reject the notion!;Ce que je réfute catégoriquement !;Das weise ich entschieden zurück!;;¡Rechazo firmemente esa opinión!;;;;;;;;;x

EVTOPTB69000;I should tell others about my suspicion!;Je devrais parler de mes soupçons !;Ich sollte anderen von meinem Verdacht erzählen;;¡Debería hablar a los demás de mi sospecha!;;;;;;;;;x
EVTOPTB69001;You are right. I desire men, not women;Vous avez raison. J'ai du désir pour les hommes et non pour les femmes.;Ihr habt Recht. Ich begehre Männer, nicht Frauen;;Tienes razón: me gustan los hombres, no las mujeres;;;;;;;;;x
EVTOPTB69002;No one will believe that!;Personne n'y croira !;Niemand wird das glauben!;;¡Nadie creerá eso!;;;;;;;;;x
EVTOPTB69003;It is my duty to inform everyone about this suspected sodomite!;Je dois rendre public le soupçon de sodomie qui pèse sur lui !;Es ist meine Pflicht, jedem von diesem Sodomiten zu erzählen!;;¡Es mi deber informar a todos acerca de este supuesto sodomita!;;;;;;;;;x
EVTOPTB69004;Yes, I am a sodomite;Oui, je suis sodomite.;Jawohl, ich bin ein Sodomit;;Sí, soy un sodomita;;;;;;;;;x
EVTOPTB69005;I should talk about it;Je devrais en parler.;Ich sollte darüber sprechen;;Debería hablar de eso;;;;;;;;;x
EVTOPTB69006;Just keep quiet, people will forget this soon;Je ne réagis pas, les gens oublieront vite.;Einfach schweigen, die Leute werden es bald vergessen;;No digas nada, la gente lo olvidará pronto;;;;;;;;;x
EVTOPTB69010;I have to tell everyone about their incestuous affair!;Je dois révéler leur relation incestueuse à tout le monde !;Ich muss allen von ihrer blutschänderischen Beziehung erzählen!;;¡Debo hablar a todos de su relación incestuosa!;;;;;;;;;x
EVTOPTB69011;I will prove I am not having an affair with my sister!;Je vais prouver que je n'ai pas de liaison avec ma soeur !;Ich werde beweise, dass ich keine Affäre mit meiner Schwester habe!;;¡Demostraré que no cometo incesto con mi hermana!;;;;;;;;;x
EVTOPTB69012;You cannot prove anything!;Vous ne pouvez rien prouver !;Ihr könnt nichts beweisen!;;¡No puedes demostrar nada!;;;;;;;;;x
EVTOPTB69013;Charming and handsome won't buy your way to my bed!;Votre charme et votre beauté ne vous entraîneront pas dans mon lit !;Charme und ein schönes Äußeres werden Euch nicht in mein Bett bringen!;;¡El encanto y el atractivo no lograrán que llegues a mi lecho!;;;;;;;;;x
EVTOPTB69015;I have nothing to confess, nothing to be forgiven for...;Je n'ai rien à confesser, rien d'interdit en tout cas...;Es gibt nichts zu beichten oder zu vergeben ...;;No tengo nada que confesar ni nada por lo que ser perdonado...;;;;;;;;;x
EVTOPTB69016;Ignore the child;J'ignore l'enfant.;Kind ignorieren;;Ignora al niño;;;;;;;;;x
EVTOPTB69020;It surprises me no one else knows this, I should tell them...;Étrangement, personne à la Cour n'est au courant. Je dois leur dire.;Ich finde es überraschend, dass niemand hiervon weiß. Ich sollte es ihnen sagen ...;;Me sorprende que nadie más lo sepa, debería contarlo...;;;;;;;;;x
EVTOPTB69021;It's true, I'm impotent...;C'est vrai, je suis impuissant...;Es stimmt, ich bin impotent ...;;Es verdad, soy impotente...;;;;;;;;;x
EVTOPTB69022;I will never give in to your demands!;Je ne céderai jamais à un tel chantage !;Ich werde niemals auf Eure Forderungen eingehen!;;¡Nunca cederé a tus exigencias!;;;;;;;;;x
EVTOPTB69030;I should tell someone...;Je devrais en parler à quelqu'un...;Ich sollte jemand davon erzählen ...;;Debería contárselo a alguien...;;;;;;;;;x
EVTOPTB69031;I won't say a word;Je ne dirai pas un mot.;Ich werde kein Wort sagen;;No diré nada;;;;;;;;;x
EVTOPTB69032;Maybe I was wrong...;J'ai peut-être tort...;Vielleicht hatte ich Unrecht ...;;Quizá me equivoqué...;;;;;;;;;x
EVTOPTB69033;I should forgive and forget. I still love him;Je devrais pardonner et oublier. Je l'aime toujours.;Ich sollte ihm seinen Fehler verzeihen. Ich lieber ihn noch immer.;;Debería perdonar y olvidar. Aún lo amo;;;;;;;;;x
EVTOPTB69036;As if someone would believe you!;Personne ne vous croira !;Als ob Euch jemand glauben würde!;;¡Como si alguien fuera a creerte!;;;;;;;;;x
EVTOPTB69039;[Root.Spouse.GetTitledFirstName], you are the one I love!;[Root.Spouse.GetTitledFirstName], c'est vous que j'aime !;[Root.Spouse.GetTitledFirstName], meine Liebe gilt nur Euch!;;¡[Root.Spouse.GetTitledFirstName], eres la única a la que amo!;;;;;;;;;x
EVTOPTB69040;I got to get out of here and tell everyone!;Il faut que je parte d'ici et que je le dise à tout le monde !;Ich muss raus hier und allen davon erzählen!;;¡Debo salir de aquí y contárselo a todos!;;;;;;;;;x
EVTOPTB69041;I cackled madly at [From.GetTitledFirstName]'s accusation;J'ai fermement réfuté l'accusation [From.Get_du_TitledFirstName].;Ich gackerte wie verrückt über [From.GetTitledFirstName]s Anschuldigung;;Me reí a carcajadas de la acusación de [From.GetTitledFirstName];;;;;;;;;x
EVTOPTB69042;I don't care if everyone knows about this!;Peu importe que tout le monde l'apprenne !;Es kümmert mich nicht, wenn alle hiervon wüssten!;;¡Me da igual que alguien lo sepa!;;;;;;;;;x
EVTOPTB69044;I attempt to clear my name;Je tente de me disculper.;Ich versuche, meinen Namen reinzuwaschen;;Intento limpiar mi nombre;;;;;;;;;x
EVTOPTB69045;I ignore the voice and go back to sleep;J'ignore cette voix et je me rendors.;Ich ignoriere die Stimme und schlafe weiter;;Ignoro la voz y me vuelvo a dormir;;;;;;;;;x
EVTOPTB69046;Or what? You haven't got anything but rumors!;Et alors ? Ce ne sont que des rumeurs !;Sonst was? Ihr habt nichts außer Gerüchten!;;¿O qué? ¡No tienes más que rumores!;;;;;;;;;x
EVTOPTB69047;I must recant my acts;Je dois abjurer mes actes.;Ich muss für meine Handlungen Abbitte leisten;;Debo retractarme de mis actos;;;;;;;;;x
EVTOPTB69050;I don't trust [Root.job_chancellor.GetTitledFirstName] to do a good job;Je doute que [Root.job_chancellor.Get_le_TitledFirstName] puisse faire du bon travail.;Ich traue [Root.job_chancellor.GetTitledFirstName] keine gute Arbeit zu.;;No confío en que [Root.job_chancellor.GetTitledFirstName] haga un buen trabajo;;;;;;;;;x
EVTOPTB69052;I don't think [Root.job_marshal.GetTitledFirstName] is the right [Root.job_marshal.GetManWoman] for this job;Je doute que [Root.job_marshal.Get_le_TitledFirstName] soit la bonne personne pour ce travail.;Ich glaube nicht, dass [Root.job_marshal.GetTitledFirstName] für diese Arbeit geeignet ist;;No creo que [Root.job_marshal.GetTitledFirstName] sea la persona adecuada para este trabajo;;;;;;;;;x
EVTOPTB69054;I can't say I trust [Root.job_treasurer.GetTitledFirstName];Je ne fais guère confiance [Root.job_treasurer.Get_au_TitledFirstName].;Ich kann nicht behaupten, [Root.job_treasurer.GetTitledFirstName] zu trauen;;No puedo decir que confíe en [Root.job_treasurer.GetTitledFirstName];;;;;;;;;x
EVTOPTB69056;[Root.job_spymaster.GetTitledFirstName] failed me, now I have to do the job myself;[Root.job_spymaster.GetIlElleCap] a échoué et maintenant, je dois faire le travail moi-même.;[Root.job_spymaster.GetSheHeCap] ist gescheitert. Jetzt muss ich mich selbst darum kümmern.;;[Root.job_spymaster.GetTitledFirstName] me falló, debo hacer el trabajo yo mismo;;;;;;;;;x
EVTOPTB69058;I cannot trust you with anything, can I?;Je ne peux rien vous confier, n'est-ce pas ?;Euch kann ich wohl gar nichts anvertrauen, was?;;No puedo confiarte nada, ¿verdad?;;;;;;;;;x
EVTOPTB69060;Expose the courtier as not Christian enough;Révéler son manque de foi chrétienne.;Stellt den Höfling als nicht christlich genug bloß;;Exponer al cortesano como mal cristiano;;;;;;;;;x
EVTOPTB69061;I shrug the question off. I feel no need to explain myself;Qu'importe ! Je ne vois pas pourquoi je devrais m'expliquer.;Ich nehme die Frage gelassen hin. Ich fühle keinen Bedarf, mich zu rechtfertigen;;Ignoro la pregunta. No tengo por qué dar explicaciones.;;;;;;;;;x
EVTOPTB69062;Find someone else to extort!;Extorquez de l'argent à quelqu'un d'autre !;Sucht Euch zum Erpressen jemand anderen!;;¡Búscate a otro al que chantajear!;;;;;;;;;x
EVTOPTB69064;I truly need to repent or I will burn in Hell;Il me faut impérativement me repentir ou je brûlerai en enfer.;Ich muss wahrlich Buße tun, sonst werde ich im Höllenfeuer schmoren;;Debo arrepentirme o arderé en el infierno;;;;;;;;;x
EVTOPTB69065;Ignore him;Je l'ignore.;Ignorieren;;Ignóralo;;;;;;;;;x
EVTOPTB69070;I will tell the whole castle about his cowardice!;Je révélerai à tout le monde sa lâcheté !;Dem ganzen Schloss werde ich von seiner Feigheit erzählen!;;¡Hablaré de su cobardía a todo el castillo!;;;;;;;;;x
EVTOPTB69071;I'm not craven! Just easily startled...;Je ne suis pas lâche ! Mais je prends peur facilement...;Ich bin nicht feige! Nur etwas leicht zu erschrecken ...;;¡No soy un cobarde! solo me sobresalto con facilidad...;;;;;;;;;x
EVTOPTB69072;Go ahead! I'm n-not afraid...;Allez-y ! Je n'ai pas peur...;Nur zu! Ich hab k-keine Angst ...;;¡Adelante! No t-tengo miedo...;;;;;;;;;x
EVTOPTB69074;I am a coward;Je suis lâche.;Ich bin ein Feigling;;Soy un cobarde;;;;;;;;;x
EVTOPTB69075;I am NOT a coward!;Je ne suis pas lâche !;Ich bin KEIN Feigling;;¡NO soy un cobarde!;;;;;;;;;x
EVTOPTB69100;Expose the courtier as not a good Muslim;Dénoncer le membre de la cour comme étant un mauvais musulman;Enttarnt den Höfling als schlechten Moslem ;;Exponer al cortesano como un mal musulmán.;;;;;;;;;x

EVTOPTC69000;I will accept money in exchange for my silence;J'accepterai de l'argent en échange de mon silence.;Im Gegenzug für mein Schweigen werde ich Geld annehmen;;Aceptaré dinero a cambio de mi silencio;;;;;;;;;x
EVTOPTC69010;I wonder how much my silence is worth to him...;Je me demande à combien il évalue mon silence...;Ich frage mich, wie viel ihm mein Schweigen wohl wert wäre ...;;Me pregunto cuánto vale para él mi silencio...;;;;;;;;;x
EVTOPTC69020;This is perhaps a secret he would pay to keep secret...;Il s'agit peut-être d'un secret qu'il est prêt à monnayer...;Vielleicht ist dies ein Geheimnis und er würde mich für mein Schweigen bezahlen ...;;Quizá sea un secreto que pagaría por mantener...;;;;;;;;;x
EVTOPTC69030;I need a bit of persuasion if he wants me to stay silent...;Il va devoir être persuasif s'il veut que je me taise...;Zum Schweigen muss ich noch etwas überzeugt werden ...;;Necesito algo de persuasión si quiere que guarde silencio...;;;;;;;;;x
EVTOPTC69040;He might pay for my silence...;Peut-être voudra-t-il acheter mon silence...;Vielleicht würde er für mein Schweigen zahlen ...;;Quizá pague por mi silencio...;;;;;;;;;x
EVTOPTC69047;The Church is after me, save me!;L'Église m'en veut, sauvez-moi !;Hilfe, die Kirche verfolgt mich!;;¡La iglesia me persigue, sálvame!;;;;;;;;;x
EVTOPTC69050;[Root.job_chancellor.GetTitledFirstName] lack of diplomatic skill has cost me dearly!;[Root.job_chancellor.Get_Le_TitledFirstName] paiera cher son incompétence !;[Root.job_chancellor.GetTitledFirstName]s mangelnde Diplomatiefähigkeit ist mir teuer zu stehen gekommen!;;¡He pagado muy cara la poca habilidad diplomática de [Root.job_chancellor.GetTitledFirstName]!;;;;;;;;;x
EVTOPTC69052;I might be persuaded to let you keep your job...;Vous allez devoir me convaincre de ne pas vous relever de vos fonctions...;Hmmh, vielleicht lasse ich Euch doch im Amt ...;;Se me podría convencer para mantenerte en el puesto...;;;;;;;;;x
EVTOPTC69054;Do you want to keep your job? Then pay up!;Vous voulez conserver votre travail ? Alors, payez !;Möchtet Ihr Euer Amt behalten? Dann zahlt!;;¿Quieres conservar tu puesto? ¡Pues paga!;;;;;;;;;x
EVTOPTC69056;You don't deserve the salary I pay you!;Vous ne méritez pas le salaire que je vous verse !;Ihr habt Euer Gehalt nicht verdient!;;¡No mereces lo que te pago!;;;;;;;;;x
EVTOPTC69058;You will pay for this fiasco with your own means!;Vous devrez, vous-même, payer pour ce fiasco !;Für dieses Fiasko werdet Ihr mit Euren eigenen Mitteln aufkommen!;;¡Pagarás de tu bolsillo este desastre! ;;;;;;;;;x
EVTOPTC69060;I could keep quiet, for a price...;Moyennant finance, je pourrais garder le silence...;Für einen gewissen Preis könnte ich mein Schweigen bewahren ...;;Guardaría silencio a cambio de dinero...;;;;;;;;;x
EVTOPTC69065;I will repent publicly;Je me repentirai en public.;Ich werde öffentlich Buße tun;;Me arrepentiré públicamente;;;;;;;;;x
EVTOPTC69070;I could squeeze him for some money...;Je pourrais lui soutirer un peu d'argent...;Ich sollte ein paar Goldstücke aus ihm herausquetschen ...;;Podría chantajearle...;;;;;;;;;x

EVTTOOLTIP69001;[This.GetTitledFirstName] is confronted by [Root.GetTitledFirstName];[Root.Get_Le_TitledFirstName] interroge [This.Get_le_TitledFirstName].;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] konfrontiert;;[This.GetTitledFirstName] es preguntado por [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69002;[This.GetTitledFirstName] is blackmailed by [Root.GetTitledFirstName];[Root.Get_Le_TitledFirstName] fait chanter [This.Get_le_TitledFirstName].;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] erpresst;;[This.GetTitledFirstName] es chantajeado por [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69004;[This.GetTitledFirstName] is accused of sodomy by [Root.GetTitledFirstName];[Root.Get_Le_TitledFirstName] accuse [This.Get_le_TitledFirstName] de sodomie.;[This.GetTitledFirstName] wird von [Root.GetTitledFirstName] der Sodomie bezichtigt;;[This.GetTitledFirstName] está acusado de sodomía por [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69011;[This.GetTitledFirstName] is confronted and warned;[This.Get_Le_TitledFirstName] est mis en garde.;[This.GetTitledFirstName] wird konfrontiert und gewarnt;;[This.GetTitledFirstName] es advertido;;;;;;;;;x
EVTTOOLTIP69012;[This.GetTitledFirstName] is forced to pay for [Root.GetTitledFirstName] silence;[This.Get_Le_TitledFirstName] est contraint d'acheter le silence [Root.Get_du_TitledFirstName].;[This.GetTitledFirstName] wird gezwungen, für das Schweigen von [Root.GetTitledFirstName] zu zahlen;;[This.GetTitledFirstName] es obligado a pagar por el silencio de [Root.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69013;[Root.GetTitledFirstName] tries to seduce [This.GetTitledFirstName];[Root.Get_Le_TitledFirstName] tente de séduire [This.Get_le_TitledFirstName].;[Root.GetTitledFirstName] versucht, [This.GetTitledFirstName] zu verführen;;[Root.GetTitledFirstName] intenta seducir a [This.GetTitledFirstName];;;;;;;;;x
EVTTOOLTIP69017;The child has a too big mouth for its own safety...;L'enfant a la langue trop bien pendue pour sa propre sécurité...;Das Kind hat ein größeres Mundwerk, als gesund für es wäre ...;;La indiscreción del niño será su perdición...;;;;;;;;;x
