# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
lessons_taught_to_me_by_rival_3;Lessons Taught Me By My Enemy, by [From.OriginalOwner.GetTitledFirstName];Leçons apprises de mon ennemi, par [From.OriginalOwner.Get_le_TitledFirstName];Lehrstunden III;;Lecciones del enemigo, por [From.OriginalOwner.GetTitledFirstName];;;;;;;;;x
lessons_taught_to_me_by_rival_3_desc;This tome discusses the relationship between [From.OriginalOwner.GetTitledFirstName] and [From.OriginalOwner.GetHerHis] worst enemies...;Ce volume décrit les relations entre [From.OriginalOwner.Get_le_TitledFirstName] et ses pires ennemis...;Dieses Foliant beschreibt die Beziehungen zwischen [From.OriginalOwner.GetTitledFirstName] und [From.OriginalOwner.GetHerHis]en schlimmsten Feinden.;;Este volumen trata sobre la relación entre [From.OriginalOwner.GetTitledFirstName] y sus peores enemigos…;;;;;;;;;x
lessons_taught_to_me_by_rival_3_desc_rename;This tome describes the famed rivalry between [Root.GetTitledFirstName] and [dedication_target.GetTitledFirstName], and there are several lessons on personal combat to be gleamed from its pages. The surprising thing is how many of their duels seem to have taken place in various bedchambers...;Ce volume décrit la fameuse rivalité entre [Root.Get_le_TitledFirstName] et [dedication_target.Get_le_TitledFirstName], et plusieurs leçons sur le combat personnel. La chose surprenante c'est que nombre de leurs duels ont pris place dans diverses chambres à coucher.;Dieses Foliant beschreibt die berühmte Rivalität zwischen [Root.GetTitledFirstName] und [dedication_target.GetTitledFirstName] und gibt Lektionen über den persönlichen Kampf. Überraschend ist allerdings, dass viele ihrer Schlachten in diversen Schlafkammern stattgefunden haben.;;Este volumen describe la famosa rivalidad entre [Root.GetTitledFirstName] y [dedication_target.GetTitledFirstName] y en sus páginas se atisban muchas lecciones de combate personal. Lo sorprendente es cuántos de sus duelos parecen haber tenido lugar en distintas alcobas…;;;;;;;;;x
letter_of_mohammad;Letter of Mohammad;Lettre de Mahomet;Brief von Mohammed;;Carta de Mahoma;;;;;;;;;x
letter_of_mohammad_desc;A letter to a foreign king, penned and signed by the Prophet Muhammad, himself.;Une lettre à un roi étranger, écrite et signée par le Prophète Mahomet lui-même.;Ein Brief an einen anderen König, geschrieben und signiert vom Propheten Mohammed höchstselbst.;;Una carta a un rey extranjero, escrita y firmada por el mismo profeta Mahoma.;;;;;;;;;x
loot_axe;§P'+2' Axe§!;§PHache '+2'§!;§P"+2"-Axt§!;;§PHacha "+2"§!;;;;;;;;;x
loot_axe_desc;This mysterious axe has a purple sheen, and has the strange symbols '+' and '2' engraved in the handle. It seems to be of quite... epic... workmanship, compared to regular weaponry.;Cette hache mystérieuse a un reflet pourpre, et a les étranges symboles '+' et '2' gravés dans la poignée. Elle semble être de fabrication... épique, par rapport aux armes ordinaires.;Die geheimnisvolle Axt, die einen violetten Glanz hat, trägt als Gravur die ungewöhnlichen Symbole "+" und "2" auf dem Heft. Im Vergleich mit normalen Äxten dürfte sie als "episch" zu klassifizieren sein.;;"Esta misteriosa hacha tiene un brillo morado y los extraños símbolos "+" y "2" grabados en el mango. Parece de una elaboración bastante épica en comparación con las armas comunes.";;;;;;;;;x
looted_wonder_artifact_bells_desc;These bells were taken during the looting of the [target_wonder.GetName].;Ces cloches ont été prises lors du pillage de [target_wonder.GetName].;Diese Glocken wurden während der Plünderung von [target_wonder.GetName] mitgenommen.;;Estas campanas fueron tomadas en el saqueo [target_wonder.GetDelDela] la [target_wonder.GetName].;;;;;;;;;x
looted_wonder_artifact_bells_rename;The Bells from the [target_wonder.GetName];Cloches de [target_wonder.GetName];Die Glocken von [target_wonder.GetName];;Las campanas [target_wonder.GetDelDela] [target_wonder.GetName];;;;;;;;;x
mace_tier_1;Mace;Massue;Streitkolben;;Maza;;;;;;;;;x
mace_tier_1_desc;A mace made of an iron head mounted on a wooden shaft.;Une massue avec la partie haute en fer et le manche en bois.;Eine Keule aus einem eisernen Kopfstück, das auf einem Holzschaft befestigt wurde.;;Una maza con cabeza de hierro y mango de madera.;;;;;;;;;x
mace_tier_1_new;Mace;Massue;Streitkolben;;Maza;;;;;;;;;x
mace_tier_1_new_desc;A well crafted mace.;Une massue bien conçue.;Ein gut verarbeiteter Streitkolben;;Una maza bien hecha.;;;;;;;;;x
mace_tier_2;Iron Mace;Massue en fer;Eisenstreitkolben;;Maza de hierro;;;;;;;;;x
mace_tier_2_desc;A mace forged entirely out of iron that allow for more powerful blows.;Une massue forgée entièrement en fer qui permet des coups plus puissants.;Ein Streitkolben, der komplett aus Eisen besteht und daher mehr Wucht in den Schlag bringt.;;Una maza totalmente hecha de hierro que permite golpes más fuertes.;;;;;;;;;x
mace_tier_2_new;Mace;Massue;Streitkolben;;Maza;;;;;;;;;x
mace_tier_2_new_desc;A mace crafted by a grandmaster.;Une massue conçue par un grand maître.;Ein Streitkolben, der von einem Großmeister gefertigt wurde.;;Una maza forjada por un gran maestro.;;;;;;;;;x
mace_tier_3_bone_breaker;The Bone Breaker;Le Briseur d'Os;Knochenbrecher;;La Rompehuesos;;;;;;;;;x
mace_tier_3_bone_breaker_desc;Known as The Bone Breaker, this two handed mace has a large and heavy head able to crush all opponents with its weight.;Connu sous le nom de Briseur d'Os, cette massue à deux mains a une grosse et lourde tête capable d'écraser tous les adversaires avec son poids.;Der Zweihand-Streitkolben namens Knochenbrecher verfügt über ein großes und schweres Kopfstück, das den Gegner unter seinem Gewicht zermalmt.;;Esta maza de dos manos conocida como la Rompehuesos tiene una cabeza grande y pesada para aplastar con su peso a cualquier enemigo.;;;;;;;;;x
mace_tier_3_foe_hammer;The Foe Hammer;L'Assommoir à Ennemis;Feindeshammer;;El Martillo Enemigo;;;;;;;;;x
mace_tier_3_foe_hammer_desc;The Foe Hammer is a gigantic and well-balanced two handed mace that will make short work of any foe, armored or not.;L'Assommoir à Ennemis est une massue gigantesque et équilibrée à deux mains pour ne faire qu'une bouchée de n'importe quel ennemi, en armure ou non.;Der "Feindeshammer" überzeugt durch Größe und Ausgewogenheit. Selbst eine Rüstung bietet vor dieser zweihändig geführten Waffe nur wenig Schutz.;;El Martillo Enemigo es una maza gigante y bien equilibrada de dos manos que aniquilará a cualquier enemigo, lleve o no armadura.;;;;;;;;;x
mace_tier_3_shatterer;The Shatterer;Le Fracasseur;Der Zerschmetterer;;La Quebrantadora;;;;;;;;;x
mace_tier_3_shatterer_desc;A large mace with spikes mounted on the head, named The Shatterer. For it will shatter your enemies, in both mind and body.;Une grosse massue avec des pointes montées sur la partie haute, nommée le Fracasseur. Car elle brisera vos ennemis, tant physiquement que psychologiquement.;Ein großer Streitkolben, dessen Kopf mit Eisendornen versehen wurde. Sprengt nicht nur Schädel.;;Una maza grande llamada la Quebrantadora con pinchos en la cabeza. Se llama así porque quebrantará los cuerpos y las mentes de tus enemigos.;;;;;;;;;x
mace_tier_4_bone_breaker;Twilight's Hammer;Marteau du Crépuscule;Zwielicht Hammer;;Martillo del Crepúsculo;;;;;;;;;x
mace_tier_4_bone_breaker_desc;A legendary mace said to be infused by the very essence of night.;Une masse légendaire qui serait imprégnée par l'essence même de la nuit.;Ein legendärer Streitkolben, der angeblich von der Essenz der Nacht durchdrungen ist.;;Una maza legendaria supuestamente imbuida con la esencia de la noche.;;;;;;;;;x
mace_tier_4_foe_hammer;Skullcrusher;Briseuse de Crânes;Schädelzertrümmerer;;Partecráneos;;;;;;;;;x
mace_tier_4_foe_hammer_desc;A legendary mace said to have crushed an innumerable amount of foes.;Une masse légendaire qui aurait écrasé un nombre incalculable d'ennemis.;Ein legendärer Streitkolben, der Unmengen Feinde vernichtet haben soll.;;Una maza legendaria, se dice que ha aplastado cantidades ingentes de enemigos.;;;;;;;;;x
mace_tier_4_shatterer;Giant Shatterer;Géante Briseuse;Riesentöter;;Desmenuzagigantes;;;;;;;;;x
mace_tier_4_shatterer_desc;A legendary mace said to be crafted out of the bones of giants.;Une masse légendaire censée être fabriquée à partir des os des géants.;Ein legendärer Streitkolben, der angeblich aus den Knochen von Riesen geschmiedet wurde.;;Una maza legendaria, se cuenta que la hicieron con los huesos de gigantes.;;;;;;;;;x
mace_whispering;Whispering Mace;Masse chuchotante;Flüsternder Streitkolben;;Maza susurrante;;;;;;;;;x
mace_whispering_desc;A mysterious mace made of metal tougher than most. Those who wield it say that a voice of a warrior speaks to them.;Une mystérieuse masse en métal particulièrement solide. Ceux qui la manient disent qu'une voix de guerrier leur parle.;Ein geheimnisvoller Streitkolben aus Metall, der härter als die meisten anderen ist. Diejenigen, die ihn führen, sagen, dass die Stimme eines Kriegers zu ihnen spricht.;;Una maza misteriosa hecha de metal, más dura que la mayoría. Quienes la empuñan dicen oír la voz de un guerrero.;;;;;;;;;x
magnificent_painting;Magnificent Painting;Peinture magnifique;Herrliches Gemälde;;Pintura magnífica;;;;;;;;;x
magnificent_painting_desc;This remarkable painting almost comes to life and brings you outdoor in nature while you're still observing it from under a roof. A truly enchanting piece of art.;Cette peinture remarquable est presque vivante et vous apporte la fraîcheur de la nature, alors que vous êtes toujours à l'observer sous un toit. Une oeuvre d'art vraiment enchanteresse.;Dieses bemerkenswerte Gemälde versetzt Euch schon durch das bloße Betrachten in den Garten der Natur, ohne dass Ihr einen Fuß über die Schwelle setzen müsstet. Wahrhaft zauberhaft!;;Este excepcional cuadro parece cobrar vida y te transporta a la naturaleza, aunque lo observes desde una habitación. Es una obra de arte encantadora.;;;;;;;;;x
magnum_opus_alchemy_panacea_1;Magnum Opus on Universal Panacea;Magnum opus sur la panacée;Allheilmittel I;;Magnum opus sobre la panacea universal;;;;;;;;;x
magnum_opus_alchemy_panacea_1_desc;This Magnum Opus contains many secrets of alchemical Universal Panacea, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus contient de nombreux secrets sur la panacée alchimique, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus enthält viele Geheimnisse des alchemistischen Allheilmittels, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus alberga numerosos secretos de la panacea universal alquímica, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_panacea_2;Magnum Opus on Universal Panacea;Magnum opus sur la panacée;Allheilmittel II;;Magnum opus sobre la panacea universal;;;;;;;;;x
magnum_opus_alchemy_panacea_2_desc;This Magnum Opus of excellent quality contains many secrets of alchemical Universal Panacea, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une grande qualité contient de nombreux secrets sur la panacée alchimique, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von hervorragender Qualität enthält viele Geheimnisse des alchemistischen Allheilmittels, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad excelente, alberga numerosos secretos de la panacea universal alquímica, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_panacea_3;Magnum Opus on Universal Panacea;Magnum opus sur la panacée;Allheilmittel III;;Magnum opus sobre la panacea universal;;;;;;;;;x
magnum_opus_alchemy_panacea_3_desc;This Magnum Opus of extraordinary quality contains many secrets of alchemical Universal Panacea, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une qualité extraordinaire contient de nombreux secrets sur la panacée alchimique, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von außerordentlicher Qualität enthält viele Geheimnisse des alchemistischen Allheilmittels, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad extraordinaria, alberga numerosos secretos de la panacea universal alquímica, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_panacea_4;Magnum Opus on Universal Panacea;Magnum opus sur la panacée;Allheilmittel IV;;Magnum opus sobre la panacea universal;;;;;;;;;x
magnum_opus_alchemy_panacea_4_desc;This masterwork Magnum Opus contains many secrets of alchemical Universal Panacea, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus, un chef-d'oeuvre, contient de nombreux secrets sur la panacée alchimique, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses meisterhafte Magnum Opus enthält viele Geheimnisse des alchemistischen Allheilmittels, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, una auténtica obra maestra, alberga numerosos secretos de la panacea universal alquímica, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_transmutation_1;Magnum Opus on Transmutative Alchemy;Magnum opus sur l'alchimie transmutatrice;Transmutation I;;Magnum opus sobre alquimia de transmutación;;;;;;;;;x
magnum_opus_alchemy_transmutation_1_desc;This Magnum Opus contains many secrets of transmutative Alchemy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus contient de nombreux secrets de l'alchimie transmutatrice, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus enthält viele Geheimnisse der Transmutationsalchemie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus alberga numerosos secretos de alquimia de transmutación, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_transmutation_2;Magnum Opus on Transmutative Alchemy;Magnum opus sur l'alchimie transmutatrice;Transmutation II;;Magnum opus sobre alquimia de transmutación;;;;;;;;;x
magnum_opus_alchemy_transmutation_2_desc;This Magnum Opus of excellent quality contains many secrets of transmutative Alchemy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une grande qualité contient de nombreux secrets de l'alchimie transmutatrice, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von hervorragender Qualität enthält viele Geheimnisse der Transmutationsalchemie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad excelente, alberga numerosos secretos de alquimia de transmutación, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_transmutation_3;Magnum Opus on Transmutative Alchemy;Magnum opus sur l'alchimie transmutatrice;Transmutation III;;Magnum opus sobre alquimia de transmutación;;;;;;;;;x
magnum_opus_alchemy_transmutation_3_desc;This Magnum Opus of extraordinary quality contains many secrets of transmutative Alchemy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une qualité extraordinaire contient de nombreux secrets de l'alchimie transmutatrice, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von außerordentlicher Qualität enthält viele Geheimnisse der Transmutationsalchemie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad extraordinaria, alberga numerosos secretos de alquimia de transmutación, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_alchemy_transmutation_4;Magnum Opus on Transmutative Alchemy;Magnum opus sur l'alchimie transmutatrice;Transmutation IV;;Magnum opus sobre alquimia de transmutación;;;;;;;;;x
magnum_opus_alchemy_transmutation_4_desc;This masterwork Magnum Opus contains many secrets of transmutative Alchemy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus, un chef-d'oeuvre, contient de nombreux secrets de l'alchimie transmutatrice, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses meisterhafte Magnum Opus enthält viele Geheimnisse der Transmutationsalchemie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, una auténtica obra maestra, alberga numerosos secretos de alquimia de transmutación, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_planets_1;Magnum Opus on Planetary Astrology;Magnum opus d'astrologie planétaire;Planetenastrologie I;;Magnum opus sobre astrología planetaria;;;;;;;;;x
magnum_opus_astrology_planets_1_desc;This Magnum Opus contains many secrets of planetary Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus contient de nombreux secrets d'astrologie planétaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus enthält viele Geheimnisse der Planetenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus alberga numerosos secretos de astrología planetaria, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_planets_2;Magnum Opus on Planetary Astrology;Magnum opus d'astrologie planétaire;Planetenastrologie II;;Magnum opus sobre astrología planetaria;;;;;;;;;x
magnum_opus_astrology_planets_2_desc;This Magnum Opus of excellent quality contains many secrets of planetary Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une grande qualité contient de nombreux secrets d'astrologie planétaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von hervorragender Qualität enthält viele Geheimnisse der Planetenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad excelente, alberga numerosos secretos de astrología planetaria, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_planets_3;Magnum Opus on Planetary Astrology;Magnum opus d'astrologie planétaire;Planetenastrologie III;;Magnum opus sobre astrología planetaria;;;;;;;;;x
magnum_opus_astrology_planets_3_desc;This Magnum Opus of extraordinary quality contains many secrets of planetary Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une qualité extraordinaire contient de nombreux secrets d'astrologie planétaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von außerordentlicher Qualität enthält viele Geheimnisse der Planetenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad extraordinaria, alberga numerosos secretos de astrología planetaria, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_planets_4;Magnum Opus on Planetary Astrology;Magnum opus d'astrologie planétaire;Planetenastrologie IV;;Magnum opus sobre astrología planetaria;;;;;;;;;x
magnum_opus_astrology_planets_4_desc;This masterwork Magnum Opus contains many secrets of planetary Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus, un chef-d'oeuvre, contient de nombreux secrets d'astrologie planétaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses meisterhafte Magnum Opus enthält viele Geheimnisse der Planetenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, una verdadera obra maestra, alberga numerosos secretos de astrología planetaria, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_stars_1;Magnum Opus on Stellar Astrology;Magnum opus d'astrologie stellaire;Sternenastrologie I;;Magnum opus sobre astrología estelar;;;;;;;;;x
magnum_opus_astrology_stars_1_desc;This Magnum Opus contains many secrets of stellar Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus contient de nombreux secrets d'astrologie stellaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus enthält viele Geheimnisse der Sternenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus alberga numerosos secretos de astrología estelar, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_stars_2;Magnum Opus on Stellar Astrology;Magnum opus d'astrologie stellaire;Sternenastrologie II;;Magnum opus sobre astrología estelar;;;;;;;;;x
magnum_opus_astrology_stars_2_desc;This Magnum Opus of excellent quality contains many secrets of stellar Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une grande qualité contient de nombreux secrets d'astrologie stellaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von hervorragender Qualität enthält viele Geheimnisse der Sternenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad excelente, alberga numerosos secretos de astrología estelar, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_stars_3;Magnum Opus on Stellar Astrology;Magnum opus d'astrologie stellaire;Sternenastrologie III;;Magnum opus sobre astrología estelar;;;;;;;;;x
magnum_opus_astrology_stars_3_desc;This Magnum Opus of extraordinary quality contains many secrets of stellar Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une qualité extraordinaire contient de nombreux secrets d'astrologie stellaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von außerordentlicher Qualität enthält viele Geheimnisse der Sternenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad extraordinaria, alberga numerosos secretos de astrología estelar, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_astrology_stars_4;Magnum Opus on Stellar Astrology;Magnum opus d'astrologie stellaire;Sternenastrologie IV;;Magnum opus sobre astrología estelar;;;;;;;;;x
magnum_opus_astrology_stars_4_desc;This masterpiece Magnum Opus contains many secrets of stellar Astrology, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus, un chef-d'oeuvre, contient de nombreux secrets d'astrologie stellaire, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses meisterhafte Magnum Opus enthält viele Geheimnisse der Sternenastrologie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, una verdadera obra maestra, alberga numerosos secretos de astrología estelar, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_contemplation_1;Magnum Opus on Contemplative Theurgy;Magnum opus de théurgie contemplative;Betrachende Theurgie I;;Magnum opus sobre teúrgia contemplativa;;;;;;;;;x
magnum_opus_theurgy_contemplation_1_desc;This Magnum Opus contains many secrets of contemplative Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus contient de nombreux secrets de théurgie contemplative, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus enthält viele Geheimnisse der kontemplativen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus alberga numerosos secretos de teúrgia contemplativa, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_contemplation_2;Magnum Opus on Contemplative Theurgy;Magnum opus de théurgie contemplative;Betrachende Theurgie II;;Magnum opus sobre teúrgia contemplativa;;;;;;;;;x
magnum_opus_theurgy_contemplation_2_desc;This Magnum Opus of excellent quality contains many secrets of contemplative Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une grande qualité contient de nombreux secrets de théurgie contemplative, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von hervorragender Qualität enthält viele Geheimnisse der kontemplativen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad excelente, alberga numerosos secretos de teúrgia contemplativa, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_contemplation_3;Magnum Opus on Contemplative Theurgy;Magnum opus de théurgie contemplative;Betrachende Theurgie III;;Magnum opus sobre teúrgia contemplativa;;;;;;;;;x
magnum_opus_theurgy_contemplation_3_desc;This Magnum Opus of extraordinary quality contains many secrets of contemplative Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus d'une qualité extraordinaire contient de nombreux secrets de théurgie contemplative, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus von außerordentlicher Qualität enthält viele Geheimnisse der kontemplativen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, de una calidad extraordinaria, alberga numerosos secretos de teúrgia contemplativa, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_contemplation_4;Magnum Opus on Contemplative Theurgy;Magnum opus de théurgie contemplative;Betrachende Theurgie IV;;Magnum opus sobre teúrgia contemplativa;;;;;;;;;x
magnum_opus_theurgy_contemplation_4_desc;This masterpiece Magnum Opus contains many secrets of contemplative Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus, un chef-d'oeuvre, contient de nombreux secrets de théurgie contemplative, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses meisterhafte Magnum Opus enthält viele Geheimnisse der kontemplativen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus, una verdadera obra maestra, alberga numerosos secretos de teúrgia contemplativa, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_ritual_1;Magnum Opus on Ritualistic Theurgy;Magnum opus de théurgie ritualiste;Rituelle Theurgie I;;Magnum opus sobre rituales teúrgicos;;;;;;;;;x
magnum_opus_theurgy_ritual_1_desc;This Magnum Opus contains many secrets of ritualistic Theurgy, but it has been encrypted with an elaborate cypher, allowing only the brightest to decipher it.;Ce magnum opus contient de nombreux secrets de théurgie ritualiste, mais il a été crypté avec un code élaboré, ne permettant qu'aux plus brillants de le déchiffrer.;Dieses Magnum Opus enthält viele Geheimnisse der rituellen Theurgie, wurde jedoch mit einer kunstreichen Chiffre verschlüsselt und kann nur von den klügsten Köpfen entschlüsselt werden.;;Esta magnum opus alberga numerosos secretos de rituales teúrgicos, pero está redactada en un elaborado código, por lo que solo los más versados lograrán descifrarla.;;;;;;;;;x
magnum_opus_theurgy_ritual_2;Magnum Opus on Ritualistic Theurgy;Magnum opus de théurgie ritualiste;Rituelle Theurgie II;;Magnum opus sobre rituales teúrgicos;;;;;;;;;x
