#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLEHF25200;The Arm-wrestling Challenge;Le défi du bras de fer;Die Armdrücken-Herausforderung;;El desafío del pulso;;;;;;;;x
EVTDESCHF25299;Unfortunately, [From.GetFirstName] was not interested in my offer of friendship. I am not sure if [From.GetSheHe] even understood what I was asking of [From.GetHerHim] in [From.GetHerHis] current state. But then again, perhaps it was a silly idea in the first place...;Malheureusement, [From.GetFirstName] n'était pas intéressé[From.Get_E] par mon offre d'amitié. Je ne suis même pas sûr[From.Get_E] qu'[From.GetIlElle] ait compris ce que je lui proposais dans son état actuel. Mais encore une fois, peut-être était-ce une mauvaise idée...;Bedauerlicherweise war [From.GetFirstName] nicht an meinem Angebot interessiert. Ich bin mir nicht sicher, ob [From.GetSheHe] in [From.GetHerHis]em aktuellen Zustand überhaupt verstanden hat, was ich von [From.GetHerHim] möchte. Andererseits war es vielleicht wirklich eine albernde Idee...;;Por desgracia, a [From.GetFirstName] no le interesaba la oferta. No sé si en su estado le quedó claro qué le estaba pidiendo. Pero después de todo, puede que fuera una tontería…;;;;;;;;x
EVTDESCHF25300;Once the other warriors have finally put me down and left me to cope with the more unpleasant consequences of my victory, [From.GetBestName] [From.GetHerselfHimself] approaches me to offer [From.GetHerHis] congratulations. [From.GetSheHeCap] claims that [From.GetSheHe] was truly impressed by my resilience and as a show of respect wishes me to have some of [From.GetHerHis] spoils from a recent raid.;Alors que les autres guerriers m'ont enfin redéposé au sol et laissé faire face aux conséquences plus déplaisantes de ma vicoire, [From.Get_only_le_Title][From.GetBestName] s'approche de moi pour me féliciter. [From.GetIlElleCap] déclare avoir été vraiment impressionné[From.Get_E] par mon endurance et, en signe de respect, [From.GetIlElle] souhaite que je récupère un peu de son butin d'un pillage récent.;Als die anderen Krieger mich runterließen und mit den unangenehmeren Folgen meines Sieges zurückließen, teilte mir [From.GetBestName] [From.GetHerHis]e Glückwünsche mit. [From.GetSheHeCap] behauptet von meiner Widerstandsfähigkeit beeindruckt gewesen zu sein und würde gerne einen Teil [From.GetHerHis]er Beute aus kürzlichen Überfällen als Zeichen des Respekts mit mir Teilen.;;Una vez que los guerreros me bajan y puedo hacer frente a las consecuencias más desagradables de la victoria, [From.GetBestName] en persona se me aproxima para felicitarme. Afirma que le ha impresionado mi resistencia y como muestra de respeto, quiere que me quede con una parte de su botín de una incursión reciente.;;;;;;;;x

EVTDESCAHF25205;Slowly but surely [arm_wrestling_fighter_2.GetFirstName] is gaining ground. Inch by inch, [arm_wrestling_fighter_2.GetSheHe] is pushing my fist closer and closer towards the table. I am starting to lose breath, my face is red and covered in sweat, yet I still cannot manage to push back against [arm_wrestling_fighter_2.GetHerHis] grip. I might simply not be strong enough to win this match...;Lentement mais sûrement [arm_wrestling_fighter_2.GetFirstName] gagne du terrain. [arm_wrestling_fighter_2.GetIlElleCap] pousse mon poing de plus en plus près de la table. Je commence à être essoufflé, mon visage est rouge et couvert de sueur, mais je n'arrive toujours pas à repousser sa prise. Je pourrais tout simplement ne pas être assez fort[Root.Get_E] pour gagner ce match...;Langsam, aber sicher macht [arm_wrestling_fighter_2.GetFirstName] an Boden gut. Zentimeter für Zentimeter drückt [arm_wrestling_fighter_2.GetSheHe] meine Faust näher zum Tisch hin. Mir geht langsam der Atme aus und mein Gesicht ist rot und verschwitzt, aber ich schaffe es noch immer nicht gegen [arm_wrestling_fighter_2.GetHerHis]en Arm zu drücken. Ich bin wohl einfach nicht stark genug, um diesen Wettkampf zu gewinnen...;;[arm_wrestling_fighter_2.GetFirstName] va ganando terreno lenta, pero firmemente. Empiezo a perder aliento, tengo la cara roja, cubierta de sudor, pero sigo siendo incapaz de rechazar su agarre. Puede que no sea lo bastante fuerte como para ganar este pulso…;;;;;;;;x
EVTDESCAHF25209;Slowly but surely, I manage to push [From.GetFirstName]'s hand closer and closer to the table. I grit my teeth and chuckle, glancing at my opponent to revel in my imminent victory. [From.GetFirstName] looks back at me with a smile. [From.GetSheHeCap] is leaning forward, trying to push back, and giving me a good view of her sweaty cleavage.;Lentement mais sûrement, je parviens à rapprocher la main de [From.GetFirstName] de la table. Je serre les dents et glousse, jetant un coup d'oeil en direction de mon adversaire pour me délecter de ma victoire imminente. [From.GetFirstName] me regarde avec un sourire. [From.GetIlElleCap] se penche en avant, essayant de me repousser et me donnant une bonne vue de son décolleté en sueur.;Langsam, aber sicher gelingt es mir, die Hand von [From.GetFirstName] in Richtung Tisch zu drücken. Ich knirsche mit den Zähnen, kichere und schaue meinen Gegner an, um meinen bevorstehenden Sieg zu genießen. [From.GetFirstName] schaut mit einem Lächeln zurück, beugt sich vor und versucht zurückzudrücken, während [From.GetSheHe] mir einen guten Blick auf ihr verschwitztes Dekolleté bietet.;;Lenta, pero firmemente, voy llevando la mano de [From.GetFirstName] más cerca de la mesa. Aprieto los dientes y río entre dientes, mirando a mi oponente para gozar de la victoria inminente. [From.GetFirstName] me devuelve la mirada sonriendo. Se inclina, intentando retroceder, dándome una buena panorámica de su escote sudoroso.;;;;;;;;x
EVTDESCAHF25218;It has been some time now since I have begun noticing [From.GetFirstName]. [From.GetSheHeCap] has distinguished [From.GetHerselfHimself] more than once amongst the members of our Lodge, to the point that I have started feeling strangely attracted to [From.GetHerHim].;Cela fait un certain temps maintenant que j'ai commencé à remarquer [From.GetFirstName]. [From.GetIlElleCap] s'est distingué[From.Get_E] plus d'une fois parmi les membres de notre Loge, au point que j'ai commencé à me sentir étrangement attiré par [From.GetLuiElle].;Es ist schon einige Zeit her, das ich [From.GetFirstName] bemerkt habe. [From.GetSheHeCap] hat sich mehr als nur einmal von den anderen Mitgliedern der Loge unterschieden und ich fühle mich seltsamerweise von [From.GetHerHim] angezogen.;;Hace ya tiempo que me fijo en [From.GetFirstName]. Se ha distinguido en más de una ocasión entre los miembros de nuestra logia, hasta el punto de que empiezo a sentirme extrañamente atraíd[Root.GetOA] por [From.GetElElla].;;;;;;;;x
EVTDESCAHF25219;Tonight, just as I was about to leave the main hall, I was approached by [From.GetFirstName], one of my fellow warriors. After chatting for a while, [From.GetSheHe] reveals to me that [From.GetSheHe] has been watching me for a while, and finds me to be a very strong and attractive fighter.;Ce soir, alors que j'étais sur le point de quitter la grande salle, [From.GetFirstName], un de mes compagnons guerriers, m'a approché. Après avoir bavardé un moment, [From.GetIlElle] me révèle qu'[From.GetIlElle] m'observe depuis un moment et trouve que je suis un[Root.Get_E] combattant[Root.Get_E] très fort[Root.Get_E] et attirant[Root.Get_E].;Heute Nacht, als ich gerade die Haupthalle verlassen wollte, wurde ich von [From.GetFirstName] angesprochen, einer meiner Kriegerbrüder. Nachdem wir uns eine Weile lang unterhalten haben, enthüllte [From.GetSheHe], dass [From.GetSheHe] mich schon eine Weile beobachtet habe und dass ich ein sehr starker und attraktiver Kämpfer sei.;;Esta noche, cuando estaba a punto de dejar el salón principal, se me acercó [From.GetFirstName], un[From.GetXA] colega. Tras un poco de charla, me revela que lleva un tiempo observándome y que me considera un[Root.GetXA] luchador[Root.GetXA] muy fuerte y atractiv[Root.GetOA].;;;;;;;;x
EVTDESCAHF25220;I was right to trust my feelings. [From.GetFirstName] was surprised and happy to hear of how I felt about [From.GetHerHim] and told me that [From.GetSheHe] was merely waiting for the right opportunity to reveal [From.GetHerHis] own feelings for me.;J'avais raison de faire confiance à mes sentiments. [From.GetFirstName] a été surpris[From.Get_E] et heureu[From.GetXSe] d'entendre ce que je ressentais pour [From.GetLuiElle] et m'a dit qu'[From.GetIlElle] attendait simplement la bonne occasion pour révéler ses propres sentiments pour moi.;Ich lag richtig daran meinen Gefühlen zu vertrauen. [From.GetFirstName] war überrascht, aber glücklich davon zu hören, wie ich fühle und erzählte mir, dass [From.GetSheHe] lediglich auf die richtige Gelegenheit wartete um [From.GetHerHis]e eigenen Gefühle gegenüber mir zu enthüllen.;;Hice bien en confiar en mis sentimientos. A [From.GetFirstName] le sorprendió y alegró saber lo que siento por [From.GetElElla] y dijo que solo esperaba el momento adecuado para revelar sus propios sentimientos hacia mí.;;;;;;;;x
EVTDESCAHF25221;Unfortunately, [From.GetFirstName] has spurned my advances without much thought to it. At first, I hoped that [From.GetSheHe] was simply misunderstanding my intentions, but, after a bit of discussing, [From.GetSheHe] flatly told me that [From.GetSheHe] is not interested in me.;Malheureusement, [From.GetFirstName] a rejeté mes avances sans s'y attarder. Au début, j'espérais qu'[From.GetIlElle] ne comprenait pas mes intentions, mais après un peu de discussion, [From.GetIlElle] m'a carrément dit qu'[From.GetIlElle] ne s'intéressait pas à moi.;Bedauerlicherweise hat [From.GetFirstName] meine Annäherungsversuche ohne viel nachdenken abgeschlagen. Zuerst hoffte ich, dass [From.GetSheHe] meine Absichten einfach missverstanden hat, aber nach einer kurzen Diskussion sagte [From.GetSheHe] mir, dass [From.GetSheHe] kein Interesse an mir hätte.;;Por desgracia, [From.GetFirstName] ha rechazado mis avances sin pensarlo mucho. Al principio esperaba que hubiera entendido mal mis intenciones, pero tras hablarlo un poco, [From.GetFirstName] me dijo a la cara que no le interesaba.;;;;;;;;x
EVTDESCAHF25222;It has been some time now since I have begun noticing [From.GetFirstName]. [From.GetSheHeCap] has distinguished [From.GetHerselfHimself] more than once amongst the members of our Lodge. [From.GetSheHeCap] is, without a doubt, an impressive warrior.;Cela fait un certain temps maintenant que j'ai repéré [From.GetFirstName]. [From.GetIlElleCap] s'est distingué[From.Get_E] plus d'une fois parmi les membres de notre Loge. C'est, sans aucun doute, un[From.Get_E] guerri[From.GetErEre] impressionnant[From.Get_E].;Es ist schon einige Zeit her, das ich [From.GetFirstName] bemerkt habe. [From.GetSheHeCap] hat sich mehr als nur einmal von den anderen Mitgliedern der Loge unterschieden. [From.GetSheHeCap] ist ohne Zweifel [From.Geteineine] beeindruckende[From.GetrMale] Krieger[From.GetinFemale].;;Hace ya un tiempo que me fijo en [From.GetFirstName]. Se ha distinguido en más de una ocasión entre los miembros de nuestra logia. No cabe duda que es un[From.GetXA] guerrer[From.GetOA] impresionante.;;;;;;;;x
EVTDESCAHF25223;Tonight, just as I was about to leave the main hall, I was approached by [From.GetFirstName], one of my fellow warriors. After chatting for a while, [From.GetSheHe] reveals to me that [From.GetSheHe] has been watching me for a while, and has come to consider me one of the most valuable members of the Lodge, as well as a terrific fighter.;Ce soir, alors que j'étais sur le point de quitter la grande salle, [From.GetFirstName], un de mes compagnons guerriers, m'a approché. Après avoir bavardé un moment, [From.GetIlElle] me révèle qu'[From.GetIlElle] m'observe depuis un moment et qu'[From.GetIlElle] me considère comme l'un des membres les plus précieux de la Loge, ainsi qu'un combattant formidable.;Heute Nacht, als ich gerade die Haupthalle verlassen wollte, wurde ich von [From.GetFirstName] angesprochen, einer meiner Kriegerbrüder. Nachdem wir uns eine Weile lang unterhalten haben, enthüllte [From.GetSheHe], dass [From.GetSheHe] mich schon eine Weile beobachtet habe und dass [From.GetSheHe] mich als eines der wertvollsten Mitglieder der Loge und furchterregenden Krieger betrachtet.;;Esta noche, cuando estaba a punto de dejar el salón principal, se me acercó [From.GetFirstName], un[From.GetXA] colega. Tras un poco de charla, me revela que lleva un tiempo observándome y que me considera un[Root.GetOA] de los miembros más valiosos de la logia, así como un[Root.GetXA] luchador[Root.GetXA] espectacular.;;;;;;;;x
EVTDESCAHF25224;[From.GetFirstName] was glad to hear of what I think of [From.GetHerHim]. We spent most of the night talking and ended up declaring our friendship to each other after a long series of toasts.;[From.GetFirstName] était heureu[From.GetXSe] d'entendre ce que je pensais d[From.GetEluiElle]. Nous avons passé la plus grande partie de la nuit à discuter et avons fini par nous déclarer amis.;[From.GetFirstName] war froh davon zu hören, wie ich über [From.Getihnsie] denke. Wir verbrachten den Großteil der Nacht damit uns zu unterhalten und erklärten und nach einer Weile die Freundschaft.;;A [From.GetFirstName] le encantó saber lo que pienso sobre [From.GetElElla]. Pasamos la mayor parte de la noche hablando y acabamos declarando nuestra amistad mutua tras una larga serie de brindis.;;;;;;;;x
EVTDESCAHF25225;Unfortunately, [From.GetFirstName]'s reception to my thoughts about [From.GetHerHim] was tepid at best. We talked for a while, but it soon became clear that we do not have as much in common as I initially thought.;Malheureusement, la réaction de [From.GetFirstName] à mes paroles a été au mieux sans enthousiasme. Nous avons parlé pendant un moment, mais il est rapidement devenu clair que nous n'avions pas autant en commun que ce que je croyais.;Leider war die Reaktion von [From.GetFirstName] auf meine Gefühle bestenfalls gemäßigt. Wir unterhielten uns eine Weile, aber es wurde schnell klar, dass wir doch nicht so viel gemeinsam haben, wie ich ursprünglich dachte.;;Por desgracia, [From.GetFirstName] recibió mis ideas sobre [From.GetElElla] con poco entusiasmo, por decir algo. Hablamos un rato, pero pronto quedó claro que no tenemos tanto en común como creí en un principio.;;;;;;;;x
EVTDESCAHF25255;[Root.GetProwessInsultDesc];[Root.GetProwessInsultDesc];[Root.GetProwessInsultDesc];;[Root.GetProwessInsultDesc];;;;;;;;x
EVTDESCAHF25257;[Root.GetCharacterInsultDesc];[Root.GetCharacterInsultDesc];[Root.GetCharacterInsultDesc];;[Root.GetCharacterInsultDesc];;;;;;;;x
EVTDESCAHF25259;[Root.GetAccomplishmentsInsultDesc];[Root.GetAccomplishmentsInsultDesc];[Root.GetAccomplishmentsInsultDesc];;[Root.GetAccomplishmentsInsultDesc];;;;;;;;x
EVTDESCAHF25261;[Root.GetFamilyInsultDesc];[Root.GetFamilyInsultDesc];[Root.GetFamilyInsultDesc];;[Root.GetFamilyInsultDesc];;;;;;;;x
EVTDESCAHF25262;[Root.GetFamilyInsultDesc];[Root.GetFamilyInsultDesc];[Root.GetFamilyInsultDesc];;[Root.GetFamilyInsultDesc];;;;;;;;x
EVTDESCAHF25263;We spar with words for a while, but soon [From.GetFirstName]'s face grows red with rage and embarrassment, surrounded by the laughter of the other warriors. Unable to put together a coherent response, my opponent has clearly lost the Flyting.;Nous nous envoyons des piques depuis un moment, mais soudain [From.GetFirstName] rougit de rage et d'embarras, sous les rires des autres guerriers. Incapable de trouver une réplique cohérente, mon adversaire a clairement perdu la joute verbale.;Wir bekämpfen uns eine Weile mit Worten, aber bald schon wird das Gesicht von [From.GetFirstName] rot vor Wut und Verlegenheit, umgeben vom Lachen der anderen Krieger. Unfähig eine stimmige Antwort zu geben, hat mein Gegner den Dichterwettstreit eindeutig verloren.;;Nos batimos con palabras durante un rato, pero muy pronto [From.GetFirstName] enrojece de ira y vergüenza, rodeado por las risotadas de los otros guerreros. Incapaz de dar una respuesta razonable, mi oponente ha perdido claramente el duelo de ingenios.;;;;;;;;x
EVTDESCAHF25288;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. Unfortunately, so is [warrior_lodge_drinking_finalist_2.GetFirstName], and [warrior_lodge_drinking_finalist_2.GetSheHe] looks far more resilient than me right now.;Un par un, les autres concurrents abandonnent ou tombent inconscients. Je ne vois plus clair, tout est flou, mais je suis toujours debout. Malheureusement, [warrior_lodge_drinking_finalist_2.GetFirstName] l'est aussi, et [warrior_lodge_drinking_finalist_2.GetIlElle] a l'air beaucoup plus résistant[warrior_lodge_drinking_finalist_2.Get_E] que moi.;Ein Teilnehmer nach dem anderen scheidet entweder aus oder wird bewusstlos. Ich kann zwar nicht mehr gerade sehen und alles ist verschwommen, aber ich stehe noch. Leider tut dies auch noch [warrior_lodge_drinking_finalist_2.GetFirstName] und [warrior_lodge_drinking_finalist_2.GetSheHe] scheint momentan deutlich widerstandsfähiger als ich zu sein.;;Uno a uno, los demás contendientes, se van rindiendo o cayendo inconscientes. Ya apenas veo y todo está borroso, pero sigo en pie. Lo malo es que [warrior_lodge_drinking_finalist_2.GetFirstName] también y ahora mismo parece más resistente que yo.;;;;;;;;x

EVTDESCBHF25205;Slowly but surely [arm_wrestling_fighter_1.GetFirstName] is gaining ground. Inch by inch, [arm_wrestling_fighter_1.GetSheHe] is pushing my fist closer and closer towards the table. I am starting to lose breath, my face is red and covered in sweat, yet I still cannot manage to push back against [arm_wrestling_fighter_1.GetHerHis] grip. I might simply not be strong enough to win this match...;Lentement mais sûrement [arm_wrestling_fighter_1.GetFirstName] gagne du terrain. [arm_wrestling_fighter_1.GetIlElleCap] pousse mon poing de plus en plus près de la table. Je commence à être essoufflé, mon visage est rouge et couvert de sueur, mais je n'arrive toujours pas à repousser sa prise. Je pourrais tout simplement ne pas être assez fort[Root.Get_E] pour gagner ce match...;Langsam, aber sicher macht [arm_wrestling_fighter_1.GetFirstName] an Boden gut. Zentimeter für Zentimeter drückt [arm_wrestling_fighter_2.GetSheHe] meine Faust näher zum Tisch hin. Mir geht langsam der Atme aus und mein Gesicht ist rot und verschwitzt, aber ich schaffe es noch immer nicht gegen [arm_wrestling_fighter_2.GetHerHis]en Arm zu drücken. Ich bin wohl einfach nicht stark genug, um diesen Wettkampf zu gewinnen...;;[arm_wrestling_fighter_1.GetFirstName] va ganando terreno lenta, pero firmemente. Empiezo a perder aliento, tengo la cara roja, cubierta de sudor, pero sigo siendo incapaz de rechazar su agarre. Puede que no sea lo bastante fuerte como para ganar este pulso…;;;;;;;;x
EVTDESCBHF25209;Slowly but surely, I manage to push [From.GetFirstName]'s hand closer and closer to the table. I grit my teeth and chuckle, glancing at my opponent to revel in my imminent victory. [From.GetFirstName] looks back at me with a smile and winks at me, making my heart skip a beat.;Lentement mais sûrement, je parviens à rapprocher la main de [From.GetFirstName] de la table. Je serre les dents et glousse, jetant un coup d'oeil en direction de mon adversaire pour me délecter de ma victoire imminente. [From.GetFirstName] me regarde avec un sourire et me fait un clin d'oeil, ce qui fait battre mon coeur.;Langsam, aber sicher gelingt es mir, die Hand von [From.GetFirstName] in Richtung Tisch zu drücken. Ich knirsche mit den Zähnen, kichere und schaue meinen Gegner an, um meinen bevorstehenden Sieg zu genießen. [From.GetFirstName] schaut mit einem Lächeln zurück und zwinkert mir zu, wobei mein Herz kurz aufhört zu schlagen.;;Lenta, pero firmemente, voy llevando la mano de [From.GetFirstName] más cerca de la mesa. Aprieto los dientes y río entre dientes, mirando a mi oponente para gozar de la victoria inminente. [From.GetFirstName] me devuelve la mirada sonriendo, me guiña el ojo y el corazón me da un brinco.;;;;;;;;x
EVTDESCBHF25255;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetProwessInsultDesc];[From.Get_Le_TitledFirstName] m'appelle depuis l'autre côté de la salle à manger, debout sur l'une des longues tables, me défiant à une joute verbale. [Root.GetProwessInsultDesc];[From.GetTitledFirstName] ruft meinen Namen von der anderen Seite des Speisesaals aus, steht dabei auf einem der langen Tische und fordert mich zu einem Dichterwettstreit heraus. [Root.GetProwessInsultDesc];;[From.GetTitledFirstName] grita mi nombre desde el otro lado del comedor, se sube a una de las mesas y me desafía a un duelo de ingenios. [Root.GetProwessInsultDesc];;;;;;;;x
EVTDESCBHF25257;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetCharacterInsultDesc];[From.Get_Le_TitledFirstName] m'appelle depuis l'autre côté de la salle à manger, debout sur l'une des longues tables, me défiant à une joute verbale. [Root.GetCharacterInsultDesc];[From.GetTitledFirstName] ruft meinen Namen von der anderen Seite des Speisesaals aus, steht dabei auf einem der langen Tische und fordert mich zu einem Dichterwettstreit heraus. [Root.GetCharacterInsultDesc];;[From.GetTitledFirstName] grita mi nombre desde el otro lado del comedor, se sube a una de las mesas y me desafía a un duelo de ingenios.;;;;;;;;x
EVTDESCBHF25259;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetAccomplishmentsInsultDesc];[From.Get_Le_TitledFirstName] m'appelle depuis l'autre côté de la salle à manger, debout sur l'une des longues tables, me défiant à une joute verbale. [Root.GetAccomplishmentsInsultDesc];[From.GetTitledFirstName] ruft meinen Namen von der anderen Seite des Speisesaals aus, steht dabei auf einem der langen Tische und fordert mich zu einem Dichterwettstreit heraus. [Root.GetAccomplishmentsInsultDesc];;[From.GetTitledFirstName] grita mi nombre desde el otro lado del comedor, se sube a una de las mesas y me desafía a un duelo de ingenios.;;;;;;;;x
EVTDESCBHF25261;[From.GetTitledFirstName] calls my name from the other side of the dining hall, standing on one of the long tables, challenging me to a Flyting. [Root.GetFamilyInsultDesc];[From.Get_Le_TitledFirstName] m'appelle depuis l'autre côté de la salle à manger, debout sur l'une des longues tables, me défiant à une joute verbale. [Root.GetFamilyInsultDesc];[From.GetTitledFirstName] ruft meinen Namen von der anderen Seite des Speisesaals aus, steht dabei auf einem der langen Tische und fordert mich zu einem Dichterwettstreit heraus. [Root.GetFamilyInsultDesc];;[From.GetTitledFirstName] grita mi nombre desde el otro lado del comedor, se sube a una de las mesas y me desafía a un duelo de ingenios. [Root.GetFamilyInsultDesc];;;;;;;;x
EVTDESCBHF25288;One by one, the other contenders either tap out or fall unconscious. I cannot see straight anymore and everything is blurry, but I am still standing. Unfortunately, so is [warrior_lodge_drinking_finalist_1.GetFirstName], and [warrior_lodge_drinking_finalist_1.GetSheHe] looks far more resilient than me right now.;Un par un, les autres concurrents abandonnent ou tombent inconscients. Je ne vois plus clair, tout est flou, mais je suis toujours debout. Malheureusement, [warrior_lodge_drinking_finalist_1.GetFirstName] l'est aussi, et [warrior_lodge_drinking_finalist_1.GetIlElle] a l'air beaucoup plus résistant[warrior_lodge_drinking_finalist_1.Get_E] que moi.;Ein Teilnehmer nach dem anderen scheidet entweder aus oder wird bewusstlos. Ich kann zwar nicht mehr gerade sehen und alles ist verschwommen, aber ich stehe noch. Leider tut dies auch noch [warrior_lodge_drinking_finalist_1.GetFirstName] und [warrior_lodge_drinking_finalist_1.GetSheHe] scheint momentan deutlich widerstandsfähiger als ich zu sein.;;Uno a uno, los demás contendientes, se van rindiendo o cayendo inconscientes. Ya apenas veo y todo está borroso, pero sigo en pie. Lo malo es que [warrior_lodge_drinking_finalist_1.GetFirstName] también y ahora mismo parece más resistente que yo.;;;;;;;;x


EVTOPTAHF25200;I will pick the strongest I can find!;Je vais choisir le plus fort que je puisse trouver !;Ich suche den Stärksten, den ich finden kann.;;¡Elegiré al más fuerte posible!;;;;;;;;x
EVTOPTAHF25201;You are on!;Allons-y !;Ich nehme an!;;¡Tú lo has querido!;;;;;;;;x
EVTOPTAHF25202;Pathetic!;Pathétique !;Erbärmlich!;;¡Patético!;;;;;;;;x
EVTOPTAHF25203;Hnnnngh!;Hnnnn !;Hnnnngh!;;¡Unng!;;;;;;;;x
EVTOPTAHF25205;*Sneakily slide your elbow*;*Faire glisser furtivement votre coude*;*Rutscht heimlich mit Eurem Ellbogen*;;*Deslizas el codo a sin que se note*;;;;;;;;x
EVTOPTAHF25206;Do not move your elbow, cheater!;Ne bougez pas votre coude, vous trichez !;Bewegt nicht euren Ellbogen, Betrüger!;;¡No muevas el codo, tramposo!;;;;;;;;x
EVTOPTAHF25209;Not interested!;Pas intéressé[Root.Get_E] !;Ich bin nicht interessiert!;;¡No me interesa!;;;;;;;;x
EVTOPTAHF25212;Do you think I am that stupid?;Pensez-vous que je suis si stupide ?;Glaubt ihr ich bin dumm?;;¿Tan idiota crees que soy?;;;;;;;;x
EVTOPTAHF25215;What sort of weakling are you?;Quelle sorte de mauviette êtes-vous ?;Was für ein Schwächling seid ihr bitte?;;¿Cómo eres tan débil?;;;;;;;;x
EVTOPTAHF25216;Oh, shut up!;Oh, taisez-vous !;Ach, seid doch still!;;¡Cállate ya!;;;;;;;;x
EVTOPTAHF25217;I need to train more...;J'ai besoin de m'entraîner plus...;Ich muss mehr trainieren...;;Debo entrenar más…;;;;;;;;x
EVTOPTAHF25218;I wonder if [From.GetSheHe] feels the same...;Je me demande [From.GetSilSielle] ressent la même chose...;Ich frage mich, ob [From.GetSheHe] auch so fühlt...;;Me pregunto si [From.GetElElla] sentirá lo mismo…;;;;;;;;x
EVTOPTAHF25219;And I happen to think the same about you.;Et il m'arrive de penser la même chose à propos de vous.;Ich denke dasselbe über euch.;;Resulta que pienso lo mismo de ti.;;;;;;;;x
EVTOPTAHF25220;Interested in some late-night training?;Intéressé[From.Get_E] par une formation de fin de soirée ?;Interesse an einem nächtlichen Training?;;¿Te interesaría un entrenamiento nocturno?;;;;;;;;x
EVTOPTAHF25221;I should have known...;J'aurais dû le savoir...;Ich hätte es wissen müssen...;;Debí haberlo sabido…;;;;;;;;x
EVTOPTAHF25222;We should be friends!;Nous devrions être amis !;Wir sollten Freunde sein.;;¡Deberíamos ser amigos!;;;;;;;;x
EVTOPTAHF25223;Thanks. I feel the same about you, [From.GetFirstName].;Merci. Je pense la même chose à votre sujet, [From.GetFirstName].;Danke, ich fühle genauso, [From.GetFirstName].;;Gracias, lo mismo pienso de ti, [From.GetFirstName].;;;;;;;;x
EVTOPTAHF25224;I couldn't ask for a better friend, [From.GetFirstName]!;Je ne pouvais pas rêver d'un meilleur ami que vous, [From.GetFirstName] !;Ich kann mir keinen besseren Freund vorstellen, [From.GetFirstName]!;;¡No podría tener una amistad mejor, [From.GetFirstName]!;;;;;;;;x
EVTOPTAHF25225;What a shame...;C'est dommage...;Zu Schade...;;Qué vergüenza…;;;;;;;;x
EVTOPTAHF25226;Alright, then! Pass me the die!;Très bien alors ! Passez-moi le dé !;In Ordnung! Gebt mir die Würfel!;;¡Sea pues! ¡Dadme el dado!;;;;;;;;x
EVTOPTAHF25227;All in!;Tout !;Alles!;;¡Voy con todo!;;;;;;;;x
EVTOPTAHF25228;I bet on Krita!;Je parie sur Krita !;Ich wette auf Krita!;;¡Apuesto por Krita!;;;;;;;;x
EVTOPTAHF25228_HELLENIC;I bet on Apollo!;Je parie sur Apollon !;Ich wette auf Apollo!;;¡Apuesto por Apolo!;;;;;;;;x
EVTOPTAHF25229;Luckily, I am using my weighted die.;Heureusement, j'utilise mon dé truqué.;Glücklicherweise nutze ich meinen gezinkten Würfel.;;Menos mal que uso mi dado cargado.;;;;;;;;x
EVTOPTAHF25230;It's not what it seems!;Ce n'est pas ce que vous croyez !;Es ist nicht so wie es aussieht!;;¡No es lo que parece!;;;;;;;;x
EVTOPTAHF25231;Let's go again! Double or nothing!;Allez encore une fois ! Quitte ou double !;Lasst uns erneut spielen! Doppelt oder nichts!;;¡Otra vez! ¡Doble o nada!;;;;;;;;x
EVTOPTAHF25232;I wasn't doing anything, I swear!;Je ne faisais rien, je le jure !;Ich habe nichts getan, ich schwöre es!;;No estaba haciendo nada, ¡lo juro!;;;;;;;;x
EVTOPTAHF25233;Stupid die...;Maudit dé...;Dummer Würfel...;;Dado tonto…;;;;;;;;x
EVTOPTAHF25234;Let's go again! Double or nothing!;Allez encore une fois ! Quitte ou double !;Lasst uns erneut spielen! Doppelt oder nichts!;;¡Otra vez! ¡Doble o nada!;;;;;;;;x
EVTOPTAHF25235;Yes! Let's go again, double or nothing!;Oui ! Recommençons, quitte ou double !;Jawohl! Lasst uns erneut spielen! Doppelt oder nichts!;;¡Bien! ¡Otra vez, doble o nada!;;;;;;;;x
EVTOPTAHF25236;Yes! Won again!;Oui ! Gagné à nouveau !;Jawohl! Erneut gewonnen!;;¡Bien! ¡Gané de nuevo!;;;;;;;;x
EVTOPTAHF25237;What a great night!;Quelle bonne soirée !;Was für eine gut Nacht!;;¡Qué gran noche!;;;;;;;;x
EVTOPTAHF25238;Come on, folks, pay up!;Allez, les gens, payez !;Kommt schon Leute, zahlt!;;Vamos, amigos, ¡pagad!;;;;;;;;x
EVTOPTAHF25239;Already tired of playing, [From.GetFirstName]?;Déjà fatigué[From.Get_E] de jouer, [From.GetFirstName] ?;Schon zu müde zum Spielen, [From.GetFirstName]?;;¿Ya te cansaste de jugar, [From.GetFirstName]?;;;;;;;;x
