secretly_baltic_pagan_reformed_desc;This character practices Romuvan Paganism in secret.;Ce personnage pratique le paganisme romuvien en secret.;Diese Person übt den romuvanischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo romuvano en secreto.;;;;;;;;;x
secretly_bogomilist;Secretly Bogomilist;Secrètement de foi bogomile;Heimlicher Bogomil;;Bogomilo en secreto;;;;;;;;;x
secretly_bogomilist_desc;This character practices Bogomilism in secret.;Ce personnage pratique le bogomilisme en secret.;Diese Person übt den Bogomilismus nur im Geheimen aus.;;Este personaje practica el bogomilismo en secreto.;;;;;;;;;x
secretly_buddhism;Secretly Buddhist;Secrètement de foi bouddhiste;Heimlicher Buddhist;;Budista en secreto;;;;;;;;;x
secretly_buddhism_desc;This character practices Buddhism in secret.;Ce personnage pratique le bouddhisme en secret.;Diese Person übt den Buddhismus nur im Geheimen aus.;;Este personaje practica el budismo en secreto.;;;;;;;;;x
secretly_cathar;Secretly Cathar;Secrètement de foi cathare;Heimlicher Katharer;;Cátaro en secreto;;;;;;;;;x
secretly_cathar_desc;This character practices Catharism in secret.;Ce personnage pratique le catharisme en secret.;Diese Person übt den Katharismus nur im Geheimen aus.;;Este personaje practica el catarismo en secreto.;;;;;;;;;x
secretly_catholic;Secretly Catholic;Secrètement de foi catholique;Heimlicher Katholik;;Católico en secreto;;;;;;;;;x
secretly_catholic_desc;This character practices Catholicism in secret.;Ce personnage pratique le catholicisme en secret.;Diese Person übt den Katholizismus nur im Geheimen aus.;;Este personaje practica el catolicismo en secreto.;;;;;;;;;x
secretly_druze;Secretly Druze;Secrètement de foi druze;Heimlicher Druse;;Druso en secreto;;;;;;;;;x
secretly_druze_desc;This character is secretly a Druze.;Ce personnage est secrètement un druze.;Diese Person ist ein geheimer Druse.;;Este personaje practica el drusismo en secreto.;;;;;;;;;x
secretly_finnish_pagan;Secretly Suomenusko;Secrètement de foi suomenusko;Heimlicher Suomenusko;;Suomenusco en secreto;;;;;;;;;x
secretly_finnish_pagan_desc;This character practices Suomenusko Paganism in secret.;Ce personnage pratique le paganisme suomenusko en secret.;Diese Person übt den suomenuskischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo suomenusco en secreto.;;;;;;;;;x
secretly_finnish_pagan_reformed;Secretly Reformed Suomenusko Pagan;Secrètement de foi suomenusko réformée;Heimlicher reformierter suomenuskischer Heide;;Pagano suomenusco reformado en secreto;;;;;;;;;x
secretly_finnish_pagan_reformed_desc;This character practices Suomenusko Paganism in secret.;Ce personnage pratique le paganisme suomenusko réformé en secret.;Diese Person übt den suomenuskischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo suomenusco en secreto.;;;;;;;;;x
secretly_fraticelli;Secretly Fraticelli;Secrètement de foi fraticelle;Heimlicher Fraticelli;;Fraticelli en secreto;;;;;;;;;x
secretly_fraticelli_desc;This character is secretly Fraticelli.;Ce personnage est secrètement de foi fraticelle.;Diese Person ist ein geheimer Fraticelli.;;Este personaje pertenece a los fraticelli en secreto.;;;;;;;;;x
secretly_hellenic_pagan;Secretly Hellenic Pagan;Secrètement de foi hellénique;Heimlicher hellenistischer Heide;;Helenista en secreto;;;;;;;;;x
secretly_hellenic_pagan_desc;This character practices Hellenic Paganism in secret.;Ce personnage pratique le paganisme hellénique en secret.;Diese Person übt den hellenistischen Paganismus nur im Geheimen aus.;;Este personaje practica el helenismo en secreto.;;;;;;;;;x
secretly_hinduism;Secretly Hindu;Secrètement de foi hindouiste;Heimlicher Hindu;;Hindú en secreto;;;;;;;;;x
secretly_hinduism_desc;This character practices Hinduism in secret.;Ce personnage pratique l'hindouisme en secret.;Diese Person übt den Hinduismus nur im Geheimen aus.;;Este personaje practica el hinduismo en secreto.;;;;;;;;;x
secretly_hurufi;Secretly Hurufi;Secrètement de foi hurufite;Heimlicher Hurufi;;Hurufista en secreto;;;;;;;;;x
secretly_hurufi_desc;This character practices Hurufism in secret.;Ce personnage pratique l'hurufisme en secret.;Diese Person übt den Hurufismus nur im Geheimen aus.;;Este personaje practica el hurufismo en secreto.;;;;;;;;;x
secretly_ibadi;Secretly Ibadi;Secrètement de foi ibadite;Heimlicher Ibadi;;Ibadí en secreto;;;;;;;;;x
secretly_ibadi_desc;This character practices Ibadi Islam in secret.;Ce personnage pratique l'islam ibadite en secret.;Diese Person übt den Ibadi-Islam nur im Geheimen aus.;;Este personaje practica el ibadismo en secreto.;;;;;;;;;x
secretly_iconoclast;Secretly Iconoclast;Secrètement de foi iconoclaste;Heimlicher Bilderstürmer;;Iconoclasta en secreto;;;;;;;;;x
secretly_iconoclast_desc;This character practices Iconoclasm in secret.;Ce personnage pratique l'iconoclasme en secret.;Diese Person übt den Bilderstürmerglauben nur im Geheimen aus.;;Este personaje practica la iconoclasia en secreto.;;;;;;;;;x
secretly_jain;Secretly Jain;Secrètement de foi jaïne;Heimlicher Jainist;;Jainista en secreto;;;;;;;;;x
secretly_jain_desc;This character practices Jainism in secret.;Ce personnage pratique le jaïnisme en secret.;Diese Person übt den Jainismus nur im Geheimen aus.;;Este personaje practica el jainismo en secreto.;;;;;;;;;x
secretly_jewish;Secretly Jewish;Secrètement de foi juive;Heimlicher Jude;;Judío en secreto;;;;;;;;;x
secretly_jewish_desc;This character practices Judaism in secret.;Ce personnage pratique le judaïsme en secret.;Diese Person übt den Judaismus nur im Geheimen aus.;;Este personaje practica el judaísmo en secreto.;;;;;;;;;x
secretly_karaite;Secretly Karaite;Secrètement de foi karaïte;Heimlicher Karaite;;Caraíta en secreto;;;;;;;;;x
secretly_karaite_desc;This character practices Karaitism in secret.;Ce personnage pratique le karaïsme en secret.;Diese Person übt den Karaitismus nur im Geheimen aus.;;Este personaje practica el caraísmo en secreto.;;;;;;;;;x
secretly_kharijite;Secretly Kharijite;Secrètement de foi kharidjite;Heimlicher Charidschit;;Jariyista en secreto;;;;;;;;;x
secretly_kharijite_desc;This character is secretly a Kharijite.;Ce personnage pratique l'islam kharidjite en secret.;Diese Person ist ein geheimer Charidschit.;;Este personaje practica el jariyismo en secreto.;;;;;;;;;x
secretly_lollard;Secretly Lollard;Secrètement de foi lollarde;Heimlicher Lollard;;Lolardo en secreto;;;;;;;;;x
secretly_lollard_desc;This character practices Lollardism in secret.;Ce personnage est secrètement de foi lollarde.;Diese Person übt den Lollardismus nur im Geheimen aus.;;Este personaje practica el lolardismo en secreto.;;;;;;;;;x
secretly_manichean;Secretly Manichean;Secrètement de foi manichéenne;Heimlicher Manichäist;;Maniqueo en secreto;;;;;;;;;x
secretly_manichean_desc;This character practices Manichaeism in secret.;Ce personnage pratique le manichéisme en secret.;Diese Person übt den Manichäismus nur im Geheimen aus.;;Este personaje practica el maniqueísmo en secreto.;;;;;;;;;x
secretly_mazdaki;Secretly Mazdaki;Secrètement de foi mazdakite;Heimlicher Mazdakit;;Mazdekita en secreto;;;;;;;;;x
secretly_mazdaki_desc;This character is secretly a Mazdaki.;Ce personnage est secrètement de foi mazdakite.;Diese Person ist ein geheimer Mazdakit.;;Este personaje practica el mazdekismo en secreto.;;;;;;;;;x
secretly_messalian;Secretly Messalian;Secrètement de foi messalienne;Heimlicher Messalianer;;Mesaliano en secreto;;;;;;;;;x
secretly_messalian_desc;This character is secretly a Messalian.;Ce personnage pratique le messalianisme en secret.;Diese Person ist ein geheimer Messalianer.;;Este personaje practica el mesalianismo en secreto.;;;;;;;;;x
secretly_miaphysite;Secretly Miaphysite;Secrètement de foi miaphysite;Heimlicher Miaphysit;;Miafisita en secreto;;;;;;;;;x
secretly_miaphysite_desc;This character practices Miaphysitism in secret.;Ce personnage pratique le miaphysisme en secret.;Diese Person übt den Miaphysitismus nur im Geheimen aus.;;Este personaje practica el miafisismo en secreto.;;;;;;;;;x
secretly_monophysite;Secretly Monophysite;Secrètement de foi monophysite;Heimlicher Monophysit;;Monofisita en secreto;;;;;;;;;x
secretly_monophysite_desc;This character practices Monophysitism in secret.;Ce personnage pratique le monophysisme en secret.;Diese Person übt den Monophysitismus nur im Geheimen aus.;;Este personaje practica el monofisismo en secreto.;;;;;;;;;x
secretly_monothelite;Secretly Monothelite;Secrètement de foi monothélite;Heimlicher Monothelit;;Monotelita en secreto;;;;;;;;;x
secretly_monothelite_desc;This character practices Monothelitism in secret.;Ce personnage pratique le monothélisme en secret.;Diese Person übt den Monothelismus nur im Geheimen aus.;;Este personaje practica el monotelismo en secreto.;;;;;;;;;x
secretly_nestorian;Secretly Nestorian;Secrètement de foi nestorienne;Heimlicher Nestorianer;;Nestoriano en secreto;;;;;;;;;x
secretly_nestorian_desc;This character practices Nestorianism in secret.;Ce personnage pratique le nestorianisme en secret.;Diese Person übt den Nestorianismus nur im Geheimen aus.;;Este personaje practica el nestorianismo en secreto.;;;;;;;;;x
secretly_norse_pagan;Secretly Germanic Pagan;Secrètement de foi païenne germanique;Heimlicher germanischer Heide;;Pagano germánico en secreto;;;;;;;;;x
secretly_norse_pagan_desc;This character practices Germanic Paganism in secret.;Ce personnage pratique le paganisme germanique en secret.;Diese Person übt den germanischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo germánico en secreto.;;;;;;;;;x
secretly_norse_pagan_reformed;Secretly Reformed Germanic Pagan;Secrètement de foi païenne germanique réformée;Heimlicher reformierter germanischer Heide;;Pagano germánico reformado en secreto;;;;;;;;;x
secretly_norse_pagan_reformed_desc;This character practices Germanic Paganism in secret.;Ce personnage pratique le paganisme germanique réformé en secret.;Diese Person übt den germanischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo germánico en secreto.;;;;;;;;;x
secretly_orthodox;Secretly Orthodox Christian;Secrètement de foi chrétienne orthodoxe;Heimlicher orthodoxer Christ;;Cristiano ortodoxo en secreto;;;;;;;;;x
secretly_orthodox_desc;This character is secretly an Orthodox Christian.;Ce personnage est secrètement un chrétien orthodoxe.;Diese Person ist ein geheimer orthodoxer Christ.;;Este personaje practica el cristianismo ortodoxo en secreto.;;;;;;;;;x
secretly_pagan;Secretly Pagan;Secrètement de foi païenne;Heimlicher Heide;;Pagano en secreto;;;;;;;;;x
secretly_pagan_desc;This character practices Paganism in secret.;Ce personnage pratique le paganisme en secret.;Diese Person übt den Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo en secreto.;;;;;;;;;x
secretly_paulician;Secretly Paulician;Secrètement de foi paulicienne;Heimlicher Paulizianer;;Pauliciano en secreto;;;;;;;;;x
secretly_paulician_desc;This character practices Paulicianism in secret.;Ce personnage pratique le paulicianisme en secret.;Diese Person übt den Paulizianismus nur im Geheimen aus.;;Este personaje es paulicianismo en secreto.;;;;;;;;;x
secretly_samaritan;Secretly Samaritan;Secrètement de foi samaritaine;Heimlicher Samariter;;Samaritano en secreto;;;;;;;;;x
secretly_samaritan_desc;This character practices Samaritanism in secret.;Ce personnage pratique le samaritanisme en secret.;Diese Person ist ein geheimer Samaritaner.;;Este personaje practica el samaritanismo en secreto.;;;;;;;;;x
secretly_shiite;Secretly Shiite;Secrètement de foi chiite;Heimlicher Schiit;;Chií en secreto;;;;;;;;;x
secretly_shiite_desc;This character practices Shia Islam in secret.;Ce personnage pratique l'islam chiite en secret.;Diese Person übt den Schia-Islam nur im Geheimen aus.;;Este personaje practica el chiismo en secreto.;;;;;;;;;x
secretly_slavic_pagan;Secretly Slavic Pagan;Secrètement de foi slave;Heimlicher Slawischer Heide;;Pagano eslavo en secreto;;;;;;;;;x
secretly_slavic_pagan_desc;This character practices Slavic Paganism in secret.;Ce personnage pratique le paganisme slave en secret.;Diese Person übt den slawischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo eslavo en secreto.;;;;;;;;;x
secretly_slavic_pagan_reformed;Secretly Reformed Slavic Pagan;Secrètement de foi slave réformée;Heimlicher reformierter slawischer Heide;;Pagano eslavo reformado en secreto;;;;;;;;;x
secretly_slavic_pagan_reformed_desc;This character practices Slavic Paganism in secret.;Ce personnage pratique le paganisme slave réformé en secret.;Diese Person übt den slawischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo eslavo en secreto.;;;;;;;;;x
secretly_sunni;Secretly Sunni;Secrètement de foi sunnite;Heimlicher Sunni;;Suní en secreto;;;;;;;;;x
secretly_sunni_desc;This character practices Sunni Islam in secret.;Ce personnage pratique l'islam sunnite en secret.;Diese Person übt den Sunni-Islam nur im Geheimen aus.;;Este personaje practica el islamismo suní en secreto.;;;;;;;;;x
secretly_tengri_pagan;Secretly Tengri;Secrètement de foi tengriste;Heimlicher Tengri;;Tengrista en secreto;;;;;;;;;x
secretly_tengri_pagan_desc;This character practices Tengri Paganism in secret.;Ce personnage pratique le paganisme tengriste en secret.;Diese Person übt den Tengri-Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo tengrista en secreto.;;;;;;;;;x
secretly_tengri_pagan_reformed;Secretly Reformed Tengri;Secrètement de foi tengriste réformée;Heimlicher reformierter Tengri;;Tengrista reformado en secreto;;;;;;;;;x
secretly_tengri_pagan_reformed_desc;This character practices Tengri Paganism in secret.;Ce personnage pratique le paganisme tengriste réformé en secret.;Diese Person übt den Tengri-Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo tengrista en secreto.;;;;;;;;;x
secretly_waldensian;Secretly Waldensian;Secrètement de foi vaudoise;Heimlicher Waldenser;;Valdense en secreto;;;;;;;;;x
secretly_waldensian_desc;This character is secretly Waldensian.;Ce personnage est secrètement de foi vaudoise.;Diese Person ist ein geheimer Waldenser.;;Este personaje es valdense en secreto.;;;;;;;;;x
secretly_west_african_pagan;Secretly African Pagan;Secrètement de foi africaine;Heimlicher Westafrikanischer Heide;;Pagano africano occidental en secreto;;;;;;;;;x
secretly_west_african_pagan_desc;This character practices African Paganism in secret.;Ce personnage pratique le paganisme africain en secret.;Diese Person übt den westafrikanischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo africano occidental en secreto.;;;;;;;;;x
secretly_west_african_pagan_reformed;Secretly Reformed African Pagan;Secrètement de foi africaine réformée;Heimlicher reformierter westafrikanischer Heide;;Pagano africano occidental reformado en secreto;;;;;;;;;x
secretly_west_african_pagan_reformed_desc;This character practices African Paganism in secret.;Ce personnage pratique le paganisme africain réformé en secret.;Diese Person übt den westafrikanischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo africano occidental en secreto.;;;;;;;;;x
secretly_yazidi;Secretly Yazidi;Secrètement de foi yézidie;Heimlicher Jazidi;;Yazidí en secreto;;;;;;;;;x
secretly_yazidi_desc;This character is secretly a Yazidi.;Ce personnage est secrètement de foi yézidie.;Diese Person ist ein geheimer Jazidi.;;Este personaje practica el yazidismo en secreto.;;;;;;;;;x
secretly_zikri;Secretly Zikri;Secrètement de foi zikrie;Heimlicher Zikri;;Zikri en secreto;;;;;;;;;x
secretly_zikri_desc;This character is secretly a Zikri.;Ce personnage est secrètement de foi zikrie.;Diese Person ist ein geheimer Zikri.;;Este personaje practica el islamismo zikri en secreto.;;;;;;;;;x
secretly_zoroastrian;Secretly Zoroastrian;Secrètement de foi zoroastrienne;Heimlicher Zoroast;;Zoroastriano en secreto;;;;;;;;;x
secretly_zoroastrian_desc;This character practices Zoroastrianism in secret.;Ce personnage pratique le zoroastrianisme en secret.;Diese Person übt den Zoroastrianismus nur im Geheimen aus.;;Este personaje practica el zoroastrismo en secreto.;;;;;;;;;x
secretly_zun_pagan;Secretly Zun Pagan;Secrètement de foi zuniste;Heimlicher Zun-Heide;;Zunista en secreto;;;;;;;;;x
secretly_zun_pagan_desc;This character practices Zun Paganism in secret.;Ce personnage pratique le paganisme zuniste en secret.;Diese Person übt den Zun-Paganismus nur im Geheimen aus.;;Este personaje practica el zunismo en secreto.;;;;;;;;;x
secretly_zun_pagan_reformed;Secretly Reformed Zun Pagan;Secrètement de foi zuniste réformée;Heimlicher reformierter Zun-Heide;;Zunista reformado en secreto;;;;;;;;;x
secretly_zun_pagan_reformed_desc;This character practices Zun Paganism in secret.;Ce personnage pratique le paganisme zuniste réformé en secret.;Diese Person übt den Zun-Paganismus nur im Geheimen aus.;;Este personaje practica el zunismo en secreto.;;;;;;;;;x
