caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
secret_qarmatian_community;Secret [qarmatian.GetName] Community;Communauté [qarmatian.GetName] secrète;Geheime Gemeinschaft: [qarmatian.GetName];;Comunidad Secreta: [qarmatian.GetName];;;;;;;;;x
secret_qarmatian_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_samaritan_community;Secret [samaritan.GetName] Community;Communauté [samaritan.GetName] secrète;Geheime Gemeinschaft: [samaritan.GetName];;Comunidad Secreta: [samaritan.GetName];;;;;;;;;x
secret_samaritan_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_shiite_community;Secret [shiite.GetName] Community;Communauté [shiite.GetName] secrète;Geheime Gemeinschaft: [shiite.GetName];;Comunidad Secreta: [shiite.GetName];;;;;;;;;x
secret_shiite_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_slavic_pagan_community;Secret [slavic_pagan.GetName] Community;Communauté [slavic_pagan.GetName] secrète;Geheime Gemeinschaft: [slavic_pagan.GetName];;Comunidad Secreta: [slavic_pagan.GetName];;;;;;;;;x
secret_slavic_pagan_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_slavic_pagan_reformed_community;Secret [slavic_pagan_reformed.GetName] Community;Communauté [slavic_pagan_reformed.GetName] secrète;Geheime Gemeinschaft: [slavic_pagan_reformed.GetName];;Comunidad Secreta: [slavic_pagan_reformed.GetName];;;;;;;;;x
secret_slavic_pagan_reformed_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_sunni_community;Secret [sunni.GetName] Community;Communauté [sunni.GetName] secrète;Geheime Gemeinschaft: [sunni.GetName];;Comunidad Secreta: [sunni.GetName];;;;;;;;;x
secret_sunni_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_taoist_community;Secret [taoist.GetName] Community;Communauté [taoist.GetName] secrète;Geheime Gemeinschaft: [taoist.GetName];;Comunidad Secreta: [taoist.GetName];;;;;;;;;x
secret_taoist_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_tengri_pagan_community;Secret [tengri_pagan.GetName] Community;Communauté [tengri_pagan.GetName] secrète;Geheime Gemeinschaft: [tengri_pagan.GetName];;Comunidad Secreta: [tengri_pagan.GetName];;;;;;;;;x
secret_tengri_pagan_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_tengri_pagan_reformed_community;Secret [tengri_pagan_reformed.GetName] Community;Communauté [tengri_pagan_reformed.GetName] secrète;Geheime Gemeinschaft: [tengri_pagan_reformed.GetName];;Comunidad Secreta: [tengri_pagan_reformed.GetName];;;;;;;;;x
secret_tengri_pagan_reformed_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_waldensian_community;Secret [waldensian.GetName] Community;Communauté [waldensian.GetName] secrète;Geheime Gemeinschaft: [waldensian.GetName];;Comunidad Secreta: [waldensian.GetName];;;;;;;;;x
secret_waldensian_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_west_african_pagan_community;Secret [west_african_pagan.GetName] Community;Communauté [west_african_pagan.GetName] secrète;Geheime Gemeinschaft: [west_african_pagan.GetName];;Comunidad Secreta: [west_african_pagan.GetName];;;;;;;;;x
secret_west_african_pagan_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_west_african_pagan_reformed_community;Secret [west_african_pagan_reformed.GetName] Community;Communauté [west_african_pagan_reformed.GetName] secrète;Geheime Gemeinschaft: [west_african_pagan_reformed.GetName];;Comunidad Secreta: [west_african_pagan_reformed.GetName];;;;;;;;;x
secret_west_african_pagan_reformed_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_yazidi_community;Secret [yazidi.GetName] Community;Communauté [yazidi.GetName] secrète;Geheime Gemeinschaft: [yazidi.GetName];;Comunidad Secreta: [yazidi.GetName];;;;;;;;;x
secret_yazidi_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_zikri_community;Secret [zikri.GetName] Community;Communauté [zikri.GetName] secrète;Geheime Gemeinschaft: [zikri.GetName];;Comunidad Secreta: [zikri.GetName];;;;;;;;;x
secret_zikri_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_zoroastrian_community;Secret [zoroastrian.GetName] Community;Communauté [zoroastrian.GetName] secrète;Geheime Gemeinschaft: [zoroastrian.GetName];;Comunidad Secreta: [zoroastrian.GetName];;;;;;;;;x
secret_zoroastrian_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_zun_pagan_community;Secret [zun_pagan.GetName] Community;Communauté [zun_pagan.GetName] secrète;Geheime Gemeinschaft: [zun_pagan.GetName];;Comunidad Secreta: [zun_pagan.GetName];;;;;;;;;x
secret_zun_pagan_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x
secret_zun_pagan_reformed_community;Secret [zun_pagan_reformed.GetName] Community;Communauté [zun_pagan_reformed.GetName] secrète;Geheime Gemeinschaft: [zun_pagan_reformed.GetName];;Comunidad Secreta: [zun_pagan_reformed.GetName];;;;;;;;;x
secret_zun_pagan_reformed_community_desc;In secret, the faithful have organized around a small church community in this province. From there it converts others, grows, and protects their own.;Des fidèles ont secrètement formé une communauté dans cette province. Ils y convertissent les autres personnes et protègent les leurs.;In dieser Provinz haben sich Gläubige heimlich zu einer kleinen Kirchengemeinde organisiert. Von dort aus bekehrt diese Gemeinde andere, wird immer größer und beschützt ihre Mitglieder.;;Los fieles han organizado en secreto una pequeña comunidad de culto en esta provincia. Desde ahí convierte a otros, crece y protege a los suyos.;;;;;;;;;x

attempting_to_blend_in;Eager Believer;Empressement pour la religion;Eifriger Gläubiger;;Creyente fervoros[GetOA];;;;;;;;;x
attempting_to_blend_in_desc;This [GetGirlWomanBoyMan] is currently making an effort to fit into the religious community at court.;Ce personnage s'efforce actuellement de s'insérer dans la communauté religieuse à la cour.;Dieser Charakter bemüht sich derzeit, sich in die religiöse Gemeinde am Hof zu integrieren.;;Este personaje se está esforzando por encajar con la comunidad religiosa de la corte.;;;;;;;;;x
conducted_secret_ceremony;Conducted Secret Ceremony;A organisé une cérémonie secrète;Hielt eine geheime Zeremonie ab;;Ha llevado a cabo una ceremonia secreta.;;;;;;;;;x
awkward_believer;Hesitant Believer;Foi hésitante;Zögerlicher Gläubiger;;Creyente dubitativ[GetOA];;;;;;;;;x
awkward_believer_desc;This [GetGirlWomanBoyMan] is not comfortable discussing [GetHerHis] faith.;Ce personnage n'est pas à l'aise pour discuter de sa foi.;Dieser Charakter spricht nicht gerne über seinen Glauben.;;A este personaje no le resulta cómodo hablar de su fe.;;;;;;;;;x
great_believer;Devout Believer;Foi inébranlable;Frommer Gläubiger;;Creyente devot[GetOA];;;;;;;;;x
great_believer_desc;This [GetGirlWomanBoyMan] gives the impression of being very devout.;Ce personnage donne l'impression d'être très pieux.;Dieser Charakter scheint sehr fromm zu sein.;;Este personaje parece muy devot[GetOA].;;;;;;;;;x
embarrassed_believer;Embarrassed Believer;Fidèle dans l'embarras;Beschämter Gläubiger;;Creyente avergonzad[GetOA];;;;;;;;;x
embarrassed_believer_desc;This [GetGirlWomanBoyMan] is recovering from something humiliating.;Ce personnage se remet de quelque chose d'embarrassant.;Dieser Charakter erholt sich von etwas Schmachvollem.;;Este personaje acaba de vivir una experiencia humillante.;;;;;;;;;x
satyric_blessing;Satyric Blessing;Bénédiction satyrique;Satyrsegen;;Bendición satírica;;;;;;;;;x
satyric_blessing_desc;This man has been favored with the virility and animal magnetism of satyrs.;Cet homme a été favorisé par la virilité et le magnétisme animal des satyres.;Dieser Mann ist mit der Potenz und der animalischen Anziehungskraft eines Satyrs gesegnet.;;Este hombre ha sido bendecido con la virilidad y el magnetismo animal de los sátiros.;;;;;;;;;x
blessing_of_lilith;Blessing of Lilith;Bénédiction de Lilith;Liliths Segen;;Bendición de Lilith;;;;;;;;;x
blessing_of_lilith_desc;This woman has been blessed with the sensuality and infernal allure of Lilith, Adam's first wife.;Cette femme a été bénie avec la sensualité et le charme infernal de Lilith, la première femme d'Adam.;Diese Frau ist von einer Sinnlichkeit und teuflischen Anziehungskraft wie Lilith, die erste Frau Adams.;;Esta mujer ha sido bendecida con la sensualidad y el encanto infernal de Lilith, la primera esposa de Adán.;;;;;;;;;x
blessing_of_berith;Blessing of Baalberith;Bénédiction de Baal-Bérith;Baalberiths Segen;;Bendición de Balberith;;;;;;;;;x
blessing_of_berith_desc;Baalberith, the demon prince of murder and chief secretary of Hell, has blessed this [GetGirlWomanBoyMan] with overflowing coffers.;Baal-Bérith, le démon prince du meurtre, et secrétaire général et conservateur des archives de l'enfer, a béni ce personnage avec des coffres débordants.;Baalberith, der Dämonenprinz des Mordes und Schatzhalter der Hölle, hat diese Person mit Reichtum gesegnet.;;Balberith, el príncipe demonio del asesinato y secretario principal del infierno, ha bendecido a este personaje con arcas desbordantes.;;;;;;;;;x
blessing_of_avnas;Blessing of Avnas;Bénédiction d'Avnas;Avnas' Segen;;Bendición de Avnas;;;;;;;;;x
blessing_of_avnas_desc;The great demon Avnas has blessed this [GetGirlWomanBoyMan] with secret knowledge.;Le démon Avnas a béni ce personnage avec un savoir secret.;Der große Dämon Avnas hat diese Person mit besonderen Kenntnissen ausgestattet.;;El gran demonio Avnas ha bendecido a este personaje con sabiduría secreta.;;;;;;;;;x
blessing_of_azazel;Blessing of Azazel;Bénédiction d'Azazel;Azazels Segen;;Bendición de Azazel;;;;;;;;;x
blessing_of_azazel_desc;Azazel, the Fallen Angel of War, has blessed this [GetGirlWomanBoyMan] with martial prowess.;Azazel, l'ange déchu de la guerre, a béni ce personnage avec des prouesses martiales.;Azazel, der gefallene Engel des Krieges, hat diese Person mit einem Talent für die Kriegskunst gesegnet.;;Azazel, el ángel caído de la guerra, ha bendecido a este personaje con proeza marcial.;;;;;;;;;x
blessing_of_belial;Blessing of Belial;Bénédiction de Bélial;Belials Segen;;Bendición de Belial;;;;;;;;;x
blessing_of_belial_desc;The Demon Prince of Trickery has blessed this [GetGirlWomanBoyMan] with charm and a glib tongue.;Le démon prince de la ruse a béni ce personnage avec du charme et une langue bien pendue.;Der Dämonenprinz der Täuschung verlieh dieser Person einen besonderen Charme und eine flinke Zunge.;;El príncipe demonio del engaño ha bendecido a este personaje con encanto y labia.;;;;;;;;;x
blessing_of_mammon;Blessing of Mammon;Bénédiction de Mammon;Mammons Segen;;Bendición de Mammón;;;;;;;;;x
blessing_of_mammon_desc;Great Mammon, Prince of Hell, has blessed this [GetGirlWomanBoyMan] with business acumen.;Mammon, le Prince de l'Enfer, a béni ce personnage en lui accordant un don pour les affaires.;Mammon, Prinz der Hölle, hat dieser Person eine besondere Geschäftstüchtigkeit verliehen.;;El gran Mammón, príncipe del infierno, ha bendecido a este personaje con un don para los negocios.;;;;;;;;;x
blessing_of_vetis;Blessing of Vetis;Bénédiction de Vetis;Vetis' Segen;;Bendición de Vetis;;;;;;;;;x
blessing_of_vetis_desc;Vetis, the Tempter of the Holy, has blessed this [GetGirlWomanBoyMan] with a devious mind.;Vetis, le Tentateur, a béni ce personnage avec un esprit dévoyé.;Vetis, der Verführer der Heiligen, verlieh dieser Person eine besondere Verschlagenheit.;;Vetis, el tentador de lo sagrado, ha bendecido a este personaje con una mente retorcida.;;;;;;;;;x
hallucinating;Hallucinating;A des hallucinations;Halluzinierend;;Alucinando;;;;;;;;;x
hallucinating_desc;This [GetGirlWomanBoyMan] suffers from hallucinatory episodes.;Ce personnage souffre d'épisodes hallucinatoires.;Diese Person leidet phasenweise an Halluzinationen.;;Este personaje sufre episodios alucinatorios.;;;;;;;;;x
rumors_of_witchcraft;Rumors of Witchcraft;Rumeurs de sorcellerie;Gerüchte von Hexerei;;Rumores de brujería;;;;;;;;;x

popular_ruler;Popular Ruler;Chef populaire;Beliebter Herrscher;;Gobernante popular;;;;;;;;;x
popular_ruler_desc;This [GetGirlWomanBoyMan] is well-liked by every ruler nearby.;Ce personnage est très apprécié par les seigneurs voisins.;Diese Person wird von allen Herrschern der Umgebung gemocht.;;Este personaje cae bien a todos los demás gobernantes cercanos.;;;;;;;;;x
sabotaged_buildings;Sabotaged Buildings;Bâtiments sabotés;Sabotierte Gebäude;;Edificios saboteados;;;;;;;;;x
sabotaged_buildings_desc;A spy has sabotaged building sites in this county.;Un espion a saboté des chantiers dans ce comté.;Ein Spion hat in dieser Grafschaft Gebäude sabotiert.;;Un espía ha saboteado edificios en este condado.;;;;;;;;;x
sabotaged_defences;Sabotaged Defenses;Défenses sabotées;Sabotierte Verteidigungen;;Defensas saboteadas;;;;;;;;;x
sabotaged_defences_desc;A spy has sabotaged defenses in this county.;Un espion a saboté les défenses dans ce comté.;Ein Spion hat in dieser Grafschaft Verteidigungen sabotiert.;;Un espía ha saboteado defensas en este condado.;;;;;;;;;x
sabotaged_unrest;Incited Unrest;Agitation incitée;Schürte Unruhen;;Agitación provocada;;;;;;;;;x
sabotaged_unrest_desc;A spy has incited unrest in this county.;Un espion a incité à des troubles dans ce comté.;Ein Spion hat in dieser Grafschaft Unruhen geschürt.;;Un espía ha provocado agitación en este condado.;;;;;;;;;x
focused_on_training;Focused on Training;Se concentre sur la formation;Auf das Training konzentriert;;Centrado en formarse;;;;;;;;;x
focused_on_training_desc;This [GetGirlWomanBoyMan] is spending all [GetHerHis] time in focused training to master [GetHerHis] skills with disguises and daggers as well as knowledge of foreign languages and customs.;Ce personnage passe tout son temps dans une formation pour devenir un maître en déguisements, en maniement de poignards, ainsi qu'en langues étrangères et coutumes.;Dieser Charakter bringt seine ganze Zeit mit konzentriertem Training zu, um sein Können mit Verkleidungen und Dolchen sowie seine Kenntnisse in fremden Sprachen und Gepflogenheiten zu verfeinern.;;Este personaje está invirtiendo todo su tiempo en su formación para dominar sus habilidades con el camuflaje y las dagas, así como el conocimiento de lenguas y culturas extranjeras.;;;;;;;;;x
won_duel;Won Duel;Duel remporté;Duell gewonnen;;Vencedor de duelo;;;;;;;;;x
won_duel_desc;This [GetGirlWomanBoyMan] won a duel against an opponent.;Ce personnage a gagné un duel.;Dieser Charakter hat ein Duell mit einem Gegner gewonnen.;;Este personaje ha ganado un duelo contra un oponente.;;;;;;;;;x
outwitted_opponent;Outwitted Opponent;A surpassé son adversaire.;Gegner übertrumpft;;Más listo que su rival;;;;;;;;;x
outwitted_opponent_desc;This [GetGirlWomanBoyMan] outwitted an opponent.;Ce personnage a été meilleur que son adversaire.;Dieser Charakter hat einen Gegner übertrumpft.;;Este personaje ha superado en ingenio a un rival.;;;;;;;;;x
under_suspicion;Under Suspicion;Suspicions d'appartenir à une société secrète;Unter Verdacht;;Bajo sospecha;;;;;;;;;x
under_suspicion_desc;This [GetGirlWomanBoyMan] is suspected to be part of a secret society.;On soupçonne que ce personnage fasse partie d'une société secrète.;Diese Person steht unter dem Verdacht, einer Geheimgesellschaft anzugehören.;;Este personaje es sospechoso de formar parte de una sociedad secreta.;;;;;;;;;x
highly_suspect;Highly Suspicious;Fortes suspicions d'appartenir à une société secrète;Höchst verdächtig;;Muy sospechoso;;;;;;;;;x
highly_suspect_desc;This [GetGirlWomanBoyMan] is almost certainly a member of a secret society!;Ce personnage est très vraisemblablement membre d'une société secrète !;Diese Person steht unter dem dringenden Verdacht, einer Geheimgesellschaft anzugehören.;;¡Este personaje pertenece, casi con toda seguridad, a una sociedad secreta!;;;;;;;;;x
played_strategy_game;Played a Game of Strategy;A joué à un jeu de stratégie;Spielte ein Strategiespiel;;Ha jugado a un juego de estrategia;;;;;;;;;x
played_strategy_game_desc;This [GetGirlWomanBoyMan] has engaged in a game of military thinking with a friend.;Ce personnage s'est engagé dans un jeu de réflexion militaire avec un ami.;Diese Person ist in ein Strategiespiel gegen einen Freund vertieft.;;Este personaje ha participado en un juego de estrategia militar con un[GetXA] amig[GetOA].;;;;;;;;;x
discussed_scripture;Discussed Holy Text;A discuté du texte sacré;Heilige Schrift diskutiert;;Ha charlado sobre texto sagrado;;;;;;;;;x
discussed_scripture_desc;This [GetGirlWomanBoyMan] discussed the holy text with a friend.;Ce personnage a discuté du texte sacré avec un ami.;Diese Person hat mit einem Freund den Inhalt eines Textes diskutiert.;;Este personaje ha charlado sobre el texto sagrado con un[GetXA] amig[GetOA].;;;;;;;;;x
discussed_realm_management;Discussed Realm Management;A discuté de la gestion d'un pays;Reichsverwaltung diskutiert;;Ha debatido la administración de un reino;;;;;;;;;x
discussed_realm_management_desc;This [GetGirlWomanBoyMan] discussed the intricacies of realm management with a friend.;Ce personnage a discuté avec un ami des implications qu'il y a à gouverner.;Diese Person hat mit einem Freund die Feinheiten der Reichsverwaltung diskutiert.;;Este personaje ha hablado sobre la complejidad de dirigir un reino con un[GetXA] amig[GetOA].;;;;;;;;;x
took_stroll_small_talk;Practiced Small Talk;A parlé de tout et de rien;Das Plaudern geübt;;Ha charlado de cosas triviales;;;;;;;;;x
took_stroll_small_talk_desc;This [GetGirlWomanBoyMan] practiced small talk with a friend.;Ce personnage a discuté de tout et de rien avec un ami.;Diese Person hat mit einem Freund das Plaudern geübt.;;Este personaje ha charlado de cosas triviales con un[GetXA] amig[GetOA].;;;;;;;;;x
focused_on_monastic_studies;Focused on Monastic Studies;A choisi de se concentrer sur ses études monastiques;Konzentration auf klösterliche Aufgaben;;Centrado en estudios monásticos;;;;;;;;;x
focused_on_monastic_studies_desc;This [GetGirlWomanBoyMan] has focused hard on his monastic studies, while spending time visiting [GetHerHis] monastic order.;Ce personnage se focalise sur ses études monastiques lorsqu'il rend visite à son ordre monastique.;Diese Person hat sich besonders intensiv auf das Klosterleben konzentriert, während sie den Orden besuchte.;;Este personaje se ha centrado en sus estudios monásticos durante su estancia en su orden monástica.;;;;;;;;;x
caught_red_handed;Caught Red-Handed;Pris en flagrant délit;Auf frischer Tat ertappt;;Pillado in fraganti;;;;;;;;;x
caught_red_handed_desc;This [GetGirlWomanBoyMan] was caught attempting a theft. [GetSheHeCap] does not seem to be as sneaky as [GetSheHe] thinks [GetSheHe] is.;Ce personnage a été surpris en train de commettre un vol. [GetIlElleCap] ne semble pas être aussi sournois[Get_E] qu'[GetIlElle] pensait.;Diese Person wurde bei dem Versuch, etwas zu stehlen, ertappt. [GetSheHeCap] ist offenbar doch nicht so gewitzt, wie [GetSheHe] es zu sein glaubt.;;A este personaje lo han pescado tratando de robar. No parece tan sagaz como cree.;;;;;;;;;x
caught_stealing_artifact_penance;Doing Penance;Fait pénitence;Tut Buße;;Haciendo penitencia;;;;;;;;;x
caught_stealing_artifact_penance_desc;This [GetGirlWomanBoyMan] is doing public penance for an attempted theft.;Ce personnage fait pénitence publiquement pour une tentative de vol.;Diese Person tut öffentlich Buße für einen versuchten Diebstahl.;;Este personaje está haciendo penitencia por un intento de robo.;;;;;;;;;x
artifact_patron;Patron of a Relic;Patron d'une relique;Patron eines Relikts;;Patrono de una reliquia;;;;;;;;;x
artifact_patron_desc;This [GetGirlWomanBoyMan] has selflessly used [GetHerHis] personal wealth to fund a celebration in honor of a monastery's relic.;Ce personnage a utilisé d'une façon désintéressée sa richesse personnelle en finançant une célébration en l'honneur d'une relique d'un monastère.;Diese Person hat selbstlos einen Teil ihres persönlichen Vermögens zur Verfügung gestellt, um eine Feier zu Ehren eines klösterlichen Reliktes auszurichten.;;Este personaje ha empleado su riqueza personal de forma desinteresada para financiar una celebración en honor de una reliquia del monasterio.;;;;;;;;;x
green_fingers;Green Fingers;Main verte;Grüne Finger;;Mano para la jardinería;;;;;;;;;x
