# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
secretly_convert_to_finnish_pagan_reformed_holy_site_desc;The §YSuomenusko§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ysuomenuskos§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ysuomenuskischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ysuomenuscos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_hindu_holy_site;Secretly Convert to Hindu;Adopter en secret la foi hindouiste;Heimlich zum hinduistischen Glauben konvertieren;;Convertirse en secreto a la religión hindú;;;;;;;;;x
secretly_convert_to_hindu_holy_site_desc;The §YHindu§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yhindouistes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yhinduistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yhindúes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_ibadi_holy_site;Secretly Convert to Ibadi;Adopter en secret la foi ibadite;Heimlich zum Ibadi-Glauben konvertieren;;Convertirse en secreto a la religión ibadí;;;;;;;;;x
secretly_convert_to_ibadi_holy_site_desc;The §YIbadi§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yibadites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §YIbadi§!-Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yibadíes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_jain_holy_site;Secretly Convert to Jain;Adopter en secret la foi jaïne;Heimlich zum Jainismus konvertieren;;Convertirse en secreto a la religión jainista;;;;;;;;;x
secretly_convert_to_jain_holy_site_desc;The §YJain§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yjaïns§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yjainistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yjainistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_jewish_holy_site;Secretly Convert to Jewish;Adopter en secret la foi juive;Heimlich zum Judentum konvertieren;;Convertirse en secreto a la religión judía;;;;;;;;;x
secretly_convert_to_jewish_holy_site_desc;The §YJewish§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yjuifs§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yjüdischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yjudíos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_miaphysite_holy_site;Secretly Convert to Miaphysite;Adopter en secret la foi miaphysite;Heimlich zum Miaphysitismus konvertieren;;Convertirse en secreto a la religión miafisita;;;;;;;;;x
secretly_convert_to_miaphysite_holy_site_desc;The §YMiaphysite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ymiaphysites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ymiaphysitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ymiafisitas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_nestorian_holy_site;Secretly Convert to Nestorian;Adopter en secret la foi nestorienne;Heimlich zum Nestorianismus konvertieren;;Convertirse en secreto a la religión nestoriana;;;;;;;;;x
secretly_convert_to_nestorian_holy_site_desc;The §YNestorian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ynestoriens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ynestorianischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ynestorianos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_norse_pagan_holy_site;Secretly Convert to Germanic;Adopter en secret la foi germanique;Heimlich zum germanischen Glauben konvertieren;;Convertirse en secreto a la religión germánica;;;;;;;;;x
secretly_convert_to_norse_pagan_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ygermaniques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ygermanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ygermánicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_norse_pagan_reformed_holy_site;Secretly Convert to Germanic;Adopter en secret la foi germanique;Heimlich zum germanischen Glauben konvertieren;;Convertirse en secreto a la religión germánica;;;;;;;;;x
secretly_convert_to_norse_pagan_reformed_holy_site_desc;The §YGermanic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ygermaniques§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ygermanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ygermánicos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_orthodox_holy_site;Secretly Convert to Orthodox;Adopter en secret la foi orthodoxe;Heimlich zum orthodoxen Glauben konvertieren;;Convertirse en secreto a la religión ortodoxa;;;;;;;;;x
secretly_convert_to_orthodox_holy_site_desc;The §YOrthodox§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yorthodoxes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yorthodoxen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yortodoxos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_province_religion;Secretly Convert to [Root.Location.Religion.GetName];Adopter en secret la foi [Root.Location.Religion.GetName];Heimlich zur [Root.Location.Religion.GetName]en Religion konvertieren;;Convertirse en secreto a esta religión: [Root.Location.Religion.GetName];;;;;;;;;x
secretly_convert_to_province_religion_desc;The §Y[Root.Location.Religion.GetName]§! people in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. The glory of §Y[Root.Location.Religion.GetRandomGodName]§! calls to me, and I am tempted to convert in secrecy...;Les personnes de religion §Y[Root.Location.Religion.GetName]§! en §Y[Root.Location.GetName]§! m'impressionnent par la profondeur et la passion de leur foi. La gloire [Root.Location.Get_du_HighGod] m'appelle, et je suis tenté[Root.Get_E] de me convertir en secret...;Die §Y[Root.Location.Religion.GetName]en§! Menschen in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Die Glorie von §Y[Root.Capital.Religion.GetRandomGodName]§! zieht mich an und ich bin versucht, heimlich zu konvertieren ...;;La gente del credo §Y[Root.Location.Religion.GetName]§! de §Y[Root.Location.GetName]§! me impresiona con la profundidad y la pasión de su fe. La gloria de §Y[Root.Capital.Religion.GetRandomGodName]§! me llama, y siento la tentación de convertirme en secreto...;;;;;;;;;x
secretly_convert_to_shiite_holy_site;Secretly Convert to Shiite;Adopter en secret la foi chiite;Heimlich zum schiitischen Glauben konvertieren;;Convertirse en secreto a la religión chií;;;;;;;;;x
secretly_convert_to_shiite_holy_site_desc;The §YShiite§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ychiites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yschiitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ychiíes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_slavic_pagan_holy_site;Secretly Convert to Slavic;Adopter en secret la foi slave;Heimlich zum slawischen Glauben konvertieren;;Convertirse en secreto a la religión eslava;;;;;;;;;x
secretly_convert_to_slavic_pagan_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yslaves§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yslawischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yeslavos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_slavic_pagan_reformed_holy_site;Secretly Convert to Slavic;Adopter en secret la foi slave;Heimlich zum slawischen Glauben konvertieren;;Convertirse en secreto a la religión eslava;;;;;;;;;x
secretly_convert_to_slavic_pagan_reformed_holy_site_desc;The §YSlavic§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yslaves§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yslawischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yeslavos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_sunni_holy_site;Secretly Convert to Sunni;Adopter en secret la foi sunnite;Heimlich zum sunnitischen Glauben konvertieren;;Convertirse en secreto a la religión suní;;;;;;;;;x
secretly_convert_to_sunni_holy_site_desc;The §YSunni§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ysunnites§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ysunnitischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ysuníes§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_tengri_pagan_holy_site;Secretly Convert to Tengri;Adopter en secret la foi tengriste;Heimlich zum tengrischen Glauben konvertieren;;Convertirse en secreto a la religión tengrista;;;;;;;;;x
secretly_convert_to_tengri_pagan_holy_site_desc;The §YTengri§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ytengristes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ytengrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ytengristas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_tengri_pagan_reformed_holy_site;Secretly Convert to Tengri;Adopter en secret la foi tengriste;Heimlich zum tengrischen Glauben konvertieren;;Convertirse en secreto a la religión tengrista;;;;;;;;;x
secretly_convert_to_tengri_pagan_reformed_holy_site_desc;The §YTengri§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Ytengristes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ytengrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Ytengristas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_west_african_pagan_holy_site;Secretly Convert to African;Adopter en secret la foi africaine;Heimlich zum westafrikanischen Glauben konvertieren;;Convertirse en secreto a la religión africana occidental;;;;;;;;;x
secretly_convert_to_west_african_pagan_holy_site_desc;The §YAfrican§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yafricains§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ywestafrikanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yafricanos occidentales§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_west_african_pagan_reformed_holy_site;Secretly Convert to African;Adopter en secret la foi africaine;Heimlich zum westafrikanischen Glauben konvertieren;;Convertirse en secreto a la religión africana occidental;;;;;;;;;x
secretly_convert_to_west_african_pagan_reformed_holy_site_desc;The §YAfrican§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yafricains§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Ywestafrikanischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yafricanos occidentales§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_zoroastrian_holy_site;Secretly Convert to Zoroastrian;Adopter en secret la foi zoroastrienne;Heimlich zum Zoroastrismus konvertieren;;Convertirse en secreto a la religión zoroastriana;;;;;;;;;x
secretly_convert_to_zoroastrian_holy_site_desc;The §YZoroastrian§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yzoroastriens§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yzoroastrischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yzoroastrianos§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_zun_pagan_holy_site;Secretly Convert to Zun;Adopter en secret la foi zuniste;Heimlich zum zunistischen Glauben konvertieren;;Convertirse en secreto a la religión zunista;;;;;;;;;x
secretly_convert_to_zun_pagan_holy_site_desc;The §YZun§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yzunistes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yzunistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yzunistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x
secretly_convert_to_zun_pagan_reformed_holy_site;Secretly Convert to Zun;Adopter en secret la foi zuniste;Heimlich zum zunistischen Glauben konvertieren;;Convertirse en secreto a la religión zunista;;;;;;;;;x
secretly_convert_to_zun_pagan_reformed_holy_site_desc;The §YZun§! pilgrims that flock to the holy site in §Y[Root.Location.GetName]§! impress me with the depth and passion of their faith. I am tempted to convert in secrecy...;Les pèlerins §Yzunistes§! qui affluent vers le site saint en §Y[Root.Location.GetName]§! m'impressionnent avec la profondeur et la passion de leur foi. Je suis tenté[Root.Get_E] de me convertir en secret...;Die §Yzunistischen§! Pilger in §Y[Root.Location.GetName]§! beeindrucken mich durch die Tiefe und die Leidenschaft ihres Glaubens. Ich bin versucht, heimlich zu konvertieren ...;;Los peregrinos §Yzunistas§! que acuden en masa al lugar sagrado en §Y[Root.Location.GetName]§! me impresionan con la profundidad y la pasión de su fe. Me tienta convertirme en secreto...;;;;;;;;;x

# Legacy of Rome
claim_constantinople;Claim Constantinople;Revendiquer Constantinople;Konstantinopel beanspruchen;;Constantinopla reivindica.;;;;;;;;;x
claim_constantinople_desc;As the Roman [Root.GetTitle], the Imperial City should be yours to rule.;Puisque vous êtes [Root.Get_only_le_Title][Root.GetTitle] romain[Root.Get_E], vous devriez régner sur la Cité impériale.;Als römischer [Root.GetTitle] sollte die kaiserliche Stadt durch Euch regiert werden.;;Como el romano [Root.GetTitle], la Ciudad Imperial debe ser tuya y tú debes gobernarla.;;;;;;;;;x
make_rome_capital;Make Rome Capital;Faire de Rome la capitale;Macht Rom zur Hauptstadt;;Hacer de Roma la capital.;;;;;;;;;x
make_rome_capital_desc;The city of Rome has seen better days, but no one can deny its symbolic power. If you so wish, you may restore it as the capital of the Empire.;La cité de Rome a connu des jours meilleurs, mais personne ne peut nier son immense pouvoir symbolique. ;Die Stadt Rom hat schon bessere Tage gesehen, doch niemand kann ihre symbolische Macht leugnen. Wenn Ihr es wünscht, könnt Ihr sie wieder zur Hauptstadt des Reiches auferstehen lassen.;;La ciudad de Roma ha visto días mejores, pero nadie puede negar su poder simbólico. Si lo deseas, puedes reinstaurarla como la capital del Imperio.;;;;;;;;;x
mend_great_schism;Mend the Great Schism;Mettre fin au Grand Schisme;Das Große Schisma heilen;;Reparar el Gran Cisma;;;;;;;;;x
mend_great_schism_desc;The Great Schism saw the Christian Church divided into two branches, but if all five of the episcopal sees of the Pentarchy could be restored under Roman rule and the Orthodox faith, there may be a chance to finally reunite Christendom.;L'Église chrétienne s'est vu divisée en deux lignées par le Grand Schisme, mais si la totalité des cinq sièges épiscopaux de la Pentarchie peut être restaurée sous l'autorité de Rome et de la foi orthodoxe, il y a peut-être une chance de réunifier enfin la chrétienté tout entière;Das große Schisma sah die christliche Kirche in zwei Teile zerfallen, doch wenn alle fünf episkopalen Arme der Pentarchie wieder unter römischer Herrschaft und in orthodoxem Glauben vereint sind, besteht eine Chance, das Christentum wieder zu vereinen.;;El Gran Cisma dividió la Iglesia Cristiana en dos ramas, pero si las cinco sedes episcopales de la Pentarquía pueden ser recuperadas bajo el dominio romano y la fe ortodoxa, podría haber una oportunidad de reunir finalmente la cristiandad.;;;;;;;;;x
vassal_blinding_decision;Blind [Root.GetTitledFirstName];Aveugler [Root.Get_le_TitledFirstName];[Root.GetTitledFirstName] blenden;;Ciego [Root.GetTitledFirstName];;;;;;;;;x
vassal_blinding_decision_desc;You may give the order to permanently blind §Y[Root.GetFirstName]§!. This is a common Byzantine way of dealing with political rivals without outright killing them.;Vous pouvez donner l'ordre de rendre aveugle §Y[Root.GetFirstName]§!. C'est une façon habituelle byzantine de s'occuper des rivaux sans carrément les tuer.;Ihr könnt den Befehl geben, §Y[Root.GetFirstName]§! permanent zu blenden. Dies ist die traditionelle byzantinische Art, mit politischen Rivalen umzugehen, ohne sie zu töten.;;Puedes ordenar cegar permanentemente a §Y[Root.GetTitledFirstName]§! Es un típico medio bizantino de librarse de rivales políticos sin matarlos abiertamente.;;;;;;;;;x
vassal_castrate_decision;Castrate [Root.GetTitledFirstName];Castrer [Root.Get_le_TitledFirstName];[Root.GetTitledFirstName] kastrieren;;Castrado [Root.GetTitledFirstName];;;;;;;;;x
vassal_castrate_decision_desc;You may give the order to castrate §Y[Root.GetFirstName]§! and turn him into a eunuch. He will be unable to sire more spawn or be granted landed titles, a severe punishment.;Vous pourriez donner l'ordre de castrer §Y[Root.GetFirstName]§! pour en faire un eunuque. Il serait incapable d'engendrer ou de recevoir des titres. Un sévère châtiment.;Ihr könnt den Befehl zum Kastrieren von §Y[Root.GetFirstName]§! erteilen und ihn so in einen Eunuchen verwandeln. Er wird danach nicht länger in der Lage sein Erben zu zeugen oder Besitztümer zu erhalten. Eine wahrlich schwere Strafe.;;Puedes ordenar que castren a §Y[Root.GetFirstName]§! y convertirlo en eunuco. No podrá tener más descendencia ni se le concederán títulos con tierras. Un castigo muy duro.;;;;;x

# Jade Dragon
adopt_chinese_imperialism;Adopt Chinese Imperialism;Adopter l'impérialisme chinois;Chinesischen Imperialismus annehmen;;Adoptar imperialismo chino;;;;;;;;;x
adopt_chinese_imperialism_desc;Adopt a system of Chinese Imperialism which has one divine Emperor ruling over multiple vassals in a system of regulations and bureaucracy.;Adopter l'impérialisme chinois qui repose sur un empereur divin régnant sur de multiples vassaux dans un système de réglementations et une bureaucratie.;Nehmt ein System des chinesischen Imperialismus an, das einen göttlichen Kaiser hat, der über mehrere Vasallen in einem System von Regulierungen und Bürokratie herrscht.;;Adoptar un sistema de imperialismo chino en el cual hay un emperador divino reinando sobre multitud de vasallos en un sistema de reglas y burocracia.;;;;;;;;;x
bon_tolerate_indians;Syncretize with Eastern Religions;Se rapprocher des religions orientales;Östlicher Religion näher kommen;;Sincretizar con religiones orientales;;;;;;;;;x
bon_tolerate_indians_desc;The Bön faith has adopted many aspects of the Buddhist religion. You can choose to draw even closer to your §YEastern§! subjects by personally practicing their rites and partaking in their rituals.;La foi bön a pris de nombreux aspects du bouddhisme. Vous pouvez choisir de vous rapprocher encore plus de vos sujets orientaux en adoptant leurs rites.;Der Bön-Glaube hat viele Aspekte der buddhistischen Religion angenommen. Ihr könnt wählen, Euch noch weiter Euren §Yöstlichen§! Untertanen anzunähern, indem Ihr selbst die Riten praktiziert und an ihren Ritualen teilnehmt.;;La fe bön ha adoptado muchos aspectos de la religión budista. Puedes elegir acercarte aún más a tus súbditos §Yorientales§! practicando personalmente sus ritos y tomando parte en sus rituales.;;;;;;;;;x
borrow_money_radhanites;Borrow Money from Radhanite Merchants;Emprunter de l'argent aux radhanites;Geld von den radhanitischen Händlern leihen;;Tomar dinero prestado de mercaderes radanitas;;;;;;;;;x
borrow_money_radhanites_desc;Borrow money from [jewish.GetName] merchants traveling on the Silk Road.;Emprunter de l'argent aux marchands [Get_juifs] de la Route de la Soie.;Leiht Geld von den [jewish.GetName]en Händlern, die auf der Seidenstraße zugegen sind;;Pide dinero prestado a prestamistas [jewish.GetName] que viajan por la Ruta de la Seda.;;;;;;;;;x
celebrate_bema;Celebrate Bema;Célébrer le Bêma;Bema feiern;;Celebró el Bema;;;;;;;;;x
celebrate_bema_desc;Hold a Bema festival to celebrate life of the prophet Mani.;Organiser une fête de Bêma pour célébrer la vie du Prophète Mani.;Halte ein Bema-Fest ab, um das Leben des Propheten Mani zu feiern.;;Celebra la fiesta del Bema para festejar la vida del profeta Mani.;;;;;;;;;x
celebrate_jashan_e_sadah;Hold Jashn-e Sadeh Festival;Organiser la fête de Sadeh;Sadeh-Fest halten;;Celebrar festival Jashn-e Sadeh;;;;;;;;;x
