EVTTITLE_WoL_5001;The White [Root.GetHuntingQuarryCap];[Root.GetHuntingQuarryCap] blanc;Der Weiße [Root.GetHuntingQuarryCap];;El [Root.GetHuntingQuarry] blanco;;;;;;;;;x
# EVTDESC_WoL_5035_lion;During your hunt, you come to a deep gorge. Right on the other side is the white lion, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;Au cours de la chasse, vous atteignez une profonde gorge. De l'autre côté de la faille, c'est le lion blanc qui vous regarde ! Vous en êtes si proche et si loin à la fois... Il s'enfuit soudain et vous comprenez qu'une fois de plus, vous rentrerez bredouille.;Während der Jagd gelangt Ihr an eine tiefe Schlucht. Genau auf der anderen Seite befindet sich der weiße Löwe und starrt Euch an! Ihr seid ihm so nah und doch könnt Ihr ihn nicht erreichen. Als er wegläuft, wird Euch klar, dass Ihr dieses Mal keinen Sieg davontragen werdet.;;Durante la caza, llegas a un profundo barranco. ¡Justo al otro lado está el león blanco, mirándote fijamente! Estás tan cerca, mas no puedes alcanzarlo. Al escaparse, te das cuenta que esta vez deberás volver a casa sin una victoria.;;;;;;;;;x
# EVTDESC_WoL_5035_stag;During your hunt, you come to a deep gorge. Right on the other side is the white stag, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;Au cours de la chasse, vous atteignez une profonde gorge. De l'autre côté de la faille, c'est le cerf blanc qui vous regarde ! Vous en êtes si proche et si loin à la fois... Il s'enfuit soudain et vous comprenez qu'une fois de plus, vous rentrerez bredouille.;Während der Jagd gelangt Ihr an eine tiefe Schlucht. Genau auf der anderen Seite befindet sich der weiße Hirsch und starrt Euch an! Ihr seid ihm so nah und doch könnt Ihr ihn nicht erreichen. Als er wegläuft, wird Euch klar, dass Ihr dieses Mal keinen Sieg davontragen werdet.;;Durante la caza, llegas a un profundo barranco. ¡Justo al otro lado está el ciervo blanco, mirándote fijamente! Estás tan cerca, mas no puedes alcanzarlo. Al escaparse, te das cuenta que esta vez deberás volver a casa sin una victoria.;;;;;;;;;x
# EVTDESC_WoL_5035_tiger;During your hunt, you come to a deep gorge. Right on the other side is the white tiger, staring at you! You are so close, yet cannot reach it. As it runs away, you realize that you must return home without a victory this time.;Au cours de la chasse, vous atteignez une profonde gorge. De l'autre côté de la faille, c'est le tigre blanc qui vous regarde ! Vous en êtes si proche et si loin à la fois... Il s'enfuit soudain et vous comprenez qu'une fois de plus, vous rentrerez bredouille.;Während der Jagd gelangt Ihr an eine tiefe Schlucht. Genau auf der anderen Seite befindet sich der weiße Tiger und starrt Euch an! Ihr seid ihm so nah und doch könnt Ihr ihn nicht erreichen. Als er wegläuft, wird Euch klar, dass Ihr dieses Mal keinen Sieg davontragen werdet.;;Durante la caza, llegas a un profundo barranco. ¡Justo al otro lado está el tigre blanco, mirándote fijamente! Estás tan cerca, mas no puedes alcanzarlo. Al escaparse, te das cuenta que esta vez deberás volver a casa sin una victoria.;;;;;;;;;x
#EVTOPTA_WoL_5221;Faithful, catch!;Fidèle, va chercher !;Getreuer, fang!;;¡Fiel, captura!;;;;;;;;;x
#EVTOPTB_WoL_5221;Hunter, catch!;Chasseur, va chercher !;Jäger, fang!;;¡Cazador, atrapa!;;;;;;;;;x
#EVTOPTC_WoL_5221;Tricky, catch!;Farceur, va chercher !;Trickser, fang!;;¡Tramposo, atrapa!;;;;;;;;;x
#EVTOPTC_WoL_5290;A pyramid for Faithful!;Une pyramide pour Fidèle !;Eine Pyramide für Getreuer!;;Una pirámide para Fiel.;;;;;;;;;x
#EVTOPTD_WoL_5221;Lucifer, catch!;Lucifer, va chercher !;Luzifer, fang!;;¡Lucifer, atrapa!;;;;;;;;;x
#EVTOPTD_WoL_5290;A pyramid for Hunter!;Une pyramide pour Chasseur !;Eine Pyramide für Jäger!;;Una pirámide para Cazador.;;;;;;;;;x
#EVTOPTE_WoL_5221;Shaytan, catch!;Shaytan, va chercher !;Shaytan, fang!;;¡Shaytan, atrapa!;;;;;;;;;x
#EVTOPTE_WoL_5290;A pyramid for Tricky!;Une pyramide pour Farceur !;Eine Pyramide für Trickser!;;Una pirámide para Tramposo.;;;;;;;;;x
#EVTOPTF_WoL_5221;Fenrir, catch!;Fenrir, va chercher !;Fenrir, fang!;;¡Fenrir, atrapa!;;;;;;;;;x
#EVTOPTF_WoL_5290;A pyramid for Lucifer!;Une pyramide pour Lucifer !;Eine Pyramide für Luzifer!;;Una pirámide para Lucifer.;;;;;;;;;x
#EVTOPTG_WoL_5221;Erlik, catch!;Erlik, va chercher !;Erlik, fang!;;¡Erlik, atrapa!;;;;;;;;;x
#EVTOPTG_WoL_5290;A pyramid for Shaytan!;Une pyramide pour Shaytan !;Eine Pyramide für Shaytan!;;Una pirámide para Shaytan;;;;;;;;;x
#EVTOPTH_WoL_5221;Velnias, catch!;Velnias, va chercher !;Velnias, fang!;;¡Velnias, atrapa!;;;;;;;;;x
#EVTOPTH_WoL_5290;A pyramid for Fenrir!;Une pyramide pour Fenrir !;Eine Pyramide für Fenrir!;;Una pirámide para Fenrir.;;;;;;;;;x
#EVTOPTI_WoL_5221;Tuoni, catch!;Tuoni, va chercher !;Tuoni, fang!;;¡Tuoni, atrapa!;;;;;;;;;x
#EVTOPTI_WoL_5290;A pyramid for Erlik!;Une pyramide pour Elrik !;Eine Pyramide für Erlik!;;Una pirámide para Erlik.;;;;;;;;;x
#EVTOPTJ_WoL_5221;Xolotl, catch!;Xolotl, va chercher !;Xolotl, fang!;;¡Xolotl, atrapa!;;;;;;;;;x
#EVTOPTJ_WoL_5290;A pyramid for Velnias!;Une pyramide pour Velnias !;Eine Pyramide für Velnias!;;Una pirámide para Velnias.;;;;;;;;;x
#EVTOPTK_WoL_5221;Veles, catch!;Vélès, va chercher !;Veles, fang!;;¡Veles, atrapa!;;;;;;;;;x
#EVTOPTK_WoL_5290;A pyramid for Tuoni!;Une pyramide pour Turoni !;Eine Pyramide für Tuoni!;;Una pirámide para Tuoni.;;;;;;;;;x
#EVTOPTL_WoL_5221;Guruhi, catch!;Guruhi, va chercher !;Guruhi, fang!;;¡Guruhi, atrapa!;;;;;;;;;x
#EVTOPTL_WoL_5290;A pyramid for Xolotl!;Une pyramide pour Xolotl !;Eine Pyramide für Xolotl!;;Una pirámide para Xolotl.;;;;;;;;;x
#EVTOPTM_WoL_5221;Darkness, catch!;Ténèbres, va chercher !;Dunkelheit, fang!;;¡Oscuridad, atrapa!;;;;;;;;;x
#EVTOPTM_WoL_5290;A pyramid for Veles!;Une pyramide pour Vélès !;Eine Pyramide für Veles!;;Una pirámide para Veles.;;;;;;;;;x
#EVTOPTN_WoL_5221;Ahriman, catch!;Ahriman, va chercher !;Ahriman, fang!;;¡Ahriman, atrapa!;;;;;;;;;x
#EVTOPTN_WoL_5290;A pyramid for Guruhi!;Une pyramide pour Guruhi !;Eine Pyramide für Guruhi!;;Una pirámide para Guruhi.;;;;;;;;;x
#EVTOPTO_WoL_5221;Satan, catch!;Satan, va chercher !;Satan, fang!;;¡Satán, atrapa!;;;;;;;;;x
#EVTOPTO_WoL_5290;A pyramid for Darkness!;Une pyramide pour Ténèbres !;Eine Pyramide für Dunkelheit!;;Una pirámide para Oscuridad.;;;;;;;;;x
#EVTOPTP_WoL_5221;Vinayaka, catch!;Vinayaka, va chercher !;Vinayaka, fang!;;¡Vinayaka, atrapa!;;;;;;;;;x
#EVTOPTP_WoL_5290;A pyramid for Ahriman!;Une pyramide pour Ahriman !;Eine Pyramide für Ahriman!;;Una pirámide para Ahriman.;;;;;;;;;x
#EVTOPTQ_WoL_5221;Mara, catch!;Mara, va chercher !;Mara, fang!;;¡Mara, atrapa!;;;;;;;;;x
#EVTOPTQ_WoL_5290;A pyramid for Satan!;Une pyramide pour Satan !;Eine Pyramide für Satan!;;Una pirámide para Satán.;;;;;;;;;x
#EVTOPTR_WoL_5221;Punisher, catch!;Vengeur, va chercher !;Vollstrecker, fang!;;¡Castigador, atrapa!;;;;;;;;;x
#EVTOPTR_WoL_5290;A pyramid for Vinayaka!;Une pyramide pour Vinayaka !;Eine Pyramide für Vinayaka!;;Una pirámide para Vinayaka.;;;;;;;;;x
#EVTOPTS_WoL_5290;A pyramid for Mara!;Une pyramide pour Mara !;Eine Pyramide für Mara!;;Una pirámide para Mara.;;;;;;;;;x
#EVTOPTT_WoL_5290;A pyramid for Punisher!;Une pyramide pour Vengeur !;Eine Pyramide für Vollstrecker!;;Una pirámide para Castigador.;;;;;;;;;x
