abrahamic_antihellenic_revolt;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
abrahamic_antihellenic_revolt_desc;The decision to reinstate a dead, heathen cult in place of the worship of the Abrahamic god has dragged the newly-reformed Empire into civil war.;La décision de rétablir un ancien culte païen à la place de celui du dieu abrahamique a entraîné l'Empire nouvellement réformé dans la guerre civile.;Die Entscheidung einen toten, heidnischen Kult anstelle des abrahamischen Gottes wiedereinzusetzen, hat das kürzlich reformierte Reich in einen Bürgerkrieg gezogen.;;La decisión de restaurar un culto muerto y pagano en lugar de adorar al dios abrahámico ha molestado a muchos vasallos por todo el Imperio.;;;;;;;;x
pagan_county_conquest_desc;Pagans and Nomads can conquer single border counties without specific reasons. Norse Pagans can also take any coastal county.;Les païens et nomades peuvent conquérir les comtés frontaliers sans raison spécifique. Les païens nordiques peuvent aussi s'emparer de tout comté côtier.;Heiden und Nomaden können einzelne angrenzende Grafschaften ohne Grund erobern. Nordische Heiden können zudem jede Küstenregion einnehmen.;;Paganos y nómadas pueden conquistar condados fronterizos sencillos sin razones específicas. Los paganos nórdicos también pueden tomar cualquier condado costero.;;;;;;;;;x
pagan_holy_war_desc;Reformed Pagans can use this Casus Belli to seize all titles held by an infidel within a de jure Duchy at the cost of §Y100§! $PIETYNAME$.;Les païens réformés peuvent utiliser ce casus belli pour s'emparer de tous les titres détenus par un infidèle dans un duché de jure au coût de §Y100§! de $PIETYNAME$.;Reformierte Heiden können diesen Kriegsgrund verwenden, um alle Titel eines Ungläubigen in einer rechtmäßigen Grafschaft zum Preis von §Y100§! $PIETYNAME$ zu erobern.;;Los Paganos reformados pueden utilizar esta Casus Belli para aprovechar todos los títulos en poder de un infiel en un Ducado de jure por el coste de §Y100§! $PIETYNAME$.;;;;;;;;;x
pagan_subjugation_desc;Pagans, with succession laws set to Elective Gavelkind, are allowed to subjugate other pagan rulers once in their lifetime. (With the 'Become $KING$' ambition, there is no such time limit against those who control titles within the kingdom.) Free men are always willing to follow the mightiest ruler...;Les païens avec le partage salique électif comme loi de succession peuvent assujettir d'autres souverains païens, et ce, une seule fois au cours de leur vie. Avec l'ambition « Devenir $KING$ », cette limitation est levée quand il s'agit de cibles internes au royaume en question. Les hommes libres veulent toujours suivre le souverain le plus puissant...;Heiden, die das Nachfolgegesetz "Wahlweise Erbteilung" haben, dürfen einmal im Leben andere heidnische Anführer unterwerfen. Mit der "$KING$ werden"-Ambition gibt es kein solches Zeitlimit bezüglich Charakteren, die innerhalb des Königreiches Titel innehaben. Freie Männer sind immer willens, dem stärksten Herrscher zu folgen ...;;Los paganos que han fijado leyes de sucesión equitativas electivas pueden subyugar a otros gobernantes paganos una vez en la vida. (Con la ambición 'convertirse en $KING$" no hay tal límite de tiempo contra quienes controlan los títulos dentro del reino.) Los hombres libres siempre están dispuestos a seguir al gobernante más poderoso…;;;;;;;;;x
patriarchal_deposition_war;Patriarchal Deposition War;Guerre de déposition patriarcale;Patriarchalischer Absetzungskrieg;;Guerra para destronar al patriarca;;;;;;;;x
patriarchal_deposition_war_desc;No [Root.GetOppositeManWoman] should be allowed to hold as much authority as $TARGET$ does. We are well within our rights to force this vile tyrant to abdicate her throne, leaving her realm in the capable hands of a [Root.GetManWoman].;Il ne devrait pas être permis à un[Root.Get_EOpp] [Root.GetOppositeManWoman] de détenir autant de pouvoir que l'illégitime $TARGET$ en a. Nous sommes dans nos droits de forcer ce tyran à abdiquer le trône, laissant son pays entre les mains adroites d'un[Root.Get_E] [Root.GetManWoman].;K[Root.GeteineineOpp] [Root.GetOppositeManWoman] sollte so viel Autorität besitzen wie $TARGET$. Es ist unser Recht diesen abscheulichen Tyrannen dazu zu zwingen den Thron abzutreten und das Reich in die Hände [Root.Geteineseiner] fähigeren [Root.GetManWoman] zu legen.;;Un[Root.GetOAOpp] [Root.GetOppositeManWoman] no debería tener tanto poder como $TARGET$. Tenemos todo el derecho para obligar a semejante tiran[Root.GetOAOpp] a abdicar del trono para dejar el reino en las manos más capaces de un[Root.GetXA] [Root.GetManWoman];;;;;;;;x
peasant_revolt_desc;Peasant leaders sometimes rise up and try to 'liberate' their county from oppression.;Parfois, les chefs paysans se lèvent et tentent de 'libérer' leur comté de l'oppression.;Bauernanführer revoltieren manchmal und versuchen, ihr Land aus der Unterdrückung zu "befreien".;;Líderes campesinos a veces se sublevan y tratan de ‘liberar’ su condado de la opresión.;;;;;;;;;x
pepin_religious;Donation of Pepin;Don de Pépin;Pippins Spende;;Donación de Pipino;;;;;;;;x
pepin_religious_desc;§Y$CLAIMANT$§! can use this Casus Belli to emulate Pepin the Short by fighting to restore the Papal lands of the §Y$TITLE$§! to its rightful owner. This Casus Belli is valid only against any infidel or impious [christian.GetGroupName] who holds land in Central Italy. The Pope will certainly be thankful of §Y$CLAIMANT$'s§! assistance in returning Papal provinces under the Church's control.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour faire comme Pépin le Bref, à savoir rendre les terres papales de §Y$TITLE$§! à son propriétaire légitime. Il est valide seulement contre un infidèle ou un [christian.GetGroupName] impie qui détient des terres au centre de l'Italie. Le Pape sera reconnaissant de l'aide de §Y$CLAIMANT$§!.;§Y$CLAIMANT$§! kann diesen Kriegsgrund benutzen, um Pippin dem Kurzen nachzueifern, indem er darum kämpft, die päpstlichen Länder von §Y$TITLE$§! seinem rechtmäßigen Besitzer zurückzugeben. Dieser Kriegsgrund gilt nur gegen jeden Ungläubigen oder gottlosen [christian.GetGroupName], der Land in Mittelitalien hält. Der Papst wird §Y$CLAIMANT$§! sicherlich dankbar für die Unterstützung sein, die päpstlichen Provinzen zurück unter die Kontrolle der Kirche zu bringen.;;§Y$CLAIMANT$§! puede usar este casus belli para imitar a Pipino el Breve y luchar para devolver las tierras papales del §Y$TITLE$§! a su legítimo dueño. Este casus belli solo es válido contra infieles o [christian.GetGroupName] impíos que tengan tierras en la Italia central. Desde luego, el papa agradecerá la ayuda de §Y$CLAIMANT$§! para devolver las provincias papales al control de Iglesia.;;;;;;;;;x
reconquista_aragon_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_aragon.GetBaseName]§!, and retake all provinces in the §Y[d_aragon.GetFullName]§! and §Y[d_barcelona.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la région du §Y[k_aragon.GetBaseName]§! et reprendre toutes les provinces du §Y[d_aragon.GetFullName]§! et du §Y[d_barcelona.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der Region  §Y[k_aragon.GetBaseName]§! zu vertreiben und alle Provinzen in §Y[d_aragon.GetFullName]§! und §Y[d_barcelona.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles de la región de §Y[k_aragon.GetBaseName]§! y retomar todas las provincias del §Y[d_aragon.GetFullName]§! y el §Y[d_barcelona.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_balearic_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the §YBalearic Islands§!, and retake all provinces in the §Y[d_mallorca.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles des §Yîles Baléares§! et reprendre toutes les provinces du §Y[d_mallorca.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus den §YBalearen§! zu vertreiben und alle Provinzen in §Y[d_mallorca.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles de las §YBaleares§! y retomar todas las provincias del §Y[d_mallorca.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_beja_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the §YWestern Coast of Iberia§!, and retake all provinces in the §Y[d_beja.GetFullName]§! and §Y[d_algarve.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la §Ycôte ouest de l'Ibérie§! et reprendre toutes les provinces du §Y[d_beja.GetFullName]§! et du §Y[d_algarve.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der §YWestküste Iberiens§! zu vertreiben und alle Provinzen in §Y[d_beja.GetFullName]§! und §Y[d_algarve.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles del §YOeste de la península ibérica§! y retomar todas las provincias del §Y[d_beja.GetFullName]§! y el §Y[d_algarve.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_castille_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_castille.GetBaseName]§!, and retake all provinces in the §Y[d_castilla.GetFullName]§! and §Y[d_toledo.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la région du §Y[k_castille.GetBaseName]§! et reprendre toutes les provinces du §Y[d_castilla.GetFullName]§! et du §Y[d_toledo.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der Region §Y[k_castille.GetBaseName]§! zu vertreiben und alle Provinzen in §Y[d_castilla.GetFullName]§! und §Y[d_toledo.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles de la región de §Y[k_castille.GetBaseName]§! y retomar todas las provincias del §Y[d_castilla.GetFullName]§! y el §Y[d_toledo.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_cordoba_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from §YCentral Iberia§!, and retake all provinces in the §Y[d_cordoba.GetFullName]§! and §Y[d_badajoz.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de l'§YIbérie centrale§! et reprendre toutes les provinces du §Y[d_cordoba.GetFullName]§! et du §Y[d_badajoz.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus §YZentraliberien§! zu vertreiben und alle Provinzen in §Y[d_cordoba.GetFullName]§! und §Y[d_badajoz.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles del §YCentro de la península ibérica§! y retomar todas las provincias del §Y[d_cordoba.GetFullName]§! y el §Y[d_badajoz.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_galicia_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_galicia.GetBaseName]§!, and retake all provinces in the §Y[d_galicia.GetFullName]§! and §Y[d_portucale.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la région du §Y[k_galicia.GetBaseName]§! et reprendre toutes les provinces du §Y[d_galicia.GetFullName]§! et du §Y[d_portucale.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der Region §Y[k_galicia.GetBaseName]§! zu vertreiben und alle Provinzen in §Y[d_galicia.GetFullName]§! und §Y[d_portucale.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles de la región de §Y[k_galicia.GetBaseName]§! y retomar todas las provincias del §Y[d_galicia.GetFullName]§! y el §Y[d_portucale.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_granada_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from §YSouthern Iberia§!, and retake all provinces in the §Y[d_granada.GetFullName]§! and §Y[d_sevilla.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de l§Y'Ibérie du sud§! et reprendre toutes les provinces du §Y[d_granada.GetFullName]§! et du §Y[d_sevilla.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus §YSüdiberien§! zu vertreiben und alle Provinzen in §Y[d_granada.GetFullName]§! und §Y[d_sevilla.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles del §YSur de la península ibérica§! y retomar todas las provincias del §Y[d_granada.GetFullName]§! y el §Y[d_sevilla.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_leon_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §Y[k_leon.GetBaseName]§!, and retake all provinces in the §Y[d_leon.GetFullName]§! and §Y[d_asturias.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la région du §Y[k_leon.GetBaseName]§! et reprendre toutes les provinces du §Y[d_leon.GetFullName]§! et du §Y[d_asturias.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der Region §Y[k_leon.GetBaseName]§! zu vertreiben und alle Provinzen in §Y[d_leon.GetFullName]§! und §Y[d_asturias.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles de la región de §Y[k_leon.GetBaseName]§! y retomar todas las provincias del §Y[d_leon.GetFullName]§! y el §Y[d_asturias.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_navarra_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the region of §YNavarra§!, and retake all provinces in the §Y[d_navarra.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la région de §YNavarre§! et reprendre toutes les provinces du §Y[d_navarra.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der Region §YNavarra§! zu vertreiben und alle Provinzen in §Y[d_navarra.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles de la región de §YNavarra§! y retomar todas las provincias del §Y[d_navarra.GetFullName]§! y el §Y[d_navarra.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
reconquista_valencia_desc;§Y[Root.GetTitledName]§! start a war to oust the infidels from the §YEastern Coast of Iberia§!, and retake all provinces in the §Y[d_valencia.GetFullName]§! and §Y[d_murcia.GetFullName]§! held by §Y$TARGET$§!.;[Root.Get_Le_TitledNameJ] déclenche une guerre pour évincer les infidèles de la §Ycôte est de l'Ibérie§! et reprendre toutes les provinces du §Y[d_valencia.GetFullName]§! et du §Y[d_murcia.GetFullName]§! détenues par §Y$TARGET$§!.;§Y[Root.GetTitledName]§! beginnt einen Krieg, um die Ungläubigen aus der §YOstküste Iberiens§! zu vertreiben und alle Provinzen in §Y[d_valencia.GetFullName]§! und §Y[d_murcia.GetFullName]§!, die von §Y$TARGET$§! gehalten werden, zurückzuerobern.;;§Y[Root.GetTitledName]§! empieza una guerra para expulsar a los infieles del §YEste de la península ibérica§! y retomar todas las provincias del §Y[d_valencia.GetFullName]§! y el §Y[d_murcia.GetFullName]§! en manos de §Y$TARGET$§!.;;;;;x
religious_desc;§Y$CLAIMANT$§! can use this Casus Belli to seize all titles held by the infidel, §Y$TARGET$§!, within the de jure §Y$TITLE$§!. This Casus Belli is valid against neighbors, and also against infidels up to two sea zones away if either the attacker or the defender is a Muslim, or if the era of Great Holy Wars has started for the attacker's religion.;§Y$CLAIMANT$§! peut utiliser ce casus belli pour s'emparer de tous les titres que possède l'infidèle §Y$TARGET$§! au sein de §Y$TITLE$§! de jure. Ce casus belli est valide contre des pays frontaliers, mais aussi jusqu'à deux zones maritimes de distance si l'attaquant ou le défenseur est un musulman, ou encore si l'ère des grandes guerres saintes a commencé pour la religion de l'attaquant.;§Y$CLAIMANT$§! kann diesen Kriegsgrund dazu benutzen, dem ungläubigen Ziel §Y$TARGET$§! sämtliche Titel unter dem De-jure-Titel §Y$TITLE$§! abzunehmen.;;§Y$CLAIMANT$§! puede utilizar este casus belli para apoderarse de todos los títulos que posee el infiel, §Y$TARGET$§!, dentro de los de jure §Y$TITLE$§!. Este Casus Belli es válido contra vecinos, y también contra los infieles hasta a dos marítimas de distancia, si el defensor o el atacante es un musulmán, o si la época de la Gran guerra santa ha comenzado por la religión del atacante.;;;;;;;;;x
religious_revolt_desc;Peasants of a different religion group can rise up to throw off oppression and spread their faith with fire and sword.;Les paysans appartenant à un autre groupe religieux peuvent se soulever pour renverser l'oppression religieuse et ainsi répandre leur propre foi par le feu et l'épée.;Andersgläubige Bauern können sich gegen die Unterdrückung erheben und ihren Glauben mit Feuer und Schwert verbreiten;;Los campesinos de un grupo religioso diferente pueden levantarse para deshacerse de la opresión y difundir su fe a fuego y espada.;;;;;;;;;x
rivalry_cb_desc;§Y$TARGET$§! is your bitter rival and you can't imagine anything better than throwing the blighter into your dungeons.;§Y$TARGET$§! est votre ennemi juré et votre rêve ultime est de l'envoyer croupir dans une geôle.;§Y$TARGET$§! ist Euer Erzrivale und nichts könnte Euch mehr Vergnügen bereiten, als dieses Ekel in den Kerker zu werfen.;;§Y$TARGET$§! es tu enconado rival y no imaginas nada mejor que tirarlo a tus mazmorras.;;;;;;;;;x
roman_christian_revolt;Roman Revolt;Révolte romaine;Römische Revolte;;Revuelta romana;;;;;;;;x
roman_christian_revolt_desc;The citizens of Rome have risen up after the ruthless destruction brought by their new Emperor upon the Church and their homes.;Les citoyens de Rome se sont levés après la destruction impitoyable menée par leur nouvel empereur sur l'Église et sur leurs maisons.;Die Bürger Roms haben sind nach der rücksichtslosen Zerstörung, die ihr neuer Kaiser der Kirche und ihren Häusern zugefügt hat, in einer Revolte erhoben.;;Los ciudadanos de Roma se han levantado tras de la destrucción despiadada que su nuevo Emperador ha traído sobre la Iglesia y sus hogares.;;;;;;;;x
seize_trade_post_desc;As a Patrician, §Y$CLAIMANT$§! can declare war on §Y$TARGET$§! over the §Y$TITLE$§!. This Casus Belli is not valid against much weaker Patricians within the same Republic.;En tant que patricien, le §Y$CLAIMANT$§! peut déclarer la guerre à §Y$TARGET$§! pour le §Y$TITLE$§!. Ce casus belli n'est pas utilisable contre les patriciens de rang inférieur de la même république.;Als ein Patrizier, §Y$CLAIMANT$§! kann §Y$TARGET$§! für §Y$TITLE$§! den Krieg erklären. Dieser Casus Belli ist nicht gültig gegen wesentlich schwächere Patrizier innerhalb der gleichen Republik.;;Como patricio, §Y$CLAIMANT$§! puede declarar la guerra a §Y$TARGET$§! por §Y$TITLE$§!;;;;;;;;;x
shattered_invasion;As you are a Great Conqueror, nothing can stand in the way of you claiming your destiny!;Puisque vous êtes un grand conquérant, rien ne peut entraver votre destinée !;Da Ihr ein Großer Eroberer seid, steht Eurem Schicksal nichts im Weg!;;Eres un Gran conquistador, ¡nada se interpondrá en el camino de reclamar tu destino!;;;;;;;;;x
shattered_invasion_desc;As you are a Great Conqueror, nothing can stand in the way of you claiming your destiny!;Puisque vous êtes un grand conquérant, rien ne peut entraver votre destinée !;Da Ihr ein Großer Eroberer seid, steht Eurem Schicksal nichts im Weg!;;Eres un Gran conquistador, ¡nada te impedirá reclamar tu destino!;;;;;;;;;x
shattered_world_county_conquest_desc;As this is a Shattered World you can choose to outright conquer any Counties that either border your realm or is no more than one sea zone away. [GetShatteredInfo] [GetShatteredJadeInfo];Puisque c'est un §Ymonde bouleversé§!, vous pouvez choisir de conquérir n'importe quel comté qui soit frontalier à votre pays ou à une zone maritime de distance. [GetShatteredInfo] [GetShatteredJadeInfo];Da es sich hierbei um eine zerschmetterte Welt handelt, könnt Ihr einfach alle Grafschaften erobern, die entweder an Euer Reich grenzen oder nicht mehr als eine Seezone entfernt sind. [GetShatteredInfo] [GetShatteredJadeInfo];;Como es un Mundo en añicos, puedes elegir conquistar directamente todos los condados fronterizos con tu reino o a no más de una zona marina de distancia. [GetShatteredInfo] [GetShatteredJadeInfo];;;;;;;;;x
tribal_invasion_desc;We do not need to bother with just causes - might makes right! §Y$CLAIMANT$§! can invade the lands of §Y$TARGET$§!. If successful, the titles to all currently occupied holdings will be seized and all vassals will become our vassals.;Inutile de s'embêter à trouver de justes casus belli, la force fait loi ! §Y$CLAIMANT$§! peut envahir les terres de §Y$TARGET$§!. S'il réussit, les titres de toutes les propriétés occupées par ses troupes seront saisis et les autres seigneurs passeront sous son autorité.;Wir brauchen uns nicht mit gerechten Gründen befassen – Macht geht vor Recht! §Y$CLAIMANT$§! kann in die Länder von §Y$TARGET$§! einmarschieren. Falls dies erfolgreich ist, werden alle derzeit besetzten Besitztümer beschlagnahmt und alle Vasallen werden zu unseren Vasallen.;;¡No hemos de preocuparnos por la justicia de las causas! ¡La fuerza otorga el derecho! §Y$CLAIMANT$§! puede invadir las tierras de §Y$TARGET$§!. De tener éxito, los títulos de todas las propiedades ocupadas se confiscarán y todos sus vasallos se convertirán en nuestros vasallos.;;;;;;;;;x
tributary_cb_desc;§Y$TARGET$§! is rich and should pay tribute to you!\n\nThrough war you can force any realm that you border to pay you §Y40%§! of their income as tribute.\nThis type of §YTributary§! will §Rbreak free§! upon the death of the §YSuzerain§!.\nThis type of §YTributary§! can be called to war.;§Y$TARGET$§! est riche et devrait vous payer un tribut !\n\nPar la guerre, vous pouvez forcer tout pays à vous donner §G40%§! de ses revenus.\nCe type de tributaire sera §Rlibéré à la mort du suzerain§!.\nCe type de tributaire §Gpeut être appelé à la guerre§!.;§Y$TARGET$§! ist reich und sollte uns Tribut zahlen!\n\nDurch Krieg kann jedes Reich, das an Euch grenzt, dazu gezwungen werden, §Y40%§! ihres Einkommens als Tribut zu zahlen.\nDiese Art §YTributstaat§! wird bei Tod des §YSuzerän§! §Runabhängig§!.\nDiese Art §YTributstaat§! kann in den Krieg gerufen werden.;;¡§Y$TARGET$§! es rico y debería pagar tributo!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo te pague el §Y40%§! de sus ingresos como tributo.\nEsta clase de §Ytributario§! se §Rliberará§! con la muerte del §Ysoberano§!.\nEste tipo de §Ytributario§! puede ser llamado a la guerra.;;;;;;;;;x
tributary_nomad_cb_desc;§Y$TARGET$§!'s realm is weak and no match for me, it is time for them to pay tribute or be crushed underneath the thundering hooves of my horde!\n\nThrough war you can force any realm that you or one of your §YTributaries§! border to pay you §Y50%§! of their income as tribute.\nWill only break free if the §YSuzerain§! has §Rnegative§! §YPrestige§!.\nThis type of §YTributary§! can be called to war.\nThis type of §YTributary§! can call you into their wars, but you are not forced to accept their §YCall to Arms§!.;Le pays de §Y$TARGET$§! est faible et ne m'égale pas, il est temps pour eux de payer un tribut ou d'être écrasés sous les sabots tonnants de ma horde !\n\nPar la guerre, vous pouvez forcer tout pays frontalier de vous ou de l'un de vos §YÉtats tributaires§! à vous donner §G50%§! de ses revenus\nCe type de tributaire ne se libérera que si le §Ysuzerain§! a un §Rprestige négatif§!.\nCe type de tributaire §Gpeut être appelé à la guerre§!\nCe type de tributaire peut vous appeler dans ses guerres, mais vous n'êtes pas obligé d'accepter leur §Yappel aux armes§!.;Das Reich von §Y$TARGET$§! ist schwach und kein Gegner für mich. Die Zeit ist für sie gekommen, Tribut zu zahlen oder unter den donnernden Hufen meiner Horde zerquetscht zu werden!\n\nDurch Krieg könnt Ihr jedes Reich, das entweder an Euch selbst oder einen Eurer §YTributstaaten§! angrenzt, dazu zwingen, §Y50%§! ihres Einkommens als Tribut zu zahlen.\nWird nur unabhängig, wenn der §YSuzerän§! §Rnegative§! §YPrestige§! hat.\nDiese Art §YTributstaat§! kann in den Krieg gerufen werden.\nDiese Art §YTributstaat§! kann Euch in ihre Kriege rufen, Ihr seid aber nicht gezwungen, ihrem §YRuf zu den Waffen§! zu folgen.;;El reino de §Y$TARGET$§! es débil y no es rival para mí. ¡Es hora de que paguen tributo o que sean aplastados bajo los cascos estruendosos de mi horda!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo o uno de tus §Ytributarios§! te pague el §Y50%§! de sus ingresos como tributo.\nSolo se liberará si el §Ysoberano§! tiene §Yprestigio§! §Rnegativo§!.\n\nEste tipo de §Ytributario§! puede ser llamado a la guerra.\n\nEste tipo de §Ytributario§! puede llamarte a sus guerras, pero no estás obligado a responder a su §Yllamada a las armas§!.;;;;;;;;;x
tributary_offmap_cb_desc;China can, by way of war, force realms to pay them tribute.;La Chine peut, par voie de guerre, forcer les pays à leur payer un tribut.;China kann mittels Krieg andere Reiche dazu zwingen, ihnen Tribut zu zahlen.;;China puede usar la guerra para obligar a los reinos a pagar tributos.;;;;;;;;;x
tributary_permanent_cb_desc;§Y$TARGET$§! is weak, but if they would just pay you tribute in the form of gold and soldiers you could protect them!\n\nThrough war you can force any realm that you or one of your §YTributary States§! border to pay you §Y20%§! of their income and §Y15%§! of their levy reinforcements as tribute.\nWill only break free if the §YSuzerain§! has §Rnegative§! §YPrestige§!, is §RNOT§! §YIndependent§!, has §Rless§! §YRealm Size§! than the §YTributary State§! or §Rdeclines a defensive§! §YCall to Arms§! from the §YTributary State§!.\nThis type of §YTributary§! can §RNOT§! be called to war.;§Y$TARGET$§! est faible, mais en vous payant un tribut sous la forme d'or et de soldats, vous pourriez assurer sa protection !\n\nPar la guerre, vous pouvez forcer tout pays frontalier de vous ou de l'un de vos §YÉtats tributaires§! à vous donner §G20%§! de ses revenus et §G15%§! de ses renforts.\nCe type de tributaire ne se libérera que si le §Ysuzerain§! a un §Rprestige négatif§!, §Rn'est pas indépendant§!, a une §Rtaille de pays inférieure§! à celle de l'État tributaire ou §Rdécline§! un appel aux armes défensif de l'État tributaire.\nCe type de tributaire §Rne peut pas être appelé à la guerre§!.;§Y$TARGET$§! ist schwach, aber wenn sie Tribut in Form von Gold und Soldaten aufbringen würden, könntet Ihr sie beschützen.\n\nDurch Krieg könnt Ihr jedes Reich, das entweder an Euch selbst oder einen Eurer §YTributstaaten§! angrenzt, dazu zwingen, §Y20%§! ihres Einkommens und §Y15%§! ihres Aufgebots als Tribut zu zahlen.\nWird nur unabhängig, wenn der §YSuzerän§! §Rnegative§! §YPrestige§! hat, §RNICHT§! unabhängig ist, §Rweniger§! §YReichsgröße§! als der §YTributstaat§! hat oder einen §Rdefensiven§! §YRuf zu den Waffen§! eines §YTributstaates§! ablehnt.\nDiese Art §YTributstaat§! kann §RNICHT§! in den Krieg gerufen werden.;;§Y$TARGET$§! es débil, ¡pero puedes protegerlos si te pagan tributo en forma de oro y soldados!\n\nPuedes usar la guerra para que cualquier reino fronterizo contigo o con uno de tus §Yestados tributarios§! te pague el §Y20%§! de sus ingresos y el §Y15%§! de sus refuerzos de leva como tributo.\nSolo se liberará si el §Ysoberano§! tiene §Yprestigio§! §Rnegativo§!, §RNO§! es §Yindependiente§!, el §Ytamaño del reino§! es §Rmenor§! que el §Yestado tributario§! o §Rechaza§! una §Yllamada a las armas§! §Ydefensiva§! del §Yestado tributario§!.\nEste tipo de §Ytributario§! §RNO§! puede ser llamado a la guerra.;;;;;;;;;x
truebelievers_bid_for_independence;Revolt of the old believers;Révolte des anciens croyants;Aufstand der Altgläubigen;;Revuelta de los viejos creyentes;;;;;;;;;x
