# Historical
alexander_bloodline_01;Immortal Blood of Alexander;Sang immortel d'Alexandre;Unsterbliches Blut von Alexander;;Sangre inmortal de Alejandro;;;;;;;;;x
bloodline_desc_legendary_commander;[This.Founder.GetFirstNameWithNick] was known as the [This.Founder.GetEducationComplimentAdjective] leader of [This.Founder.Society.GetName] – the mention of [This.Founder.GetHerHis] courage still lights a fire in many [This.Founder.Culture.GetName] soldiers.;[This.Founder.GetFirstNameWithNick] était connu[This.Founder.Get_E] comme [This.Founder.GetLeLa] chef [This.Founder.GetEducationComplimentAdjective] [This.Founder.Get_du_Society] – la mention de son courage inspire encore de nombreux soldats [This.Founder.GetCultureMascPl].;[This.Founder.GetFirstNameWithNick] war als [This.Founder.Getderdie] [This.Founder.GetEducationComplimentAdjective] Anführer[This.Founder.GetinFemale] von [This.Founder.Society.GetName] bekannt. Allein die bloße Beschreibung [This.Founder.GetHerHis]es Mutes zündet noch immer ein Feuer in vielen [This.Founder.Culture.GetName]en Soldaten.;;A [This.Founder.GetFirstNameWithNick] se le conoció como [This.Founder.GetElLa] líder [This.Founder.GetEducationComplimentAdjective] de [This.Founder.Society.GetName]. Mencionar su valor sigue inflamando a más de un soldado [This.Founder.Culture.GetName].;;;;;;;;x
bloodline_desc_legendary_dog_hunter;A highly respected [This.Founder.GetWarriorRole] within [This.Founder.GetHerHis] society, this [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetManWoman] was rumored to often have been charging into battle surrounded by war hounds.;[This.Founder.GetWarriorRoleCap] très respecté au sein de sa société, c[From.GetEtEtte] [This.Founder.GetManWoman] [This.Founder.GetEducationComplimentAdjective] était réputé[This.Founder.Get_E] pour avoir souvent chargé au combat entouré[This.Founder.Get_E] de chiens de guerre.;Als hoch angesehene[This.Founder.GetrMale] [This.Founder.GetWarriorRole] innerhalb [This.Founder.GetHerHis]er Gesellschaft wird von [This.Founder.Getdiesemdieser] [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetManWoman] gemunkelt, dass [This.Founder.GetSheHe] oft mit [This.Founder.GetHerHis]en Kriegshunden in den Kampf gestürmt sei.;;Un[This.Founder.GetXA] [This.Founder.GetWarriorRole] muy respetad[This.Founder.GetOA] en su sociedad. Se dice que esta persona [This.Founder.GetEducationComplimentAdjective] cargaba en la batalla acompañad[This.Founder.GetOA] de unos sabuesos de guerra.;;;;;;;;x
bloodline_desc_legendary_eagle_hunter;[This.GetTitledFirstName] traveled far into foreign lands, fighting [This.GetHerHis] way through the best warriors of [This.GetHerHis] time. The [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetManWoman] was rumored to have a supernatural affinity with birds.;[This.Founder.Get_Le_TitledFirstName] a voyagé dans de lointains pays pour finalement faire partie des meilleurs guerriers de son époque. [This.Founder.GetIlElleCap] était réputé[This.Founder.Get_E] pour avoir une affinité surnaturelle avec les oiseaux.;[This.GetTitledFirstName] reiste weit in fremde Länder und kämpfte mit den besten Kriegern [This.GetHerHis]er Zeit. Es wird gemunkelt, dass [This.Founder.Getderdie] [This.Founder.GetEducationComplimentAdjective][This.Founder.GeteMale] [This.Founder.GetManWoman] eine übernatürliche Affinität zu Vögeln hat.;;[This.GetTitledFirstName] viajó lejos por tierras enemigas, abriéndose paso entre los mejores guerreros de su época. Una persona [This.Founder.GetEducationComplimentAdjective] de quien se rumoreaba tenía una afinidad sobrenatural con las aves.;;;;;;;;x
bloodline_desc_legendary_leader;Known as a great [This.Founder.GetWarriorRole] and leader of others, [This.Founder.GetFirstNameWithNick] accumulated enthusiastic support during [This.Founder.GetHerHis] legendary raids into foreign lands.;Connu[This.Founder.Get_E] comme un grand [This.Founder.GetWarriorRole] et chef, [This.Founder.GetFirstNameWithNick] a accumulé un grand soutien lors de ses pillages légendaires dans les pays étrangers.;Bekannt als großer [This.Founder.GetWarriorRole] und Anführer anderer hat sich [This.Founder.GetFirstNameWithNick] während [This.Founder.GetHerHis]er legendären Überfälle in fremde Länder als begeisterter Unterstützer herausgestellt.;;Célebre como gran [This.Founder.GetWarriorRole] y líder de otros. [This.Founder.GetFirstNameWithNick] reunió un apoyo entusiasta en sus incursiones legendarias en tierras extranjeras.;;;;;;;;x
bloodline_desc_legendary_raider;[This.Founder.GetFirstNameWithNick] was well respected within [This.Founder.Society.GetName], known for [This.Founder.GetHerHis] strategy and skill in battle, inspiring other [This.Founder.GetWarriorRole]s for years to come.;[This.Founder.GetFirstNameWithNick] était très respecté[This.Founder.Get_E] dans [This.Founder.Get_le_Society] pour sa stratégie et son habileté dans la bataille. C'est une source d'inspiration pour tout [This.Founder.GetWarriorRole].;[This.Founder.GetFirstNameWithNick] war in [This.Founder.Society.GetName] hoch angesehen und für [This.Founder.GetHerHis]e Strategien und Fähigkeiten im Kampf bekannt. Als [This.Founder.GetWarriorRole] inspiriert [This.Founder.GetSheHe] kommende Generationen.;;[This.Founder.GetFirstNameWithNick] fue respetad[This.Founder.GetOA] en [This.Founder.Society.GetName], célebre por su habilidad y estrategia en el combate, inspirará a otros [This.Founder.GetWarriorRole]s en los años venideros.;;;;;;;;x
bloodline_desc_legendary_soldier;Always ready for battle, [This.Founder.GetFirstNameWithNick] became famous for [This.Founder.GetHerHis] many victories, and being the finest [This.Founder.GetWarriorRole] [This.Founder.Society.GetName] had ever seen.;Toujours prêt[This.Founder.Get_E] pour la bataille, [This.Founder.GetFirstNameWithNick] est célèbre pour ses nombreuses victoires et pour être le meilleur [This.Founder.GetWarriorRole] jamais vu par [This.Founder.Get_le_Society].;Immer für den Kampf bereit wurde [This.Founder.GetFirstNameWithNick] für [This.Founder.GetHerHis]e vielen Siege bekannt und ist [This.Founder.Getderdie] [This.Founder.GetWarriorRole], die [This.Founder.Society.GetName] jemals gesehen hat.;;[This.Founder.GetFirstNameWithNick], siempre list[This.Founder.GetOA] para el combate, se hizo famoso por sus muchas victorias y ser [This.Founder.GetElLa] mejor [This.Founder.GetWarriorRole] que jamás se viera en [This.Founder.Society.GetName].;;;;;;;;x
bloodline_desc_legendary_warrior;This [This.Founder.GetEducationComplimentAdjective] [This.Founder.GetEducationRole] made a name for [This.Founder.GetHerselfHimself] fighting for [This.Founder.Society.GetName] and spreading the way of the [This.Founder.GetWarriorRole] to all who would dare challenge [This.Founder.GetHerHim].;C[From.GetEtEtte] [This.Founder.GetEducationRole] [This.Founder.GetEducationComplimentAdjective] s'est fait[This.Founder.Get_E] un nom en se battant pour [This.Founder.Get_le_Society] et en propageant la voie du [This.Founder.GetWarriorRole] à tous ceux qui osaient [This.Founder.GetLeLa] défier.;Diese[This.Founder.GetrMale][This.Founder.GetEducationComplimentAdjective] [This.Founder.GetEducationRole] hat sich selbst einen Namen gemacht, indem [This.Founder.GetSheHe] für [This.Founder.Society.GetName] kämpft und den Weg [This.Founder.Getdesder] [This.Founder.GetWarriorRole][This.Founder.GetsMale] an alle verbreitet, die es wagen würden, [This.Founder.Getihnsie] herauszufordern.;;Este [This.Founder.GetEducationRole] [This.Founder.GetEducationComplimentAdjective] ganó fama luchando por [This.Founder.Society.GetName] y difundiendo el camino del [This.Founder.GetWarriorRole] a todos los que se atrevieron a desafiar[This.Founder.GetLoLa].;;;;;;;;x
bloodline_desc_phalaris;[Root.GetTitledFirstName] has claimed that [Root.GetHerHis] dynasty shares blood with Phalaris, ancient Tyrant of Akragas, infamous for his use of the Brazen Bull against his enemies.;[Root.Get_Le_TitledFirstName] a déclaré que sa dynastie était du même sang que Phalaris, ancien tyran d'Acragas, tristement célèbre pour son utilisation du taureau d'airain contre ses ennemis.;[Root.GetTitledFirstName] hat behauptet, dass [Root.GetHerHis]e Dynastie vom Blut des Phalaris ist, dem Tyrannen von Akragas, der dafür bekannt ist seine Feinde in einem Bronzestier im Feuer zu rösten.;;[Root.GetTitledFirstName] ha afirmado que su dinastía comparte sangre con Falaris, antiguo tirano de Acragas, tristemente célebre por usar el toro de bronce contra sus enemigos.;;;;;;;;;x
bloodline_desc_roman;The glorious restorer of the Roman Empire, who brought Europe, Africa and Asia back under Imperial rule.;Le restaurateur glorieux de l'Empire romain, qui a ramené l'Europe, l'Afrique et l'Asie sous la domination impériale.;Derjenige, der das Römische Reich wiederherstellte und Europa, Afrika und Asien zurück unter die Herrschaft des Kaisers brachte.;;El glorioso restaurador del Imperio romano, que puso de nuevo Europa, Asia y África bajo el mandato imperial.;;;;;;;;;x
bloodline_desc_samrat_chakravartin;The legendary Samrat Chakravartin, uniter of all of India.;Le légendaire Samrat Chakravartin, unificateur de toute l'Inde.;Der legendäre Samrat Chakravartin, Vereiniger von ganz Indien.;;El legendario Samrat Chakravartin, unificador de la India.;;;;;;;;;x
bloodline_desc_saoshyant;The promised Saoshyant, savior of the world and holy icon according to the Zoroastrian belief.;Le Saoshyant promis, sauveur du monde et icône sacrée selon la croyance zoroastrienne.;Der prophezeite Saoschjant, Retter der Welt und heilige Ikone nach dem zoroastrischen Glauben.;;El augurado Saosyant, salvador del mundo e icono santo según la fe zoroástrica.;;;;;;;;;x
bloodline_desc_sea_king_bloodline_pirate;Entire cities have been decimated by the raids of [Root.GetTitledFirstName]. [Root.GetHerHisCap] actions ensured [Root.GetHerHim] the legacy of one of the most fearsome and ruthless Pirates of [Root.PrimaryTitle.GetName].;Des cités entières ont été décimées par les pillages [Root.Get_du_TitledFirstName], gravant son nom dans le marbre en tant que l'un[Root.Get_E] des pirates les plus redoutables et impitoyables [Root.PrimaryTitle.Get_du_Realm].;Ganze Städte wurden durch die Überfälle von [This.Founder.GetTitledFirstName] niedergemäht. [Root.GetHerHisCap]e Taten versicherten [Root.GetHerHim] das Vermächtnis als einer der furchterregendsten und rücksichtslosesten Piraten von [Root.PrimaryTitle.GetName].;;Ciudades enteras fueron devastadas por las incursiones de [Root.GetTitledFirstName]. Sus acciones le garantizaron un legado como uno de los piratas de [Root.PrimaryTitle.GetName] más terribles y despiadados.;;;;;;;;x
bloodline_desc_sea_king_bloodline_viking;Entire cities have been decimated by the raids of [Root.GetTitledFirstName]. [Root.GetHerHisCap] actions ensured [Root.GetHerHim] the legacy of one of the most fearsome and ruthless Vikings of [Root.PrimaryTitle.GetName].;Des cités entières ont été décimées par les pillages [Root.Get_du_TitledFirstName], gravant son nom dans le marbre en tant que l'un[Root.Get_E] des pirates les plus redoutables et impitoyables [Root.PrimaryTitle.Get_du_Realm].;Ganze Städte wurden durch die Überfälle von [This.Founder.GetTitledFirstName] niedergemäht. [Root.GetHerHisCap]e Taten versicherten [Root.GetHerHim] das Vermächtnis als einer der furchterregendsten und rücksichtslosesten Wikinger von [Root.PrimaryTitle.GetName].;;Ciudades enteras fueron devastadas por las incursiones de [Root.GetTitledFirstName]. Sus acciones le garantizaron un legado como uno de los vikingos de [Root.PrimaryTitle.GetName] más terribles y despiadados.;;;;;;;;x
bloodline_desc_teuta;[Root.GetTitledFirstName] has claimed that [Root.GetHerHis] dynasty shares blood with Teuta, the Pirate-Queen of the Illyrians who stood tragically against the Roman Empire of old.;[Root.Get_Le_TitledFirstName] a déclaré que sa dynastie est du même sang que Teuta, la reine pirate des Illyriens qui s'est tragiquement dressée contre l'Empire romain d'antan.;[Root.GetTitledFirstName] hat beansprucht, dass [Root.GetHerHis]e Dynastie ihr Blut mit Teuta teilt, der Piratenkönigin der Illyrer, die in vergangener Zeit gegen das Römische Reich standen.;;[Root.GetTitledFirstName] afirmó que la su dinastía comparte sangre con Teuta, la reina pirata de los ilirios que se opuso trágicamente al antiguo Imperio romano.;;;;;;;;;x
bloodline_description_random_world_1;The challenges that [This.Founder.GetFullName] overcame on [This.Founder.GetHerHis] rise to power were so great that the very blood that courses through [This.Founder.GetHerHis] veins is considered legendary.;Les défis que [This.Founder.GetFullName] a surmontés lors de son ascension au pouvoir étaient si grands que même le sang qui coule dans ses veines est considéré comme légendaire.;Die Herausforderungen, die [This.Founder.GetFullName] auf [This.Founder.GetHerHis]em Weg zur Macht bewältigt hat, waren so groß, dass das Blut, das durch [This.Founder.GetHerHis]e Venen fließt, als legendär angesehen wird.;;Los retos que [This.Founder.GetFullName] tuvo que superar para alcanzar el poder fueron tan grandes que se considera que la sangre que corre por sus venas es legendaria.;;;;;;;;;x
bloodline_description_random_world_2;A master with any weapon, [This.Founder.GetFullName] was always the first into war and the last off the battlefield.;Maîtrisant n'importe quelle arme, [This.Founder.GetFullName] était toujours [This.Founder.GetLeLa] premi[This.Founder.GetErEre] à entrer en guerre et [This.Founder.GetLeLa] derni[This.Founder.GetErEre] à quitter le champ de bataille.;Als Meister aller Waffen war [This.Founder.GetFullName] immer der erste in der Schlacht und der letzte, der vom Schlachtfeld ging.;;Maestro con cualquier arma, [This.Founder.GetFullName] fue siempre el primero en entrar en combate y el último en salir del campo de batalla.;;;;;;;;;x
bloodline_description_random_world_3;[This.Founder.GetFullName] is said to have been one of the most beautiful [This.Founder.GetMenWomen] to ever live, not to mention a fantastic lover.;[This.Founder.GetFullName] est admiré[This.Founder.Get_E] pour sa beauté exceptionnelle et pour avoir été un[This.Founder.Get_E] amant[This.Founder.Get_E] formidable.;Von [This.Founder.GetFullName] wird gesagt, dass [This.Founder.GetSheHe] [This.Founder.Getderdie] schönste [This.Founder.GetMenWomen] sei, [This.Founder.Getderdie] jemals gelebt hat, ganz zu schweigen von [This.Founder.GetHerHis] Gabe als fantastische[This.Founder.GetrMale] Liebhaber[This.Founder.GetinFemale].;;Se dice que a [This.Founder.GetFullName] se le tenía por un[This.Founder.GetOA] de [This.Founder.GetLoLa]s [This.Founder.GetMenWomen] más hermos[This.Founder.GetOA]s de la historia, por no decir de un[This.GetXA] amante fantástic[This.GetOA].;;;;;;;;;x
bloodline_legendary_battle_bard_A;[This.Founder.GetWarriorRoleCap]'s Lineage;Lignée de [This.Founder.GetWarriorRole];Erblinie [This.Founder.Geteineseiner] [This.Founder.GetWarriorRoleCap][This.Founder.GetsMale];;Linaje de [This.Founder.GetWarriorRoleCap];;;;;;;;x
bloodline_legendary_battle_bard_B;[This.Founder.Society.GetNameCap];[This.Founder.Society.GetNameCap];[This.Founder.Society.GetNameCap];;[This.Founder.Society.GetNameCap];;;;;;;;x
bloodline_legendary_battle_bard_C;[This.Founder.GetWarriorLodgeSymbolShortCap] Blood of [This.Founder.GetFirstNameWithNick];Sang [This.Founder.GetWarriorLodgeSymbolShortCap] de [This.Founder.GetFirstNameWithNick];[This.Founder.GetWarriorLodgeSymbolShortCap]blut von [This.Founder.GetFirstNameWithNick];;Sangre [This.Founder.GetWarriorLodgeSymbolShort] de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_battle_bard_D;Blood of the [This.Founder.GetWarriorLodgeSymbolShortCap];Sang [This.Founder.GetWarriorLodgeSymbolShortCap];Blut [This.Founder.GetWarriorLodgeSymbolDE1];;Sangre del [This.Founder.GetWarriorLodgeSymbolShortCap];;;;;;;;x
bloodline_legendary_battle_survivor_A;Iron Blood of [This.Founder.GetFirstNameWithNick];Sang de fer de [This.Founder.GetFirstNameWithNick];Eisenblut von [This.Founder.GetFirstNameWithNick];;Sangre de hierro de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_battle_survivor_B;Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];Blut von [This.Founder.GetFirstNameWithNick];;Sangre de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_battle_survivor_C;Blood of the Survivor;Sang du survivant;Blut des Überlebenden;;Sangre del superviviente;;;;;;;;x
bloodline_legendary_battle_survivor_D;Unyielding Blood;Sang inflexible;Unnachgiebiges Blut;;Sangre inflexible;;;;;;;;x
bloodline_legendary_captor_A;Blood of Relentlessness;Sang de l'implacabilité;Blut der Unnachgiebigkeit;;Sangre implacable;;;;;;;;x
bloodline_legendary_captor_B;Destroyer's Blood;Sang du Destructeur;Blut des Zerstörers;;Sangre del destructor;;;;;;;;x
bloodline_legendary_captor_C;Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];Blut von [This.Founder.GetFirstNameWithNick];;Sangre de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_captor_D;[This.Founder.GetSonDaughterCap]s of [This.Founder.Society.GetName];[This.Founder.GetSonDaughterCap] [This.Founder.Get_du_Society];[This.Founder.GetSonDaughterCap] von [This.Founder.Society.GetName];;[This.Founder.GetSonDaughterCap]s de [This.Founder.Society.GetName];;;;;;;;x
bloodline_legendary_commander_A;Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];Blut von [This.Founder.GetFirstNameWithNick];;Sangre de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_commander_B;Legacy of [This.Founder.GetFirstNameWithNick];Héritage de [This.Founder.GetFirstNameWithNick];Vermächtnis von [This.Founder.GetFirstNameWithNick];;Legado de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_commander_C;Blood of the [This.Founder.GetWarriorLodgeSymbolShortCap] Heart;Sang du coeur [This.Founder.GetWarriorLodgeSymbolShortCap];Blut [This.Founder.GetWarriorLodgeSymbolDE4]herzens;;Sangre del Corazón del [This.Founder.GetWarriorLodgeSymbolShort];;;;;;;;x
bloodline_legendary_commander_D;Blood of the [This.Founder.GetWarriorLodgeSymbolShortCap] [This.Founder.GetWarriorRoleCap];Sang de [This.Founder.GetWarriorRoleCap] [This.Founder.GetWarriorLodgeSymbolShortCap];Blut des [This.Founder.GetWarriorLodgeSymbolDE4]-[This.Founder.GetWarriorRoleCap];;Sangre del [This.Founder.GetWarriorRoleCap] [This.Founder.GetWarriorLodgeSymbolShort];;;;;;;;x
bloodline_legendary_dog_hunter_A;Canine Blood;Sang canin;Hundeblut;;Sangre canina;;;;;;;;x
bloodline_legendary_dog_hunter_B;Bloodhound Legacy;Héritage de limier;Vermächtnis des Bluthundes;;Legado sabueso;;;;;;;;x
bloodline_legendary_dog_hunter_C;Wolf-Blood of [This.Founder.GetFirstNameWithNick];Sang de loup de [This.Founder.GetFirstNameWithNick];Wolfsblut von [This.Founder.GetFirstNameWithNick];;Sangre lupina de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_dog_hunter_D;Hounded Blood;Sang de chien;Gehetztes Blut;;Sangre sabuesa;;;;;;;;x
bloodline_legendary_eagle_hunter_A;Sky Blood of [This.GetTitledFirstName];Sang du ciel [This.Founder.Get_du_TitledFirstName];Himmelsblut von [This.GetTitledFirstName];;Sangre celestial de [This.GetTitledFirstName];;;;;;;;x
bloodline_legendary_eagle_hunter_B;Eternal Blood of [This.GetTitledFirstName];Sang éternel [This.Founder.Get_du_TitledFirstName];Ewiges Blut von [This.GetTitledFirstName];;Sangre eterna de [This.GetTitledFirstName];;;;;;;;x
bloodline_legendary_eagle_hunter_C;Blood of Open Skies;Sang du ciel dégagé;Blut der Freien Himmel;;Sangre de Cielos abiertos;;;;;;;;x
bloodline_legendary_eagle_hunter_D;Windrunner's Blood;Le sang de Coursevent;Blut des Windläufers;;Sangre de Jinete del viento;;;;;;;;x
bloodline_legendary_leader_A;[This.Founder.GetWarriorRoleCap]'s Blood;[This.Founder.GetWarriorRoleCap] Sang;[This.Founder.GetWarriorRoleCap]blut;;Sangre de [This.Founder.GetWarriorRole];;;;;;;;x
bloodline_legendary_leader_B;Blood of the [This.Founder.GetWarriorRoleCap];Sang de [This.Founder.GetWarriorRoleCap];Blut [This.Founder.Getdesder] [This.Founder.GetWarriorRoleCap][This.Founder.GetsMale];;Sangre del [This.Founder.GetWarriorRole];;;;;;;;x
bloodline_legendary_leader_C;Blood of a Leader;Sang d'un chef;Blut eines Führers;;Sangre de un líder;;;;;;;;x
bloodline_legendary_leader_D;Ardent Blood of [This.Founder.GetWarriorRoleCap];Sang Ardent de [This.Founder.GetWarriorRoleCap];Feuriges Blut [This.Founder.Getdesder] [This.Founder.GetWarriorRoleCap][This.Founder.GetsMale];;Sangre ardiente de [This.Founder.GetWarriorRole];;;;;;;;x
bloodline_legendary_raider_A;Raider's Blood;Le sang de pilleur;Blut des Plünderers;;Sangre de incursor;;;;;;;;x
bloodline_legendary_raider_B;Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];Blut von [This.Founder.GetFirstNameWithNick];;Sangre de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_raider_C;[This.Founder.GetWarriorLodgeSymbolShortCap] Blood of the [This.Founder.GetWarriorRoleCap];Sang de [This.Founder.GetWarriorRoleCap] [This.Founder.GetWarriorLodgeSymbolShortCap];[This.Founder.GetWarriorLodgeSymbolShortCap]blut des [This.Founder.GetWarriorRoleCap];;Sangre [This.Founder.GetWarriorLodgeSymbolShort] de [This.Founder.GetWarriorRoleCap];;;;;;;;x
bloodline_legendary_raider_D;Marauder's Blood;Le sang du maraudeur;Blut des Marodeurs;;Sangre de merodeador;;;;;;;;x
bloodline_legendary_soldier_A;[This.Founder.GetEducationComplimentAdjectiveCap] [This.Founder.GetWarriorRoleCap]'s Blood;Sang de [This.Founder.GetWarriorRole];Blut [This.Founder.Geteineseiner] [This.Founder.GetEducationComplimentAdjectiveCap]en [This.Founder.GetWarriorRoleCap][This.Founder.GetsMale];;Sangre [This.Founder.GetEducationComplimentAdjective] de [This.Founder.GetWarriorRole];;;;;;;;x
bloodline_legendary_soldier_B;[This.Founder.GetEducationComplimentAdjectiveCap] Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];[This.Founder.GetEducationComplimentAdjectiveCap]es Blut von [This.Founder.GetFirstNameWithNick];;Sangre [This.Founder.GetEducationComplimentAdjectiveCap]de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_soldier_C;[This.Founder.GetWarriorRoleCap]'s Steel Blood;Sang de [This.Founder.GetWarriorRole];Gestähltes Blut [This.Founder.Geteineseiner] [This.Founder.GetWarriorRoleCap][This.Founder.GetsMale];;Sangre acerada de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_soldier_D;Battle Blood of [This.Founder.GetFirstNameWithNick];Sang de [This.Founder.GetFirstNameWithNick];Kampfesblut von [This.Founder.GetFirstNameWithNick];;Sangre batalladora de [This.Founder.GetFirstNameWithNick];;;;;;;;x
bloodline_legendary_warrior_A;Pride of [This.Founder.Society.GetName];Fierté [This.Founder.Get_du_Society];Stolz von [This.Founder.Society.GetName];;Orgullo de [This.Founder.Society.GetName];;;;;;;;x
bloodline_legendary_warrior_B;Blood of a [This.Founder.GetWarriorRoleCap];Sang de [This.Founder.GetWarriorRole];Blut [This.Founder.Geteineseiner] [This.Founder.GetWarriorRoleCap][This.Founder.GetsMale];;Sangre de un [This.Founder.GetWarriorRoleCap];;;;;;;;x
bloodline_legendary_warrior_C;Blood of [This.Founder.GetWarriorBattleNick];Sang de [This.Founder.GetWarriorBattleNick];Blut von [This.Founder.GetWarriorBattleNick];;Sangre de [This.Founder.GetWarriorBattleNick];;;;;;;;x
bloodline_legendary_warrior_D;[This.Founder.GetWarriorRoleCap]'s Blood;Sang de [This.Founder.GetWarriorRole];[This.Founder.GetWarriorRoleCap]blut;;Sangre de [This.Founder.GetWarriorRoleCap];;;;;;;;x
bloodline_sea_king_pirate_random_a;Saltblood of [Root.GetFirstName];Sang salé de [Root.GetFirstName];Salzblut von [Root.GetFirstName];;Sangre salada de [Root.GetFirstName];;;;;;;;x
bloodline_sea_king_pirate_random_b;Kraken of [Root.Capital.GetName];le Kraken de [Root.Capital.GetName];Kraken von [Root.Capital.GetName];;Kraken de [Root.GetFirstName];;;;;;;;x
bloodline_sea_king_pirate_random_c;Abyssal Blood;Sang des Abysses;Blut des Abgrunds;;Sangre abisal;;;;;;;;x
bloodline_sea_king_pirate_random_d;Stormforged;Forgé par la Tempête;Sturmgeschmiedet;;Forjado en la tormenta;;;;;;;;x
bloodline_sea_king_viking_random_a;Stormblood of [Root.GetFirstName];Tempête de Sang de [Root.GetFirstName];Sturmblut von [Root.GetFirstName];;Sangre tormentosa de [Root.GetFirstName];;;;;;;;x
bloodline_sea_king_viking_random_b;Blood of the Depths;Sang des profondeurs;Blut der Tiefe;;Sangre de los abismos;;;;;;;;x
bloodline_sea_king_viking_random_c;Aesiryan Blood;Sang aesirien;Asisches Blut;;Sangre de aesires;;;;;;;;x
bloodline_sea_king_viking_random_d;Blood of the Tempest;Sang de la Tempête;Blut des Sturmwindes;;Sangre de la tempestad;;;;;;;;x
bloodline_seaqueen_pirate_random_a;Fury of [Root.Capital.GetName];Furie de [Root.Capital.GetName];Zorn von [Root.Capital.GetName];;Furia de [Root.Capital.GetName];;;;;;;;x
bloodline_seaqueen_pirate_random_b;Siren Blood;Sang de Sirène;Blut der Sirene;;Sangre de sirenas;;;;;;;;x
bloodline_seaqueen_pirate_random_c;Saltblood of [Root.GetFirstName];Sang salé de [Root.GetFirstName];Salzblut von [Root.GetFirstName];;Sangre salada de [Root.GetName];;;;;;;;x
bloodline_seaqueen_pirate_random_d;Stormforged;Forgé par la Tempête;Sturmgeschmiedet;;Forjada en la tormenta;;;;;;;;x
bloodline_seaqueen_viking_random_a;Stormblood of [Root.GetFirstName];Tempête de Sang de [Root.GetFirstName];Sturmblut von [Root.GetFirstName];;Sangre tormentosa de [Root.GetFirstName];;;;;;;;x
bloodline_seaqueen_viking_random_b;Wyrm Blood;Sang de dragon des mers;Blut der Seeschlange;;Sangre de la serpiente marina;;;;;;;;x
bloodline_seaqueen_viking_random_c;Valkyrian Blood;Sang valkyrien;Walkürisches Blut;;Sangre de valquirias;;;;;;;;x
bloodline_seaqueen_viking_random_d;Eye of the Maelstrom;Oeil du maelström;Auge des Maelstroms;;Ojo del Maelstorm;;;;;;;;x
bloodthirsty_female_bloodline;Bloodthirsty;Sanguinaire;Blutdurstige;;Sanguinaria;;;;;;;;x
bloodthirsty_female_bloodline_desc;[This.Founder.GetTitledFirstName] dedicated [This.Founder.GetHerHis] life to build an empire of blood and skulls in honor of [This.Founder.GetHerHis] fickle and cruel gods.;[This.Founder.Get_Le_TitledFirstName] a consacré sa vie à bâtir un empire dans le sang en l'honneur de ses dieux inconstants et cruels.;[This.Founder.GetTitledFirstName] hat [This.Founder.GetHerHis] Leben dem Bau eines Imperiums voller Blut und Schädel zu Ehren von wankelmütigen und grausamen Göttern gewidmet.;;[This.Founder.GetTitledFirstName] dedicó su vida a levantar un imperio de sangre y cráneos en honor a sus dioses veleidosos y crueles.;;;;;;;;x
bloodthirsty_male_bloodline;Bloodthirsty;Sanguinaire;Blutdurstiger;;Sanguinario;;;;;;;;x
bloodthirsty_male_bloodline_desc;[This.Founder.GetTitledFirstName] dedicated [This.Founder.GetHerHis] life to build an empire of blood and skulls in honor of [This.Founder.GetHerHis] fickle and cruel gods.;[This.Founder.Get_Le_TitledFirstName] a consacré sa vie à bâtir un empire dans le sang en l'honneur de ses dieux inconstants et cruels.;[This.Founder.GetTitledFirstName] hat [This.Founder.GetHerHis] Leben dem Bau eines Imperiums voller Blut und Schädel zu Ehren von wankelmütigen und grausamen Göttern gewidmet.;;Esta persona dedicó la vida a levantar un imperio de sangre y cráneos en honor a sus dioses veleidosos y crueles.;;;;;;;;x
child_of_destiny_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
child_of_destiny_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
