BM_100_YEARS_WAR;The Hundred Years War;La guerre de Cent Ans;Der Hundertjährige Krieg;;La Guerra de los Cien años;;;;;;;;;x
ERA_CHAR_INFO_6392;Son of Pepin the Short and a descendant of Charles Martel, Charlemagne (or Karl, as his contemporaries called him) became joint king of the Franks with his brother Karloman in 769. After a two-year power struggle, Karloman suddenly and conveniently fell ill and died, leaving Karl as sole ruler of the Franks.  He then proceeded to make the kingdom greater than ever before, conquering Saxony, Lombardy and other lands with equal measures of good strategic planning and ruthlessness. He was eventually crowned Holy Roman Emperor by pope Leo III, and his descendants were to rule large parts of Europe for a long time to come.;Fils de Pepin le Bref et descendant de Charles Martel, Charlemagne devient roi des Francs en compagnie de son frère Carloman en 769. Après une lutte de pouvoirs qui dure deux ans, Carloman fait le bonheur de son frère lorsqu'il tombe gravement malade et meurt, laissant Charles unique roi des Francs. Celui-ci entreprent alors de rendre son royaume plus grand qu'il ne l'a jamais été : il conquiert la Saxe, la Lombardie et d'autres terres, aussi bien par sa bonne planification stratégique que par son caractère impitoyable. Il est finalement couronné Saint-Empereur romain par le pape Léon III. Ses descendants vont par la suite régner sur une part importante de l'Europe pendant de longs siècles.;Als Sohn Pippins des Kleinen und als Nachkomme Karl Martells wurde Karl der Große 769 gemeinsam mit seinem Bruder Karlmann König der Franken. Nach zweijährigem Machtkampf wurde Karlmann ebenso plötzlich wie füglich krank und verstarb, was Karl sodann zum alleinigen König der Franken werden ließ. Im Anschluss daran machte er sein Königreich größer als jemals zuvor und eroberte in einer Mischung aus strategischem Geschick und Rücksichtslosigkeit die Sachsen, die Lombardei und weitere Gebiete. Von Papst Leo III. schließlich zum Kaiser des Heiligen Römischen Reiches gekrönt, legte er die Grundlage, auf der seine Nachkommen für lange Zeit über große Teile Europas herrschen sollten.;;Hijo de Pipino el Breve y descendiente de Carlos Martel, Carlomagno conreinó, junto con su hermano Carloman, el reino de los francos en 769. Después de dos años de fuertes luchas de poder, Carlomán repentina -y convenientemente- cayó enfermo y murió, dejando a Carlos como único gobernante de los francos. Entonces, se centró en extender el reino como nunca antes se había hecho, conquistando Sajonia, Lombardía y otras tierras con planificación y crueldad a partes iguales. Finalmente fue coronado Sacro Emperador Romano por el papa León III, y sus descendientes reinaron gran parte de Europa durante mucho tiempo. ;;;;;;;;;x
ERA_CHAR_INFO_30809;Isabelle was born in 1212 in southern Italy as the only child of Maria de Montferrat, Queen of Jerusalem. Her mother died shortly after giving birth, and the newborn Isabelle was proclaimed Queen with her father Jean de Brienne acting as her regent. At the age of 13, Isabelle was wed to the Holy Roman Emperor Friedrich II, effectively being used as a pawn to encourage the Emperor to participate in the Fifth Crusade. The wedding saw the Emperor crowned King of Jerusalem and Isabelle’s father stripped of all his powers. Isabelle herself was kept in seclusion by her husband. She lost a baby daughter before herself dying while giving birth to her son Conrad in 1228. Shortly after her death, Friedrich finally embarked on the promised crusade.;Née en 1212 dans le sud de l'Italie, Isabelle fut l'unique enfant de Marie de Montferrat, reine de Jérusalem. Sa mère mourut peu après avoir donné naissance et Isabelle fut proclamée reine, avec pour régent son père Jean de Brienne. À 13 ans, Isabelle fut mariée à Frédéric II, empereur du Saint-Empire romain, et servit de pion pour encourager l'empereur à prendre part à la cinquième croisade. Par ce mariage, l'empereur fut couronné roi de Jérusalem et le père d'Isabelle fut privé de tous ses pouvoirs. Isabelle fut gardée captive par son mari. Elle perdit une première fille à la naissance avant de décéder en donnant vie à son fils Conrad en 1228. Peu après la mort d'Isabelle, Frédéric entreprit la croisade promise.;Isabelle wurde 1212 in Süditalien als Kind von Maria de Montferrat, der Königin von Jerusalem, geboren. Die kurz nach der Geburt verstorbene Mutter hinterließ ihrer Tochter die Königskrone, deren Erbe sie unter der Regentschaft ihres Vaters Jean de Brienne antrat. Mit 13 Jahren wurde Isabelle als diplomatisches Faustpfand mit dem Kaiser des Heiligen Römischen Reiches, Friedrich II., verheiratet, um diesen zur Teilnahme am Fünften Kreuzzug zu bewegen. Im Zuge der Hochzeit wurde Friedrich zum König von Jerusalem gekrönt und Isabelles Vater entmachtet. Nach der Heirat wurde Isabelle von ihrem Mann in ein zurückgezogenes Leben gedrängt. Sie verlor eine Tochter und starb 1228 bei der Geburt ihres Sohnes Konrad. Kurz nach ihrem Tod brach Friedrich tatsächlich zu dem Kreuzzug auf, auf den man sich vor der Hochzeit geeinigt hatte.;;Isabel nació en 1212 en el sur de Italia como hija única de María de Montferrato, reina de Jerusalén. Su madre murió poco después de dar a luz, y la recién nacida Isabel fue proclamada reina, con su padre Juan de Brienne actuando como regente. Con 13 años Isabel fue casada con Federico II, emperador del Sacro Imperio Romano, siendo efectivamente utilizada como peón para alentar al emperador a participar en la Quinta cruzada. En la boda el Emperador fue coronado rey de Jerusalén y el padre de Isabel fue despojado de todos sus poderes. La misma Isabel fue mantenida en reclusión por su marido. Perdió una hija antes de morir dando a luz a su hijo Conrado en 1228. Poco después de su muerte, Federico finalmente se embarcó en la prometida cruzada.;;;;;;;;;x
ERA_CHAR_INFO_32901;Al-Qaim followed his father, Caliph al-Mahdi, as he settled down in Ifriqiya and established the Fatimid Caliphate. In direct opposition to the Abbasid Caliphate in Baghdad, they filled the room left behind as the Abbasids had lost control of their peripheral regions. Early in al-Qaim's reign, a large rebellion rose up in the west led by Abu Yazid. For several years the Fatimid armies were pushed back, as the rebellion grew ever closer to their capital in Mahdia. After al-Qaim's death, his son and successor al-Mansur finally managed to beat the rebellion back and take control of their lands once again. The dynasty would later go on to invade Ikhshidid Egypt and establish Cairo as the new capital of their Caliphate.;Al-Qâ'im a suivi les traces de son père, le calife al-Mahdî, en s’établissant en Ifriqiya et en créant le califat fatimide. En opposition directe avec le califat abbasside à Bagdad, ils se sont emparées de terres périphériques dont les Abbassides avaient perdu le contrôle. Au début du règne d'Al-Qâ'im, une grande rébellion dirigée par Abou Yazid fit rage dans l'ouest. Pendant plusieurs années, les armées fatimides ont été repoussées, la rébellion se rapprochant de plus en plus de leur capitale, Mahdia. Après la mort d'Al-Qâ'im, son fils et successeur, al-Mansur, a finalement réussi à repousser la rébellion et à reprendre le contrôle des terres. La dynastie envahira ensuite l’Égypte ikhchidide et établira le Caire comme nouvelle capitale du califat.;Al-Qaim beerbte seinen Vater, Kalif al-Mahdi, als er sich in Ifriqiya niederließ und das Fatimidenkalifat gründete. Im direkten Gegensatz zum abbasidischen Kalifat in Bagdad füllten sie den Raum, der freigeworden war, als die Abbasiden die Kontrolle über ihre Randregionen verloren hatten. Zu Beginn der Regierungszeit von Al-Qaim kam es im Westen zu einem großen Aufstand, der von Abu Yazid angeführt wurde. Einige Jahre lang wurden die Armeen der Fatimiden zurückgedrängt, doch der Aufstand rückte immer näher an ihre Hauptstadt in Mahdia heran. Nach dem Tod von al-Qaim gelang es seinem Sohn und Nachfolger al-Mansur endlich, den Aufstand zurückzuschlagen und wieder die Kontrolle über das Land zu übernehmen. Die Dynastie drang später in das ikhshididische Ägypten ein und etablierte Kairo als neue Hauptstadt ihres Kalifats.;;Al-Qaim sucedió a su padre, el califa al-Mahdi que se instaló en Ifriqiya y fundó el Califato fatimí. Directamente opuestos al califato abasida de Bagdad, llenaron el espacio dejado por los abasidas al perder el control sobre las regiones periféricas. Al principio del reinado de al-Qaim, estalló una gran rebelión al oeste liderada por Abu Yazid. Durante muchos años, los ejércitos fatimíes fueron rechazados y la rebelión se iba acercando cada vez más a su capital, Mahdía. A la muerte de al-Qaim, su hijo y sucesor al-Mansur consiguió finalmente derrotar la rebelión y retomar el control sobre sus tierras. La dinastía acabaría invadiendo el Egipto ijsidí y fundando El Cairo como nueva capital de su califato.;;;;;x
ERA_CHAR_INFO_33350;As the son of Edward the Elder, he gained the Kingdom of Mercia after the death of his father, and Wessex after the death of his brother only weeks afterwards. Waging war against the Norsemen in York, Æthelstan pushed northwards and took the city in 927, becoming the first king of a truly united England. Ten years later, in 937, a coalition led by the Kings of Scotland, Strathclyde, and Dublin waged war against Æthelstan, which ended with the Battle of Brunanburh. With a decisive victory it seemed Æthelstan had finally secured his rule in England, but only two years later he died and was succeeded by his half-brother Edmund.;Fils d'Édouard l'Ancien, il obtint le royaume de Mercie à la mort de son père et Wessex quelques semaines plus tard, à la mort de son frère. Il s'empara de la ville d'York en 927, alors aux mains des Vikings, devenant ainsi le premier roi d'une Angleterre véritablement unie. En 937, une coalition dirigée par les rois d'Écosse, de Strathclyde et de Dublin mena une guerre contre Æthelstan. Elle s'acheva par la victoire décisive de ce dernier lors de la bataille de Brunanburh. Alors qu'il semblait avoir affirmé son autorité en Angleterre, il meurt deux ans plus tard et son demi-frère Edmund lui succède.;Als Sohn von Edward dem Älteren erlangte er nach dem Tod seines Vaters das Königreich Mercia und nur wenige Wochen später Wessex nach dem Tod seines Bruders. Æthelstan, der in York Krieg gegen die Nordmänner führte, stieß nach Norden vor und eroberte 927 die Stadt und wurde der erste König eines wirklich vereinten Englands. Zehn Jahre später, im Jahr 937, führte eine Koalition der Könige von Schottland, Strathclyde und Dublin einen Krieg gegen Æthelstan, der mit der Schlacht von Brunanburh endete. In einem entscheidenden Sieg schien Æthelstan seine Herrschaft in England endgültig gesichert zu haben, doch nur zwei Jahre später starb er und wurde von seinem Halbbruder Edmund abgelöst.;;Como hijo de Eduardo el Viejo, ganó el Reino de Mercia a la muerte de su padre y Wessex tras la muerte de su hermano pocas semanas después. Guerreó contra los nórdicos de York, los expulsó hacia el norte y tomó la ciudad en 927, convirtiéndose en el primer rey de una Inglaterra totalmente unida. Diez años más tarde, en 937, una coalición dirigida por los reyes de Escocia, Strathclyde y Dublín declaró la guerra a Athelstan que terminaría en la batalla de Brunaburh. Con su decisiva victoria, pareció que Athelstan aseguraba finalmente su reinado en Inglaterra, pero murió solo dos años después y fue sucedido por su hermanastro Edmundo.;;;;;x
ERA_CHAR_INFO_34002;Al-Mansur became sole ruler of the Caliphate after the death of his brother. After defeating several potential challengers to his rule, he led a long and relatively stable reign over his huge empire. His time in power saw the rise of new Islamic literature and scholarship, thanks to cultural tolerance, conversion of new peoples and groups to Islam and a further inclusion of the Persian world into the Caliphate. His reign also saw tentative diplomatic contacts with realms as far away as China.;Al-Mansour devient unique souverain du califat après la mort de son frère. Après avoir vaincu plusieurs potentiels prétendants au trône, il règne sur son empire pendant une période longue et relativement stable. Son règne voit la montée d'une nouvelle littérature et d'une érudition islamiques en raison de sa tolérance culturelle, de la conversion de nouveaux peuples et groupes à l'islam et de l'ajout de nouvelles contrées du monde perse au le califat. Son règne est également une période où des relations diplomatiques voient le jour avec des royaumes aussi éloignés que la Chine.;Nach dem Tod seines Bruders wurde Al-Mansur zum alleinigen Herrscher über das Kalifat. Nach der Ausschaltung potenzieller Konkurrenten herrschte er für lange Zeit in relativer Stabilität über sein riesiges Reich. In die Zeit seiner Herrschaft fällt der Aufstieg einer neuen islamischen Literatur und Wissenschaft, durch die dank einer kulturellen Toleranz neue Völker und Gruppen für den Islam gewonnen und die persische Welt ins Kalifat integriert werden konnte. Seine diplomatischen Bemühungen waren weitreichend, selbst mit China gab es ansatzweise Kontakt.;;Al-Mansur, tras la muerte de su hermano, se convirtió en el único gobernante del califato. Después de derrotar a varios aspirantes al poder, lideró un largo y relativamente estable reino en su vasto imperio. Bajo su reinado floreció una nueva erudición y literatura islámica. La tolerancia cultural propició en el califato la conversión de nuevos pueblos al islam y una mayor inmersión en el mundo persa. Su reino también tuvo tentativas de contactos diplomáticos con reinos tan lejanos como la China.;;;;;;;;;x
ERA_CHAR_INFO_34014;Al-Mu'tazz became Caliph in 866, at only 19 years of age, in a situation where the Abbasid Empire was rife with power struggles between different factions. After a very bloody period of dealing with his various enemies he looked like he was coming out on top, but by then his coffers were empty and a rebellion among the soldiers turned his fortunes around. In the end he was taken prisoner, beaten and locked in a room to starve to death. He was 24 years old when he died.;Al-Mu'tazz n'a que 19 ans lorsqu'il devient calife en 866. L'Empire abbasside est alors en proie aux luttes entre factions. Après une période très sanglante où il règle les problèmes avec ses nombreux ennemis, il semble enfin prendre le dessus, mais ses coffres sont vides et une rébellion de son armée fait tourner sa chance. Il est emprisonné et enfermé dans une pièce où on le laissera mourir de faim. Il n'a que 24 ans lorsqu'il décède.;Im Jahre 866 wurde Al-Mu'tazz mit 19 Jahren zum Kalifen. Das Reich der Abbasiden war zu dieser Zeit von Machtkämpfen zwischen verschiedenen Gruppen zerrüttet. Nachdem er sich blutig um seine Feinde gekümmert hatte, schien er zu obsiegen - bis sich seine Kasse leerte und eine Rebellion unter seinen Soldaten sein Schicksal besiegelte. Er wurde gefangen genommen, geschlagen und weggeschlossen, auf dass er verhungere. Zur Zeit seines Todes war er 24 Jahre alt.;;Al-Mu'tazz llegó a ser Califa en 866, a la edad de 19 años, y en una situación en que el imperio abasí sufría mucho en la luchas entre distintos facciones. Después de un periodo sangriente de luchar contra sus enemigos, Al-Mu'tazz parecía salir vincente, pero ya había gastado sus recursos económicos y una rebelión entre sus soldados cambió su fortuna. Acabó preso, y fue golpeado y encerrado para morirse de hambre. Murió a los 24 años.;;;;;;;;x
ERA_CHAR_INFO_40605;Rurik was a viking of Swedish origin who took advantage of the internal struggles of the tribes around Ladoga to conquer and establish a strong Norse realm in the east. His successors expanded their influence and eventually ruled as far south as Kiev, and the dynasty soon also adopted the Slavic language and customs (as Viking settlers often did). The descendants of Rurik would eventually become the first Tsars of Russia.;Riourik est un Viking d'origine suédoise qui a su tirer parti des luttes entre les tribus établies autour du lac Ladoga pour conquérir et fonder un puissant royaume nordique à l'est. Ses successeurs étendent son influence qui finit par se développer dans le sud jusqu'à Kiev. La dynastie adopte rapidement la langue et les coutumes slaves (phénomène souvent observé chez les colons vikings). Les descendants de Riourik deviendront par la suite les premiers tsars de Russie.;Rurik war ein Wikinger schwedischer Abstammung, der die internen Zwistigkeiten der Stämme in Ladoga nutzte, um im Osten ein mächtiges Wikingerreich zu gründen. Seine Nachfolger erweiterten den Einfluss des Reiches stetig, sodass es zu einem späteren Zeitpunkt bis nach Kiew reichte. Relativ bald übernahmen die Herrscher des Reiches die slawische Sprache und Gebräuche des Landes (wie es bei Wikinger-Siedlern häufig der Fall war). Später sollten aus den Nachkommen Ruriks die ersten Zaren Russlands werden.;;Riúrik fue un vikingo de origen sueco que sacó provecho de las disputas internas entre tribus de alrededor de Ladoga, para conquistar y establecer un fuerte reino nórdico en el este. Sus sucesores expandieron su influencia y llegaron a gobernar sobre tierras tan lejanas como Kiev, y la dinastía pronto también adoptó las costumbres y el lenguaje eslavo (tal y como a menudo hicieron los vikingos). Los descendientes de Riúrik se convirtieron finalmente en los primeros Zares de Rusia.;;;;;;;;;x
ERA_CHAR_INFO_73679;Abd-al-Rahman I was born near Damascus in Syria, but had to flee his homeland when the Abbasids took power. He spent several years in exile before arriving in Spain, where he managed to seize power and declare himself ruler of Al-Andalus. He wanted to return east and avenge himself on the Abbasids, but the need to deal with issues closer to home kept preventing him from doing so. He instead set his mark on the history of Spain, establishing the rule of his dynasty there for centuries to come.;Abd-al-Rahman 1er naît près de Damas en Syrie mais se voit contraint de quitter sa terre natale lorsque les Abbassides prennent le pouvoir. Il passe plusieurs années en exil avant d'arriver en Espagne, où il parvient à s'auto-proclamer souverain d'Al-Andalus. Il veut faire route vers l'Est pour se venger des Abbassides mais des problèmes domestiques l'empêchent de mener ce projet à bien. Au lieu de cela, il imprime sa marque sur l'histoire de l'Espagne et établit une dynastie qui perdurera des siècles.;Abd ar-Rahman I. wurde in der Nähe von Damaskus in Syrien geboren, musste jedoch aus seiner Heimat fliehen, als die Abbasiden dort die Macht übernahmen. Nach einigen Jahren im Exil kam er nach Spanien, wo er erfolgreich die Macht an sich riss und sich zum Herrscher von Al-Andalus ausrief. Sein ursprüngliches Vorhaben, nach Osten zurückzukehren, um dort an den Abbasiden Rache zu nehmen, konnte er aufgrund der Situation in Spanien nie verwirklichen. Erfolgreich war er jedoch dahingehend, dass er der Geschichte Spaniens seinen Stempel aufdrückte, indem er eine Dynastie etablierte, deren Herrschaft mehrere Jahrhunderte andauern sollte.;;Abd-al-Rahman I nació cerca de Damasco, en Siria, pero tuvo que huir de su tierra natal cuando  llegaron al poder los abásidas. Estuvo varios años en el exilio antes de llegar a España, donde se las arregló para arrebatar el poder y declararse gobernante del Al-Ándalus. Quiso volver al Este y vengarse de los abásidas, pero la necesidad de tratar los asuntos propios de sus tierras lo hicieron imposible. En lugar de ello dejó su imprenta en la historia de España, estableciendo el dominio de su dinastía en los siguientes siglos.;;;;;;;;;x
ERA_CHAR_INFO_74413;Krishna I of the Rashtrakuta dynasty took power in 756, defeating several competitors for the throne in order to secure his realm. He fought wars against the Chalukyas and Pratiharas and conquered Karnataka, making his dynasty more powerful than ever before. He was also a great patron to builders and commissioned many new temples and monuments.;Krishna 1er de la dynastie des Rashtrakuta prend le pouvoir en 756 après avoir vaincu plusieurs prétendants au trône. Il mène des guerres contre les Chalukyas et les Pratiharas et conquiert Karnataka, rendant sa dynastie plus puissante que jamais. C'est également un grand bâtisseur qui fait construire bon nombre de grands temples et monuments.;Krishna I. aus der Dynastie der Rashtrakuta konnte sich 756 nach dem Sieg über diverse Konkurrenten eine Machtposition sichern. Er führte Kriege gegen Chalukyas und Pratiharas und eroberte Karnataka, was seiner Dynastie eine nie gekannte Macht verlieh. Daneben war er ein Patron der Baukunst und gab viele neue Tempel und Denkmäler in Auftrag.;;Krishna I de la dinastía Rashtrakuta tomó el poder en 756, derrotando varios aspirantes al trono, asegurando así su reino. Hizo la guerra contra los Chalukyas y los Pratiharas y conquistó Karnataka, haciendo su dinastía más poderosa que nunca. También fue un gran mecenas de constructores y encargó muchos nuevos templos y monumentos.;;;;;;;;;x
ERA_CHAR_INFO_74441;Somesvara I became king of the Western Chalukyas in 1042, after which he founded the city of Kalyani and made it his capital. He was a very active and energetic ruler but spent most of his reign fighting wars against a succession of rulers from the Chola Dynasty, who were his rivals for domination of Vengi. Unable to achieve victory against his enemies and tormented by an incurable illness, Somesvara ultimately took his own life by drowning himself in the Tungabhadra River.;Somesvara Ier devint roi des Chalukya occidentaux en 1042 puis fonda la cité de Kalyani et en fit sa capitale. C'était un souverain très actif et volontaire qui passa la plus grande partie de son règne en guerre contre une succession de souverains de la dynastie Chola, auxquels il disputait la domination de Vengi. Incapable de supplanter ses ennemis et tourmenté par un mal incurable, Somesvara finit par s'ôter la vie en se noyant dans la rivière Tungabhadrâ.;Somesvara I wurde 1042 zum König des westlichen Chalukyas und gründete im Anschluss daran die Stadt Kalyani, die er zu seiner Hauptstadt machte. Er war ein tatkräftiger Herrscher, der den Großteil seiner Regierungszeit gegen eine Reihe von Herrschern der Chola-Dynastie um die Herrschaft über Vengi kämpfte. Als es ihm auch nach Jahren nicht gelungen war, den Krieg zu gewinnen, stürzte sich Somesvara, gequält von einer unheilbaren Krankheit, in den Fluss Tungabhadra und nahm sich auf diese Weise das Leben.;;Somesvara I se convirtió en el rey de Chalukia occidental en 1042, tras lo cual fundó la ciudad de Kalyani y la convirtió en su capital. Fue un gobernante muy activo y energético pero pasó la mayor parte de su reinado combatiendo en guerras contra una sucesión de gobernantes de la dinastía Chola, que eran los rivales con quienes se disputaba el dominio de Vengi. Incapaz de lograr la victoria contra sus enemigos y atormentado por una enfermedad incurable, Somesvara puso fin a su vida lanzándose en el Río Tungabhadra.;;;;;;;;;x
ERA_CHAR_INFO_74656;Singhana II was a powerful Indian ruler who greatly expanded his realm towards the north, south and east. As a great patron of science and the arts, he established a college of astronomy and founded the city of Singhanapur.;Singhana II était un puissant souverain indien qui étendit grandement son royaume vers le nord, le sud et l'est. Grand mécène des sciences et des arts, il fonda un collège d'astronomie ainsi que la cité de Singhanapur.;Singhana II. war ein mächtiger indischer Herrscher, der sein Reich beträchtlich nach Norden, Süden und Osten ausdehnte. Als großer Patron der Wissenschaft und der Künste förderte er die Astronomie und gründete die Stadt Singhanapur.;;Singhana II fue un poderoso gobernante indio que expandió enormemente su reino hacia el norte, el sur y el este. Como gran mecenas de la ciencia y las artes, estableció una universidad de astronomía y creó la ciudad de Singapur.;;;;;;;;;x
ERA_CHAR_INFO_90104;When Louis the Pious died, civil war broke out in the Carolingian Empire between his sons due to disagreements over the inheritance. In the settlement that followed the war, Charles was given West Francia. Once Lothair died, however, the balance of power was broken and Charles fought long and bitterly with his brother Ludwig over primacy and over the lands that Lothar had left behind. After Ludwig's death, Charles tried to make a grab for the German lands, but he died during the resulting war in 877 while crossing the Alps.;À la mort de Louis le Pieux, une guerre civile éclate dans l'empire carolingien entre ses fils en raison de désaccords au sujet de l'héritage. Dans le traité qui suit la guerre, Charles reçoit la Francie occidentale. À la mort de Lothaire, cependant, l'équilibre des pouvoirs est rompu et Charles mène une longue et féroce guerre contre son frère Louis pour obtenir l'ascendant ainsi que les terres laissées par Lothaire. Après la mort de Louis, Charles tente de s'emparer des terres germaniques mais meurt dans le conflit qui en résulte l'année 877, alors qu'il traversait les Alpes.;Der Tod Ludwigs des Frommen stürzte das Reich der Karolinger in den Bürgerkrieg, da seine Söhne keine Einigung bezüglich seines Erbes erzielen konnten. Als die Brüder Frieden schlossen, wurde Karl Westfranken zugesprochen. Nach dem Tode Lothars allerdings musste Karl erneut um sein Erbe kämpfen, dieses Mal gegen seinen Bruder Ludwig. Nachdem schließlich auch Ludwig gestorben war, versuchte Karl erneut die deutschen Gebiete unter seine Kontrolle zu bringen, starb jedoch während des daraus resultierenden Krieges im Jahre 877 beim Marsch durch die Alpen.;;Cuando Ludovico Pío murió, estalló la guerra civil en el Imperio Carolingio entre sus hijos debido a las diferencias que tenían sobre la herencia. En el acuerdo posterior a la Guerra, Carlos recibió Francia Occidental. Sin embargo, una vez muerto Lotario, el equilibrio de poder se rompió y Carlos luchó amarga y largamente con su hermano Luís por la supremacía y por las tierras que Lotario había dejado. Después de la muerte de Luís, Carlos trató de asaltar las tierras germanas, pero murió durante la guerra resultante en el año 877 mientras cruzaba los Alpes.;;;;;;;;;x
ERA_CHAR_INFO_90107;After making peace with his brothers at the Treaty of Verdun, Ludwig ruled over East Francia and Bavaria, lands that he had already administrated before his father's death. After this, he was locked in constant struggles to expand his power in the Frankish Empire, sometimes allying with his brother Charles the Bald and sometimes fighting him. He was also engaged with suppressing rebellions in Saxony and fighting wars on the Moravian border. He was a great sponsor of the church, using it as a means to suppress pagan subjects, and Germany started to develop its own identity as a kingdom during his reign.;Après avoir conclu une paix avec ses frères par le traité de Verdun, Louis règne sur la Francie orientale et sur la Bavière, des terres qu'il a déjà administrées avant la mort de son père. Ensuite, il se retrouve pris dans des conflits constants, dans son désir d'étendre son pouvoir dans l'Empire franc, parfois allié à son frère Charles le Chauve, parfois en guerre contre lui. Il entreprend également de supprimer la rébellion en Saxe et mener des guerres sur la frontière avec la Moravie. Il soutient fortement l'Église, cherchant à l'utiliser pour supprimer ses sujets païens. C'est sous son règne que la Germanie commence à développer sa propre identité en tant que royaume.;Nachdem der Krieg mit seinen Brüdern im Frieden von Verdun beendet worden war, herrschte Ludwig, wie auch schon vor dem Tod seines Vaters, weiterhin über Ostfranken und Bayern. Anschließend blieb er in ständige Kämpfe um die Erweiterung seiner Macht im Frankenreich verstrickt, wobei er sich mit seinem Bruder Karl dem Kahlen zeitweise verbündete, ihn zu anderer Zeit jedoch bekämpfte. Daneben schlug er Aufstände in Sachsen nieder und führte Krieg an der mährischen Grenze. Er war ein bedeutender Wohltäter der Kirche, die er als Mittel zur Unterdrückung seiner heidnischen Untertanen einzusetzen wusste. In der Zeit seiner Herrschaft entwickelte Deutschland das Bewusstsein einer eigenen Identität.;;Después de hacer las paces con sus hermanos en el Tratado de Verdún, Luís gobernó sobre la Francia Oriental y Baviera, tierras que ya administraba antes de la muerte de su padre. Posteriormente, se vio envuelto en constantes rencillas en su intento por expandir su poder en el Imperio Franco, algunas veces aliándose con su hermano Carlos el Calvo y otras luchando contra él. Estuvo también ocupado sofocando rebeliones en Sajonia y guerreando en la frontera morava. Fue un gran patrocinador de la iglesia, usándola como medio de eliminación de cuestiones paganas y Alemania empezó a desarrollar su propia identidad como reino durante su gobierno.;;;;;;;;;x
ERA_CHAR_INFO_93052;Inheriting the Khwarezmian Empire after the death of his father, Mohammed was immediately faced with an invasion by the Ghurids. Several chaotic years of intermittent war between the Khwarezmids, Ghurids and the Kara-Khitans ensued. Mohammed was at one point taken prisoner and held captive in the Kara-Khitan Khanate for a year, but changing fortunes would see him come out on top against his enemies, and he eventually managed to conquer Samarkand, Balochistan and Afghanistan and declare himself Shah. His reign came to an end sooner than expected, however, as Genghis Khan and the Mongols entered the scene in 1218. Within two short years, the Mongols had overrun his domain and he died a fugitive on a small island in the Caspian Sea in 1220.;Héritant de l'empire chorasmien suite au décès de son père, Mohammed dut aussitôt faire face à l'invasion des Ghorides. Suivirent plusieurs années de chaos ponctuées de guerres intermittentes entre les Khorezmiens, les Ghorides et les Kara-Khitans. Pendant ces événements, Mohammed fut capturé et détenu dans le khanat Kara-Khitan pendant un an. Mais le vent tourna et il revint supplanter ses ennemis pour finalement conquérir Samarcande, le Baloutchistan et l'Afghanistan avant de s'autoproclamer Shah. Toutefois, son règne fut plus court qu'espéré puisque Gengis Khan et les Mongols entrèrent en scène en 1218. En seulement deux ans, ceux-ci envahirent son domaine. Mohammed mourut en 1220 alors qu'il s'était réfugié sur une petite île située en mer Caspienne.;Als Erbe des Reiches von Choresmien sah sich Mohammed sofort durch eine Invasion der Ghuriden bedroht. Nach mehreren chaotischen Jahren des Krieges gegen die Khwarezmids, die Ghuriden und die Kara-Kitai, bei denen Mohammed sogar in Gefangenschaft geriet, gelang es ihm letztlich, Samarkand, Belutschistan und Afghanistan zu erobern, woraufhin er den Titel eines Schahs annahm. Dennoch endete seine Herrschaft früh und unerwartet, als Dschingis Khan und seine Mongolen 1218 die Bildfläche betraten. Die Mongolen benötigten weniger als zwei Jahre, um sein Reich zu überrennen. Im Jahre 1220 starb Mohammed als Flüchtling auf einer kleinen Insel im Kaspischen Meer.;;Al heredar el Imperio corasmio tras la muerte de su padre, Mohammed se vio inmediatamente con una invasión de los gúridas. Siguieron varios años caóticos de la guerra intermitente entre corasmios, gúridas y kara-kitais. Mohammed fue en un momento tomado prisionero y mantenido en cautiverio en el Kanato kara-kitai durante un año, pero un cambio de la fortuna le hizo ponerse por encima de sus enemigos, y finalmente logró conquistar Samarcanda, Beluchistán, Afganistán y proclamarse sah. Su reinado terminó antes de lo esperado cuando Gengis Kan y los mongoles entraron en escena en 1218. En el plazo de dos años, los mongoles habían invadido su dominio y él murió como un fugitivo en una pequeña isla del Mar Caspio, en 1220.;;;;;;;;;x
