#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME6301;The Turnip Act;La loi du navet;Der Rübenerlass;;La Ley de Nabos;;;;;;;;;x
EVTDESC6305;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas the turnip represents the very best qualities to be found in society, and: whereas it is of fine texture, particularly when boiled, and has been proven to remedy all ailments known to Man when consumed:\n\nTherefore I, [Root.GetTitledName], decree that the turnip shall henceforth be used as currency throughout the realm, taking the place of gold, silver or any other precious metal. These shall instead be turned over to the Crown for immediate disposal.";La nouvelle loi a été rédigée et des messagers sont à présent en train de distribuer un exemplaire de cette loi à tous vos vassaux. Vous admirez votre oeuvre avec fierté : \n\n- Attendu que le navet est doté des plus grandes qualités qui soient, \n- Attendu que ce légume dégage une saveur si délicate, en particulier lorsqu'on le fait bouillir, \n- Attendu qu'il a été prouvé qu'il remédie à toutes les maladies connues de l'homme lorsqu'il est consommé : \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que le navet sera désormais utilisé comme monnaie dans tout le Royaume, prenant la place de l'or, de l'argent ou tout autre métal précieux. Ils doivent aussitôt être remis à la Couronne pour en faire une réserve monétaire.;Das neue Gesetz wurde geschrieben und die Kuriere haben begonnen, es an Eure Vasallen zu verteilen. Ihr bewundert Euren Duktus:\n\n"Demgemäß, dass die Rübe die besten Qualitäten der Menschheit verkörpert, von delikater Textur ist, insbesondere in gekochtem Zustand, und bei Verzehr erwiesenermaßen ein Heilmittel für alle Krankheiten des Menschen darstellt, verfügen Wir, [From.GetTitledName], den folgenden Erlass:\n\nDie Rübe wird hinkünftig als Währung in das Reich eingeführt, und die Stelle von Gold, Silber oder anderer kostbarer Metalle einnehmen. Die alte Währung soll hingegen eingezogen, und der Krone zur sofortigen Verfügung gestellt werden.";;La nueva ley ha sido escrita y los mensajeros la pregonan entre tus vasallos. Admiras tu obra:\n\n"En vista de que el nabo representa la mejor de la cualidades que se encuentran en la sociedad, y:  debido a su fina textura, sobre todo cocido, y ha haber d;;;;;;;;;x ;;
EVTDESC6306;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas pants constrict not only the lower limbs and reproductive organs, but also the human soul, and: whereas pants are known to be an affront to all forms of life but Man:\n\nTherefore I, [From.GetTitledName], command that the use of pants be outlawed throughout the realm under penalty of death. All existing variants of this garment are to be immediately burned, and the ashes distributed evenly over the graves of our forefathers.";La nouvelle loi a été rédigée et des messagers sont à présent en train de distribuer un exemplaire de cette loi à tous vos vassaux. Vous admirez votre oeuvre avec fierté : \n\n- Attendu que le pantalon comprime non seulement les membres inférieurs mais aussi les organes reproducteurs, tout comme l'âme humaine, \n- Attendu que les pantalons sont connus pour être un affront à toutes les formes de vie, sauf pour l'homme : \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que l'utilisation d'un pantalon est interdite dans tout le royaume sous peine de mort. Toutes les variantes existantes de ce vêtement doivent être immédiatement brûlées et les cendres réparties uniformément sur les tombes de nos ancêtres.;Das neue Gesetz wurde geschrieben und die Kuriere haben begonnen, es an Eure Vasallen zu verteilen. Ihr bewundert Euren Duktus:\n\n"Demgemäß, dass die Hose nicht nur die unteren Glieder und Organe knebelt, sondern auch die Seele einschnürt, und des Weiteren einen Affront an alle anderen Lebensformen darstellt, befehlen Wir, [From.GetTitledName]:\n\nDass die Verwendung von Hosen im ganzen Reich für ungesetzlich erklärt und mit der Todesstrafe geahndet wird. Alle noch existierenden Varianten dieses Bekleidungsstücks sind unverzüglich zu verbrennen und die Asche sodann gleichmäßig über die Gräber unserer Vorväter zu verteilen.";;La nueva ley ha sido escrita y los mensajeros la pregonan entre tus vasallos. Admiras tu obra:\n\n"Dado que los pantalones oprimen, no solo los miembros inferiores y órganos reproductores, sino también el alma humana, y:  puesto que se consideran contrari;;;;;;;;;x
EVTDESC6307;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas the positive effects of fresh air is known to all, and: whereas the movement of the wind must not be obstructed by man-made structures:\n\nTherefore I, [From.GetTitledName], decree that all homesteads throughout the realm are to have two holes, each no smaller than a grown peasant standing with arms outstretched, in opposite walls facing each other to allow free passage of the wind. These holes are not to be covered by planks, windows, doors or cattle. If any member of the household is known to exhibit severe flatulence, the holes shall number three and no less.";La nouvelle loi a été rédigée et des messagers sont à présent en train de distribuer un exemplaire de cette loi à tous vos vassaux. Vous admirez votre oeuvre avec fierté : \n\n- Attendu que les effets positifs de l'air frais sont connus de tous, \n- Attendu que la circulation du vent ne doit pas être bloquée par des bâtiments: \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que toutes les fermes du Royaume auront deux trous, de la taille d'un paysan adulte debout ayant les bras tendus, chacun dans des parois opposées pour permettre le libre passage du vent. Ces trous ne doivent pas être couverts par des planches, fenêtres, portes ou animaux. Si un membre du ménage est connu pour présenter de sévères flatulences, les trous seront au nombre de trois et pas moins.;Das neue Gesetz wurde geschrieben und die Kuriere haben begonnen, es an Eure Vasallen zu verteilen. Ihr bewundert Euren Duktus:\n\n"Demgemäß, dass die lebensspendende Wirkung von frischer Luft zum allgemeinen Wissenstand gehört und des Weiteren das Wehen des Windes nicht durch menschengeschaffene Bauten behindert werden darf, verfügen Wir, [From.GetTitledName], den folgenden Erlass:\n\nVon nun an müssen im ganzen Reich alle Heimstätten mindestens zwei Löcher aufweisen, jedes davon nicht kleiner als ein stehender Bauer mit ausgestreckten Händen, in gegenüberliegenden Wänden, die sich gegenseitig zuwenden, um den freien Windzug zu ermöglichen. Diese Löcher dürfen nicht durch Bretter, Fenster, Türen oder Vieh verdeckt werden. Falls irgendein Haushaltsmitglied bekanntermaßen an starker Flatulenz leidet, so soll sich die Anzahl der Löcher auf nicht weniger als drei erhöhen.";;La nueva ley ha sido escrita y los mensajeros la pregonan entre tus vasallos. Admiras tu obra:\n\n"Dados los efectos positivos que se conoce tiene el aire fresco, y en vista de que el movimiento del viento no debe ser obstruido por creación humana: \n\nYo;;;;;;;;;x
EVTDESC6308;The new law has been written and couriers are even now distributing it to all of your vassals. You admire your handiwork:\n\n"Whereas the children of the realm have become desensitised to violence, and: whereas the general populace seems to have lost all regard for the sanctity of human life:\n\nTherefore I, [From.GetTitledName], decree that all forms of violence directed at other human beings be outlawed, including both capital and corporal punishment as well as the torture of criminals, heathens and foreigners. These vulnerable social groups are instead to be rehabilitated and eventually released back into society as productive citizens.";La nouvelle loi a été rédigée et des messagers sont à présent en train de distribuer un exemplaire de cette loi à tous vos vassaux. Vous admirez votre oeuvre avec fierté : \n\n- Attendu que les enfants du Royaume sont devenus insensible à la violence, \n- Attendu que la population a perdu tout respect pour le caractère sacré de la vie humaine : \nC'est pourquoi, Moi, [From.Get_le_TitledName], décrète que toutes les formes de violence à l'endroit d'autres êtres humains est hors la loi, y compris la peine capitale, les châtiments corporels ainsi que la torture des criminels, des païens et des étrangers. Ces groupes sociaux vulnérables seront plutôt réhabilités et éventuellement relâchés dans la société en tant que citoyens productifs.;Das neue Gesetz wurde geschrieben und die Kuriere haben begonnen, es an Eure Vasallen zu verteilen. Ihr bewundert Euren Duktus:\n\n"Demgemäß, dass die Kinder des Reiches gegenüber von Gewalt abgestumpft sind und des Weiteren die Bevölkerung besorgniserregende Anzeichen von Gleichgültigkeit gegenüber der Unantastbarkeit des menschlichen Lebens zeigt, verfügen Wir, [From.GetTitledName], folgenden Erlass:\n\nVon heute an stehen sämtliche Formen der Gewalt gegen menschliche Wesen unter Strafe, einschließlich der Todesstrafe und der Prügelstrafe, ebenso die Folter von Kriminellen, Ungläubigen und Ausländern. Diese letztgenannten sozialen Gruppen sind demgegenüber vollständig zu rehabilitieren und gegebenenfalls zurück in die Gesellschaft zu überantworten, als produktive Bürger.";;La nueva ley ha sido escrita y los mensajeros la pregonan entre tus vasallos. Admiras tu obra:\n\n"Dado que los niños del reino se han vuelto insensibles a la violencia, y en vista de que la población en general parece haber perdido toda consideración a l;;;;;;;;;x
EVTDESC6315;You are sitting on the floor of your bedchamber, wearing one of your shoes as a hat, when suddenly a man-sized gopher enters the room. It is dressed as a maid and when you shout in alarm, the rodent squeaks and skitters away in panic. You chase it down the hall but find only a terrified maid cowering on the floor.;Vous êtes assis[Root.Get_E] sur le sol de votre chambre, portant l'une de vos chaussures en guise de chapeau, quand soudain, un écureuil de la taille d'un homme fait irruption dans la pièce. Vêtu en servante et alors que vous donnez l'alerte, le rongeur s'enfuit au loin dans la panique. Vous le pourchassez au bout du couloir, mais vous ne trouvez qu'une domestique terrifiée recroquevillée sur le sol.;Ihr sitzt gerade, einen Eurer Schuhe als Mütze auf dem Kopf tragend, in Eurem Schlafgemach, als ein mannsgroßes Erdhörnchen urplötzlich die Kammer betritt. Es trägt die Garderobe einer Dienerin und als Ihr vor Schreck aufschreit, quiekt es und flieht. Ihr verfolgt es bis in die Halle, findet dort aber lediglich eine entsetzte Dienerin.;;Estás sentado en el suelo de tus aposentos, usando uno de tus zapatos como sombrero, cuando entra una ardilla de talla humana. Viste como una sirvienta y al gritar alarmado, el roedor chilla y huye asustado dando saltitos. La persigues pero solo encuentra;;;;;;;;;x
EVTDESC6316;You are hosting a dinner for some local dignitaries when the full moon comes into view in one of the windows. Trembling, you excuse yourself and hurry up the stairs to your bedchamber while stripping off your clothes. You are completely naked when the guards find you crouched on your balcony, howling at the moon.;Vous recevez à dîner quelques dignitaires locaux quand la pleine lune se fait visible par les fenêtres. Tremblant de tous vos membres, vous vous excusez et vous ruez dans les escaliers jusqu'à votre chambre, en arrachant vos vêtements. Lorsque les gardes arrivent, ils vous trouvent complètement nu[Root.Get_E], accroupi[Root.Get_E] sur votre balcon, hurlant à la lune.;Ihr gebt gerade ein Abendessen für einige örtliche Würdenträger, als der Vollmond sich in einem der Fenster zeigt. Am ganzen Körper stark zitternd entschuldigt Ihr Euch für einen Moment und eilt die Treppen hoch, wobei Ihr auf dem Weg nach oben Eure Kleider vom Leib reißt. Die Wachen finden Euch kurz darauf völlig nackt auf dem Balkon hockend und den Mond anheulend.;;Organizas una cena para algunos dignatarios locales cuando la luna llena aparece a través de una de tus ventanas. Tembloroso, te excusas y sales corriendo por las escaleras hacia tus aposentos mientras te quitas la ropa.  Los guardias te encuentran de cuc;;;;;;;;;x
EVTDESC6317;Your horse has always struck you as being of a dependable sort, a quality you feel is sorely lacking in your councillors. Time to shake things up a bit. You will appoint him as your new [Root.GetChancellorName].;Votre cheval est d'une fiabilité à toute épreuve, qualité qui fait cruellement défaut à vos conseillers, selon vous. Il est temps de remettre un peu d'ordre autour de vous. Vous décidez d'en faire le nouveau [Root.GetChancellorName].;Euer Pferd schien Euch schon immer eine besonders vertrauenswürdige Kreatur zu sein – was Ihr von Euren Ratsmitgliedern leider nicht immer sagen konntet. Höchste Zeit, für etwas frischen Wind zu sorgen! Euer treues Ross soll Euer neuer [Root.GetChancellorName] werden.;;Tu caballo siempre ha mostrado ser digno de confianza, cualidad que crees muy escasa entre tus consejeros. Es hora de cambiar las cosas por aquí. Lo nombrarás tu nuevo [Root.GetChancellorName].;;;;;;;;;x
EVTDESC6318;Your mad [Root.Liege.GetTitle] has decided, in [Root.Liege.GetHerHis] infinite wisdom, to relieve you of your post as [Root.Liege.GetChancellorName]. Glitterhoof, [Root.Liege.GetHerHis] beloved horse, will be taking your place.;Votre [Root.Liege.GetTitle] extravagant a décidé, dans son infinie sagesse, de vous retirer de votre fonction de [Root.Liege.GetChancellorName]. Sabot Brillant, son cheval bien-aimé, a été nommé à votre place.;Euer geisteskranker [Root.Liege.GetTitle] hat in [Root.Liege.GetHerHis]er Weisheit beschlossen, Euch als [Root.Liege.GetChancellorName] abzusetzen. Glitzerhuf, das Pferd Eures [Root.Liege.GetTitle]s wird künftig Euren Platz einnehmen.;;Tu enloquecido [Root.Liege.GetTitle] ha decidido, en [Root.Liege.GetHerHis] infinita sabiduría, relevarte de tu puesto como [Root.Liege.GetChancellorName]. Pezuña de Oro, [Root.Liege.GetHerHis] amado caballo, ocupará tu lugar.;;;;;;;;;x
EVTDESC6350;As I was lying in my bed at night I was suddenly woken by the hissing and growling of my favorite cat. The bedchamber was alive with scratching, scurrying noises, coming from the very walls themselves. I sprang from the bed, but the noises suddenly disappeared and a subsquent investigation of the chamber revealed nothing but patched stone walls.;J'étais allongé dans mon lit au milieu de la nuit lorsque les grognements et les sifflements de mon chat préféré m'ont réveillé. La chambre était animée par le bruit de grattements et de trottinements provenant de l'intérieur des murs. J'ai bondi hors du lit, mais les bruits se sont tus. Mes recherches subséquentes n'ont rien révélé de plus que des murs de pierre colmatés. ;Als ich nachts in meinem Bett lag, erwachte ich von dem Fauchen und Knurren meiner Lieblingskatze. Das Schlafzimmer war erfüllt von Kratzgeräuschen, die direkt aus den Wänden zu kommen schienen. Ich sprang aus dem Bett, doch die Geräusche verschwanden abrupt und eine gründliche Untersuchung des Raums und der Steinwände brachte kein Ergebnis.;;Estaba tumbado en mi cama por la noche cuando de repente me despertó el silbido y gruñido de mi gato favorito. El dormitorio estaba vivo con ruidos chirriantes provenientes de las mismísimas paredes. Salté de la cama, pero los ruidos desaparecieron de repente y la subsecuente investigación de la habitación no reveló nada más que paredes de piedra con manchas de humedad.;;;;;;;;;x
EVTDESC6351;The servant I had sent to fetch water never returned and when I went to investigate I noticed a strange light emanating from the well. I peered inside and saw a color like no color I had ever seen before. It was like smoke, cold and wet but burning my skin where it touched.;Le serviteur que j'ai envoyé chercher de l'eau n'est jamais revenu et lorsque je suis allé voir ce qui se passait, j'ai remarqué une étrange lueur émanant du puits. En regardant à l'intérieur, j'ai vu une couleur comme jamais je n'en avais vu auparavant. C'était comme de la fumée, froide et humide. Pourtant elle a brûlé ma peau au contact.;Der Bedienstete, den ich zum Wasser holen geschickt hatte, kehrte nie zurück und als ich nachschauen ging, bemerkte ich einen merkwürdigen Lichtschein im Brunnen. Ich wagte einen Blick hinein und sah eine mir gänzlich unbekannte Farbe, ähnlich wie Rauch, kalt und nass, und dennoch verbrannte sie die Haut bei Berührung.;;El sirviente que había enviado a buscar agua no volvía, y cuando fui a investigar noté una extraña luz que emanaba del pozo. Eché un vistazo dentro y vi un color como nunca antes había visto. Era como humo, frío y húmedo pero que quemaba mi piel al tocarla.;;;;;;;;;x
EVTDESC6352;I had repeatedly questioned my servant about the locked mausoleum beneath the castle but it wasn't until today that I found the key, hidden inside a rotting chest in the oldest castle tower. Inside the tomb's dusty passageways I found an empty stone coffin which bore the inscription '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;J'avais maintes fois questionné mon serviteur à propos de ce mausolée verrouillé situé sous le château, mais ce n'est qu'aujourd'hui que j'ai trouvé la clé, cachée dans un coffre désagrégé qui se trouvait dans la plus vieille tour du château. Dans les couloirs poussiéreux du tombeau, j'ai trouvé un cercueil de pierre vide portant l'inscription « [Root.GetFirstName] [Root.GetOnlyDynastyName] ».;Ich fragte meinen Diener wiederholt nach dem verschlossenen Mausoleum unter dem Schloss, doch ich fand erst heute den Schlüssel in einer verrotteten Truhe im ältesten Schlossturm. In den staubigen Durchgängen des Gewölbes fand ich einen leeren Steinsarg mit der Inschrift "[Root.GetFirstName] [Root.GetOnlyDynastyName]".;;Había preguntado repetidamente a mi sirviente acerca del mausoleo cerrado detrás del castillo, pero no fue hasta hoy que encontré la llave, escondida dentro de un baúl podrido en la torre más vieja del castillo. Dentro del polvoriento pasadizo de la tumba encontré un ataúd de piedra vacío con la inscripción '[Root.GetFirstName] [Root.GetOnlyDynastyName]'.;;;;;;;;;x
EVTDESC6353;An old cottar and his wife who were known for their cruelty to cats were found dead in their home this morning, their bones picked clean of meat. My steward tells me that the local townspeople had their cats go missing the day before, but all the missing cats returned today looking fat and happy...;Un vieux paysan et sa femme connus pour leur cruauté envers les chats ont été retrouvés morts ce matin à leur domicile, leurs os complètement nettoyés. Mon intendant me dit que les citadins locaux ont vu leurs chats disparaître la veille, mais qu'ils ont tous resurgi aujourd'hui, heureux et dodus...;Ein alter Farmer und seine Frau, beide bekannt für ihre Grausamkeit gegenüber Katzen, wurden heute morgen tot in ihrer Hütte aufgefunden, bis auf die Knochen abgenagt. Laut meinem Haushofmeister verschwanden die Katzen der lokalen Bevölkerung einen Tag vorher, doch heute kehrten sie alle zurück und sahen sehr satt und glücklich aus...;;Un viejo granjero y su mujer, conocidos por su crueldad con los gatos, fueron encontrados muertos en su casa esta mañana sin nada de carne en sus huesos, solamente el esqueleto. Mi asistente dice que los gatos de los habitantes locales habían desaparecido el día anterior, pero todos ellos regresaron hoy, gordos y felices…;;;;;;;;;x
EVTDESC6354;Since the incident some weeks ago I have felt uneasy. I took a walk along the coast to clear my mind and found a small village where the people claimed to worship the 'Old Ones', Gods older than even those of the [Root.Religion.GetName] faith. They invited me to join in their rituals and showed me a dusty old grimoire written by a mad Saracen.;Depuis l'incident survenu il y a quelques semaines, je ne me sens pas très à l'aise. J'ai marché le long de la côte pour me changer les idées et j'ai trouvé un petit village où les gens disent vénérer les 'Anciens', des dieux plus vieux encore que ceux qui pratiquent le [Root.Religion.GetName]. Ils m'ont invité à me joindre à leurs rituels et m'ont montré un vieux grimoire poussiéreux écrit par un sarrasin fou. ;Seit dem Vorfall vor einigen Wochen bin ich unruhig. Ich machte einen Spaziergang an der Küste entlang, um mich auf andere Gedanken zu bringen und fand ein kleines Dorf, in dem die Bewohner den "Großen Alten" verehrten. Sie luden mich zu ihren Ritualen ein und zeigten mir ein staubiges, altes Buch, das von einem wahnsinnigen Sarazenen geschrieben worden ist.;;Desde el incidente de hace unas semanas me siento intranquilo. Dí un paseo a lo largo de la costa para aclarar mi mente y encontré un pequeño pueblo donde las personas afirmaban adorar a los ‘Ancianos’, dioses más viejos aún que los de la fe [Root.Religion.GetName]. Me invitaron a unirme a sus rituales y me enseñaron un grimorio viejo y empolvado, escrito por un sarraceno loco.;;;;;;;;;x
EVTDESC6355;Intense study of the grimoire has gained me much knowledge. I have devised a ritual to awaken the most powerful of the Old Ones where he sleeps, dead but dreaming, in his watery tomb beneath the ocean. The cult has prepared the ritual attire and is gathering the necessary sacrifices.;J'ai acquis de précieuses connaissances grâce à l'étude approfondie de ce grimoire. J'ai élaboré un rituel destiné à réveiller le plus puissant des Grands Anciens là où il sommeille, mort mais plongé dans un rêve, dans son tombeau sous l'océan. Les adeptes du culte ont préparé les tenues pour le rituel et ils effectuent les sacrifices requis.;Durch intensive Studien des Zauberbuchs erlangte ich neues Wissen. Ich entwickelte ein Ritual, um den mächtigsten der Großen Alten aus seinem Schlummer, tot aber träumend, tief in seinem nassen Ozeangrab zu erwecken. Der Kult hat das Ritual vorbereitet und sammelt die notwendigen Opfergaben.;;He ganado mucho conocimiento con el intenso estudio del grimorio. He trazado un ritual para despertar al más poderoso de los Ancianos de donde duerme, muerto pero soñando, en su tumba acuosa bajo el océano. El culto ha preparado el atuendo para el ritual y están reuniendo los sacrificios necesarios.;;;;;;;;;x
EVTDESC6356;The cult has gathered for the ritual on the shore of a black and stormy sea. The chanting begins, Ph'nglui mglw'nafh..., and in the depths of the dark waters something stirs...;Les adeptes du culte sont rassemblés pour le rituel sur la rive d'une mer ténébreuse et orageuse. Le chant commence « Ph'nglui mglw'nafh... » et quelque chose s'agite dans les profondeurs des eaux sombres.;Der Kult hat sich für das Ritual an der Küste einer stürmischen, schwarzen See versammelt. Die Gesänge beginnen, Ph"nglui mglw"nafh ..., und in den Tiefen des schwarzen Gewässers rührt sich etwas ...;;El culto se ha reunido para el ritual a la orilla de un negro y tormentoso mar. Los cánticos empiezan, Ph'nglui mglw'nafh..., y en las profundidades de las oscuras aguas algo se mueve…;;;;;;;;;x
EVTDESC6357;I steered the longboat through the raging waters towards the monstrous creature. It stood as tall as a castle tower, with the body of a man and the head of a great tentacled beast. I knew that I had awoken it from where it slept beneath the waves and that it was here to end the age of man. There was only one thing I could do...;J'ai dirigé la chaloupe dans les eaux enragées vers la créature monstrueuse. Elle se tenait debout, aussi haute que la tour d'un château, avec un corps d'homme et une tête garnie de tentacules. Je savais que je l'avais sortie de son sommeil abyssal et qu'elle était venue pour mettre fin au règne de l'homme. Il ne me restait qu'une chose à faire...;Ich steuerte das große Beiboot durch die tosenden Gewässer in Richtung der monströsen Kreatur. Sie war so groß wie ein Schlossturm, mit dem Körper eines Mannes und dem Kopf eines gigantischen Biests mit Tentakeln. Ich wusste, dass ich es aus seinem Schlummer erweckt hatte und dass es das Ende des Menschenzeitalters bringen würde. Ich konnte nur noch eines tun...;;Dirigí la galera a través de las aguas embravecidas hacia la criatura monstruosa. Se alzó alta como la torre de un castillo, con el cuerpo de un hombre y la cabeza de una gran bestia con tentáculos. Supe que la había despertado de donde dormía bajo las olas, y que estaba aquí para acabar con la edad del hombre. Sólo había una cosa que yo pudiera hacer…;;;;;;;;;x
EVTDESC6358;I awoke in my own bed weak and sweating. The servants told me that they had found me on the shore, naked and half-drowned. I asked them about the creature and the ship but they just looked at me with worried eyes and shook their heads. It seems I am the only living witness to these events.;Je me suis réveillé dans mon lit, faible et tout en sueur. Les serviteurs m'ont dit m'avoir trouvé sur le rivage, nu et à demi noyé. Je leur ai posé des questions au sujet de la créature et du vaisseau, mais ils m'ont fixé avec des yeux inquiets puis ils ont secoué la tête. Je serais donc le seul et dernier témoin vivant de ces événements.;Ich erwachte schwach und schweißgebadet in meinem eigenen Bett. Die Diener erzählten, dass sie mich nackt und halbertrunken am Strand gefunden hatten. Ich berichtete ihnen von der Kreatur und dem Schiff, doch sie schauten mich nur besorgt und kopfschüttelnd an. Scheinbar bin ich der einzig lebende Zeuge dieser Ereignisse.;;Me desperté en mi cama débil y sudando. Los sirvientes me dijeron que me habían encontrado en la orilla, desnudo y medio ahogado. Les pregunté por la criatura y el barco pero simplemente me miraron con ojos preocupados y sacudieron la cabeza. Parece ser que soy el único testigo viviente de esos acontecimientos.;;;;;;;;;x
EVTDESC6360;A loud sneeze interrupts [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName]'s speech on the importance of camp hygiene. 'I am sorry, my [Root.GetLordLady],' mutters [Root.job_spymaster.GetTitledFirstName], the [Root.GetSpymasterName], casting a quick glance at the cat on my lap. 'If you could only leave the creature out of our meetings, this would not happen again, I swear.';Un fort éternuement interrompt le discours du [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName] sur l'importance de l'hygiène du camp. « Je suis désolé[Root.job_spymaster.Get_E], M[Root.GetOnA][Root.GetLordLady] », murmure [Root.job_spymaster.GetTitledFirstName], le [Root.GetSpymasterName], jetant un coup d'oeil rapide sur le chat sur mes genoux. « Si vous laissiez l'animal hors de nos réunions, cela ne se reproduirait plus, je vous l'assure.;Ein lautes Niesen unterbricht die Rede von [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName] über die Wichtigkeit der Lagerhygiene. "Es tut mir leid, m[Root.Geteineine] [Root.GetLordLady]", murmelt [Root.job_spymaster.GetTitledFirstName] [Root.GetSpymasterName] mit einem schnellen Blick auf die Katze auf meinem Schoß. "Wenn Ihr nur diese Kreatur aus unseren Treffen fernhalten könntet, würde es nicht wieder passieren, ich schwöre.";;Un estornudo fuerte interrumpe el discurso de [Root.GetMyMarshalName] [Root.job_marshal.GetTitledFirstName] sobre la importancia de la higiene en los campamentos. 'Lo siento, mi [Root.GetLordLady]', murmura [Root.job_spymaster.GetTitledFirstName], [Root.GetSpymasterName], mirando fugazmente al gato en mi regazo. 'Si dejáis a esa criatura fuera de nuestras reuniones, esto no se repetirá, lo juro'.;;;;;;;;;x
EVTDESC6361;I am awoken by a soft pat on my cheek. 'Oh, Mittens. Are you having trouble falling asleep?' She jumps down from my bed and starts pawing at the door. 'Let's go to the kitchen and get you some warm milk.' But as I close my bedroom door behind me, Mittens heads in the opposite direction.;Je suis réveillé[Root.Get_E] par une douce tape sur ma joue. « Oh, Moufle. As-tu du mal à t'endormir ? » Mon chat descend de mon lit et gratte à la porte. « Allons à la cuisine te trouver du lait chaud ». Mais lorsque je ferme la porte de ma chambre derrière moi, Moufle part dans la direction opposée.;Ich bin von einem sanften Klaps auf meine Wange erwacht. "Oh, Schnurri. Hast du Schwierigkeiten beim Einschlafen?" Sie springt von meinem Bett und fängt an, an der Tür zu kratzen. "Gehen wir in die Küche und besorgen dir etwas warme Milch." Nachdem ich allerdings die Schlafzimmertür hinter mir zugezogen hatte, lief Schnurri in die entgegengesetzte Richtung...;;Me despierta una palmadita en la mejilla. '¿Te cuesta conciliar el sueño, Mitones?'. Salta de mi cama y empieza a tocar la puerta. 'Vamos a la cocina a por leche caliente'. Pero cuando cierro la puerta de mis aposentos tras mí, Mitones se dirige en la dirección contraria.;;;;;;;;;x
EVTDESC6362;As I round a corner, I spot Mittens' fluffy tail as she squeezes through the chamber door of my [Root.GetSpymasterName], [Root.job_spymaster.GetFullName]! I enter, finding Mittens curled up on [Root.job_spymaster.GetHerHis] chest, licking [Root.job_spymaster.GetHerHis] face, but [Root.job_spymaster.GetFirstName] does not react. The [Root.job_spymaster.GetManWoman] before me is completely still, not even breathing, and [Root.job_spymaster.GetHerHis] face is strangely swollen...;Alors que je franchis un coin, je repère la queue moelleuse de Moufle près de la porte de la chambre de mon [Root.GetSpymasterName], [Root.job_spymaster.GetFullName] ! J'entre et trouve mon chat en boule sur sa poitrine, léchant son visage, mais [Root.job_spymaster.GetFirstName] ne réagit pas. [Root.job_spymaster.GetLLaCap][Root.job_spymaster.GetManWoman] devant moi est complètement immobile, ne respire même pas, et son visage est étrangement enflé...;Als ich um die Ecke ging, spürte ich Schnurris flauschigen Schwanz, als sie sich durch die Kammertür meines [Root.GetSpymasterName], [Root.job_spymaster.GetFullName] zwang! Ich ging hinein und fand Schnurri eingerollt auf [Root.job_spymaster.GetHerHis]er Brust, wie sie [Root.job_spymaster.GetHerHis] Gesicht leckte. [Root.job_spymaster.GetFirstName] reagierte allerdings nicht. [Root.job_spymaster.GetDerDie] [Root.job_spymaster.GetManWoman] vor mir ist ganz still, nicht einmal ein Atmen hört man und [Root.job_spymaster.GetHerHis] Gesicht ist seltsam geschwollen...;;Al girar la esquina, ¡veo la mullida cola de Mitones colarse por la puerta de los aposentos de [Root.job_spymaster.GetFullName], mi [Root.GetSpymasterName]! Entro, veo a Mitones acurrucarse sobre su pecho, lamerle la cara, pero [Root.job_spymaster.GetFirstName] no reacciona. La persona que tengo delante está totalmente quieta, ni respira, y tiene la cara extrañamente hinchada…;;;;;;;;;x
