#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_lord_spiritual.txt

#########################
#
#	Lord spiritual events
#
#########################

# The Lord Spiritual converts a province!
evt_lordspiritual_001_title;County Religion Converted;Conversion religieuse d'un comté;Grafschaftsreligion konvertiert;;Condado convertido;;;;;;;;;x
evt_lordspiritual_1002_desc_a;Before the beggars have a chance to completely envelop you, you cut a swath through the crowd by madly swinging your staff around. You manage to land several solid blows on an old woman with your staff, knocking her few remaining teeth out, and an expertly aimed kick at a malnourished farmer leaves him with a broken nose. The crowd scatters.;Avant que les mendiants ne finissent par vous étouffer, vous vous frayez un chemin au milieu de la foule en donnant de violents coups de bâton. Vous frappez une vieille femme au visage avec votre bâton, lui faisant sauter ses dernières dents, et assenez un coup de pied expert à un paysan affamé laissant ce dernier avec le nez cassé. La foule finit par se disperser.;Bevor die Bettler die Chance haben, Euch vollständig zu umzingeln, schneidet Ihr eine Schneise durch die Menge, indem Ihr wild mit Eurem Stab fuchtelt. Euch gelingt es, eine alte Frau mit einigen festen Schlägen zu treffen, wodurch sie ihre letzten verbliebenen Zähne verliert, und einem unterernährten Bauern mit einem gut gezielten Tritt die Nase zu brechen. Die Menge verstreut sich.;;Antes de que los mendigos pudieran rodearte por completo, agitas tu báculo para abrirte paso a través de la multitud. Con tu báculo alcanzas a asestarle severos golpes a una vieja y le tiras los pocos dientes que le quedaban, y con una patada certera dejas a un desnutrido campesinos con la nariz rota. La multitud se dispersa.;;;;;;;;;x
evt_lordspiritual_1002_option_a;Well, I was told to give generously to the people...;On m'a dit de toujours me montrer généreux avec le peuple...;Nun ja, mir wurde gesagt, ich solle mich den Leuten freigiebig geben... ;;Bueno, me han dicho que repartiera generosamente a la gente...;;;;;;;;;x

# Mufti gets wounded
evt_lordspiritual_1003_desc_a;When you finally emerge into daylight again after pushing your way through the desperate crowd, you do so covered in bruises and with your robe in tatters.;Vous retrouvez enfin l'air libre après vous être frayé un chemin dans la foule d'indigents, et constatez d'une part que vous souffrez de nombreuses contusions et d'autre part que vos habits sont déchirés.;Als Ihr endlich wieder zurück ins Tageslicht tretet, nachdem Ihr Euren Weg durch die verzweifelte Menge gedrängt habt, seid Ihr mit Blutergüssen übersäht und Eure Robe ist zerrissen.;;Cuando finalmente vuelves a la luz del día después de hacerte paso a golpes entre la desesperada multitud, estás lleno de golpes y con tu ropa hecha jirones.;;;;;;;;;x
evt_lordspiritual_1003_option_a;They could have killed me!;Ils auraient pu me tuer !;Sie hätten mich töten können!;;¡Pude haber muerto ahí adentro!;;;;;;;;;x

# Inform the Liege about wounding
evt_lordspiritual_1004_desc_a;Your [From.GetJobTitle], [From.GetTitledName], was cornered by a desperate crowd of beggars in [From.Location.GetName] and has been seriously wounded while giving alms to the poor in your name. Charity can be dangerous work.;Votre [From.GetJobTitle], [From.Get_le_TitledName], a été encerclé par une foule de mendiants à [From.Location.GetName] et s'est vu grièvement blessé alors qu'il distribuait des aumônes aux plus pauvres en votre nom. La charité n'est pas sans risque.;Euer [From.GetJobTitle], [From.GetTitledName], wurde von einer verzweifelten Menge von Bettlern in [From.Location.GetName] bedrängt und ernsthaft verwundet, während er in Eurem Namen Almosen an die Armen verteilte. Wohltätigkeit ist eine gefährliche Arbeit. ;;Tu [From.GetJobTitle], [From.GetTitledName], estaba preocupado por la multitud de mendigos desesperados en [From.Location.GetName], y ha sufrido graves heridas cuando le daba limosna a los pobres en tu nombre. La caridad puede ser un trabajo peligroso.;;;;;;;;;x
evt_lordspiritual_1004_option_a;So it would seem.;C'est ce qu'il semblerait...;Sieht ganz so aus.;;Así parece.;;;;;;;;;x

# Inform the Liege about death
evt_lordspiritual_1005_desc_a;Your [From.GetJobTitle], [From.GetTitledName], who was performing charity work in your name, made the ultimate sacrifice when [From.GetSheHe] was cornered by a desperate crowd of beggars in [From.Location.GetName] and trampled to death.;Votre [From.GetJobTitle], [From.Get_le_TitledName], qui distribuait des aumônes en votre nom, a réalisé le plus grand des sacrifices. Son action charitable pour les pauvres a attiré les foules à [From.Location.GetName] et [From.GetIlElle] est mort[From.Get_E] piétiné[From.Get_E].;Euer [From.GetJobTitle], [From.GetTitledName], der in Eurem Namen wohltätige Arbeit verrichtete, hat das größtmögliche Opfer erbracht, als [From.GetSheHe] in [From.Location.GetName] von einer verzweifelten Menge von Bettlern bedrängt und zu Tode getrampelt wurde.;;Tu [From.GetJobTitle], [From.GetTitledName], quien estaba haciendo obras de caridad en tu nombre, ha hecho el sacrificio máximo cuando le ha rodeado una multitud de mendigos desesperados en [From.Location.GetName] y ha muerto pisoteado.;;;;;;;;;x
evt_lordspiritual_1005_option_a;Ingrates!;Bande d'ingrats !;Undankbare Personen!;;¡Ingratos!;;;;;;;;;x


# The Mufti pockets money meant for the poor
evt_lordspiritual_1101_title;[Root.Liege.GetLordSpiritualName] Pockets Charity Money;Les dons sont empochés par notre [Root.Liege.GetLordSpiritualName];[Root.Liege.GetLordSpiritualName] streicht die Spendengelder ein;;[Root.Liege.GetLordSpiritualName] se queda con el dinero de la caridad;;;;;;;;;x
evt_lordspiritual_1101_desc_a;So much of your master's wealth has been squandered on ungrateful and undeserving beggars, but what of you? Have you not toiled enough to improve the lot of thieves and the depraved? Perhaps it would be best if some of that wealth found its way into your own pockets...;Une grande partie de la fortune de votre maître a été dilapidée au profit de mendiants ingrats et indignes, mais qu'en est-il de vous ? Vous travaillez d'arrache-pied mais l'on préfère améliorer le sort des voleurs et des dépravés ! Ce ne serait que justice si quelques piécettes atterrissaient dans votre bourse...;So viel des Reichtums deines Meisters wurde an undankbare und unwürdige Bettler verschleudert wurde, aber was ist mit Euch? Habt Ihr mich nicht ausreichend bemüht, um das Schicksal der Diebe und Schlechtergestellten zu verbessern? Vielleicht wäre es besser, wenn ein Teil des Vermögens den Weg in Eure Taschen finden würde... ;;Tanta ha sido la riqueza de tu amo desperdiciada en tan indignos y malagradecidos mendigos, pero , ¿qué hay de ti? ¿Ya no has hecho suficiente para Reformar a esos ladrones y depravados? ¿No sería mejor si una parte de esa riqueza se escabullera en tus bolsillos?...;;;;;;;;;x
evt_lordspiritual_1101_option_a;Yes, it would only be right.;C'est vrai que je mérite mieux...;Ja, das wäre nur gerecht. ;;Sí, me parece una buena idea.;;;;;;;;;x
evt_lordspiritual_1101_option_b;No, I must not forget my duties.;Non, je dois respecter les lois.;Nein, ich darf meine Pflichten nicht vergessen.;;No, no puedo olvidar mis obligaciones.;;;;;;;;;x

# Liege informed about Mufti's theft
evt_lordspiritual_1102_desc_a;Word has reached you that your [From.GetJobTitle], [From.GetTitledName], has given in to weakness and helped [From.GetHerselfHimself] to the alms [From.GetSheHe] was meant to distribute amongst the poor.;La rumeur dit que votre [From.GetJobTitle], [From.Get_le_TitledName], a cédé à la tentation et a puisé dans la cagnotte qu'[From.GetIlElle] devait distribuer aux pauvres.;Ihr habt erfahren, dass Euer [From.GetJobTitle], [From.GetTitledName], schwach geworden ist und sich an den Almosen bedient hat, die [From.GetSheHe] eigentlich an die Armen hätte verteilen müssen.;;Me ha llegado el rumor de que tu [From.GetJobTitle], [From.GetTitledName], ha cedido ante la debilidad y ha cogido las limosnas que iba a distribuir entre los pobres.;;;;;;;;;x
evt_lordspiritual_1102_option_a;Return the gold and all may be forgiven.;Rendez l'argent et nous passerons l'éponge.;Bringt das Gold zurück und alles wird vergeben.;;Devuelve el oro y todo será perdonado.;;;;;;;;;x
evt_lordspiritual_1102_option_b;Off to the dungeons with [From.GetHerHim]!;Qu'on l'enferme en prison !;Fort in das Verlies mit [From.Getihmihr]!;;¡A a los calabozos con él/ella!;;;;;;;;;x


# Mullah gains piety for the liege
evt_lordspiritual_1201_title;Piety Gained;Gain de piété;Pietät erhalten;;Piedad Ganada;;;;;;;;;x
evt_lordspiritual_1201_desc_a;Your charity work in [Root.Location.GetName] goes well. The Prophet (may Allah honor him and grant him peace) would approve of your Master's actions. Perhaps you should send word.;Votre oeuvre de charité à [Root.Location.GetName] fonctionne à merveille. Le Prophète (que la paix et la bénédiction de Dieu soient sur lui) approuverait sans aucun doute les actions de votre Maître. Peut-être devriez-vous l'en informer.;Eure Wohltätigkeitsarbeit in [Root.Location.GetName] ist erfolgreich. Der Prophet (möge Allah ihn ehren und Frieden gewähren) würde die Maßnahmen Eures Meisters billigen. ;;Tu obra de caridad en [Root.Location.GetName] va viento en popa. El Profeta (que Alá le honre y le conceda la paz) aprobaría las acciones de tu amo. Sería mejor que avisaras.;;;;;;;;;x
evt_lordspiritual_1201_option_a;Make it so!;Qu'il en soit ainsi !;Tut das! ;;¡Que así sea!;;;;;;;;;x
evt_lordspiritual_1201_option_a_tooltip;The [Root.Liege.GetTitle] is informed.;[Root.Liege.Get_only_Le_Title][Root.Liege.GetTitle] a reçu l'information.;Der [Root.Liege.GetTitle] wurde informiert.;;El [Root.Liege.GetTitledName] ha sido informado.;;;;;;;;;x

# Liege gains piety
evt_lordspiritual_1202_desc_a;Your [GetMyLordSpiritualName] reports from [From.Location.GetName] that [From.GetHerHis] charity work on your behalf is proceeding well. The poor have been fed and your pious standing has improved.;Votre [GetMyLordSpiritualName] vous informe que l'oeuvre de charité qu'[From.GetIlElle] mène en votre nom à [From.Location.GetName] se déroule à la perfection. Les pauvres ont reçu de la nourriture et votre sens de la dévotion s'en voit saluer.;Euer [GetLordSpiritualName] meldet aus [From.Location.GetName], dass [From.GetHerHis]e Wohltätigkeitsarbeit in Eurem Namen gut voranschreitet. Die Armen wurden beköstigt und Eure Barmherzigkeit hat sich erhöht.;;Tu [GetMyLordSpiritualName] informa desde [From.Location.GetName] que su obra de caridad en tu nombre va viento en popa. Los pobres han sido alimentados y tu posición piadosa ha mejorado.;;;;;;;;;x
evt_lordspiritual_1202_option_a;We can still do much good, Insha'Allah.;On peut toujours faire plus, Incha'Allah !;Wir können auch weiterhin Gutes tun, Insha'Allah. ;;Todavía podemos hacer mucho bien, Insha'Allah.;;;;;;;;;x


# The Court Priest has managed to raise an eager force of holy warriors
evt_lordspiritual_1301_title;Zealots Raised;Fanatiques à vos ordres;Zeloten ausgehoben;; Fanaticos Criados;;;;;;;;;x
evt_lordspiritual_1301_desc_a;I have managed to whip up the religious fervor in [Root.Location.GetName] to a frenzy. Zealous warriors have gathered in the name of [Root.Liege.Religion.GetRandomGodName] to bring ruin to the infidels!;J'ai réussi à réveiller la ferveur religieuse en [Root.Location.GetName], les gens sont frénétiques. Des guerriers se sont rassemblés au nom de [Root.Liege.Religion.GetRandomGodName] pour éliminer les infidèles !;Es ist mir gelungen, den Fanatismus in [Root.Location.GetName] anzuheizen. Fanatische Krieger haben sich im Namen von [Root.Liege.Religion.GetRandomGodName] versammelt, um allen Ungläubigen den Tod zu bringen!;;Me las he arreglado para incitar hasta la locura el fervor religioso en [Root.Location.GetName]. ¡Los fervientes guerreros se han reunido en nombre de [Root.Liege.Religion.GetRandomGodName] para destruir a los infieles!;;;;;;;;;x
evt_lordspiritual_1301_option_a;My [Root.Liege.PrimaryTitle.GetRulerTitle] will be pleased!;M[Root.Liege.GetOnA] [Root.Liege.PrimaryTitle.GetRulerTitle] appréciera !;Mein [Root.Liege.PrimaryTitle.GetRulerTitle] wird erfreut sein!;;Mi [Root.Liege.PrimaryTitle.GetRulerTitle]quedara contento;;;;;;;;;x

# The liege is informed
evt_lordspiritual_1302_desc_a;My [Root.GetMyLordSpiritualName], [From.GetTitledFirstName], tells me that [From.GetPossPronoun] efforts at increasing religious fervor among the people have met with great success! A small army of zealots have converged at [Root.Capital.Capital.GetName] ready to serve me. Now I simply need to attack some suitable infidel before my new recruits wander off in disgust.;Notre [Root.GetMyLordSpiritualName], [From.Get_le_TitledFirstName], m'informe que ses efforts pour accroître la ferveur religieuse du peuple ont rencontré un grand succès ! Une petite armée de fanatiques se dirige vers [Root.Capital.Capital.GetName] pour me servir. Je vais devoir leur trouver une cible convenable à attaquer avant qu'ils ne se dispersent.;Mein [Root.GetMyLordSpiritualName] [From.GetTitledFirstName] berichtet, dass [From.GetPossPronoun]e Bemühungen, den Fanatismus anzuheizen, erfolgreich waren! Eine kleine Armee aus Zeloten hat sich in [Root.Capital.Capital.GetName] versammelt und möchte in meine Dienste treten. Nun muss ich nur noch einen Ungläubigen angreifen, ehe sie mir angewidert den Rücken kehren.;;¡Mi [Root.GetMyLordSpiritualName], [From.GetTitledFirstName], dice que [From.GetPossPronoun] esfuerzos para fomentar el fervor religioso entre la gente han surtido efecto! Un pequeño ejército de fanáticos se han congregado en [Root.Capital.Capital.GetName] listos para servirme. Ahora simplemente tenemos que atacar a algunos infieles antes de que mis nuevos reclutas se vayan indignados.;;;;;;;;;x
evt_lordspiritual_1302_option_a;Praise [Root.Religion.GetRandomGodName]!;Louons [Root.Religion.GetRandomGodName] !;[Root.Religion.GetRandomGodName] sei gepriesen!;;Alabar a[Root.Religion.GetRandomGodName]!;;;;;;;;;x

# The men are displeased and disband
evt_lordspiritual_1303_desc_a;The holy warriors my [Root.GetMyLordSpiritualName] attracted to fight for [Root.Religion.GetRandomGodName] have become disillusioned by my ungodly refusal to fight a Holy War and wandered off, damaging my Piety greatly.;Les guerriers saints que mon [Root.GetMyLordSpiritualName] a attirés pour combattre au nom [Root.Get_du_HighGod] ont perdu leurs illusions devant mon refus incompréhensible de mener une guerre sainte, et se sont dispersés. Ma piété en souffre grandement.;Die heiligen Krieger, die mein [Root.GetMyLordSpiritualName] für den Kampf im Namen von [Root.Religion.GetRandomGodName] angeworben hat, sind aufgrund meiner gottlosen Weigerung, einen heiligen Krieg anzuzetteln, ernüchtert von dannen gezogen. Meiner Pietät hat das sehr geschadet.;;Los guerreros santos que atrajo mi [Root.GetMyLordSpiritualName] para luchar por [Root.Religion.GetRandomGodName] se han desilusionado por mi impía negativa a luchar en una Guerra Santa y nos han abandonado, lo que daña enormemente nuestra Devoción.;;;;;;;;;x
evt_lordspiritual_1303_option_a;Whatever happened to Patience!?;Ils ne pouvaient pas attendre un peu ?;Ist denn Geduld keine Tugend?!;;¿¡Qué pasa con la Paciencia!?;;;;;;;;;x
