# Unused and/or EU3 holdovers ?

NO_SEPARATE_PEACE;You can not negotiate separate peace between two junior partners in a war.;Vous ne pouvez pas négocier une paix séparée entre deux partenaires mineurs d'une guerre.;Ihr könnt keinen Separatfrieden zwischen zwei Junior-Partnern in einem Krieg schließen.;Nie mo¿esz negocjowaæ oddzielnego pokoju pomiêdzy dwoma podrzêdnymi partnerami.;No podéis negociar paces separadas entre dos socios débiles de una guerra.;Non puoi negoziare una pace separata fra due membri sottoposti in una guerra.;Nem kezdeményezhetsz egyedi béketárgyalásokat.;Dva podøízení partneøi (v alianci) spolu nemohou uzavøít separátní mír.;;;;;;x
non_culture_cot;Non Core Cot;CdC culture différente;Kulturfremdes HZ;Oœrodek handlu z inn¹ kultur¹;C.d.c. sin cultura;Centro commercio di un'altra cultura;Nem kultúrált KK;Nekulturní místo;;;;;;x
PAY_CASH;$WHO$ will pay $WHAT$ gold.;$WHO$ paiera $WHAT$ pièces d'or.;$WHO$ wird $WHAT$ Gold zahlen.;;$WHO$ pagará $WHAT$ de oro.;$WHO$ pagherà $WHAT$ oro.;;;;;;;;x
PAY_TRIBUTE;$WHO$ will pay tribute of $WHAT$ gold a month.;$WHO$ paiera un tribut de $WHAT$ pièces d'or par mois.;$WHO$ wird einen Tribut von $WHAT$ Gold monatlich zahlen.;;$WHO$ pagará un tributo de $WHAT$ oro durante un mes.;$WHO$ pagherà un tributo mensile di $WHAT$ ducati.;;;;;;;;x
PEACE_ANNEX;Annex;Annexer;Annektieren;Aneksja;Anexionarse;Annettere;Beolvaszt;Anektovat;;;;;;x
PEACE_CANCEL_VASSALLS;cancel vassals;annuler vassaux;Vasallen aufkündigen;anuluj stosunek wasalny;Cancelar vasallos;annullare vassalli;hûbériség visszavonása;zrušit vazalství;;;;;;x
PEACE_CORES;give up cores;abandonner provinces légitimes;Anspruch aufgeben;zrzeknij siê prow. narod.;Ceder núcleos;cedere province nazionali;magprovinciák átadása;vzdát se klíèových území;;;;;;x
PEACE_DEMAND_GOLD;Demand §G$GOLD$§!¤;Exiger §G$GOLD$§! pièces d'or;Fordern: §G$GOLD$§!¤;;Exigir §G$GOLD$§!¤;;;;;;;;;x
PEACE_DESC;Negotiate peace treaty.;Négociez un traité de paix.;Friedensvertrag aushandeln;;Negociar un tratado de paz.;Negozia un trattato di pace.;;;;;;;;x
PEACE_INSTANT_CASH;Payment;Paiement;Zahlung;;Pago;Pagamento;;;;;;;;x
PEACE_MONTHLY_CASH;Monthly Tribute;Tribut mensuel;Monatlicher Tribut;;Tributo al mes;Tributo mensile;;;;;;;;x
PEACE_OFFER_GOLD;Offer §R$GOLD$§!¤;Offrir §R$GOLD$§! pièces d'or;Anbieten: §R$GOLD$§!¤;;Ofrecer §R$GOLD$§!¤;;;;;;;;;x
PEACE_OFFER_WARSCORE;Peace offer value:;Valeur de l'offre de paix : ;Wert des Friedens:;Wartoœæ pokoju:;Valor oferta paz:;Valore:;Békeajánlat, cserében:;Hodnota mírové nabídky:;;;;;;x
PEACE_SECEDE;cede county;céder comté;Provinz abtrennen;zrzeknij siê prowincji;Ceder provincias;cedere provincia;tartomány leválasztása;postoupit provincii;;;;;;x
PEACE_SURRENDER;Surrender;Se rendre;Kapitulieren;;Rendirse;;;;;;;;;x
PEACE_WARSCORE;Warscore;Score de guerre;Kriegsstand;Wynik wojny;Ptos. guerra;Punti guerra;Háborús pontok;Váleèné skóre;;;;;;x
PEACEBETTER;\n(This deal is better than what we can expect, refusing it would cause great turmoil in our country.);\n(Cette offre étant plus attrayante que ce que nous pouvions espérer, un refus entraînerait de nombreux troubles dans notre pays.);\n(Dieses Angebot ist besser, als wir erwarten können. Wenn wir es ablehnen, wird es in unserem Land zu schweren Unruhen kommen.);\n(Ten uk³ad jest lepszy, ni¿ siê spodziewaliœmy. Odmowa grozi niepokojami w naszym kraju.);\n(Este acuerdo es mejor de lo que podíamos esperar, y rechazarlo causaría un gran revuelo en nuestro país).;\n(Questa proposta è meglio di quanto possiamo attenderci e, se la decliniamo, causeremo gravi tumulti nel nostro paese).;\n(Ez az egyezség jobb, mint amire számítottunk, és ha visszautasítanánk, azzal nagy felzúdulás lenne az országban.);\n(To je lepší nabídka, než jsme mohli oèekávat, kdybychom ji odmítli, vyvolalo by to nepokoje.);;;;;;x
PEACEBETTER_US;\n(This deal is better than what they will expect, and if they refuse it, it will cause great turmoil in their country.);\n(Cette offre étant plus attrayante que ce qu'ils espèrent, un refus de leur part entraînerait de nombreux troubles dans leur pays.);\n(Dieses Angebot ist besser, als sie zu erwarten hatten. Wenn sie es ablehnen, wird es in ihrem Land zu schweren Unruhen kommen.);\n(Te warunki s¹ lepsze, ni¿ mogli siê tego spodziewaæ. Jeœli zostan¹ odrzucone, spowoduje to wielki zamêt w ich kraju).;\n(Este acuerdo es mejor de lo que esperaban y, si lo rechazan, se producirá una gran agitación en su país).;\n(Questa proposta è meglio di quanto si attendano e, se la declinano, causeranno gravi tumulti nel loro paese).;\n(Ez az ajánlat jobb, mint amire számítottak, és ha visszautasítják, akkor az nagy nyugtalanságot okozna az országukban.);\n(Tohle je lepší nabídka, než mohli oèekávat, a jestli ji odmítnou, nastane u nich doma velký zmatek.);;;;;;x
PEACEDESC;Negotiate for peace;Négocier pour la paix;Um Frieden verhandeln;;Negociar la paz.;Negoziare la pace;;;;;;;;x
PEACEOFFERDESC;We have received an offer of peace from $COUNTRY$. They are offering us the following terms: ;Nous avons reçu une offre de paix de $COUNTRY$. Les conditions suivantes nous sont proposées : ;Wir haben ein Friedensangebot aus $COUNTRY$ erhalten! Sie bieten uns die folgenden Bedingungen:;Otrzymaliœmy propozycjê zawarcia pokoju od pañstwa: $COUNTRY$. Oferuj¹ nam nastêpuj¹ce warunki: ;Hemos recibido una oferta de paz de $COUNTRY$. Nos proponen los siguientes términos: ;Abbiamo ricevuto un'offerta di pace da: $COUNTRY$. Ci propongono le seguenti condizioni: ;Békeajánlatot kaptunk $COUNTRY$ nemzetétõl. A következõket ajánlották nekünk: ;Zemì $COUNTRY$ nám nabídla mír za následujícíh podmínek:;;;;;;x
PEACETITLE;Sue for Peace;Demander la paix;Frieden verhandeln;Proœba o pokój;Pedir la paz;Implorare la pace;Békeajánlat;Domáhat se míru;;;;;;x
POLICY_CHANGE;$SLIDER$ $DIRECTION$ $VALUE$.\n;$SLIDER$ $DIRECTION$ $VALUE$.\n;$SLIDER$ $DIRECTION$ $VALUE$.\n;$SLIDER$ $DIRECTION$ $VALUE$.\n;Una $DIRECTION$ de $VALUE$ en $SLIDER$.\n;$SLIDER$: $DIRECTION$ $VALUE$.\n;$SLIDER$ $DIRECTION$ $VALUE$.\n;;;;;;;x
POPULARITY_EFFECT;$WHO$ $DIRECTION$ $VALUE$ popularity.\n;$WHO$ $DIRECTION$ $VALUE$ en popularité.\n;$WHO$ $DIRECTION$ $VALUE$ Beliebtheit.\n;;$WHO$ tiene una $DIRECTION$ de $VALUE$ en popularidad.\n;$WHO$: $DIRECTION$ $VALUE$ popolarità.\n;;;;;;;;x
PROV_MANPOWER;$DIRECTION$ $VALUE$ manpower in $WHERE$.\n;$DIRECTION$ $VALUE$ d'effectifs à : $WHERE$.\n;$DIRECTION$ $VALUE$ Mannstärke in $WHERE$.\n;$DIRECTION$ $VALUE$ si³y ludzkiej w $WHERE$.\n;Una $DIRECTION$ de $VALUE$ en soldadesca en $WHERE$.\n;$WHERE$: potenziale di reclutamento $DIRECTION$ $VALUE$.\n;$WHERE$ munkaereje $DIRECTION$ $VALUE$.\n;;;;;;;x
PROVINCE_PRODUCES;$PROVINCE$ produces $GOODS$;$PROVINCE$ produit $GOODS$;$PROVINCE$ produziert $GOODS$;;$PROVINCE$ produce $GOODS$;$PROVINCE$ produce $GOODS$;;;;;;;;x
PROVINCE_DOESNT_PRODUCE;$PROVINCE$ doesn't produce $GOODS$;$PROVINCE$ ne produit pas $GOODS$;$PROVINCE$ hat keine Produktion von $GOODS$;;$PROVINCE$ no produce $GOODS$;$PROVINCE$ non produce $GOODS$;;;;;;;;x
QUEUE_SIZE;There are $SIZE$ units in the queue.;La file d'attente compte $SIZE$ unités.;In der Baureihe befinden sich $SIZE$ Einheiten.;;Hay $SIZE$ unidad(es) en cola.;Ci sono $SIZE$ unità nella coda.;;;;;;;;x
REM_IDEA;Lose a $LOSE$ idea.\n;Perte d'une idée : $LOSE$.\n;$LOSE$ Idee verlieren.\n;$LOSE$ - stracona doktryna.\n;Pérdida de una idea en '$LOSE$'.\n;Perdi un'idea per: $LOSE$.\n;$LOSE$ elveszített egy ötletet.\n;;;;;;;x
REMOVE_GOVERNOR;$WHO$ will no longer be governor of $WHERE$.\n;$WHO$ ne sera plus gouverneur de $WHERE$.\n;$WHO$ ist nicht länger Gouverneur von $WHERE$.\n;;$WHO$ ha dejado de gobernar $WHERE$.\n;$WHERE$: $WHO$ non sarà più governatore.\n;;;;;;;;x
HEREDITARY_JOB_OFF;The $JOB$ title is no longer hereditary\n;Le titre de $JOB$ n'est plus héréditaire.\n;Der Titel $JOB$ ist nicht mehr erblich\n;;El título $JOB$ ya no es hereditario\n;;;;;;;;;x
HEREDITARY_JOB_ON;The $JOB$ title is now hereditary\n;Le titre de $JOB$ est désormais héréditaire.\n;Der Titel $JOB$ ist jetzt erblich\n;;El título $JOB$ ya es hereditario\n;;;;;;;;;x
REV_GAIN_CB;$ACTIVE$ gains a casus-belli on $PASSIVE$.\n;$ACTIVE$ obtient un casus belli sur $PASSIVE$.\n;$ACTIVE$ erhält einen Kriegsgrund gegen $PASSIVE$.\n;$ACTIVE$ zyskuje casus belli wobec: $PASSIVE$.\n;$ACTIVE$ obtiene un 'casus belli' contra $PASSIVE$.\n;$ACTIVE$ ottiene un casus belli per: $PASSIVE$.\n;$ACTIVE$ háborús okot talált $PASSIVE$ nemzetével szemben.\n;;;;;;;x
SECEDE_PROVINCE;Cede $WHERE$ to $WHO$.\n;Vous cédez $WHERE$ à $WHO$.\n;$WHERE$ an $WHO$ abtreten.\n;Zrzekasz siê $WHERE$ na rzecz $WHO$.\n;Ceder $WHERE$ a $WHO$.\n;Cedi $WHERE$ a $WHO$.\n;$WHERE$ $WHO$ országhoz kerül.\n;;;;;;;x
SECEDE_PROVINCES;$WHO$ will cede $WHAT$. ;$WHO$ cédera $WHAT$. ;$WHO$ trennt sich von $WHAT$. ;$WHO$ zrzeknie siê prowincji $WHAT$. ;$WHO$ se escindirá de $WHAT$.;$WHO$ si separerà da: $WHAT$. ;$WHO$ ki fog válni a következõbõl: $WHAT$.;$WHO$ se odtrhne od $WHAT$.;;;;;;x
SEDUCE_DESC;Convince Governor to join you, taking his county with him;Persuadez le gouverneur de vous rejoindre avec son comté.;Gouverneur überreden, sich Euch anzuschließen und seine Provinz mitzubringen;;Convence al gobernador para que se una a nosotros, llevando su provincia con él.;Convincere il Governatore a unirsi a te, insieme alla sua provincia;;;;;;;;x
SEDUCE_INFORMDESC;Governor $GOVNAME$ of $TARGET$ reports that he captured the agent $NAME$ of $ACTOR$. $NAME$ was trying to convince the governor to betray us. \n What shall we do with $NAME$?;Le gouverneur $GOVNAME$ de $TARGET$ rapporte avoir capturé l'agent $NAME$ de $ACTOR$. $NAME$ essayait de convaincre le gouverneur de nous trahir. \n Que devons-nous faire de $NAME$ ?;Gouverneur $GOVNAME$ von $TARGET$ berichtet, er habe den Spitzel $NAME$ von $ACTOR$ dingfest gemacht. $NAME$ hatte versucht, den Gouverneur zum Verrat an uns zu überreden. \n Was sollen wir mit $NAME$ tun?;;El gobernador $GOVNAME$ de $TARGET$ informa de que ha capturado al agente $NAME$ de $ACTOR$. $NAME$ trataba de convencer al gobernador para que nos traicionase. \n¿Qué hacemos con $NAME$?;Il governatore $GOVNAME$ di $TARGET$ riferisce di aver catturato $NAME$, emissario di $ACTOR$. $NAME$ stava tentando di convincere il governatore a tradirci. \n Cosa ne faremo di $NAME$?;;;;;;;;x
SEDUCE_NO_GOV;No governor to seduce, if you want the county take it up with its ruler.;Pas de gouverneur à convaincre. Si vous voulez le comté, prenez-le avec son dirigeant.;Kein Gouverneur, der überredet werden könnte. Wenn Ihr die Provinz wollt, wendet Euch an ihren Herrscher.;;No hay ningún gobernador al que tentar. Sin queréis la provincia, tendréis que tomarla con su gobernante.;Nessun governatore da irretire. Se vuoi la provincia dovrai vedertela con il suo governante.;;;;;;;;x
SEDUCEREQDESC_REMOVED;Do you wish to attempt to seduce the governor, §Y$NAME$§!, of §Y$PROV$§!? \n If you are successful he can bring his county over to us, but it will also have dire consequences for our relation with §Y$OWNER$§!;Voulez-vous tenter de convaincre le gouverneur de §Y$PROV$§!, §Y$NAME$§! ? \n Si vous réussissez, son comté nous reviendra, mais nos relations avec §Y$OWNER$§! se détérioreront.;Wollt Ihr versuchen, den Gouverneur §Y$NAME$§! von §Y$PROV$§! zu überreden? \n Wenn Ihr Erfolg habt, wird er seine Provinz mit zu uns bringen, aber es wird auch unseren Beziehungen zu §Y$OWNER$§! böse schaden.;;¿Queréis intentar tentar al gobernador §Y$NAME$§! de §Y$PROV$§!? \nSi lo conseguís, puede convencer a su provincia para que se una a nosotros, aunque tendrá consecuencias terribles en nuestra relación con §Y$OWNER$§!.;Vuoi tentare di irretire il governatore §Y$NAME$§! di §Y$PROV$§!? \n Se riesci, la sua provincia passerà a noi, ma la nostra relazione con §Y$OWNER$§! si inasprirà irrimediabilmente.;;;;;;;;x
SEDUCETITLE;Seduce Governor;Convaincre le gouverneur;Gouverneur überreden;;Tentar gobernador;Irretire Governatore;;;;;;;;x
SENATE_INFLUENCE;Senate Influence;Influence du sénat;Senatseinfluss;;Influencia del senado;;;;;;;;;x
SPAWN_EVENT;The event '$WHICH$' happens.\n;L'événement '$WHICH$' se produit.\n;Das Ereignis "$WHICH$" passiert.\n;;El evento '$WHICH$' sucede.\n;otterrà l'evento: '$WHICH$'.\n;;;;;;;;x
SPIES;$DIRECTION$ $VALUE$ spies.\n;$DIRECTION$ $VALUE$ d'espions.\n;$DIRECTION$ $VALUE$ Spione.\n;$DIRECTION$ $VALUE$ szpiegów.\n;Una $DIRECTION$ de $VALUE$ espías.\n;Spie: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ kém.\n;;;;;;;x
SPAWN_HORDE;A barbarian horde of $SIZE$ units will spawn in $WHERE$.\n;Une horde barbare de $SIZE$ unités va se développer à : $WHERE$.\n;Eine Barbarenhorde von $SIZE$ Einheiten erscheint in $WHERE$.\n;;Una horda bárbara de $SIZE$ unidades aparecerá en $WHERE$.\n;$WHERE$: apparirà un'orda di barbari formata da $SIZE$ coorti.\n;;;;;;;;x
SUCCESSION_INHERITED;$NEW_NAME$ inherits $TITLES$.;$NEW_NAME$ hérite du titre de $TITLES$.;$NEW_NAME$ erbt $TITLES$.;;$NEW_NAME$ hereda el título de $TITLES$.;;;;;;;;;x
TAKE_COMMAND;$WHO$ takes command of $WHICH$.\n;$WHO$ prend le commandement de $WHICH$.\n;$WHO$ hat das Kommando von $WHICH$ übernommen.\n;;$WHO$ recibe el mando de $WHICH$.\n;$WHO$ assume il comando di $WHICH$.\n;;;;;;;;x
TECH_SET_FOCUS;Set Focus;Intérêt défini;Fokus einstellen;;Establecer enfoque;;;;;;;;;x
TECH_SET_FOCUS_DESC;Sets the $GROUP$ focus on this advance, increasing the chance of new discoveries by §Y$CHANCE$%§!;Définit l'intérêt $GROUP$ sur ces progrès, pour augmenter nos chances de faire de nouvelles découvertes de §Y$CHANCE$%§!;Stellt den $GROUP$-Fokus auf diesen Fortschritt, was die Chance auf neue Entdeckungen durch §Y$CHANCE$%§! erhöht;;Establece el enfoque de $GROUP$ en este avance, lo que aumenta las probabilidades de descubrir algo nuevo en un §Y$CHANCE$%§!.;;;;;;;;;x
THE_NUMBER_OF_REVOLT_FRACTION_IS_LESS_THAN;The number of revolt fraction is less than ;Le pourcentage de révolte est inférieur à ;Die Revoltenanteil ist geringer als;;El porcentaje de rebelión es inferior a ;Il numero di fazioni in rivolta è inferiore a ;;;;;;;;x
THE_NUMBER_OF_REVOLT_FRACTION_IS_MORE_THAN;The number of revolt fraction is more than ;Le pourcentage de révolte est supérieur à ;Die Revoltenanteil ist größer als;;El porcentaje de rebelión es superior a;Il numero di fazioni in rivolta è superiore a;;;;;;;;x
THEN_NUMBER_OF_REVOLTS_ARE_LESS_THAN;The number of revolts are less than ;Le nombre de révoltes est inférieur à ;Revoltenanzahl geringer als;;El número de rebeliones es inferior a;Il numero di rivolte è inferiore a;;;;;;;;x
THEN_NUMBER_OF_REVOLTS_ARE_MORE_THAN;The number of revolts are more than ;Le nombre de révoltes est supérieur à ;Revoltenanzahl größer als;;El número de rebeliones es superior a;Il numero di rivolte è superiore a;;;;;;;;x
THREAT_COUNTRY_STARTS;Any Threatening Country;N'importe quel pays dangereux;Jedes bedrohliche Land;;Algún país amenazante;;;;;;;;;x
THREATENEDBY;Feels threatened by $LIST$.;Se sent menacé(e) par $LIST$.;Fühlt sich bedroht von $LIST$.;;Se siente amenazado por $LIST$.;;;;;;;;;x
THREATS_LABEL;Threats;Menaces;Bedrohungen;;Amenazas;;;;;;;;;x
TIMELEFT;$MONTHS$ Months left;$MONTHS$ mois restants;$MONTHS$ Monate verbleibend;;$MONTHS$ Meses restantes;;;;;;;;;x
TRADE_ACC_ASK_DESC;An envoy from $ACTOR$ is requesting that their merchants shall be allowed passage across our lands. \n What shall be our answer?;Un émissaire demande à ce que les marchands de $ACTOR$ puissent traverser notre territoire. \n Que devons nous lui répondre ?;Ein Gesandter von $ACTOR$ bittet darum, ihren Händlern den Durchzug durch unsere Ländereien zu gewähren. \n Wie lautet unsere Antwort?;;Un emisario de $ACTOR$ solicita que a sus mercaderes se les permita el paso por nuestras tierras. \n¿Qué respondemos?;Un emissario di: $ACTOR$ chiede che ai loro mercanti venga concesso di attraversare le nostre terre. \n Cosa dobbiamo rispondere?;;;;;;;;x
TRADEROUTECONSTRDESC;We wish to trade $GOODS$ from $PROV$ to $PROV_OTHER$ giving $GOODS_OTHER$ in return.;Nous souhaitons échanger $GOODS$ de $PROV$ vers $PROV_OTHER$ contre $GOODS_OTHER$.;Wir möchten $GOODS$ aus $PROV$ nach $PROV_OTHER$ bringen, die im Gegenzug $GOODS_OTHER$ bringen.;;Nos gustaría comerciar $GOODS$ desde $PROV$ a $PROV_OTHER$ dando $GOODS_OTHER$ a cambio.;Desideriamo stabilire un traffico di $GOODS$ da $PROV$ a $PROV_OTHER$ in cambio di $GOODS_OTHER$.;;;;;;;;x
TRADEROUTEDESC;Creating a trade route will, in addition to generating money, give the benefits of the goods being traded to both counties.;Outre les revenus qu'elle vous rapportera, la création d'une route commerciale vous permettra d'échanger des marchandises avec les autre comtés.;Die Schaffung einer Handelsroute bringt nicht nur Geld, sondern auch die Vorzüge des bilateralen Handels beider involvierter Provinzen ein.;;Crear una ruta comercial, además de proporcionar dinero, dará el beneficio de los productos intercambiados a ambas provincias comerciantes.;Oltre a portare un guadagno, creare una rotta commerciale ha il vantaggio di rendere disponibili nuove merci.;;;;;;;;x
TRADEROUTEOFFDESC;$COUNTRY$ is offering us a trade between $FROM$($FROM_GOODS$) and $TO$($TO_GOODS$).\n This will earn each of us $CASH$¤ per month.\n Effect on $FROM$: $FROM_EFFECT$ \n Effect on $TO$: $TO_EFFECT$;$COUNTRY$ nous offre un échange entre $FROM$($FROM_GOODS$) et $TO$($TO_GOODS$).\n Cela rapportera $CASH$¤ par mois à chacun de nous.\n Effet sur $FROM$ : $FROM_EFFECT$ \n Effet sur $TO$ : $TO_EFFECT$;$COUNTRY$ bietet uns einen Handel zwischen $FROM$($FROM_GOODS$) und $TO$($TO_GOODS$) an.\n Dies bringt jedem von uns monatlich $CASH$¤ ein.\n Auswirkung auf $FROM$: $FROM_EFFECT$ \n Auswirkung auf $TO$: $TO_EFFECT$;;$COUNTRY$ nos ofrece un comercio entre $FROM$ ($FROM_GOODS$) y $TO$ ($TO_GOODS$).\n Esto nos dará $CASH$¤ al mes a cada uno.\n Efecto en $FROM$: $FROM_EFFECT$ \n Efecto en $TO$: $TO_EFFECT$;$COUNTRY$ ci propone di stabilire una rotta commerciale tra $FROM$($FROM_GOODS$) e $TO$($TO_GOODS$).\n Guadagneremo entrambi $CASH$¤ al mese.\n Effetto su $FROM$: $FROM_EFFECT$ \n Effetto su $TO$: $TO_EFFECT$;;;;;;;;x
TRADEROUTEREQDESC;Creating a traderoute from $FROM$($GOODS_FROM$) to $TO$($GOODS_TO$) will, addition to $CASH$¤ each month, give $FROM$ $TO_EFFECT$ and $TO$ $FROM_EFFECT$.;Outre la somme mensuelle de $CASH$¤, la création d'une route commerciale entre $FROM$($GOODS_FROM$) et $TO$($GOODS_TO$) apportera $FROM$ $TO_EFFECT$ et $TO$ $FROM_EFFECT$.;Die Schaffung einer Handelsroute von $FROM$($GOODS_FROM$) nach $TO$($GOODS_TO$) bringt uns außer $CASH$¤ monatlich außerdem $FROM$ $TO_EFFECT$ und $TO$ $FROM_EFFECT$ ein.;;Crear una ruta comercial desde $FROM$ ($GOODS_FROM$) a $TO$ ($GOODS_TO$), además de proporcionar $CASH$¤ cada mes, produce $TO_EFFECT$ a $FROM$ y $FROM_EFFECT$ a $TO$.;Stabilire una rotta commerciale da $FROM$($GOODS_FROM$) a $TO$($GOODS_TO$) porterà nelle nostre casse $CASH$¤ ogni mese e produrrà i seguenti effetti: $FROM$ $TO_EFFECT$ e $TO$ $FROM_EFFECT$.;;;;;;;;x
TRADEROUTETITLE;Create Trade Route;Créer une route commerciale;Handelsroute erstellen;;Crear ruta comercial;Crea rotta commerciale;;;;;;;;x
UNIT_ALLEGIANCE_EFFECT;$UNIT$ defects to $WHO$.\n;$UNIT$ se soumet à $WHO$.\n;$UNIT$ läuft über zu $WHO$.\n;;$UNIT$ se une a $WHO$.\n;$UNIT$ passa a $WHO$.\n;;;;;;;;x
UNIT_TYPE_VERSUS;Vs $NAME$: $COL$$EFFICIENCY$%;Contre $NAME$ : $COL$$EFFICIENCY$%;Vs. $NAME$: $COL$$EFFICIENCY$%;;Contra $NAME$: $COL$$EFFICIENCY$%;vs. $NAME$: $COL$$EFFICIENCY$%;;;;;;;;x
WAR_EXHAUSTION;Monthly War Exhaustion;Lassitude de guerre mensuelle;Monatliche Kriegsmüdigkeit;Miesiêczne wyczerpanie wojn¹;Hastío bélico mensual;Esaurimento di guerra mensile;Háborús kimerültség;Mìsíèní vyèerpání válkou;;;;;;x
war_exhaustion;War Exhaustion;Lassitude de guerre;Kriegsmüdigkeit;Wyczerpanie wojn¹;Hastío bélico;Sfinimento da guerra;Háborús kimerültség;Váleèné vyèerpání;;;;;;x
WAR_EXHAUSTION_LESS_THAN;War exhaustion less than ;Lassitude de guerre inférieure à ;Kriegsmüdigkeit weniger als;;Hastío bélico inferior a ;Sfinimento da guerra minore di ;;;;;;;;x
WAR_EXHAUSTION_MORE_THAN;War exhaustion more than ;Lassitude de guerre supérieure à ;Kriegsmüdigkeit mehr als;;Hastío bélico superior a ;Sfinimento da guerra maggiore di ;;;;;;;;x
WAR_EFFECT;Declare War on $WHO$;Déclarer la guerre à $WHO$;Erklärt $WHO$ den Krieg;Wypowiedz wojnê $WHO$;Declararle la guerra a $WHO$;Dichiarare guerra a $WHO$;Hadüzenet neki: $WHO$;Vyhlásit válku $WHO$;;;;;;x
WAREXHAUSTION_EFFECT;$DIRECTION$ $VALUE$ war exhaustion.\n;$DIRECTION$ $VALUE$ en lassitude de guerre.\n;$DIRECTION$ $VALUE$ Kriegsmüdigkeit.\n;$DIRECTION$ $VALUE$ wyczerpania wojn¹.\n;Una $DIRECTION$ de $VALUE$ en hastío bélico.\n;Sfinimento da guerra: $DIRECTION$ $VALUE$.\n;$DIRECTION$ $VALUE$ háborús kimerültség.\n;;;;;;;x
WEALTH_EFFECT;$WHO$ $DIRECTION$ $VALUE$ wealth\n;$WHO$ $DIRECTION$ $VALUE$ en richesse\n;$WHO$ $DIRECTION$ $VALUE$ Reichtum\n;;$WHO$ tiene una $DIRECTION$ de $VALUE$ en riqueza\n;$WHO$: $DIRECTION$ $VALUE$ ricchezza\n;;;;;;;;x

IS_ACCEPTED_CULTURE;Is accepted culture ;Est une culture tolérée;Ist eine akzeptierte Kultur ;;Es una cultura aceptada ;È una cultura accettata ;;;;;;;;x
IS_NOT_ACCEPTED_CULTURE;Is NOT accepted culture ;N'est pas une culture tolérée ;Ist nicht akzeptierte Kultur ;;No es una cultura aceptada ;Non è una cultura accettata ;;;;;;;;x

IS_ADMIRAL;Is an admiral;Est amiral;Ist ein Admiral;;Es almirante;;;;;;;;;x
IS_NOT_ADMIRAL;Is NOT an admiral;N'est pas amiral;Ist KEIN Admiral;;No es almirante;;;;;;;;;x

IS_AN_ENVOY;Is an envoy;Est un émissaire;Ist ein Vertreter;;Es emisario;È un emissario;;;;;;;;x
IS_NOT_AN_ENVOY;Is NOT an envoy;N'est pas un émissaire;Ist KEIN Vertreter;;No es emisario;Non è un emissario;;;;;;;;x

IS_BANISHED;Is exiled;Est en exil;Ist verbannt;;Se le ha exiliado;;;;;;;;;x
IS_NOT_BANISHED;Is NOT exiled;N'est pas en exil;Ist NICHT verbannt;;No se le ha exiliado;;;;;;;;;x

IS_EMPLOYED;Is Employed;Est employé(e);Ist beschäftigt;;Está empleado(a).;È occupato;;;;;;;;x
ISNT_EMPLOYED;Is NOT employed;N'est pas employé(e);Ist NICHT beschäftigt;;No está empleado(a).;NON è occupato;;;;;;;;x

IS_GENERAL;Is a general;Est général;Ist ein General;;Es general;;;;;;;;;x
IS_NOT_GENERAL;Is NOT a general;N'est pas général;Ist KEIN General;;No es general;;;;;;;;;x

IS_LEADING_ARMY;Is leading an army;Commande une armée;Führt eine Armee;;Dirige un ejército;;;;;;;;;x
IS_NOT_LEADING_ARMY;Is NOT leading an army;Ne commande pas une armée;Führt KEINE Armee;;NO dirige un ejército;;;;;;;;;x

IS_LEADING_FLANK;Is leading a flank;Mène un flanc;Führt eine Flanke;;Dirige un flanco;;;;;;;;;x
IS_NOT_LEADING_FLANK;Is NOT leading a flank;Ne mène pas un flanc;Führe KEINE Flanke;;NO dirige un flanco;;;;;;;;;x

IS_LUCKY;Is lucky;A de la chance ;Hat Glück;;Tiene suerte;È fortunato;;;;;;;;x
ISNT_LUCKY;Isn't lucky ;N'a pas de chance ;Hat kein Glück;;No tiene suerte ;Non è fortunato ;;;;;;;;x

IS_THREAT1;Views;Considère;Ansichten;;Ve;;;;;;;;;x
IS_THREAT2;as a threat.;comme une menace.;als Bedrohung.;;una amenaza.;;;;;;;;;x
IS_NOT_THREAT1;Does NOT view;Ne considère pas;Sieht;;No ve;;;;;;;;;x
IS_NOT_THREAT2;as a threat.;comme une menace.;NICHT als Bedrohung an.;;una amenaza.;;;;;;;;;x

IS_EQUAL_OR_LESS_THAN; is equal to or less than ; est inférieur(e) ou égal à ; ist gleich groß oder geringer als ;; es igual o inferior que ; è uguale o minore di ;;;;;;;;x
IS_GREATER_THAN; is greater than ; est supérieur(e) à ; ist größer als ;; es mayor que ; è maggiore di ;;;;;;;;x

IS_FROM;Is FROM;Is FROM;Is FROM;;Is FROM;;;;;;;;;x
IS_PREV;Is PREV;Is PREV;Is PREV;;IS PREV;;;;;;;;;x
IS_ROOT;Is ROOT;Is ROOT;Is ROOT;;Is ROOT;;;;;;;;;x

job_viceroy name;Viceroy;Vice-roi;Vizekönig;;Virrey;;;;;;;;;x

HAVE_LESS_THAN;Have less than ;A moins que ;Hat weniger als;;Tiene menos que ;Ha meno di ;;;;;;;;x
