#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

# job_spymaster.txt

#########################
#
#	Spymaster events
#
#########################

# Plot Uncovered
evt_spymaster_001_title;Plot Uncovered;Complot déjoué;Verschwörung aufgedeckt;;Complot descubierto;;;;;;;;;x
evt_spymaster_609_desc_a;[From.GetTitledName] and [From.GetHerHis] spymaster went ahead and spread the rumors about me being a homosexual. Those of my vassals who did not like me before seem to like me even less after this incident...;[From.Get_Le_TitledName] et son maître-espion se sont exécutés et ont répandu des rumeurs sur mon homosexualité. Suite à cet incident, ceux qui ne m'aimaient pas, ne m'aiment pas davantage...;[From.GetTitledName] und [From.GetHerHis] Hofspitzel verbreiteten die Gerüchte über meine angebliche Homosexualität. Diejenigen unter meinen Vasallen, die mich vorher schon nicht mochten, scheinen mich jetzt nicht unbedingt mehr zu mögen ...;;[From.GetTitledName] y su jefe de espías al final difundieron los rumores de mi homosexualidad. Tras el incidente, los vasallos que no me apreciaban no parecen tener mejor opinión de mí...;;;;;;;;;x
evt_spymaster_609_option_a;A most unfortunate incident;C'est très regrettable.;Ein höchst bedauerlicher Zwischenfall;;Un incidente de lo más desafortunado.;;;;;;;;;x

# Inform the Liege about death
evt_spymaster_610_desc_a;My spymaster, [From.GetTitledName] has been murdered! That noble he was investigating, [FromFrom.GetTitledName], seems reasonable to be behind this, but I have no proof...;Mon maître-espion, [From.Get_le_TitledName], a été assassiné ! Le noble sur lequel il enquêtait, [FromFrom.Get_le_TitledName], semble en être à l'origine, mais je n'ai aucune preuve...;Mein Hofspitzel, [From.GetTitledName], wurde ermordet! Der Adlige, den er untersuchte, [FromFrom.GetTitledName], steckt vermutlich dahinter, aber ich habe keine Beweise ...;;¡Han asesinado a mi jefe de espías, [From.GetTitledName]! Ese noble al que investigaba, [FromFrom.GetTitledName], tiene que andar detrás de esto, pero no tengo pruebas...;;;;;;;;;x
evt_spymaster_610_option_a;Damn him anyway!;Punissez-le, quoi qu'il en soit !;Verflucht sei er trotzdem!;;¡Bah, maldito sea!;;;;;;;;;x

# Spread rumors
evt_spymaster_611_desc_a;My liege's instructions are clear. I will put my spy network to work spreading the rumor about the local noble.;Les instructions de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige sont claires. Je vais demander à mon réseau d'espionnage de répandre la rumeur à propos du noble local.;Mein Lehnsherr hat mir klare Anweisungen gegeben. Ich werde meinen Spitzeln befehlen, das Gerücht über den örtlichen Adligen zu verbreiten.;;Las instrucciones de mi señor son claras. Haré que mi red de espías difunda el rumor sobre el noble de la región.;;;;;;;;;x
evt_spymaster_611_option_a;It will be my pleasure;Avec plaisir.;Es wird mir eine Freude sein;;Será un placer.;;;;;;;;;x

# The noble responds to rumor
evt_spymaster_612_desc_a;[From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has somehow found out about my sexual preferences and is now trying to spread a rumor about this to destroy my reputation among my vassals.;[From.Get_Le_TitledName], le maître-espion [From.Liege.Get_du_TitledName] a découvert mes préférences sexuelles et tente de répandre cette rumeur afin de nuire à ma réputation auprès de mes vassaux.;[From.GetTitledName], der Hofspitzel von [From.Liege.GetTitledName], hat Wind von meinen sexuellen Vorlieben bekommen und versucht nun, dieses Gerücht weiterzuverbreiten und meinen Ruf bei meinen Vasallen zu ruinieren.;;[From.GetTitledName], jefe de espías de [From.Liege.GetTitledName], de alguna forma ha descubierto mis preferencias sexuales y ahora intenta difundir el rumor y acabar con mi reputación entre los vasallos.;;;;;;;;;x
evt_spymaster_612_option_a;Try to have [From.GetTitledName] killed!;Essayez d'éliminer [From.Get_le_TitledName] !;Versucht, [From.GetTitledName], zu ermorden!;;¡Intenta matar a [From.GetTitledName]!;;;;;;;;;x
evt_spymaster_612_option_b;Let them spread their rumor;Qu'ils répandent cette rumeur !;Lasst sie ruhig ihr Gerüchtlein verbreiten;;Deja que se extienda el rumor.;;;;;;;;;x

# Spymaster gets away
evt_spymaster_613_desc_a;[FromFrom.GetTitledName] managed to get away...;[FromFrom.Get_Le_TitledName] a réussi à s'enfuir...;[FromFrom.GetTitledName] kam davon ...;;[FromFrom.GetTitledName] se las arregló para escapar...;;;;;;;;;x
evt_spymaster_613_option_a;Damn [FromFrom.GetHerHim]!;Bon sang !;Soll der Teufel [FromFrom.GetHerHim] holen!;;¡Que le den!;;;;;;;;;x

# Spymaster is killed
evt_spymaster_614_desc_a;The men I sent to deal with [FromFrom.GetTitledName] succeeded. [From.GetSheHeCap] will not bother me again...;Les hommes que j'ai envoyés pour s'occuper [FromFrom.Get_du_TitledName] ont réussi. [From.GetIlElleCap] ne m'embêtera plus...;Die Männer, die ich ausschickte, um [FromFrom.GetTitledName] zu beseitigen, waren erfolgreich. [From.GetSheHeCap] wird mich nicht mehr belästigen ...;;Los hombres que envié contra [FromFrom.GetTitledName] ya han hecho su trabajo. [From.GetSheHeCap] no nos volverá a molestar...;;;;;;;;;x

# Do nothing
evt_spymaster_615_desc_a;My liege [From.GetTitledFirstName] seems to have lost interest in this noble and wants me to forget the whole thing.;M[From.GetOnA] [From.GetLordLady] lige, [From.Get_le_TitledFirstName], semble avoir perdu son intérêt pour ce noble et me demande de tout oublier.;Mein Lehnsherr [From.GetTitledFirstName] hat offenbar das Interesse an dieser Adelsperson verloren und wünscht, dass ich diese Angelegenheit vergesse.;;Mi señor [From.GetTitledFirstName] parece haber perdido todo su interés por este noble y me pide que olvide el asunto.;;;;;;;;;x
evt_spymaster_615_option_a;As [From.GetSheHe] wish.;Comme [From.GetIlElle] le souhaite.;Ganz wie [From.GetSheHe] wünscht.;;Como [From.GetSheHe] desee.;;;;;;;;;x

# The noble does not care about the rumor
evt_spymaster_616_desc_a;It seems [From.GetTitledName] does not care if I spread the rumor or not. I think [From.GetSheHe] will regret [From.GetHerHis] choice.;Cela semble ne pas déranger [From.Get_le_TitledName] que je répande la rumeur ou non. Je pense qu'[From.GetIlElle] regrettera son choix.;Mir scheint, [From.GetTitledName] interessiert es gar nicht, ob es sich um ein Gerücht handelt, das von mir selbst gestreut wurde. Sicherlich wird [From.GetSheHe] [From.GetHerHis]e Wahl irgendwann noch bereuen.;;Parece que a [From.GetTitledName] le da igual si yo hago correr el rumor o no. Creo que [From.GetSheHe] lamentará su elección.;;;;;;;;;x
evt_spymaster_616_option_a;I will inform my liege;J'en informerai m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Ich werde meinen Lehnsherrn in Kenntnis setzen;;Informaré a mi señor.;;;;;;;;;x

# Inform the liege that the noble does not care about the rumor
evt_spymaster_617_desc_a;My liege, it seems that [FromFrom.GetTitledName] does not care if I spread the rumor or not about his alleged homosexuality. But I think he will regret his choice once I have informed his vassals.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nVisiblement, [FromFrom.Get_le_TitledName] n'en a que faire que je répande ou non la rumeur sur sa soi-disant homosexualité. Mais je crois qu'[FromFrom.GetIlElle] regrettera son choix quand j'en aurai informé ses vassaux.\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, es scheint, anscheinend ist es [FromFrom.GetTitledName] egal, ob ich das Gerücht über seine angebliche Homosexualität verbreite. Ich aber denke, er wird das noch bereuen, sobald ich seine Vasallen in Kenntnis gesetzt habe.\n\nEuer ergebener Hofspitzel,\n[From.GetTitledName];;Mi señor, parece que a [FromFrom.GetTitledName] no le importa que difunda el rumor sobre su presunta homosexualidad. Creo que se va a arrepentir cuando se lo diga a sus vasallos.\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_617_option_a;So do I;Qu'il en soit ainsi !;Ich auch;;Igual que yo.;;;;;;;;;x


# Corruption Uncovered
evt_spymaster_701_title;Corruption Uncovered;Corruption découverte;Korruption aufgedeckt;;Corrupción al descubierto;;;;;;;;;x
evt_spymaster_701_desc_a;My network of spies have encountered vague rumors that a local noble might be corrupt. Used wisely this might be enough to implicate one of my liege's enemies here in [Root.Location.GetName].;Mon réseau d'espionnage a eu vent des rumeurs selon lesquelles un noble local serait corrompu. Nous pourrions nous en servir pour impliquer un des ennemis de m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige, ici, à [Root.Location.GetName].;Mein Netzwerk von Spitzeln hat vage Gerüchte vernommen, dass ein örtlicher Adliger korrupt sein könnte. Wenn wir diese Informationen klug einsetzen, könnten sie zur Anklage eines hiesigen Feindes meines Lehnsherrn in [Root.Location.GetName] ausreichen.;;Mi red de espías ha oído vagos rumores de corrupción sobre un noble de la región. Si somos listos, podremos implicar a uno de los enemigos de mi señor aquí en [Root.Location.GetName].;;;;;;;;;x
evt_spymaster_701_option_a;My liege will know what to do;La décision revient à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Mein Lehnsherr wird nun wissen, was zu tun ist;;Mi señor sabrá lo que hacer.;;;;;;;;;x

# Liege is informed
evt_spymaster_702_desc_a;My liege, there is a rumor here in [From.Location.GetName] that one of the local nobles might be corrupt. Handled wisely this information might be used to implicate one of your enemies here.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady], \nJ'ai eu vent d'une rumeur selon laquelle un des nobles de [From.Location.GetName] serait corrompu. Nous pourrions nous en servir pour impliquer un de vos ennemis.\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, es geht ein Gerücht hier in [From.Location.GetName] um, dass einer der örtlichen Adligen korrupt sein könnte. Wenn wir diese Informationen klug einsetzen, könnten sie zur Anklage eines unserer hiesigen Feinde ausreichen.\n\nEuer ergebener Hofspitzel,\n[From.GetTitledName];;Mi señor, hay un rumor aquí en [From.Location.GetName] de que uno de los nobles de la comarca podría ser un corrupto. Si usamos bien esta información, podríamos implicar a uno de sus enemigos de la región.\n\nSu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_702_option_a;Then use it as you see fit;Alors, utilisez-le comme il vous sied;Dann benutze es nach eigenem Ermessen;;Utilizadlo como mejor os parezca;;;;;;;;;x
evt_spymaster_702_option_b;It is just a rumor, let it be;Ce n'est qu'une rumeur, laissez filer;Es ist bloß ein Gerücht - jetzt nichts überstürzen;;Solo es un rumor, dejadlo estar;;;;;;;;;x

# Accuse him
evt_spymaster_703_desc_a;My liege's instructions are clear. I should use the rumor about corruption to try and implicate one of [From.GetHerHis] enemies here in [Root.Location.GetName].;Les instructions de mon souverain sont claires. Je dois utiliser cette rumeur de corruption pour impliquer un de ses ennemis présents à [Root.Location.GetName].;Mein Lehnsherr hat mir klare Anweisungen gegeben. Ich soll dieses Korruptionsgerücht zur Beschuldigung eines [From.GetHerHis]er Feinde hier in [Root.Location.GetName] einsetzen.;;Las instrucciones de su señoría son claras. Debo usar el rumor de corrupción e intentar implicar a uno de sus enemigos aquí en [Root.Location.GetName].;;;;;;;;;x
evt_spymaster_703_option_a;It will be my pleasure;Avec plaisir !;Es wird mir eine Freude sein;;Será un placer.;;;;;;;;;x

# The noble responds to accusation
evt_spymaster_704_desc_a;[From.GetTitledName], the spymaster of [From.Liege.GetTitledName], has somehow connected a rumor about corruption here in [From.Location.GetName] with me. It seems they try to hurt my reputation with my vassals and wants me to confess.;[From.GetTitledName], le maître-espion [From.Liege.Get_du_TitledName], a répandu une rumeur de corruption me concernant ici, à [From.Location.GetName]. Visiblement, il cherche à nuire à ma réputation auprès de mes vassaux et me faire avouer.;[From.GetTitledName], der Hofspitzel von [From.Liege.GetTitledName] hat irgendwie ein Gerücht über Korruption hier in [From.Location.GetName] mit mir in Verbindung gebracht. Es scheint, sie wollen meinen Ruf bei meinen Vasallen schädigen, und er will ein Geständnis von mir.;;[From.GetTitledName], jefe de espías de [From.Liege.GetTitledName], ha logrado de alguna forma implicarme en un rumor de corrupción aquí en [From.Location.GetName]. Parece que intentan dañar mi reputación entre los vasallos y hacer que confiese.;;;;;;;;;x
evt_spymaster_704_option_a;Try to have [From.GetTitledName] killed!;Essayez d'éliminer [From.Get_le_TitledName] !;[From.GetTitledName] umbringen lassen!;;¡Intenta matar a [From.GetTitledName]!;;;;;;;;;x
evt_spymaster_704_option_b;I guess I do not have a choice;Je suppose que je n'ai pas le choix.;Ich habe wohl keine Wahl;;Supongo que no tengo elección.;;;;;;;;;x

# Spymaster is attacked
evt_spymaster_705_desc_a;The local noble, [From.GetTitledName], tried to assure that I couldn't spread any rumors about him by sending some thugs to attack me!;Le noble local, [From.Get_le_TitledName], a essayé de faire en sorte que je ne répande aucune rumeur le concernant en envoyant des brutes m'attaquer !;Der örtliche Adlige, [From.GetTitledName], versuchte mich von der Gerüchteverbreitung abzuhalten, indem er mir Mordgesindel auf den Hals schickte!;;El noble de la región, [From.GetTitledName], con tal de que no se extienda el rumor, ¡ha mandado a unos matones contra mí!;;;;;;;;;x
evt_spymaster_705_option_a;Luckily I got away!;Par chance, j'ai réussi à leur échapper !;Glücklicherweise kam ich davon!;;¡Por suerte, me libré!;;;;;;;;;x
evt_spymaster_705_option_b;They killed me?!;Qu'est-ce qui m'est arrivé ?!;Sie brachten mich um?!;;¡¿Me mataron?!;;;;;;;;;x

# Inform the Liege about attack
evt_spymaster_706_desc_a;My liege, the local noble here in [From.Location.GetName], [FromFrom.GetTitledName], tried to silence me by sending some thugs to kill me! Luckily I managed to get away. I will go ahead and spread the rumor about [FromFrom.GetHerHis] corruption and destroy [FromFrom.GetHerHis] reputation among [FromFrom.GetHerHis] vassals.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\n[FromFrom.Get_Le_TitledName], [FromFrom.GetLeLa] noble local[FromFrom.Get_E] de [From.Location.GetName], a tenté de me faire taire par l'entremise de brutes chargées de me tuer ! Je suis heureusement parvenu[From.Get_E] à m'échapper. Je vais prendre les devants et répandre la rumeur de sa corruption et détruire sa réputation parmi ses vassaux.\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, der ansässige Herrscher in [From.Location.GetName], [FromFrom.GetTitledName], wollte mich zum Schweigen bringen, indem er seine Schergen ausschickte, um mich zu töten! Glücklicherweise konnte ich entkommen. Ich werde nun Gerüchte über [FromFrom.GetHerHis]e Korruption streuen und [FromFrom.GetHerHis]e Reputation bei [FromFrom.GetHerHis]en Vasallen zerstören.\n\nEuer Ergebener Hofspitzel,\n[From.GetTitledName];;Mi Señor, ¡el señor feudal de [From.Location.GetName], [FromFrom.GetTitledName], intentó silenciarme enviando a unos bandidos a asesinarme!. Gracias a Dios conseguí escapar. Ahora me encargaré de extender el rumor de que es un corrupto y destruir su reputación entre sus vasallos.\n\nTu humilde Jefe de Espias,\n[From.GetTitledName];;;;;;;;;x
evt_spymaster_706_option_a;You have my blessing!;Vous avez ma bénédiction !;Ihr habt meinen Segen!;;¡Tienes mi bendición!;;;;;;;;;x

# Inform the Liege about death
evt_spymaster_707_desc_a;My spymaster, [From.GetTitledName] has been murdered! That noble he was investigating, [FromFrom.GetTitledName], seems reasonable to be behind this, but I have no proof...;Mon maître-espion, [From.Get_le_TitledName], a été assassiné ! Le noble sur lequel il enquêtait, [FromFrom.Get_le_TitledName], semble en être à l'origine, mais je n'ai aucune preuve...;Mein Hofspitzel, [From.GetTitledName], wurde ermordet! Dieser Adelige, den er ausschnüffelte, [FromFrom.GetTitledName], steckt vermutlich dahinter, aber ich habe keine Beweise ...;;¡Han asesinado a mi jefe de espías, [From.GetTitledName]! Ese noble al que investigaba, [FromFrom.GetTitledName], tiene que andar detrás de esto, pero no tengo pruebas...;;;;;;;;;x
evt_spymaster_707_option_a;Damn him anyway!;Punissez-le, quoi qu'il en soit !;Verflucht sei er trotzdem!;;¡Bah, maldito sea!;;;;;;;;;x

# Spymaster gets away
evt_spymaster_708_desc_a;[FromFrom.GetTitledName] managed to get away...;[FromFrom.Get_Le_TitledName] a réussi à s'enfuir...;[FromFrom.GetTitledName] kam davon ...;;[FromFrom.GetTitledName] se las arregló para escapar...;;;;;;;;;x
evt_spymaster_708_option_a;Damn [FromFrom.GetHerHim]!;Bon sang !;Der Teufel soll [FromFrom.GetHerHim] holen!;;¡Que le den!;;;;;;;;;x

# Spymaster is killed
evt_spymaster_709_desc_a;The men I sent to deal with [FromFrom.GetTitledName] succeeded. [From.GetSheHeCap] will not bother me again...;Les hommes que j'ai envoyés pour s'occuper [FromFrom.Get_du_TitledName] ont réussi. [From.GetIlElleCap] ne m'embêtera plus...;Die Männer, die ich ausschickte, um [FromFrom.GetTitledName] zu beseitigen, waren erfolgreich. [From.GetSheHeCap] wird mich nicht mehr belästigen ...;;Los hombres que envié contra [FromFrom.GetTitledName] ya han hecho su trabajo. [From.GetSheHeCap] no nos volverá a molestar...;;;;;;;;;x

# Noble confess to spymaster
evt_spymaster_710_desc_a;The rumors about me being corrupt is of course false, but I realize that you already know this and that I do not have much of a choice. So it is with regret that I have to 'confess' to this crime...;Les rumeurs m'accusant de corruption étaient, bien sûr, fausses. Mais comme vous savez, je n'ai pas le choix. Alors, c'est à regret qu'il me faut 'avouer' ce crime...;Die Gerüchte über meine Korruption sind natürlich unwahr, aber ich weiß, dass Ihr Euch dessen schon gewahr seid und ich daher keine Wahl habe. Also "gestehe" ich mit großem Bedauern dieses Verbrechen ...;;Los rumores sobre mi corrupción son falsos obviamente, pero parece que ya lo sabes y que no me queda otra opción. Así que, con todo mi pesar, tendré que 'confesar' mi crimen...;;;;;;;;;x
evt_spymaster_710_option_a;This should satisfy my liege!;Cela devrait plaire à m[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige.;Das sollte meinen Lehnsherrn zufriedenstellen!;;¡Mi señor estará satisfecho!;;;;;;;;;x

# Spymaster report to liege about confession
evt_spymaster_711_desc_a;My liege, [FromFrom.GetTitledName] decided to not risk upsetting his vassals and confessed to the allegations of corruption. It will take some time before [FromFrom.GetHerHis] prestige recovers and I have with me the fine I collected.\n\nYour humble Spymaster,\n[From.GetTitledName];M[Root.GetOnA][Root.GetLordLady],\n[FromFrom.Get_Le_TitledName] a décidé de ne pas risquer d'excéder ses vassaux et a reconnu les allégations de corruption. Cela devrait prendre un peu de temps avant qu'[FromFrom.GetIlElle] ne retrouve son prestige, et j'ai avec moi l'amende collectée.\n\nVotre humble maître-espion,\n[From.GetTitledName];Mein Lehnsherr, [FromFrom.GetTitledName] hat sich entschieden, keinen Ärger mit [FromFrom.GetHerHis]en Vasallen zu riskieren, und die ihm angelastete Korruption gestanden. Es wird einige Zeit dauern, bis sich [FromFrom.GetHerHis] Prestige erholt und ich habe die Geldstrafe, die ich verhängte, bei mir.\n\nEuer ergebener Hofspitzel,\n[From.GetTitledName];;Mi Señor, [FromFrom.GetTitledName] decidió no arriesgarse a enfadar a sus vasallos y confesó sus imputaciones de corrupción. Tardará mucho tiempo hasta que su prestigio se recupere, y traigo conmigo la multa que le impusimos.\n\nTu humilde jefe de espías,\n[From.GetTitledName];;;;;;;;;x

# Do nothing
evt_spymaster_712_desc_a;My liege seems to have lost interest in this noble and wants me to forget the whole thing.;M[Root.Liege.GetOnA] [Root.Liege.GetLordLady] lige semble avoir perdu tout intérêt pour ce noble et me demande de tout oublier.;Mein Lehnsherr hat offenbar das Interesse an dieser Adelsperson verloren und wünscht, dass ich diese Angelegenheit vergesse.;;Mi señor parece haber perdido todo su interés por este noble y me pide que olvide el asunto.;;;;;;;;;x
evt_spymaster_712_option_a;As [From.GetSheHe] wish;Comme il lui plaira.;Ganz wie [From.GetSheHe] wünscht.;;Como [From.GetSheHe] desee;;;;;;;;;x
