#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AGE_FACTOR;Age Factor;Critère d'âge;Alters-Faktor;;Factor de Edad;;;;;;;;;x
fp_stable_3_desc;A horse breeder has set up shop in the vicinity of the palace. The large pens can hold hundreds of animals, and ensure a steady supply of mounts for forces raised locally.;Un éleveur de chevaux s'est installé aux environs du palais. Ses larges enclos peuvent accueillir des centaines d'animaux, ce qui assure aux armées locales un approvisionnement constant en montures.;Ein Pferdezüchter hat seine Pforten in der Nähe des Palastes geöffnet. Die großen Koppeln bieten Platz für hunderte von Pferden und stellen einen stetigen Vorrat an Pferden für vor Ort ausgebildete Streitkräfte dar.;;Un criador de caballos ha montado una tienda en la vecindad de palacio. Los grandes corrales pueden albergar cientos de animales, y asegurar un suministro continuo de montas para los reclutas locales.;;;;;;;;;x
fp_vault_1;Fortified Vault;Chambre forte;Verstärkte Schatzkammer;;Cámara Acorazada;;;;;;;;;x
fp_vault_1_desc;This fortified vault deep within the palace is where the dynasty keeps all of their treasures collected over the years. Only the head of the dynasty has access to the vault keys, but the stories of piles upon piles of golden coins, deep enough for a man to dive around in like a porpoise, or burrow through like a gopher, must surely be false.;Cette chambre forte, bien dissimulée au fond du palais, est le lieu où la famille cache depuis des lustres sa collection de trésors. Seul le chef de la famille en possède les clefs. La légende dit qu'elle contient assez de pièces d'or pour qu'un homme puisse y nager tel un marsouin ou y creuser telle une taupe, mais ce n'est sûrement que pure affabulation.;In dieser verstärkten Schatzkammer im Palast lagert die Dynastie all ihre Schätze, die sie über Jahre angesammelt haben. Nur der Kopf der Dynastie hat Zugriff auf die Schlüssel der Schatzkammer, doch die Geschichten über Berge an Goldmünzen, tief genug, dass ein Mann darin tauchen könnte wie ein Schweinswal, oder durch sie hindurchgraben könnte wie ein Erdhörnchen, müssen einfach falsch sein. ;;Esta cámara acorazada en las profundidades del palacio es el lugar en el que la dinastía conserva los tesoros adquiridos a lo largo de los años. Solo el jefe de la dinastía tiene acceso a las llaves de la cámara, aunque las leyendas que hablan de montañas de monedas de oro, suficientemente profundas para que un hombre nade a su antojo o se haga una madriguera, deben ser falsas.;;;;;;;;;x
fp_vault_2;Secret Passages;Passages secrets;Geheimgänge;;Pasajes Secretos;;;;;;;;;x
fp_vault_2_desc;These secret passages run through the entire palace, and enable those in the know to quickly move from one end to the other without being seen. By pulling on the right candelabrum, an unassuming bookshelf or a lit fireplace might slide open. Perfect for escaping would-be assassins or awkward social gatherings.;Ces passages secrets permettent aux initiés de se faufiler rapidement d'un bout à l'autre du palais sans être vus. Tirez sur le bon candélabre pour faire basculer une modeste bibliothèque ou un âtre afin de vous permettre d'échapper à de potentiels assassins ou à une réunion qui dégénère.;Diese Geheimgänge laufen durch den gesamten Palast und erlauben es jenen, die darüber Kenntnis haben, schnell von einem Ende zum anderen zu huschen, ohne gesehen zu werden. Durch das Ziehen des rechten Kronleuchters könnte sich ein unscheinbares Bücherregal oder ein angezündeter Kamin öffnen. Ein perfekter Fluchtweg für angehende Attentäter oder heikle Zusammentreffen. ;;Estos pasadizos secretos recorren todo el palacio, y permiten que aquellos que los conocen se muevan rápidamente de una punta a otra sin ser vistos. Al tirar del candelabro adecuado, una estantería o una chimenea pueden abrirse. Perfectos para escapar de intentos de asesinato o incómodas reuniones sociales.;;;;;;;;;x
fp_vault_3;Hidden Chamber;Chambre secrète;Geheimraum;;Cámara Oculta;;;;;;;;;x
fp_vault_3_desc;This hidden chamber inside the palace can only be reached through one of the secret passages, and even then several special keys are required. It serves as a well-protected retreat for the head of the dynasty, where he or she can safely plot the conquest of the world without irritating distractions.;On ne peut entrer dans cette chambre secrète à l'intérieur du palais qu'en utilisant un des passages secrets, et même ainsi, plusieurs clefs sont alors requises. C'est un lieu de retraite bien protégé pour le chef de la famille, qui peut alors y préparer, en toute sécurité et sans distractions irritantes, la conquête du monde.;Dieser Geheimraum im Palast kann nur durch einen der Geheimgänge erreicht werden, und selbst dann sind verschiedene, besondere Schlüssel nötig. Er dient als gut geschützter Zufluchtsort für den Kopf der Dynastie, wo er oder sie sicher, ohne irritierende Ablenkung, die Eroberung der Welt planen kann.;;Esta cámara oculta dentro del palacio puede alcanzarse sólo desde uno de los pasadizos secretos, e incluso así se necesitan varias llaves especiales. Sirve tanto para proteger la retirada del jefe de la dinastía, como para que pueda tramar la conquista del mundo sin irritantes distracciones.;;;;;;;;;x
fp_warehouse_1;Military Warehouse;Entrepôt militaire;Militärisches Lagerhaus;;Almacén Militar;;;;;;;;;x
fp_warehouse_1_desc;A large warehouse containing all the supplies necessary to field a military force, whether it be an army or a fleet.;Ce vaste entrepôt peut contenir tout l'équipement nécessaire à une force militaire, que ce soit une armée ou une flotte.;Ein großes Lagerhaus, das alle nötigen Vorräte enthält, um eine militärische Streitkraft ins Feld zu führen.;;Un gran almacén que contiene todos los suministros necesarios para abastecer una fuerza militar, bien sea un ejército o una flota.;;;;;;;;;x
fp_warehouse_2;Palace Archive;Archives du Palais;Palast-Archiv;;Archivo de Palacio;;;;;;;;;x
fp_warehouse_2_desc;It is easy to get lost in this colossal archive housed entirely within the palace. It holds documents and records of all dynastic assets, from ships and buildings down to individual soldiers and clerks.;C'est facile de se perdre dans cette colossale salle des archives à l'intérieur du palais. Elle contient les documents et les registres de tous les avoirs de la famille, des navires aux bâtiments en passant par les soldats et les clercs.;Es ist einfach, in diesem riesigen Archiv, das sich vollständig innerhalb des Palastes befindet, verloren zu gehen. Es enthält alle Dokumente und Aufzeichnungen über das gesamte dynastische Vermögen, angefangen von Schiffen und Gebäuden bis hin zu einzelnen Soldaten und Angestellten.;;Es fácil perderse en el colosal archivo que se alberga en palacio. Contiene documentos y registros de todos los bienes dinásticos, desde barcos y edificios hasta cada soldado y empleado.;;;;;;;;;x
fp_warehouse_3;Administrative Office;Bureaux;Verwaltungsbüro;;Oficina Administrativa;;;;;;;;;x
fp_warehouse_3_desc;This office deep within the palace acts as the nerve center of the entire dynastic empire. Here clerks and officials oversee the day-to-day affairs of trade negotiations and fleet deployments.;Au plus profond du palais se tient le centre nerveux de tout l'empire thalassocratique de la famille : l'administration. Ici, les clercs et les administrateurs veillent aux affaires quotidiennes, telles que les négociations commerciales ou le déploiement des flottes.;Dieses Büro tief im Palast dient als Nervenzentrum des gesamten dynastischen Reichs. Hier überwachen Angestellte und Beamte die tagtäglichen Handelsverhandlungen und Flotteneinsätze.;;Esta oficina en las profundidades de palacio actúa como la espina dorsal de todo el imperio dinástico. Aquí empleados y oficiales supervisan los asuntos del día a día, las negociaciones comerciales y los despliegues de flotas.;;;;;;;;;x
FROM_HOLDINGS;From Holdings: §G$AMOUNT$§!\n;Des propriétés : §G$AMOUNT$§!\n;Von Besitztümern: §G$AMOUNT$§!\n;;De Pertenencias: §G$AMOUNT$§!\n;;;;;;;;;x
FROM_MANPOWER;From Manpower: §G$AMOUNT$§!\n;Des effectifs : §G$AMOUNT$§!\n;An Arbeitskräften: §G$AMOUNT$§!\n;;De Mano de Obra: §G$AMOUNT$§!\n;;;;;;;;;x
FROM_TRADEPOSTS;From Trade Posts: §G$AMOUNT$§!\n;Des comptoirs : §G$AMOUNT$§!\n;An Handelsposten: §G$AMOUNT$§!\n;;De Puestos Comerciales: §G$AMOUNT$§!\n;;;;;;;;;x
GREAT_DUKE;Great Duke;Grand duc;Großherzog;;Gran Duque;;;;;;;;;x
HAD_DYNASTY_FLAG_AT_LEAST;Had dynasty flag '§Y$FLAG$§!' for at least §Y$DAYS$§! days;A eu le sceau de la famille '§Y$FLAG$§!' pendant au moins §Y$DAYS$§! jours;Besaß die dynastische Kennzeichnung "§Y$FLAG$§!" für mindestens §Y$DAYS$§! Tage;;Ha tenido la bandera '§Y$FLAG$§!' durante al menos §Y$DAYS$§! días;;;;;;;;;x
HAD_DYNASTY_FLAG_LESS_THAN;Had dynasty flag '§Y$FLAG$§!' for less than §Y$DAYS$§! days;A eu le sceau de la famille '§Y$FLAG$§!' pendant moins de §Y$DAYS$§! jours;Besaß die dynastische Kennzeichnung "§Y$FLAG$§!" für weniger als §Y$DAYS$§! Tage;;Ha tenido la bandera '§Y$FLAG$§!' durante menos de §Y$DAYS$§! días;;;;;;;;;x
HAVE_DYNASTY_FLAG;Has dynasty flag;A le sceau de la famille;Besitzt eine dynastische Kennzeichnung;;Tiene bandera dinástica;;;;;;;;;x
HAVE_NOT_DYNASTY_FLAG;Does not have dynasty flag;N'a pas le sceau de la famille;Besitzt keine dynastische Kennzeichnung;;No tiene bandera dinástica;;;;;;;;;x
HINT_CHAR_VIEW_TEXT_1;Clicking any portrait will take you to the Character View. This screen contains detailed information about a character - skills, traits, titles and close relations. You can also select an Ambition for your own character.;Cliquer sur un portrait ouvre la fenêtre du personnage qui indique ses compétences, ses traits, ses titres et ses relations. Pour votre propre personnage, vous pouvez aussi choisir une ambition.;Der Klick auf ein Porträts öffnet die Charakteransicht, die Informationen den Charakter enthält - Fertigkeiten, Eigenschaften, Titel, Beziehungen, Ambitionen und Fokus (letztere wählbar).;;Pinchar en un retrato lleva a la vista Personaje, donde se te informará de sus habilidades, rasgos, títulos y relaciones. También podrás elegir una ambición para tu personaje.;;;;;;;;;x
HINT_FACTIONS_VIEW_TEXT_1;Here you can see an overview of the Factions active within your realm. Vassals will create Factions against their Liege with a specific goal in mind, such as lowering crown authority or placing a pretender on the throne. Other Vassals may then join the Faction if they agree with its stated goal.;Vous pouvez avoir ici une vue d'ensemble des factions actives au sein de votre pays. Les vassaux vont créer des factions contre leur seigneur lige avec un but précis en tête, tel que diminuer l'autorité exercée par la Couronne ou placer un prétendant sur le trône. D'autres vassaux pourront aussi se joindre à la faction s'ils approuvent le but affiché.;Hier könnt Ihr eine Übersicht der in Eurem Reich aktiven Fraktionen sehen. Vasallen werden Fraktionen gegen ihren Lehnsherrn begründen und ein bestimmtes Ziel im Kopf haben, wie zum Beispiel die Reduzierung der Autorität der Krone oder die Einsetzung eines Heuchlers auf dem Thron. Andere Vasallen können der Fraktion beitreten, wenn sie den genannten Zielen zustimmen.;;Aquí puedes consultar una visión general de las facciones activas en tus dominios. Los vasallos crean facciones contra su Señor con un objetivo específico en mente, como reducir la autoridad o instaurar un pretendiente en el trono. Otros vasallos pueden unirse a la facción si están de acuerdo con el objetivo declarado.;;;;;;;;;x
HINT_FACTIONS_VIEW_TEXT_2;Once a Faction becomes powerful enough, its members will present their Liege with an ultimatum. If this is refused, it could spark a Civil War.;Lorsqu'une faction devient suffisamment puissante, ses membres lancent au seigneur lige un ultimatum. Le rejet de cet ultimatum peut déclencher une guerre civile.;Sobald eine Fraktion mächtig genug wird, werden ihre Mitglieder ihrem Lehnsherren ein Ultimatum stellen. Sollte dies abgelehnt werden, könnte es zu einem Bürgerkrieg kommen.;;Tan pronto como una facción sea lo suficientemente potente, sus miembros presentarán un ultimátum a su Señor. Si se les deniega, podría estallar una guerra civil.;;;;;;;;;x
HINT_FACTIONS_VIEW_TEXT_3;There are a number of ways to make Vassals leave their Faction: you can dispatch your Spymaster to Scheme in their territory, you can increase their opinion of you with bribes, or you can simply hope for the best and have them assassinated. Note that if there are several Members in a faction, one of them will always take the Faction Leader's place if he or she leaves the Faction for any reason.;Il existe plusieurs méthodes pour faire en sorte que des vassaux abandonnent leur Faction : vous pouvez envoyer votre maître-espion sonder leur territoire, vous pouvez les rendre favorable à votre égard en les soudoyant, ou vous pouvez simplement les faire assassiner et vous en remettre au destin. À noter que s'il y a plusieurs membres dans une faction, l'un d'eux remplacera la place du chef dans le cas où ce dernier quitte la faction pour une raison ou une autre. ;Es gibt eine Reihe von Möglichkeiten, einen Vasallen dazu zu bringen, seine Fraktion zu verlassen: Ihr könnt Euren Chef-Spion entsenden, um Ränke in ihrem Territorium zu schmieden, Ihr könnt ihre Meinung über Euch mit Bestechungen verbessern, oder einfach das Beste hoffen und sie ermorden lassen. Beachtet, dass bei mehreren vorhandenen Mitgliedern in einer Fraktion, einer von ihnen immer den Platz des Fraktionsführers einnehmen wird, wenn er oder sie die Fraktion aus irgendeinem Grund verlassen sollte. ;;Hay varias maneras de conseguir que los vasallos abandonen su facción: puedes enviar a tu Maestro de Espías para que maquine en su territorio, puedes incrementar su opinión sobre ti mediante sobornos o puedes simplemente desearles lo mejor y ordenarlos matar. Ten en cuenta que si hay varios miembros en una facción, siempre uno de ellos asumirá el liderato si el líder la abandona por cualquier motivo.;;;;;;;;;x
HINT_FACTIONS_VIEW_TEXT_4;The upper section of this screen lists the Factions that your Vassals have formed against you, their Liege. If you have a Liege of your own, the lower section will show the Factions that you or your fellow Vassals have formed.;Le haut de cet écran liste les factions que vos vassaux ont formées contre vous, leur seigneur lige. Si vous avez votre propre seigneur lige, le bas de l'écran montrera les factions que vous ou vos fidèles vassaux auront formées.;Der obere Bereich dieser Ansicht listet die Fraktionen auf, die Eure Vasallen gegen Euch, ihren Lehnsherren, gebildet haben. Falls Ihr selbst einen Lehnsherren habt, zeigt Euch der untere Bereich, welche Fraktionen Ihr oder Eure Mit-Vasallen gebildet haben. ;;En la sección superior de esta pantalla se enumeran las facciones que han formado tus vasallos contra ti, su Señor. Si tú mismo dependes de un Señor, la sección inferior mostrará las facciones formadas por ti o por tus vasallos.;;;;;;;;;x
HINT_FACTIONS_VIEW_TITLE;The Faction View;Vue des factions;Die Fraktionsansicht;;Vista de Facciones;;;;;;;;;x
HINT_PLOT_VIEW_TEXT_1;This screen allows you to start a Plot, and there are also various other Decisions you can take here. Finally there are convenient lists of known plots and rebellious vassals, as well as your current prisoners.;Cet écran vous permet de déclencher des complots. D'autres décisions peuvent également être prises ici. Enfin, on y trouve des listes pratiques de complots et de vassaux rebelles connus, ainsi que de vos prisonniers actuels.;Diese Übersicht erlaubt es Euch, ein Komplott zu schmieden, und es gibt eine Reihe anderer Entscheidungen, die Ihr hier wählen könnt. Abschließend gibt es übersichtliche Listen bekannter Komplotte und rebellischer Vasallen sowie Eurer derzeitigen Gefangenen. ;;Esta pantalla te permite iniciar una conspiración, así como tomar determinadas decisiones. Por último, encontrarás listas útiles de conspiraciones conocidas y vasallos rebeldes, además de una relación de tus prisioneros actuales.;;;;;;;;;x
HINT_PLOT_VIEW_TEXT_2;The Decisions available to you depend on a number of factors, such as your character's religion. There are many different Decisions that cover everything from inviting new nobles to holding grand tournaments.;Les décisions disponibles dépendent de certains facteurs comme la religion de votre personnage. Elles influencent tout, depuis l'invitation de nouveaux nobles jusqu'à l'organisation de grandioses joutes.;Die möglichen Entscheidungen, wie Tuniere, Jagden oder einladen von Adligen hängen von unter anderem von Eurer Kultur und Religion ab.;;Las decisiones disponibles para ti dependerán de varios factores, tales como la religión de tu personaje. Hay muchas decisiones diferentes que abarcan desde invitaciones para nuevos nobles hasta la celebración de grandes torneos.;;;;;;;;;x
HINT_REPUBLIC_VIEW_TEXT_1;This screen is available only to Merchant Republics, and it gives you an overview of the Republic's five Patrician Families. The ruler of a Maritime Republic is elected for life, but the office will not necessarily be inherited by his heir.;Cet écran est disponible seulement pour les républiques maritimes. Il permet une vue d'ensemble des cinq familles patriciennes de la république en question. Le dirigeant d'une république maritime est élu à vie mais ce poste ne sera pas nécessairement légué à son héritier.;Diese Ansicht ist nur für Handelsrepubliken verfügbar und gibt Euch einen Überblick über die fünf Patrizierfamilien der Republik. Der Herrscher einer maritimen Republik wird auf Lebenszeit gewählt, doch das Amt wird nicht zwangsläufig an seine Nachkommen weitervererbt. ;;Esta pantalla solo está disponible para repúblicas mercantes y ofrece una visión general de las cinco familias patricias de la República. El gobernante de una república marítima es elegido de por vida, pero su mandato no es necesariamente heredado por su sucesor.;;;;;;;;;x
HINT_REPUBLIC_VIEW_TEXT_2;Every Patrician has a Respect value that is determined by a combination of their Age, their Prestige, and the amount of money they have contributed to their Campaign Fund. The Patrician with the highest Respect value becomes the Expected Successor, but that is still not a guarantee that he will be elected when the time comes for the Republic to choose a new ruler.;Chaque patricien possède une valeur de respect déterminée par la combinaison de son âge, de son prestige et du montant d'argent versé dans son fonds de campagne. Le patricien dont le prestige est le plus élevé devient le successeur désigné, mais rien ne garantit qu'il soit élu lorsque la République devra se choisir un nouveau dirigeant.;Jeder Patrizier besitzt einen Respekt-Wert, der durch eine Kombination ihres Alters, ihres Prestiges und der Geldmenge, die sie zu den Wahlkampffonds beigesteuert haben, bestimmt wird. Der Patrizier mit dem höchsten Respekt-Wert wird der Erwartete Nachfolger, doch dies garantiert noch immer nicht, dass er gewählt wird, wenn die Zeit gekommen ist, einen neuen Herrscher zu wählen. ;;Cada patricio tiene un valor de respeto determinado por la combinación de su edad, su prestigio y la cantidad de dinero con que ha contribuido a la fundación de su campaña. El patricio con mayor valor de respeto se convierte en el sucesor previsto, pero ello no garantiza su elección llegada la hora de que la República designe su nuevo gobernante.;;;;;;;;;x
HINT_REPUBLIC_VIEW_TEXT_3;The Family Palace is a holding that will remain with the dynasty who owns it until that dynasty dies out. It does not exist on the map and so can never be conquered by an enemy. In stark contrast to a feudal lord, this enables Patricians to continue playing even if they don't own land.;Le palais familial est une demeure qui restera la propriété de la famille qui la détient tant que la dynastie perdure. Ce palais n'existe pas sur la carte et ne peut donc pas être conquis par l'ennemi. Ainsi, contrairement aux seigneurs féodaux, les patriciens peuvent continuer à jouer même s'ils ne possèdent aucun territoire.;Der Familienpalast ist ein Besitztum, der in der Dynastie verbleibt, die ihn besitzt, bis diese Dynastie ausstirbt. Er existiert auf keiner Karte und kann somit niemals von Feinden eingenommen werden. Im krassen Kontrast zu einem feudalen Lord erlaubt dies Patriziern weiterzuspielen, auch wenn sie kein eigenes Land besitzen.;;El Palacio Familiar es una pertenencia que conserva la dinastía que lo posee hasta que se extingue. No figura en el mapa y, por tanto, no puede ser nunca conquistado por un enemigo. En marcado contraste con los señores feudales, esto permite a los patricios seguir jugando incluso aunque no posean tierras.;;;;;;;;;x
HINT_REPUBLIC_VIEW_TEXT_4;Below the palace is a list of all Trade Posts owned by this family and the income they provide. Trade Posts can be built in both foreign and domestic provinces, and they are a vital component in the building of a successful trade empire.;On trouve sous le palais une liste de tous les comptoirs détenus par cette famille ainsi que les revenus qu'ils procurent. Les comptoirs peuvent être construits dans des provinces étrangères comme dans les provinces intérieures et ils sont un élément crucial au succès d'un empire thalassocratique.;Unterhalb des Palastes ist eine Liste aller Handelsposten, die von dieser Familie besessen werden, und das Einkommen, das diese bereitstellen. Handelsposten können sowohl in ausländischen als auch in inländischen Provinzen gebaut werden und sind eine wichtige Komponente, um ein erfolgreiches Handelsreich zu erbauen.;;Bajo el palacio se muestra una lista con todos los puestos comerciales propiedad de esta familia y los ingresos que proporcionan. Los puestos comerciales pueden crearse tanto en provincias extranjeras como nacionales y son un componente vital en la construcción de un imperio comercial de éxito.;;;;;;;;;x
HINT_REPUBLIC_VIEW_TITLE;The Republic View;Vue de la République;Die republikanische Ansicht;;Vista de República;;;;;;;;;x
IN_FAVOR_OF;in favor of §Y$NAME$§!;en faveur de §Y$NAME$§!;zugunsten von §Y$NAME$§!;;a favor de §Y$NAME$§!;;;;;;;;;x
INTERACTION_REPUBLICS_NEED_REVOKE_REASON;Ruler of Republic has a valid revocation reason;Le dirigeant de la République a une raison valide de révocation;Der Herrscher der Republik hat einen gültigen Annullierungs-Grund;;El Gobernante de la República tiene una razón de revocación válida;;;;;;;;;x
INTERACTION_REQUIRES_PATRICIAN_DOWRY;Can afford the Bride Price of §Y$DOWRY$§!¤ for marriage with a noblewoman;A les moyens de payer la dot de §Y$DOWRY$§!¤ pour épouser une noble femme;Kann sich den Brautpreis von §Y$DOWRY$§!¤ für die Eheschließung mit einer Adeligen leisten;;Puede permitirse el precio de la dote de §Y$DOWRY$§!¤ por un matrimonio con una mujer noble;;;;;;;;;x
INTERACTION_REQUIRES_RECIPIENT_NO_CONTESTED_TITLES;§Y[Recipient.GetTitledFirstName]§! has no titles currently contested in a war;[Recipient.Get_Le_TitledFirstNameJ] n'a pas de titres contestés par une guerre;§Y[Recipient.GetTitledFirstName]§! besitzt derzeit keine Titel, die in einem Krieg streitig gemacht werden;;§Y[Recipient.GetTitledFirstName]§! no tiene títulos actualmente en disputa en una guerra;;;;;;;;;x
IS_EMBARGOING;Is Embargoing §Y$OTHER$§!;Décrète l'embargo contre §Y$OTHER$§!;Erhebt ein Embargo auf §Y$OTHER$§!;;Está embargando a §Y$OTHER$§!;;;;;;;;;x
IS_MERCHANT_REPUBLIC;Is Merchant Republic;Est une république maritime;Ist eine Handelsrepublik;;Es República Mercante;;;;;;;;;x
IS_NOT_EMBARGOING;Is NOT Embargoing §Y$OTHER$§!;Ne décrète pas d'embargo contre §Y$OTHER$§!;Stellt §Y$OTHER$§! NICHT unter Embargo;;NO Embarga a §Y$OTHER$§!;;;;;;;;;x
IS_OLDER_THAN;Is Older than ;Est plus âgé que ;Ist älter als ;;Es Mayor que ;;;;;;;;;x
IS_PATRICIAN;Is Patrician;Est patricien;Ist Patrizier;;es Patricio;;;;;;;;;x
IS_YOUNGER_THAN;Is Younger than ;Est plus jeune que ;Ist jünger als ;;Es más joven que ;;;;;;;;;x
ISNT_MERCHANT_REPUBLIC;Is NOT Merchant Republic;N'est pas une république maritime;Ist KEINE Handelsrepublik;;NO es República Mercante;;;;;;;;;x
ISNT_PATRICIAN;Is NOT Patrician;N'est pas patricien;Ist KEIN Patrizier;;NO es Patricio;;;;;;;;;x
LIFT_EMBARGO_EFFECT;Lift Embargo against $WHO$\n;Lever l'embargo contre $WHO$\n;Hebt das Embargo gegen $WHO$ auf\n;;Levantar embargo contra $WHO$\n;;;;;;;;;x
MAPMODE_DRAG;§GDrag this button to the custom slots below for easy access§!;§GGlisser ce bouton vers les modes de cartes ci-dessous pour y accéder plus facilement§!;§GZieht diese Schaltfläche für leichteren Zugriff unten in den benutzerdefinierten Platz §!;;§GArrastra este botón al hueco personalizado para un acceso fácil§!;;;;;;;;;x
MAPMODE_TRADE_REGIONS;§YTrade Regions§!;§YRégions marchandes§!;§YHandelsregionen§!;;§YRegiones Comerciales§!;;;;;;;;;x
MAPMODE_TRADE_REGIONS_DESC;Building Trade Posts in regions where you dont have Holdings is more expensive;Il est plus onéreux d'établir des comptoirs dans des régions où vous n'avez pas de propriétés;Der Bau von Handelsposten in Regionen, in denen Ihr keine Besitztümer habt, ist teurer;;Construir Puestos Comerciales en regiones en las que no tienes Pertenencias es más caro;;;;;;;;;x
MODIFIER_RETINUESIZE;Retinue Size;Taille de l'escorte ;Gefolgegröße;;Tamaño de Séquito;;;;;;;;;x
MODIFIER_TRADEVALUE;Trade Value;Valeur commerciale ;Handelswert;;Valor Comercial;;;;;;;;;x
NEW_DOGE_ELECTED_LOG;§Y$NEW_DOGE$§! has been elected the new $RULER_TITLE$ of the great Republic of §Y$TITLE$§!;§Y$NEW_DOGE$§! a été élu nouveau $RULER_TITLE$ de la puissante République de §Y$TITLE$§!;§Y$NEW_DOGE$§! wurde zum neuen $RULER_TITLE$ der großen Republik von §Y$TITLE$§! gewählt.;;§Y$NEW_DOGE$§! Ha sido elegido como el nuevo $RULER_TITLE$ de la gran república de §Y$TITLE$§!;;;;;;;;;x
NEW_DOGE_ELECTED_SETUP;Merchant Republic Election;Élection républicaine;Handelsrepublik-Wahl;;Elección de la República Mercante;;;;;;;;;x
no_ball_tooltip;You stay at home, fiddling your thumbs.;Vous restez chez vous à vous tourner les pouces.;Ihr bleibt zu Hause und dreht Däumchen.;;Te quedas en casa, contando las horas.;;;;;;;;;x
NO_BANKRUPT;You are not bankrupt;Vous n'êtes pas en faillite;Ihr seid nicht bankrott;;No estás en bancarrota;;;;;;;;;x
no_battle_tooltip;You tell your crew to give the other ship the right of way.;Vous dites à votre équipage d'accorder le droit de passage à l'autre navire.;Ihr befehlt Eurer Mannschaft, dem anderen Schiff Vorfahrt zu gewähren.;;Das órdenes a tu tripulación de ceder el paso al otro barco.;;;;;;;;;x
no_own_ball_tooltip;You decide to just forget about this whole thing.;Vous décidez de tirer un trait sur cette affaire.;Ihr entschließt Euch, die ganze Angelegenheit einfach zu vergessen.;;Decides simplemente ignorar toda esta historia.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_4;Marrying a woman as noble as §Y[RecipientExtra.GetFirstName]§! will require a Bride Price of §R$DOWRY$§!¤.;Épouser une femme aussi noble que §Y[RecipientExtra.GetFirstName]§! exige une dot de §R$DOWRY$§!¤.;Die Eheschließung mit einer Frau, die so adelig ist wie §Y[RecipientExtra.GetFirstName]§!, erfordert einen Brautpreis von §R$DOWRY$§!¤.;;Desposarse con una mujer noble como §Y[RecipientExtra.GetFirstName]§! Requerirá una dote de §R$DOWRY$§!¤.;;;;;;;;;x
OFFER_MARRIGE_INTERACTION_LETTER_BRIDE_PRICE;We propose that [ActorExtra.GetBestName] and [RecipientExtra.GetBestName] marry. Of course, for such a noble Lady, we also offer a Bride Price of $DOWRY$¤;Nous proposons le mariage [ActorExtra.Get_only_du_Title][ActorExtra.GetBestName] et [RecipientExtra.Get_only_du_Title][RecipientExtra.GetBestName]. Bien sûr, pour une si noble dame, nous offrons une dot de $DOWRY$¤;Wir schlagen vor, dass [ActorExtra.GetBestName] und [RecipientExtra.GetBestName] heiraten. Selbstverständlich bieten wir für eine so edle Dame einen Brautpreis von $DOWRY$¤;;Proponemos que [ActorExtra.GetBestName] y [RecipientExtra.GetBestName] se casen. Por supuesto, para tan noble dama, también ofrecemos una dote de $DOWRY$¤.;;;;;;;;;x
opinion_feuding_family;Feuding Families;Familles rivales ;Sich befehdende Familien;;Familias enfrentadas ;;;;;;;;;x
opinion_feuding_family_light;Feuding Families;Familles rivales ;Sich befehdende Familien;;Familias enfrentadas ;;;;;;;;;x
opinion_patrician_wo_council_position;Not on the Council;N'est pas au Conseil ;Nicht im Rat;;No en el Consejo;;;;;;;;;x
opinion_seized_tp;Seized Trade Post;Comptoir saisi;Beschlagnahmter Handelsposten;;Puesto Comercial sitiado;;;;;;;;;x
PALACE_NAME;$DYNASTY$ Palace;Palais de $DYNASTY$;$DYNASTY$-Palast;;Palacio de $DYNASTY$;;;;;;;;;x
PATRICIAN_DYNASTY_FALLS_LOG;With the death of §Y$PATRICIAN$§!, the illustrious House §Y$DYNASTY$§! has become extinct.;Avec la mort du §Y$PATRICIAN$§!, l'illustre Maison §Y$DYNASTY$§! s'est éteinte.;Mit dem Tod von §Y$PATRICIAN$§! ist das illustre Haus §Y$DYNASTY$§! ausgestorben.;;Con la muerte de §Y$PATRICIAN$§!, la ilustre casa de §Y$DYNASTY$§! Se extingue.;;;;;;;;;x
PATRICIAN_DYNASTY_FALLS_SETUP;Patrician Family Falls;Une famille patricienne disparaît;Patrizierfamilie stürzt;;Caida de Familia Patricia;;;;;;;;;x
PATRICIAN_DYNASTY_RISES_LOG;A new great House has risen to the forefront of $TITLE_ADJ$ politics, under §Y$PATRICIAN$§!.;Une nouvelle Maison patricienne s'est hissée au premier plan politique, avec à sa tête le §Y$PATRICIAN$§!.;Ein neues, großes Haus hat sich unter §Y$PATRICIAN$§! an die Spitze der $TITLE_ADJ$en Politik erhoben.;;Una nueva gran Casa ha ascendido al frente de la política de $TITLE_ADJ$, bajo §Y$PATRICIAN$§!.;;;;;;;;;x
PATRICIAN_DYNASTY_RISES_SETUP;Patrician Family Rises;Une famille patricienne apparaît;Die Patrizierfamilie erhebt sich;;Ascenso de Familia Patricia;;;;;;;;;x
patrician_elective;Patrician Elective;Élection patricienne;Patrizierfolge;;Patricio Electo;;;;;;;;;x
permit_hansa_tooltip;You permit the formation of the Hanseatic League.;Vous permettez la création de la Ligue hanséatique.;Ihr bewilligt die Bildung der Hanse;;Autorizas la constitución de la Liga Hanseática.;;;;;;;;;x
