EVTTITLEHF25800;The Children's Crusade;La croisade des enfants;Der Kinderkreuzzug;;La Cruzada de los niños;;;;;;;;x
EVTOPTAHF25819;And [From.GetSheHe] showed such promise...;[From.GetIlElleCap] était si prometteu[From.GetRSe]...;Und [From.GetSheHe] hatte so viel Hoffnung ausgestrahlt...;;Y prometía tanto…;;;;;;;;x
EVTOPTAHF25823;A sad yet inevitable fate.;Un sort triste, mais inévitable.;Welche trauriges, aber unvermeidliches Schicksal.;;Un destino triste, pero inevitable.;;;;;;;;x
EVTOPTAHF25824;We will slaughter them like lambs.;Nous les massacrerons comme des agneaux.;Wir werden sie wie Lämmer schlachten.;;Los sacrificaremos como a corderos.;;;;;;;;x
EVTOPTAHF25825;Such a tragic yet predictable end...;Une fin tragique, bien que prévisible...;Welch tragisches, aber vorhersehbares Ende...;;Un final trágico, pero predecible.;;;;;;;;x
EVTOPTAHF25826;There could be no other end to this war.;Il ne pouvait y avoir d'autre issue à cette guerre.;Der Krieg hätte kein anderes Ende nehmen können.;;Esta guerra no podía terminar de otro modo.;;;;;;;;x
EVTOPTAHF25827;I can no longer deny it! God is with [From.GetHerHim]!;Je ne peux plus le nier ! Dieu est avec [From.GetLuiElle] !;Ich kann es nicht länger leugnen. Gott ist mit [From.GetHerHim]!;;¡Ya no puedo negarlo! ¡Dios está con [From.GetElElla]!;;;;;;;;x
EVTOPTAHF25828;I wish for [From.GetHerHis] reign to be long and prosperous!;Je souhaite que son règne soit long et prospère !;Ich hoffe [From.GetHerHis]e Herrschaft ist lang und wohlhabend!;;¡Ojalá su reinado sea largo y próspero!;;;;;;;;x

EVTOPTBHF25806;I will dispatch some men to protect you.;Je vais envoyer des hommes pour vous protéger.;Ich schicke einige Männer, die dich beschützen.;;Enviaré algunos hombres para defenderos.;;;;;;;;x
EVTOPTBHF25807;May [Root.Religion.GetHighGodName] show [childrens_crusade_leader.GetHerHim] the way to victory!;Puisse [Root.Get_le_HighGod] lui montrer le chemin de la victoire !;Möge [Root.Religion.GetHighGodName] [childrens_crusade_leader.GetHerHim] den Weg zum Sieg zeigen!;;¡Que [Root.Religion.GetHighGodName] le muestre el camino a la victoria!;;;;;;;;x
EVTOPTBHF25810;Take some food and leave.;Prenez de la nourriture et partez.;Nehmt etwas Nahrung und geht.;;Tomad algo de comida y marchaos.;;;;;;;;x
EVTOPTBHF25811;Very well, I will grant you some of my men.;Je vais vous fournir certains de mes hommes.;In Ordnung, ich stelle euch einige Männer.;;Está bien, te daré a algunos de mis hombres.;;;;;;;;x
EVTOPTBHF25813;But wars are too scary!;Mais les guerres sont trop effrayantes !;Aber Kriege sind zu unheimlich!;;¡Pero las guerras me dan miedo!;;;;;;;;x
EVTOPTBHF25815;I will allocate some resources to help them buy a passage.;Je vais allouer des ressources pour les aider à traverser.;Ich wende einige Ressourcen auf, um ihnen die Durchreise zu erkaufen.;;Asignaré algunos recursos para que puedan comprar pasajes.;;;;;;;;x
EVTOPTBHF25816;I must reiterate my support to strengthen [From.GetFirstName]'s authority.;Je dois réitérer mon soutien pour renforcer l'autorité de [From.GetFirstName].;Ich muss meine Unterstützung erneut bekräftigen und so die Autorität von [From.GetFirstName] bestärken.;;Debo reiterar mi apoyo para reforzar la autoridad de [From.GetFirstName].;;;;;;;;x
EVTOPTBHF25817;I will allocate more resources to support your fight.;Je vais allouer plus de ressources pour soutenir votre combat.;Ich stelle mehr Ressourcen zur Unterstützung eures Kampfes zur Verfügung.;;Asignaré más recursos para ayudaros en la lucha.;;;;;;;;x
EVTOPTBHF25818;[From.GetFirstName] will not fight this Crusade alone!;[From.GetFirstName] ne combattra pas dans cette croisade tout[From.Get_E] seul[From.Get_E] !;[From.GetFirstName] kämpft in diesem Kreuzzug nicht alleine!;;¡No luchará la cruzada sol[From.GetOA]!;;;;;;;;x
EVTOPTBHF25819;It was bound to happen sooner or later.;Ça devait arriver tôt ou tard.;Es musste früher oder später passieren.;;Tenía que pasar antes o después.;;;;;;;;x
EVTOPTBHF25827;This is impossible!;C'est impossible !;Das ist unmöglich!;;¡Esto es imposible!;;;;;;;;x
EVTOPTBHF25828;I always believed in [From.GetHerHim]!;J'ai toujours cru en [From.GetLuiElle] !;Ich habe immer an [From.Getihnsie] geglaubt!;;¡Siempre creí en [From.GetElElla]!;;;;;;;;x

EVTOPTCHF25806;I will give you some food for the travel.;Je vais vous donner de la nourriture pour le voyage.;Ich gebe dir etwas Essen für die Reise.;;Os daré algo de comida para el viaje.;;;;;;;;x
EVTOPTCHF25807;Could this child be a messenger of the Lord?;C[From.GetEtEtte] enfant pourrait-[From.GetIlElle] être un[From.Get_E] messag[From.GetErEre] du Seigneur ?;Könnte dieses Kind ein Bote des Herrn sein?;;¿Podría ser un mensajero del Señor?;;;;;;;;x
EVTOPTCHF25810;Oh, I will find you a place to stay...;Oh, je vais vous trouver un endroit où passer la nuit...;Oh, ich werde eine Bleibe für dich finden...;;Os encontraré un sitio donde quedaros…;;;;;;;;x
EVTOPTCHF25811;You can see if any of my subjects are interested in your cause.;Vous pouvez voir si certains de mes sujets sont intéressés par votre cause.;Ihr könnt meine Untertanen um Unterstützung bitten.;;Verás si a algunos de mis súbditos les interesa tu causa.;;;;;;;;x
EVTOPTCHF25815;I can spare some money to send them some food.;Je peux dépenser de l'argent pour qu'ils aient de la nourriture.;Ich kann etwas Geld aufbringen, um ihnen Nahrung zu senden.;;Puedo desviar algunos dineros para enviar algo de comida.;;;;;;;;x
EVTOPTCHF25816;I will dispatch letters to the local authorities to send them on the correct path.;Je vais écrire aux autorités locales pour qu'ils les guident.;Ich schreibe Briefe an die örtlichen Behörden, damit diese sie auf den richtigen Weg schicken.;;Escribiré a las autoridades locales para enviarlos en el camino correcto.;;;;;;;;x
EVTOPTCHF25817;I can only offer you my most sincere prayers.;Je ne peux que vous offrir mes prières les plus sincères.;Ich kann dir nur meine aufrichtigsten Gebete anbieten.;;Lo único que puedo ofrecer son mis oraciones más sinceras.;;;;;;;;x
EVTOPTCHF25818;My prayers go with [From.GetHerHim]!;Mes prières l'accompagnent !;Meine Gebete sind mit [From.GetHerHim]!;;¡Mis oraciones están con [From.GetElElla]!;;;;;;;;x
EVTOPTCHF25828;God was with [From.GetHerHim].;Dieu était avec [From.GetLuiElle].;Gott war mit [From.GetHerHim].;;Dios estaba con [From.GetElElla].;;;;;;;;x

EVTOPTDHF25806;Oh, absolutely! I will ship you to the holy land myself!;Oh, absolument ! Je vais vous envoyer à la terre sainte moi-même !;Oh, absolut! Ich werde dich selbst in das Heilige Land verschiffen.;;¡Desde luego! ¡Yo personalmente os embarcaré a Tierra Santa!;;;;;;;;x
EVTOPTDHF25810;Guards! Remove these urchins from the premises!;Gardes ! Enlevez ces garnements d'ici !;Wachen! Entfernt diese Gassenkinder!;;¡Guardias! ¡Echad de aquí a estos golfillos!;;;;;;;;x
EVTOPTDHF25811;Do not worry, I know just who to call...;Ne vous inquiétez pas, je sais qui appeler...;Keine Sorge, ich weiß genau, wen ich rufen sollte...;;No te preocupes, ya sé a quién llamar…;;;;;;;;x
EVTOPTDHF25812;Worry not, [child_outraged_priest.GetFirstName]. I will make these pesky children disappear.;Ne vous inquiétez pas, [child_outraged_priest.GetFirstName]. Je vais faire disparaître ces sales mômes.;Keine Sorge, [child_outraged_priest.GetFirstName]. Ich sorge dafür, dass diese lästigen Kinder verschwinden.;;No os preocupéis, [child_outraged_priest.GetFirstName], haré que estos críos inoportunos desaparezcan.;;;;;;;;x
EVTOPTDHF25815;I will pray that they soon find a passage.;Je vais prier pour qu'ils trouvent bientôt un moyen pour traverser.;Ich werde beten, dass sie bald eine Überfahrt finden werden.;;Rezaré para que encuentren pasaje pronto.;;;;;;;;x
EVTOPTDHF25816;I can only hope they will persevere.;J'espère qu'ils persévéreront.;Ich kann nur hoffen, dass sie durchhalten.;;Solo puedo esperar que perseveren.;;;;;;;;x
EVTOPTDHF25817;There is not much else I can do, I fear.;Je ne peux pas faire grand-chose d'autre, je le crains.;Ich fürchte, dass es nicht viel mehr gibt, was ich tun kann.;;Me temo que no puedo hacer mucho.;;;;;;;;x
EVTOPTDHF25818;Those poor, foolish souls...;Ces pauvres âmes imprudentes...;Diese armen, dummen Seelen...;;Pobres y necias almas…;;;;;;;;x
EVTOPTDHF25828;Wha-? How..?;Quo- ? Comment...;Wa-Was!? Wie...?;;¿Qu, cómo…?;;;;;;;;x

EVTOPTEHF25806_A;You are dead to me. Leave and never return!;Vous êtes mort[From.Get_E] pour moi. Partez et ne revenez jamais !;Du bist für mich gestorben. Geh und komme niemals zurück!;;Has muerto para mí. ¡Vete y no vuelvas nunca!;;;;;;;;x
EVTOPTEHF25806_B;Guards! Throw this blithering fools out!;Gardes ! Jetez-moi ces imbéciles dehors !;Wachen! Schmeißt diesen Idioten raus!;;¡Guardias! ¡Echad a estos necios incoherentes!;;;;;;;;x
EVTOPTEHF25810;I am afraid we have no food to spare.;Je crains que nous n'ayons pas de surplus de nourriture.;Ich fürchte wir haben nicht genug Essen übrig.;;Me temo que no nos sobra la comida.;;;;;;;;x
EVTOPTEHF25811;What sort of joke is this? Guards!;Quel genre de plaisanteries est-ce ? Gardes !;Was für ein Witz ist das? Wachen!;;¿Qué clase de broma es esta? ¡Guardias!;;;;;;;;x
EVTOPTEHF25812;I will have my guards beat them out of [Root.Capital.GetName].;Je vais demander à mes gardes de les chasser de [Root.Capital.GetName].;Meine Wachen werden sie aus [Root.Capital.GetName] herausprügeln.;;Haré que mis guardias los echen a palos de [Root.Capital.GetName].;;;;;;;;x
EVTOPTEHF25815;They are still in time to return home.;Il est encore à temps pour eux de rentrer chez eux.;Sie haben noch Zeit, um nach Hause zurückzukehren.;;Todavía están a tiempo de volver a casa.;;;;;;;;x
EVTOPTEHF25816;Perhaps the Lord does not wish them to reach the Holy Land...;Peut-être que le Seigneur ne souhaite pas qu'ils atteignent la Terre sainte...;Vielleicht wünschen die Fürsten nicht, dass sie das Heilige Land erreichen...;;Tal vez el Señor no quiera que lleguen a Tierra Santa…;;;;;;;;x
EVTOPTEHF25817;How are they still going?;Comment font-ils pour continuer ?;Wie können sie noch weitermachen?;;¿Cómo les va?;;;;;;;;x
EVTOPTEHF25828;I guess I should have trusted [From.GetHerHim]...;Je suppose que j'aurais dû lui faire confiance...;Ich hätte [From.GetHerHim] wohl doch vertrauen sollen...;;Supongo que debía haber confiado en [From.GetElElla].;;;;;;;;x

TT_EVTOPTAHF25806;Sponsor [childrens_crusade_leader.GetFirstName]'s §YCrusade§!, providing [childrens_crusade_leader.GetHerHim] with as much help as you can afford to increase [childrens_crusade_leader.GetHerHis] chances of success.;Vous patronnez la §Ycroisade§! de [childrens_crusade_leader.GetFirstName], en lui fournissant autant d'aide que possible afin d'augmenter ses chances de succès.;Unterstützt [From.GetFirstName] in [From.GetHerHis]em §YKreuzzug§! mit so viel Hilfe, wie Ihr aufbringen könnt, um so [From.GetHerHis]e Chancen auf Erfolg zu erhöhen.;;Apoya la §Ycruzada§! de [From.GetFirstName] brindándole toda la ayuda que puedas para aumentar sus posibilidades de éxito.;;;;;;;;x
TT_EVTOPTDHF25806;Trick [childrens_crusade_leader.GetFirstName] and [childrens_crusade_leader.GetHerHis] supporters and have them sold into slavery to the heathens.;Vous dupez [childrens_crusade_leader.GetFirstName] et ses partisans et les vendez aux païens comme esclaves.;Trickst [From.GetFirstName] und [From.GetHerHis]e Unterstützer aus und verkauft sie in die Sklaverei.;;Engaña a [From.GetFirstName] y sus seguidores y véndelos como esclavos a los infieles.;;;;;;;;x
TT_EVTOPTBHF25806;Pledge some troops to join [childrens_crusade_leader.GetFirstName]'s Crusade and protect the child during [childrens_crusade_leader.GetHerHis] perilous journey.;Vous engagez quelques troupes pour rejoindre la croisade de [childrens_crusade_leader.GetFirstName] et protéger l'enfant durant son périlleux voyage.;Entsendet ein paar Truppen, die [From.GetFirstName] bei [From.GetHerHis]em §YKreuzzug§! helfen und das Kind während der gefährlichen Reise beschützen.;;Compromete que algunas tropas se unirán a la §Ycruzada§! de [From.GetFirstName] y protegerán [From.GetAlAla] niñ[From.GetOA] en su peligroso viaje.;;;;;;;;x
