#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

evt_CK2_209_desc_a;They declined our gift!;Notre présent a été refusé !;Sie haben unser Geschenk abgelehnt!;;¡Han rechazado nuestro obsequio!;;;;;;;;;x
EVTDESC327_MUSLIMS;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old arch-enemy!\n\nMuhammed was the mouthpiece of [Root.Religion.GetRandomEvilGodName] and all his works must be destroyed!;[Root.Get_Le_TitledFirstName], dans sa grandeur, a déclaré une [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les disciples [New.Get_du_HighGod] au sein de [From.GetFullBaseName] ! Tous les vrais fidèles [Root.GetReligionMascPl] sont appelés aux armes pour combattre notre ennemi juré !\n\nMahomet était le porte-parole [Root.GetEvilGodDuDelaDes], et tous ses écrits doivent être détruits !;[Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die Gläubigen von "[New.Religion.GetHighGodName]" in [From.GetFullBaseName] ausgerufen! Alle Männer, die sich wahrhaftig zum [Root.Religion.GetName]en Glauben bekennen, sind aufgerufen, gegen unsere Erzfeinde in den Krieg zu ziehen!\n\nMohammed war das Sprachrohr von [Root.Religion.GetRandomEvilGodName] und all seine Schriften müssen vernichtet werden!;;El gran [Root.GetTitledFirstName] ha declarado [Root.Religion.GetCrusadeName] contra [New.GetTitledName]y los seguidores de [New.Religion.GetHighGodName] en el [From.GetFullBaseName]! ¡Se llama a las armas a todos los verdaderos hombres del [Root.Religion.GetName] contra el viejo archienemigo!\n\n ¡Mahoma fue el portavoz de [Root.Religion.GetRandomEvilGodName] y todas sus obras deben ser destruidas!;;;;;;;;;x
EVTDESC328;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the adherents of '[New.Religion.GetHighGodName]' in the [From.GetFullBaseName]! All righteous [Root.Religion.GetName] men are called to arms in the name of [Root.Religion.GetHighGodName]!\n\nThe idolators will learn to fear the Lord!;[Root.Get_Le_TitledFirstName], dans sa grandeur, a déclaré une [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les disciples [New.Get_du_HighGod] au sein de [From.GetFullBaseName] ! Tous les hommes justes et fidèles à la religion [Root.Religion.GetName] sont appelés aux armes pour servir [Root.Get_le_HighGod] !\n\nCes adulateurs apprendront à craindre le Seigneur !;[Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die Anhänger von "[New.Religion.GetHighGodName]" in [From.GetFullBaseName] ausgerufen! Alle rechtschaffenen Männer, die sich zum [Root.Religion.GetName]en Glauben bekennen, sind aufgerufen, im Namen von [Root.Religion.GetHighGodName] in den Krieg zu ziehen!\n\nDie Götzenanbeter werden den Herrn zu fürchten lernen!;;El gran [Root.GetTitledFirstName] ha declarado una [Root.Religion.GetCrusadeName] contra [New.GetTitledName] y los seguidores de '[New.Religion.GetHighGodName]' en el [From.GetFullBaseName]. ¡Se ha llamado a las armas a todos los hombres [Root.Religion.GetName] justos en nombre de [Root.Religion.GetHighGodName]!\n\n¡Los idólatras aprenderán a temer al Señor!;;;;;;;;;x
EVTDESC328_CHRIST;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the [New.Religion.GetGroupName] infidels in [From.GetFullBaseName]! All true [Root.Religion.GetName] men are called to arms against the old oppressors!\n\nThe Lord will prove us right!;[Root.Get_Le_TitledFirstName], dans sa grandeur, a déclaré une [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les infidèles du groupe religieux [New.Religion.GetGroupName] au sein de [From.GetFullBaseName] ! Tous les vrais fidèles [Root.GetReligionMascPl] sont appelés aux armes pour combattre notre ancien oppresseur !\n\nLe Seigneur nous apportera son soutien !;[Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die [New.Religion.GetGroupName]en Ketzer in [From.GetFullBaseName] ausgerufen! Alle Männer, die sich wahrhaftig zum [Root.Religion.GetName]en Glauben bekennen, sind aufgerufen, gegen die Unterdrücker von einst ins Feld zu ziehen!\n\nGott ist mit uns!;;El gran [Root.GetTitledFirstName] ha declarado [Root.Religion.GetCrusadeName] contra [New.GetTitledName] y los infieles [New.Religion.GetGroupName] en [From.GetFullBaseName]. ¡¡Se ha llamado a las armas a todos verdaderos hombres del [Root.Religion.GetName] contra los antiguos opresores! \n\n¡El Señor nos dará la razón!;;;;;;;;;x
EVTDESC328_MUSLIMS;The great [Root.GetTitledFirstName] has declared a [Root.Religion.GetCrusadeName] against [New.GetTitledName] and the followers of [New.Religion.GetHighGodName] in the [From.GetFullBaseName]! The whole [Root.Religion.GetName] nation is called to arms against the [New.Religion.GetName] menace!\n\nThe false works of the Madman must be torn down!;[Root.Get_Le_TitledFirstName], dans sa grandeur, a déclaré une [Root.Religion.GetCrusadeName] contre [New.Get_le_TitledName] et les disciples [New.Get_du_HighGod] au sein de [From.GetFullBaseName] ! Toute la nation [Root.Religion.GetName] est appelée aux armes pour combattre la menace que représente la foi [New.Religion.GetName] !\n\nLes faux écrits de ce fou doivent être réduits à néant !;[Root.GetTitledFirstName] hat einen [Root.Religion.GetCrusadeName] gegen [New.GetTitledName] und die Gläubigen von "[New.Religion.GetHighGodName]" in [From.GetFullBaseName] ausgerufen! Alle Menschen, die sich zum [Root.Religion.GetName]en Glauben bekennen, werden zu den Waffen zum Kampf gegen die Bedrohung durch die [New.Religion.GetName]e Sekte gerufen!\n\nDie Irrlehren dieses Wahnsinnigen müssen beseitigt werden!;;El gran [Root.GetTitledFirstName] ha declarado una [Root.Religion.GetCrusadeName] contra [New.GetTitledName] y los seguidores de [New.Religion.GetHighGodName] en el [From.GetFullBaseName]. ¡Toda la nación [Root.Religion.GetName] es llamada a las armas contra la amenaza [New.Religion.GetName]! ¡Las falsas obras del Loco deben ser destrozadas!;;;;;;;;;x
EVTDESC330;I have decided to accept your suggestion of a matrilineal betrothal between [Root.GetTitledFirstName] and [New.GetTitledFirstName].;J'ai décidé d'accepter votre suggestion de fiançailles matrilinéaires entre [Root.Get_le_TitledFirstName] et [New.Get_le_TitledFirstName].;Ich habe mich dazu entschlossen, Euren Vorschlag einer matrilinearen Verlobung zwischen [Root.GetTitledFirstName] und [New.GetTitledFirstName] anzunehmen.;;He decidido aceptar su sugestión de un compromiso entre la línea materna [Root.GetTitledFirstName] y [New.GetTitledFirstName].;;;;;;;;;x
EVTDESC331;I reject your insulting suggestion. [New.GetTitledFirstName] will never marry [Root.GetTitledFirstName] matrilineally.;Je rejette votre suggestion insultante. [New.Get_Le_TitledFirstName] ne se mariera jamais [Root.Get_au_TitledFirstName] de façon matrilinéaire.;Ich lehne Euren beleidigenden Vorschlag ab. [New.GetTitledFirstName] wird [Root.GetTitledFirstName] niemals matrilinear heiraten.;;No acepto su insultante sugerencia. [New.GetTitledFirstName] nunca se casará con [Root.GetTitledFirstName] por línea materna.;;;;;;;;;x
EVTDESC500;[New.GetTitledFirstName] and [From.GetTitledFirstName] are getting married. We can collect a Royal Aid Duty to pay for the ceremonies.;[New.Get_Le_TitledFirstName] et [From.Get_le_TitledFirstName] se sont mariés. Nous pourrions lever un impôt royal pour financer la cérémonie.;[New.GetTitledFirstName] und [From.GetTitledFirstName] heiraten. Wir können für die Zeremonie eine Königliche Hilfesteuer eintreiben.;;[New.GetTitledFirstName] y [From.GetTitledFirstName] nos casamos. Podemos recaudar un Impuesto de Ayuda Real para pagar la ceremonia.;;;;;;;;;x
EVTDESC501;Like Ahura Mazda and Spandarmad at the time of creation, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have gotten married under the blessed auspices of Xwedodah, ensuring fullness and Order. We can collect a Royal Aid Duty to pay for the ceremonies.;Comme Ahura Mazda et Spandarmad au temps de la creation, [From.Get_le_TitledFirstName] et sa [GetFromVsNewRelation], [New.Get_le_TitledFirstName], se sont mariés sous l'égide bénie de Xwedodah, assurant ainsi la plénitude et l'ordre. Nous pourrons bénéficier de l'aide royale afin de payer les cérémonies. ;Wie Ahura Mazda und Spandarmad zur Zeit der Schöpfung haben [From.GetTitledFirstName] und [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] unter den segnenden Vorzeichen von Xwedodah geheiratet und sichern Ordnung und Vollkommenheit. Wir können eine königliche Hilfsabgabe zur Zahlung der Zeremonien einziehen.;;Igual que Ahura Mazda y Spandarmad en el momento de la creación, [From.GetTitledFirstName] y [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] se han casado bajo los auspicios benditos de Xwedodah, garantizando plenitud y Orden. Podemos cobrar un Impuesto de Ayuda Real para pagar las ceremonias.;;;;;;;;;x
EVTDESC502;Like the children of Adam and Eve at the dawn of time, [From.GetTitledFirstName] and [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] have formed a sacred union, pleasing to [From.Religion.GetRandomGodName]. We can collect a Royal Aid Duty to pay for the ceremonies.;Comme les enfants d'Adam et Eve à l'aube des temps, [From.Get_le_TitledFirstName] et s[New.GetOnA] [GetFromVsNewRelation], [New.Get_le_TitledFirstName], ont formé une union sacrée qui plaît [From.Get_au_HighGod]. Nous pourrions lever une contribution royale afin de financer la cérémonie.;Gleich den Kindern Adam und Evas am Anbeginn der Zeit gingen [From.GetTitledFirstName] und [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] eine heilige Verbindung zum Gefallen von [From.Religion.GetRandomGodName] ein. Wir können eine Hilfssteuer erheben, um die Zeremonie zu bezahlen.;;Como los hijos de Adán y Eva en el amanecer de los tiempos, [From.GetTitledFirstName] y [From.GetPossPronoun] [GetFromVsNewRelation] [New.GetTitledFirstName] han formado una sagrada unión, complaciendo a [From.Religion.GetRandomGodName]. Podemos recolectar la Dote de Ayuda Real para pagar las ceremonias.;;;;;;;;;x
EVTDESC503;I humbly accept your decision to absorb the [From.GetOnlyDynastyName] Clan, though it grieves me deeply.;J'accepte humblement votre décision d'absorber le clan [From.GetOnlyDynastyName], même si cela m'attriste profondément.;Ich nehme Eure Entscheidung, den Klan [From.GetOnlyDynastyName] einzugliedern, demütig hin, auch wenn es mich sehr schmerzt.;;Acepto humildemente tu decisión de absorber el clan [From.GetOnlyDynastyName], aunque me duele profundamente.;;;;;;;;x
EVTDESC504;I will not allow you to steal my people without a fight! You are no longer my Khan.;Je ne vous laisserai pas vous emparer de mes titres sans me battre ! Vous n'êtes plus mon khan.;Ich werde Euch mein Volk nicht kampflos überlassen! Ihr seid nicht länger mein Khan.;;¡No permitiré que robes mi gente sin pelear! Ya no eres mi kan.;;;;;;;;x
EVTDESC505;I swear to you that we shall be bonded by blood as brothers!;Je jure de me comporter désormais tel un frère lié par le sang !;Ich schwöre, dass wir fortan durch Blut wie Brüder verbunden sein sollen!;;¡Te juro que estaremos unidos por la sangre como hermanos!;;;;;;;;;x
EVTDESC506;I do not accept your offer of blood oath.;Je n'accepte pas votre offre de pacte du sang.;Ich lehne den Blutschwur mit Euch ab.;;No acepto tu oferta de juramento de sangre.;;;;;;;;;x
EVTDESC507;The feud has finally come to an end and our people can again know peace.;La querelle appartient au passé et notre peuple peut désormais vivre en paix.;Die Fehde fand endlich ein Ende. Nun kann unser Volk wieder in Frieden leben.;;La disputa ha llegado a su fin y nuestra gente puede conocer la paz de nuevo.;;;;;;;;;x
EVTDESC508;The [From.Clan.GetName] are stubborn and refuses to put our issues behind us.;Les membres du clan [From.Clan.GetName] sont obstinés et refusent de faire abstraction de nos difficultés.;Die [From.Clan.GetName] sind stur und lehnen es ab, unsere Probleme beizulegen.;;[From.Clan.GetName] son obstinados y se niegan a dejar nuestros problemas detrás.;;;;;;;;;x
EVTDESC509;I humbly accept your decision to split my Clan, though it grieves me deeply.;J'accepte humblement votre décision de scinder mon clan, même si cela m'attriste profondément.;Ich nehme Eure Entscheidung, meinen Klan zu teilen, demütig hin, auch wenn es mich sehr schmerzt.;;Acepto humildemente la decisión de dividir mi clan, aunque me duele profundamente.;;;;;;;;x
EVTDESC510;I will not allow you to steal my people without a fight! You are no longer my Khan.;Je ne vous laisserai pas vous emparer de mes titres sans me battre ! Vous n'êtes plus mon khan.;Ich werde Euch mein Volk nicht kampflos überlassen! Ihr seid nicht länger mein Khan.;;¡No permitiré que robes mi gente sin pelear! Ya no eres mi kan.;;;;;;;;x
EVTDESC520;I graciously accept your gift and will remember your good intentions in the future.;J'accepte gracieusement votre cadeau et me souviendrai en temps voulu de vos bonnes grâces.;Dankbar nehme ich Euer Geschenk an und werde mich Eurer guten Absichten erinnern.;;Acepto graciosamente tu regalo y recordaré sus buenas intenciones en el futuro.;;;;;;;;;x
EVTDESC521;You must understand that you cannot simply buy my loyalty like this. I refuse your gift.;Comprenez-moi, ma loyauté n'est pas à vendre. Je ne peux pas accepter votre cadeau.;Nehmt zur Kenntnis, dass meine Loyalität nicht käuflich ist. Ich lehne Euer Geschenk ab.;;Debes entender que no puedes comprar mi lealtad de este modo. Rechazo tu regalo.;;;;;;;;;x
EVTDESC522;I will support you in the council.;Je vous soutiendrai au Conseil.;Ich werde Euch im Rat unterstützen.;;Te apoyaré en el consejo.;;;;;;;;;x
EVTDESC523;I am sorry, but I just cannot support you in the council.;Je vous présente mes excuses, mais il m'est impossible de vous soutenir au Conseil.;Leider kann ich Euch im Rat nicht unterstützen.;;Lo siento, pero no puedo apoyarte en el consejo.;;;;;;;;;x
EVTDESC524;I, [From.GetBestName], accept your proposal for a Non-Aggression Pact!;Moi, [From.Get_only_le_Title][From.GetBestName], accepte votre proposition de signer un pacte de non-agression !;Ich, [From.GetBestName], willige in den von Euch vorgeschlagenen Nichtangriffspakt ein!;;¡Yo, [From.GetBestName],acepta su oferta de un Pacto de no agresión!;;;;;;;;;x
EVTDESC525;I, [From.GetBestName], unfortunately have to decline your proposal for a Non-Aggression Pact!;Moi, [From.Get_only_le_Title][From.GetBestName], dois malheureusement décliner votre proposition de signer un pacte de non-agression !;Ich, [From.GetBestName], muss den von Euch vorgeschlagenen Nichtangriffspakt leider ablehnen!;;¡Yo, [From.GetBestName], lamentablemente debo rechazar tu oferta de un Pacto de no agresión!;;;;;;;;;x
EVTDESC526;I demand that you grant me a position on your council, in return for the favor you owe me.;J'exige que vous m'accordiez un poste à votre Conseil, en échange de la faveur que vous me devez.;Ich verlange einen Platz in Eurem Rat, als Gegenleistung für den Gefallen, den Ihr mir schuldet.;;Exijo que se me conceda un puesto en el Consejo, a cambio del favor que me debes.;;;;;;;;x
EVTDESC527;[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to join the council as [Title.GetName], despite the favor owed.;[This.Get_Le_TitledFirstName] a décliné la requête [From.Get_du_TitledFirstName] de lui offrir le poste de [Title.GetName] au Conseil, malgré la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Ratsbeitritt als [Title.GetName] trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechazó la solicitud de [From.GetTitledFirstName] de unirse al consejo como [Title.GetName], a pesar del favor que le debía.;;;;;;;;;x
EVTDESC528;[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force the Realm Peace.;[From.Get_Le_TitledFirstName] a utilisé la faveur que [This.Get_le_TitledFirstName] lui devait pour décréter la paix dans le pays.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um den Reichsfrieden zu erzwingen.;;[From.GetTitledFirstName] gastó el favor [This.GetTitledFirstName] les debía para forzar la Paz del Reino.;;;;;;;;;x
EVTDESC529;[This.GetTitledFirstName] declined [From.GetTitledFirstName] request to force the realm peace, despite the favor owed.;[This.Get_Le_TitledFirstName] a décliné la requête [From.Get_du_TitledFirstName] de décréter la paix dans le pays, malgré la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Erzwingen des Reichsfriedens trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechazó la solicitud de [From.GetTitledFirstName] de imponer la Paz del Reino, a pesar del favor que le debía.;;;;;;;;;x
EVTDESC530;[From.GetTitledFirstName] spent the favor [This.GetTitledFirstName] owed [From.GetObjectPronoun] to force [This.GetTitledFirstName] to join their Factions.;[From.Get_Le_TitledFirstName] a utilisé la faveur que [This.Get_le_TitledFirstName] lui devait pour forcer l'adhésion [This.Get_du_TitledFirstName] à ses factions.;[From.GetTitledFirstName] hat den geschuldeten Gefallen von [This.GetTitledFirstName] benutzt, um [This.GetTitledFirstName] zum Fraktionsbeitritt zu zwingen.;;[From.GetTitledFirstName] gastó el favor que [This.GetTitledFirstName] les debía para obligar a [This.GetTitledFirstName] a unirse a sus facciones.;;;;;;;;;x
EVTDESC531;[This.GetTitledFirstName] declined [From.GetTitledFirstName] to join [Actor.GetTitledFirstName]'s factions, despite the favor owed.;[This.Get_Le_TitledFirstName] a décliné la requête [From.Get_du_TitledFirstName] de rejoindre les factions [Actor.Get_du_TitledFirstName], malgré la faveur due.;[This.GetTitledFirstName] hat die Anfrage von [From.GetTitledFirstName] zum Beitritt der Fraktionen von [Actor.GetTitledFirstName] trotz des geschuldeten Gefallens abgelehnt.;;[This.GetTitledFirstName] rechazó la solicitud [From.GetTitledFirstName] para imponer la Paz del Reino, a pesar del favor que le debía.;;;;;;;;;x
EVTDESC535;I was remiss not to invite you in the first place. You may indeed join my plot to [From.GetPlot].;J'ai eu tort de ne pas vous inviter initialement. Vous pouvez en effet rejoindre mon complot visant à [From.GetPlot].;Es war ein Fehler Euch nicht von Anfang an einzuladen. Ihr könnt Euch gerne meiner Verschwörung mit dem Ziel "[From.GetPlot]" anschließen.;;Fue un descuido no invitarte desde el primer momento. Por supuesto que puedes participar en el complot ([From.GetPlot]).;;;;;;;;;x
EVTDESC536;Why would I want the help of the likes of you with my plot to [From.GetPlot]?;Pourquoi aurais-je besoin de l'aide de gens comme vous dans mon complot visant à [From.GetPlot] ?;Warum sollte ich die Hilfe von jemandem wie Euch bei meiner Verschwörung mit dem Ziel "[From.GetPlot]" benötigen?;;¿Por qué iba a querer que alguien como tú metiese las narices en mi complot ([From.GetPlot])?;;;;;;;;;x
EVTDESC537;I accept your gracious offer. [Root.GetTitledFirstName] will make a fine [Root.GetConsortSexCap]!;J'accepte votre gracieuse offre. [Root.Get_Le_TitledFirstName] fera un[Root.Get_E] b[Root.GetEauElle] [Root.GetConsortSex] !;Ich nehme euer großzügiges Angebot an. [Root.GetTitledFirstName] wird eine(n) gute(n) [Root.GetConsortSexCap] hergeben!;;Agradezco tu generosa oferta. ¡[Root.GetTitledFirstName] será un[Root.GetXA] gran [Root.GetConsortSexCap]!;;;;;;;;x
EVTDESC538;I accept your gracious gift. What a splendid object!;J'accepte votre gracieux présent. Quel magnifique objet !;Ich nehme Euer großzügiges Geschenk an. Was für ein prächtiges Objekt!;;Acepto tu amable obsequio. ¡Qué objeto tan espléndido!;;;;;;;;;x
EVTDESC600;A revolt has broken out in [Root.GetName]! Angered by my 'oppressive' rule, the peasants have taken to arms.;Une révolte a éclaté en [Root.GetName] ! En colère contre mon règne 'tyrannique', les paysans ont pris les armes.;In [Root.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über meine "Gewaltherrschaft" und haben daher zu den Waffen gegriffen.;;¡Ha estallado una revuelta en [Root.GetName]! Furiosos por mi 'gobierno opresor', los campesinos han tomado las armas.;;;;;;;;;x
EVTDESC601;A revolt has broken out in [From.GetName]! Angered by the oppressive rule of [From.County.Holder.GetTitledName], the peasants have taken to arms. Their indiscriminate destruction will unfortunately hit my holdings as well...;Une révolte a éclaté en [From.GetName] ! En colère contre le règne tyrannique [From.County.Holder.Get_du_TitledName], les paysans ont pris les armes. Ils détruisent tout sans discernement et risquent donc de s'en prendre à mes propriétés...;In [From.GetName] ist eine Revolte ausgebrochen! Die Bauern sind wütend über die Gewaltherrschaft von [From.County.Holder.GetTitledName] und haben daher zu den Waffen gegriffen. Ihre wahllose Zerstörungswut wird leider auch meine Besitztümer treffen ...;;¡Ha estallado una revuelta en [From.GetName]! Furiosos por el gobierno opresor de [From.County.Holder.GetTitledName], los campesinos han tomado las armas. Por desgracia su destrucción indiscriminada también afectará a mis posesiones...;;;;;;;;;x
EVTDESC610;Peasant rebels have taken control of one of our holdings in [From.GetName] and looted it!;Des paysans rebelles ont pris le contrôle d'une de nos propriétés de [From.GetName] et l'ont mise à sac !;Bauernrebellen haben die Kontrolle über eins unserer Besitztümer in [From.GetName] übernommen und es geplündert!;;¡Los campesinos rebeldes se han apoderado de una posesión nuestra en [From.GetName] y la han saqueado!;;;;;;;;;x
EVTDESC615;The peasant rebels in [From.GetName] have been dispersed and our holding taken back!;Les paysans rebelles de [From.GetName] ont été dispersés et nous avons repris le contrôle de notre propriété !;Die Bauernrebellen in [From.GetName] haben sich zerstreut und unser Besitztum wurde zurückerobert!;;¡Los campesinos rebeldes de [From.GetName] han sido dispersados y nuestra posesión recuperada!;;;;;;;;;x
EVTDESC620;[From.Religion.GetRandomGodNameCap] has granted [From.GetTitledName] victory in the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName]. [From.RelHead.GetTitledName] has called for a month of celebration across the whole [From.Religion.GetGroupName] world!;[From.Get_Le_HighGod] a accordé la victoire [From.Get_au_TitledName] dans la [From.Religion.GetCrusadeName] pour obtenir [Root.GetBaseName] contre [New.Get_le_TitledName]. [From.RelHead.Get_Le_TitledName] a ordonné un mois de célébration dans le monde [From.Religion.GetGroupName] !;[From.Religion.GetRandomGodNameCap] hat [From.GetTitledName] den Sieg im [From.Religion.GetCrusadeName] um [Root.GetBaseName] gegen [New.GetTitledName] gewährt. [From.RelHead.GetTitledName] hat einen Monat des Feierns für die ganze [From.Religion.GetGroupName]e Welt ausgerufen!;;[From.Religion.GetRandomGodNameCap] ha concedido a [From.GetTitledName] la victoria en la [From.Religion.GetCrusadeName] para [Root.GetBaseName] contra el [New.GetTitledName]. [From.RelHead.GetTitledName] ha convocado un mes de celebración en todo el mundo [From.Religion.GetGroupName]! ;;;;;;;;;x
EVTDESC621;[From.Religion.GetRandomGodNameCap], it seems, does not favor the [From.Religion.GetGroupName] faithful. After a string of defeats and setbacks, [From.GetTitledName] has called off the [From.Religion.GetCrusadeName] for [Root.GetBaseName] against [New.GetTitledName].;[From.Get_Le_HighGod], semble-t-il, ne favorise pas ses fidèles [From.Religion.GetGroupName]s. Après une série de défaites et de revers, [From.Get_le_TitledName] a renoncé à son ambitieuse [From.Religion.GetCrusadeName] pour [Root.GetBaseName] contre [New.Get_le_TitledName].;[From.Religion.GetRandomGodNameCap] scheint die [From.Religion.GetGroupName]en Gläubigen nicht zu begünstigen. Nach einer Folge von Verlusten und Rückschlägen hat [From.GetTitledName] den [From.Religion.GetCrusadeName] um [Root.GetBaseName] gegen [New.GetTitledName] abgeblasen.;;[From.Religion.GetRandomGodNameCap], al parecer, no favorece a los [From.Religion.GetGroupName] fieles. Después de una serie de derrotas y retrocesos, [From.GetTitledName] ha hecho un llamamiento de la [From.Religion.GetCrusadeName] para [Root.GetBaseName] contra el [New.GetTitledName]. ;;;;;;;;;x
EVTDESC660;That vile brute [From.GetBestName] has forced me to become his concubine!;[From.Get_only_Le_Title][From.GetBestName], cette vile brute, m'a forcée à devenir sa concubine !;Dieser widerwärtige Unmensch [From.GetBestName] hat mich gezwungen, seine Konkubine zu werden!;;¡Esa bestia vil [From.GetBestName] me ha obligado a convertirme en su concubina!;;;;;;;;;x
EVTDESC660_B;That vile hag [From.GetBestName] has forced me to become her consort!;Cette mégère de [From.GetBestName] m'a forcé à devenir son concubin !;Diese alte Hexe [From.GetBestName] hat mich gezwungen ihr Konkubinator zu werden!;;¡Esa bruja de [From.GetBestName] me ha obligado a convertirme en su concubino!;;;;;;;;;x
EVTDESC661;[FromFrom.GetBestName] has forced my [GetFromRelation] [From.GetBestName] to become his concubine!;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a forcé ma [GetFromRelation], [From.Get_only_le_Title][From.GetBestName], à devenir sa concubine !;[FromFrom.GetBestName] hat [GetFromRelation] [From.GetBestName] dazu gezwungen, seine Konkubine zu werden!;;¡[FromFrom.GetBestName] ha forzado a mi [GetFromRelation] [From.GetBestName] a convertirse en su concubina!;;;;;;;;;x
EVTDESC662;[FromFrom.GetBestName] has forced my wife [From.GetBestName] to become his concubine!;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a forcé ma femme, [From.Get_only_le_Title][From.GetBestName] à devenir sa concubine !;[FromFrom.GetBestName] hat meine Frau [From.GetBestName] dazu gezwungen, seine Konkubine zu werden!;;¡[FromFrom.GetBestName] ha forzado a mi mujer [From.GetBestName] a convertirse en su concubina!;;;;;;;;;x
EVTDESC662_B;[FromFrom.GetBestName] has forced my husband [From.GetBestName] to become her consort!;[FromFrom.Get_only_Le_Title][FromFrom.GetBestName] a forcé mon mari à devenir son concubin !;[FromFrom.GetBestName] hat meinen Ehemann [From.GetBestName] dazu gezwungen ihr Konkubinator zu werden.;;¡[FromFrom.GetBestName] ha obligado a mi marido [From.GetBestName] a convertirse en su concubino!;;;;;;;;;x
EVTDESC670;The ancient [Root.Religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [Root.Religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [Root.Religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;L'ancienne religion [Root.Religion.GetName] n'est pas à même de résister à l'assaut de la Croix et de la Lune. Plutôt que d'abandonner leur ancienne foi, [Root.Get_le_TitledName], ainsi que les plus puissants prêtres, ont décidé de la réformer. Grâce à des rites codifiés, à des textes sacrés et à une hiérarchie religieuse sous un seul chef, ils espèrent que la foi [Root.Religion.GetName] réformée est ainsi mieux armée pour repousser les croyances étrangères faibles et efféminées ! ;Die altertümliche [Root.Religion.GetName]e Religion kann dem Ansturm des Kreuzes und des Mondes nichts entgegensetzen. Doch statt die alten Pfade zu verlassen, haben sich [Root.GetTitledName] und die mächtigsten Priester dazu entschlossen, den [Root.Religion.GetName]en Glauben zu reformieren. Mit kodifizierten Riten, einer heiligen Schrift und einer strikten Kirchenhierarchie unter einem einzelnen Oberhaupt hoffen sie, dass der reformierte [Root.Religion.GetName]e Glaube besser gegen die schwachen und infamen, fremden Ansichten bestehen kann!;;La antigua religión [Root.Religion.GetName] está demostrando ser incapaz de resistir la arremetida de la Cruz y de la Luna. En lugar de abandonar las viejas costumbres, [Root.GetTitledName] y los más poderosos sacerdotes han decidido reformar la fe [Root.Religion.GetName]. Con ritos codificados, una escritura sagrada y una jerarquía estricta en la iglesia bajo un solo líder, esperan que la fe [Root.Religion.GetName] reformada esté mejor armada para luchar contra las creencias extranjeras débiles y afeminadas!;;;;;;;;;x
EVTDESC670_HF;[Root.GetReformationNature]\n[Root.GetReformationLeadership][Root.GetReformationReligion]\n[Root.GetReformationOutro];[Root.GetReformationNature]\n[Root.GetReformationLeadership][Root.GetReformationReligion]\n[Root.GetReformationOutro];[Root.GetReformationNature]\n[Root.GetReformationLeadership][Root.GetReformationReligion]\n[Root.GetReformationOutro];;[Root.GetReformationNature]\n[Root.GetReformationLeadership][Root.GetReformationReligion]\n[Root.GetReformationOutro];;;;;;;;x
