monastic_order_benedictine;[GetBenedictineSocietyName];[GetBenedictineSocietyName];[GetBenedictineSocietyName];;;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_slavic_pagan_reformed_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_sunni;[GetReligiousCommunityName_sunni];[GetReligiousCommunityName_sunni];[GetReligiousCommunityName_sunni];;[GetReligiousCommunityName_sunni];;;;;;;;;x
secret_religious_society_sunni_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_sunni_desc;[GetReligiousSocietyDesc_sunni];[GetReligiousSocietyDesc_sunni];[GetReligiousSocietyDesc_sunni];;[GetReligiousSocietyDesc_sunni];;;;;;;;;x
secret_religious_society_sunni_desc_REAL;The Sunnis secretly follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. They will proclaim that Muhammed is chosen by God, as prophet and the first Imam.;Ces sunnites suivent secrètement les enseignements du Coran, censés avoir été transmis verbalement à Mahomet par Dieu. Ils proclameront que Mahomet a été choisi par Dieu, en tant que prophète et premier imam.;Die Sunniten folgen im Geheimen den Lehren des Korans, von denen sie glauben, Mohammed habe sie von Allah selbst erfahren. Sie behaupten, Mohammed sei von Allah als Prophet und erster Imam auserwählt worden. ;;Los sunitas siguen en secreto las enseñanzas del Corán, cuyo contenido se cree que Dios recitó a Mahoma. Proclaman que Mahoma es el elegido de Dios, como profeta y como el primer imán. ;;;;;;;;;x
secret_religious_society_sunni_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_sunni_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_sunni_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_sunni_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_sunni_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_sunni_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_sunni_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_sunni_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_sunni_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_taoist;[GetReligiousCommunityName_taoist];[GetReligiousCommunityName_taoist];[GetReligiousCommunityName_taoist];;[GetReligiousCommunityName_taoist];;;;;;;;;x
secret_religious_society_taoist_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_taoist_desc;[GetReligiousSocietyDesc_taoist];[GetReligiousSocietyDesc_taoist];[GetReligiousSocietyDesc_taoist];;[GetReligiousSocietyDesc_taoist];;;;;;;;;x
secret_religious_society_taoist_desc_REAL;Followers of Taoism revere Tao, the underlying natural order of the Universe – the active expression of Tao for an individual is Te, the inner virtue. Adherents seek to strengthen their Te and prepare for the day they no longer need to stay hidden.;Les taoïstes vénèrent Tao, l'ordre naturel sous-jacent de l'Univers - l'expression active de Tao pour un individu est Te, la vertu intérieure. Les adeptes cherchent à renforcer leur Te et à se préparer au jour où ils n'auront plus besoin de rester cachés.;Anhänger des Taoismus verehren Tao, die zugrundeliegende natürliche Ordnung des Universums. Der aktive Ausdruck des Tao für ein Individuum ist das Te, die innere Tugend. Die Anhänger versuchen ihr Te zu stärken und sich auf den Tag vorzubereiten, an dem sie nicht mehr verborgen bleiben müssen.;;Los seguidores del taoísmo veneran el Teo, el orden subyacente natural del universo. La expresión activa del Tao en un individuo es el Te, la virtud interior. Sus adeptos buscan reforzar su Te y prepararse para el día en que no deban ocultarse.;;;;;;;;;x
secret_religious_society_taoist_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_taoist_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_taoist_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_taoist_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_taoist_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_taoist_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_taoist_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_taoist_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_taoist_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_tengri_pagan;[GetReligiousCommunityName_tengri_pagan];[GetReligiousCommunityName_tengri_pagan];[GetReligiousCommunityName_tengri_pagan];;[GetReligiousCommunityName_tengri_pagan];;;;;;;;;x
secret_religious_society_tengri_pagan_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_tengri_pagan_desc;[GetReligiousSocietyDesc_tengri_pagan];[GetReligiousSocietyDesc_tengri_pagan];[GetReligiousSocietyDesc_tengri_pagan];;[GetReligiousSocietyDesc_tengri_pagan];;;;;;;;;x
secret_religious_society_tengri_pagan_desc_REAL;No matter how far you travel, and no matter what unbelievers say, you are always under the Heavenly Father, and standing upon the Earth Mother. This is how the followers of Tengri can be so certain in their faith that they follow it even in the face of persecution. All they have to do to prove their faith is to lift their eyes towards Tengri of the Blue Sky above, feel the protection nature provides, and let their Wind Horses ride in prayer to a better place.;Peu importe la distance à laquelle vous voyagez, et peu importe ce que les incrédules disent, vous êtes toujours en dessous du Père céleste, et au-dessus de la Terre Mère. C'est ainsi que les adeptes de Tengri peuvent être si assurés dans leur foi, au point de la suivre même lorsqu'ils sont persécutés. Tout ce qu'ils ont à faire pour prouver leur foi est de lever les yeux vers Tengri du ciel bleu, sentir la protection que la nature leur fournit, et laisser leurs Chevaux du Vent les conduire, par la prière, vers un monde meilleur.;Ganz gleich, wie weit sie reisen und was die Ungläubigen sagen, sind sie immer unter dem Himmelsvater und stehen auf der Mutter Erde. Daher können die Anhänger von Tengri so stark von ihrem Glauben überzeugt sein, dass sie selbst angesichts einer Verfolgung an ihm festhalten. Um ihren Glauben zu beweisen, brauchen sie lediglich den Blick auf Tengri, den blauen Himmel, zu richten, den Schutz zu spüren, den die Natur bietet, und ihre Windpferde im Gebet an einen besseren Ort reiten zu lassen.;;No importa cuán lejos hayas viajado, ni lo que digan los paganos: siempre estarás bajo el Padre Celestial y sobre la Madre Tierra. Así es cómo los seguidores de Tengri están tan seguros sobre la fe que siguen, aun cuando son perseguidos. Todo lo que deben hacer para demostrar su fe es alzar la vista hacia Tengri, allá en el cielo azul, sentir la protección que les brinda la naturaleza y dejar que sus caballos del viento cabalguen en sus oraciones por un lugar mejor.;;;;;;;;;x
secret_religious_society_tengri_pagan_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_tengri_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_tengri_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed;[GetReligiousCommunityName_tengri_pagan_reformed];[GetReligiousCommunityName_tengri_pagan_reformed];[GetReligiousCommunityName_tengri_pagan_reformed];;[GetReligiousCommunityName_tengri_pagan_reformed];;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_desc;[GetReligiousSocietyDesc_tengri_pagan_reformed];[GetReligiousSocietyDesc_tengri_pagan_reformed];[GetReligiousSocietyDesc_tengri_pagan_reformed];;[GetReligiousSocietyDesc_tengri_pagan_reformed];;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_desc_REAL;No matter how far you travel, and no matter what unbelievers say, you are always under the Heavenly Father, and standing upon the Earth Mother. This is how the followers of Tengri can be so certain in their faith that they follow it even in the face of persecution. All they have to do to prove their faith is to lift their eyes towards Tengri of the Blue Sky above, feel the protection nature provides, and let their Wind Horses ride in prayer to a better place.;Peu importe la distance à laquelle vous voyagez, et peu importe ce que les incrédules disent, vous êtes toujours en dessous du Père céleste, et au-dessus de la Terre Mère. C'est ainsi que les adeptes de Tengri peuvent être si assurés dans leur foi, au point de la suivre même lorsqu'ils sont persécutés. Tout ce qu'ils ont à faire pour prouver leur foi est de lever les yeux vers Tengri du ciel bleu, sentir la protection que la nature leur fournit, et laisser leurs Chevaux du Vent les conduire, par la prière, vers un monde meilleur.;Ganz gleich, wie weit sie reisen und was die Ungläubigen sagen, sind sie immer unter dem Himmelsvater und stehen auf der Mutter Erde. Daher können die Anhänger von Tengri so stark von ihrem Glauben überzeugt sein, dass sie selbst angesichts einer Verfolgung an ihm festhalten. Um ihren Glauben zu beweisen, brauchen sie lediglich den Blick auf Tengri, den blauen Himmel, zu richten, den Schutz zu spüren, den die Natur bietet, und ihre Windpferde im Gebet an einen besseren Ort reiten zu lassen.;;No importa cuán lejos hayas viajado, ni lo que digan los paganos: siempre estarás bajo el Padre Celestial y sobre la Madre Tierra. Así es cómo los seguidores de Tengri están tan seguros sobre la fe que siguen, aun cuando son perseguidos. Todo lo que deben hacer para demostrar su fe es alzar la vista hacia Tengri, allá en el cielo azul, sentir la protección que les brinda la naturaleza y dejar que sus caballos del viento cabalguen en sus oraciones por un lugar mejor.;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_tengri_pagan_reformed_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_waldensian;[GetReligiousCommunityName_waldensian];[GetReligiousCommunityName_waldensian];[GetReligiousCommunityName_waldensian];;[GetReligiousCommunityName_waldensian];;;;;;;;;x
secret_religious_society_waldensian_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_waldensian_desc;[GetReligiousSocietyDesc_waldensian];[GetReligiousSocietyDesc_waldensian];[GetReligiousSocietyDesc_waldensian];;[GetReligiousSocietyDesc_waldensian];;;;;;;;;x
secret_religious_society_waldensian_desc_REAL;Ever since its humble roots, Christians have marked themselves by their refusal to abandon their faith in the face of persecution. So it is that a rich tradition of martyrs and underground parishes can give hope to groups of believers in even the darkest of times, no matter what they are outwardly forced to profess. To each other they can profess their true faith in God, and their God is love.;Dès leurs humbles origines, les chrétiens ont refusé d'abandonner leur foi face à la persécution. Ainsi, une riche tradition de martyrs et de paroisses secrètes peut donner de l'espoir à des groupes de croyants, même dans les périodes les plus difficiles, peu importe la religion qu'ils sont obligés de professer publiquement. Entre eux, ils peuvent professer leur vraie foi en Dieu, et leur Dieu est amour.;Seit ihren bescheidenen Anfängen haben sich Christen durch ihre beharrliche Weigerung hervorgetan, angesichts der Verfolgung von ihrem Glauben abzulassen. Daher kann eine lange Tradition von Märtyrern und Untergrundgemeinden Gruppen von Gläubigen selbst in den finstersten Zeiten Hoffnung geben, ganz gleich, was sie durch Zwang nach außen hin bekennen müssen. Untereinander können sie ihren wahren Glauben an Gott bekennen, und ihr Gott heißt Liebe.;;Desde sus humildes orígenes, los cristianos se han caracterizado por su negativa a abandonar su fe ante la opresión. Tanto es así, que una nutrida tradición de mártires y parroquias clandestinas consigue dar esperanza a grupos de creyentes incluso en los tiempos más oscuros, sin importar qué otra fe les obliguen a profesar en público. Entre ellos pueden mostrar su verdadera fe en Dios, y su Dios es amor.;;;;;;;;;x
secret_religious_society_waldensian_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_waldensian_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_waldensian_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_waldensian_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_waldensian_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_waldensian_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicador;;;;;;;;;x
secret_religious_society_waldensian_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_waldensian_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_waldensian_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_west_african_pagan;[GetReligiousCommunityName_west_african_pagan];[GetReligiousCommunityName_west_african_pagan];[GetReligiousCommunityName_west_african_pagan];;[GetReligiousCommunityName_west_african_pagan];;;;;;;;;x
secret_religious_society_west_african_pagan_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_west_african_pagan_desc;[GetReligiousSocietyDesc_west_african_pagan];[GetReligiousSocietyDesc_west_african_pagan];[GetReligiousSocietyDesc_west_african_pagan];;[GetReligiousSocietyDesc_west_african_pagan];;;;;;;;;x
secret_religious_society_west_african_pagan_desc_REAL;As preachers proselytize, there are those who play their part, but in secret turn to the forces around them. No other gods have shown them the small miracles of the world, or the sheer divinity of life and existence. They tell each other stories of how faith does not reside in some otherworldly realm, but in the trees around them, the rocks by their feet, and the waters they drink of.;Lorsque les prédicateurs font du prosélytisme, certains jouent leur rôle, mais en secret se tournent vers les forces autour d'eux. Aucun autre dieu ne leur a montré les petits miracles du monde, ni la pure divinité de la vie. Ils disent que la foi ne réside pas dans un royaume surnaturel, mais dans les arbres autour d'eux, les pierres sous leurs pieds, et l'eau qu'ils boivent.;Wenn Priester Andersgläubige bekehren, halten sich einige an die ihnen zugedachte Rolle, wenden sich jedoch heimlich den Kräften zu, die sie umgeben. Keine anderen Götter haben ihnen die kleinen Wunder der Welt oder die reine Göttlichkeit des Lebens und des Daseins gezeigt. Sie erzählen einander Geschichten darüber, dass der Glaube nicht in irgendeinem jenseitigen Reich ruht, sondern in den Bäumen um sie herum, den Steinen zu ihren Füßen und den Gewässern, aus denen sie trinken.;;Mientras los predicadores hacen proselitismo, hay quienes juegan su papel pero, en secreto, se encomiendan a las fuerzas que los rodean. Los otros dioses no les han mostrado los pequeños milagros del mundo, ni la divinidad pura de la vida y la existencia. Se cuentan historias entre ellos, sobre cómo la fe no reside en un reino sobrenatural, sino en los árboles que se alzan a su alrededor, en las rocas que pisan y en las aguas que beben.;;;;;;;;;x
secret_religious_society_west_african_pagan_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_west_african_pagan_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_west_african_pagan_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed;[GetReligiousCommunityName_west_african_pagan_reformed];[GetReligiousCommunityName_west_african_pagan_reformed];[GetReligiousCommunityName_west_african_pagan_reformed];;[GetReligiousCommunityName_west_african_pagan_reformed];;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_desc;[GetReligiousSocietyDesc_west_african_pagan_reformed];[GetReligiousSocietyDesc_west_african_pagan_reformed];[GetReligiousSocietyDesc_west_african_pagan_reformed];;[GetReligiousSocietyDesc_west_african_pagan_reformed];;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_desc_REAL;As preachers proselytize, there are those who play their part, but in secret turn to the forces around them. No other gods have shown them the small miracles of the world, or the sheer divinity of life and existence. They tell each other stories of how faith does not reside in some otherworldly realm, but in the trees around them, the rocks by their feet, and the waters they drink of.;Lorsque les prédicateurs font du prosélytisme, certains jouent leur rôle, mais en secret se tournent vers les forces autour d'eux. Aucun autre dieu ne leur a montré les petits miracles du monde, ni la pure divinité de la vie. Ils disent que la foi ne réside pas dans un royaume surnaturel, mais dans les arbres autour d'eux, les pierres sous leurs pieds, et l'eau qu'ils boivent.;Wenn Priester Andersgläubige bekehren, halten sich einige an die ihnen zugedachte Rolle, wenden sich jedoch heimlich den Kräften zu, die sie umgeben. Keine anderen Götter haben ihnen die kleinen Wunder der Welt oder die reine Göttlichkeit des Lebens und des Daseins gezeigt. Sie erzählen einander Geschichten darüber, dass der Glaube nicht in irgendeinem jenseitigen Reich ruht, sondern in den Bäumen um sie herum, den Steinen zu ihren Füßen und den Gewässern, aus denen sie trinken.;;Mientras los predicadores hacen proselitismo, hay quienes juegan su papel pero, en secreto, se encomiendan a las fuerzas que los rodean. Los otros dioses no les han mostrado los pequeños milagros del mundo, ni la divinidad pura de la vida y la existencia. Se cuentan historias entre ellos, sobre cómo la fe no reside en un reino sobrenatural, sino en los árboles que se alzan a su alrededor, en las rocas que pisan y en las aguas que beben.;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_1_female;Faithful;Fidèle;Getreue;;Fiel;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_1_male;Faithful;Fidèle;Getreuer;;Fiel;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_4_female;Herald;Messagère;Herold;;Mensajera;;;;;;;;;x
secret_religious_society_west_african_pagan_reformed_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_yazidi;[GetReligiousCommunityName_yazidi];[GetReligiousCommunityName_yazidi];[GetReligiousCommunityName_yazidi];;[GetReligiousCommunityName_yazidi];;;;;;;;;x
secret_religious_society_yazidi_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_yazidi_desc;[GetReligiousSocietyDesc_yazidi];[GetReligiousSocietyDesc_yazidi];[GetReligiousSocietyDesc_yazidi];;[GetReligiousSocietyDesc_yazidi];;;;;;;;;x
secret_religious_society_yazidi_desc_REAL;The Yazidis believe that God created the world and tasked seven holy angels with its care. The first of the angels is the ambivalent Melek Taus, the Peacock Angel, a ruler who causes both good and bad to befall his mortal subjects.;Les yézidis croient que Dieu a créé le monde et l'a assigné à sept anges. Le premier des anges est l'ambivalent Malek Taous, l'ange paon, un souverain à l'origine du bien et du mal frappant ses sujets mortels.;Die Jesiden glauben, dass Gott die Welt erschaffen und sieben heilige Engel damit beauftragt habe, sich um die Welt zu kümmern. Der erste dieser Engel ist der ambivalente Melek Taus, der Pfauenengel, ein Herrscher, der sowohl für das Glück als auch für das Unglück verantwortlich ist, das seinen sterblichen Untertanen widerfährt.;;Los yazidíes creen que Dios creó el mundo y lo puso al cuidado de siete ángeles sagrados. El primero de estos ángeles es Melek Taus, «el ángel pavo real», un líder que provoca el bien y el mal sobre sus sujetos mortales.;;;;;;;;;x
secret_religious_society_yazidi_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_yazidi_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_yazidi_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_yazidi_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_yazidi_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_yazidi_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_yazidi_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_yazidi_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_yazidi_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_zikri;[GetReligiousCommunityName_zikri];[GetReligiousCommunityName_zikri];[GetReligiousCommunityName_zikri];;[GetReligiousCommunityName_zikri];;;;;;;;;x
secret_religious_society_zikri_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_zikri_desc;[GetReligiousSocietyDesc_zikri];[GetReligiousSocietyDesc_zikri];[GetReligiousSocietyDesc_zikri];;[GetReligiousSocietyDesc_zikri];;;;;;;;;x
secret_religious_society_zikri_desc_REAL;The Zikris follow the teachings of the Quran, believed to have been verbally recited to Muhammed by God. They will proclaim that Muhammed is chosen by God, as prophet and the first Imam.;Les zikris suivent les enseignements du Coran, censés avoir été verbalement transmis à Mahomet par Dieu. Ils affirmeront que Mahomet a été choisi par Dieu, en tant que prophète et premier imam.;Die Zikris folgen den Lehren des Korans, von denen sie glauben, Mohammed habe sie von Allah selbst erfahren. Sie behaupten, Mohammed sei von Allah als Prophet und erster Imam auserwählt worden.;;Los zikris siguen en secreto las enseñanzas del Corán, cuyo contenido se cree que Dios recitó a Mahoma. Proclaman que Mahoma es el elegido de Dios, como profeta y como el primer imán.;;;;;;;;;x
secret_religious_society_zikri_leader_desc;[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];[GetSocietyLeaderDesc];;[GetSocietyLeaderDesc];;;;;;;;;x
secret_religious_society_zikri_rank_1_female;Faithful;Fidèle;Gläubige;;Fiel;;;;;;;;;x
secret_religious_society_zikri_rank_1_male;Faithful;Fidèle;Gläubiger;;Fiel;;;;;;;;;x
secret_religious_society_zikri_rank_2_female;Adherent;Adhérente;Anhängerin;;Seguidora;;;;;;;;;x
secret_religious_society_zikri_rank_2_male;Adherent;Adhérent;Anhänger;;Seguidor;;;;;;;;;x
secret_religious_society_zikri_rank_3_female;Preacher;Prêcheuse;Predigerin;;Predicadora;;;;;;;;;x
secret_religious_society_zikri_rank_3_male;Preacher;Prêcheur;Prediger;;Predicador;;;;;;;;;x
secret_religious_society_zikri_rank_4_female;Herald;Messagère;Heroldin;;Mensajera;;;;;;;;;x
secret_religious_society_zikri_rank_4_male;Herald;Messager;Herold;;Mensajero;;;;;;;;;x
secret_religious_society_zoroastrian;[GetReligiousCommunityName_zoroastrian];[GetReligiousCommunityName_zoroastrian];[GetReligiousCommunityName_zoroastrian];;[GetReligiousCommunityName_zoroastrian];;;;;;;;;x
secret_religious_society_zoroastrian_currency;Devotion;Dévotion;Hingabe;;Devoción;;;;;;;;;x
secret_religious_society_zoroastrian_desc;[GetReligiousSocietyDesc_zoroastrian];[GetReligiousSocietyDesc_zoroastrian];[GetReligiousSocietyDesc_zoroastrian];;[GetReligiousSocietyDesc_zoroastrian];;;;;;;;;x
